Time	[MK]	[MKK-PP]	[MK_MKK-PP]	[MK-P]	[MK-P_MKK-PP]	[MK-PP]	[MKK]	[MKKK-P]	[MKK_MKKK-P]	[MKK-P]	[MKK-P_MKKK-P]	[MKK-PP_P2]	[P2]	[MKK-P_P2]	[MKK_P2]	[MKKK]	[MKKK_Sig]	[Sig]	[MKKK-P_P1]	[P1]	[MK-PP_P2]	[MK-P_P2]	[MK_P2]	[MKK-PP_P1]	[MKK-P_P1]	[MKK_P1]	[MKKK_P1]
40	1190.88	0.383377	8.50246	0.230458	0.000175102	0.00135163	982.019	9.97365	191.174	3.98929	0.0793915	2.83796	189.918	6.86117	0	79.6061	4.45888	5.54112	14.7079	81.1394	0.00915114	0.373816	0	1.215	2.93773	0	0
41	1190.28	0.407542	9.0533	0.250276	0.000202209	0.00159344	978.194	10.1495	193.924	4.06474	0.0823272	3.01752	189.581	6.98427	0	76.5644	4.36336	5.63664	14.9164	80.8114	0.0108186	0.406295	0	1.28884	2.98339	0	0
42	1189.66	0.432306	9.61812	0.27103	0.000232353	0.00186837	974.456	10.3206	196.573	4.13831	0.0852381	3.20124	189.242	7.10337	0	73.6354	4.26816	5.73184	15.1172	80.4912	0.0127181	0.44029	0	1.36422	3.0274	0	0
43	1189.02	0.457646	10.1963	0.292716	0.000265729	0.0021795	970.806	10.4869	199.123	4.21008	0.0881221	3.3889	188.902	7.21866	0	70.8178	4.17345	5.82655	15.3104	80.1787	0.0148713	0.475786	0	1.44107	3.06986	0	0
44	1188.36	0.483537	10.7873	0.315329	0.000302535	0.00253	967.242	10.6485	201.575	4.28016	0.0909769	3.58031	188.559	7.33032	0	68.1103	4.07939	5.92061	15.4961	79.8737	0.0173007	0.512767	0	1.51931	3.11087	0	0
45	1187.7	0.509957	11.3905	0.33886	0.000342964	0.00292316	963.764	10.8053	203.929	4.34863	0.0938008	3.77523	188.215	7.43852	0	65.5112	3.98614	6.01386	15.6743	79.5763	0.0200293	0.551212	0	1.59885	3.15052	0	0
46	1187.01	0.536882	12.0053	0.3633	0.00038721	0.00336237	960.372	10.9573	206.188	4.41558	0.0965921	3.97347	187.869	7.54344	0	63.0189	3.89388	6.10612	15.8453	79.2862	0.023081	0.591097	0	1.67963	3.18891	0	0
47	1186.32	0.564287	12.6311	0.388638	0.000435462	0.00385111	957.063	11.1045	208.353	4.48109	0.0993495	4.17481	187.521	7.64523	0	60.6316	3.80275	6.19725	16.009	79.0033	0.0264802	0.632396	0	1.76157	3.22612	0	0
48	1185.61	0.592151	13.2673	0.414861	0.000487907	0.00439294	953.838	11.247	210.425	4.54526	0.102072	4.37904	187.172	7.74405	0	58.3473	3.71291	6.28709	16.1656	78.7276	0.0302515	0.675079	0	1.84459	3.26223	0	0
49	1184.89	0.620448	13.9133	0.441954	0.000544728	0.0049915	950.694	11.3847	212.407	4.60815	0.104758	4.58596	186.82	7.84007	0	56.1638	3.62452	6.37548	16.3153	78.4588	0.0344204	0.719116	0	1.92863	3.29732	0	0
50	1184.15	0.649157	14.5686	0.469904	0.000606101	0.00565047	947.631	11.5178	214.3	4.66985	0.107408	4.79536	186.468	7.93342	0	54.079	3.53772	6.46228	16.4582	78.1968	0.0390123	0.764471	0	2.01361	3.33147	0	0
51	1183.41	0.678255	15.2326	0.498693	0.000672199	0.00637359	944.646	11.6462	216.106	4.73042	0.110021	5.00704	186.114	8.02425	0	52.0903	3.45263	6.54737	16.5944	77.9414	0.0440529	0.81111	0	2.09946	3.36474	0	0
52	1182.65	0.707719	15.9047	0.528304	0.000743188	0.00716462	941.739	11.7701	217.828	4.78994	0.112596	5.22082	185.758	8.1127	0	50.1955	3.3694	6.6306	16.7241	77.6925	0.0495682	0.858996	0	2.18613	3.39719	0	0
53	1181.88	0.737529	16.5843	0.558718	0.000819228	0.00802737	938.908	11.8894	219.468	4.84846	0.115134	5.4365	185.401	8.19888	0	48.3918	3.28812	6.71188	16.8476	77.45	0.0555841	0.908089	0	2.27354	3.4289	0	0
54	1181.11	0.767662	17.2711	0.589918	0.000900472	0.00896565	936.151	12.0044	221.028	4.90605	0.117633	5.6539	185.043	8.28293	0	46.6766	3.20892	6.79108	16.9648	77.2136	0.0621265	0.95835	0	2.36164	3.45991	0	0
55	1180.32	0.798099	17.9643	0.621883	0.000987067	0.00998327	933.466	12.115	222.51	4.96277	0.120095	5.87285	184.683	8.36496	0	45.0472	3.13187	6.86813	17.0761	76.9832	0.069221	1.00974	0	2.45036	3.49027	0	0
56	1179.53	0.82882	18.6636	0.654593	0.00107915	0.011084	930.851	12.2214	223.917	5.01866	0.12252	6.09316	184.323	8.44507	0	43.5009	3.05707	6.94293	17.1816	76.7587	0.0768932	1.06221	0	2.53965	3.52005	0	0
57	1178.73	0.859805	19.3684	0.688028	0.00117686	0.0122718	928.305	12.3236	225.251	5.07379	0.124907	6.31467	183.961	8.52337	0	42.0347	2.98457	7.01543	17.2816	76.5397	0.0851683	1.11573	0	2.62946	3.54927	0	0
58	1177.92	0.891035	20.0783	0.722167	0.0012803	0.0135502	925.825	12.4219	226.515	5.1282	0.127258	6.53722	183.599	8.59995	0	40.6458	2.91445	7.08555	17.3761	76.3262	0.0940712	1.17024	0	2.71973	3.57798	0	0
59	1177.1	0.922493	20.7928	0.756988	0.00138962	0.0149231	923.409	12.5162	227.711	5.18193	0.129572	6.76067	183.235	8.6749	0	39.3314	2.84673	7.15327	17.4654	76.118	0.103626	1.22572	0	2.8104	3.60622	0	0
60	1176.28	0.954161	21.5115	0.792471	0.0015049	0.0163941	921.055	12.6067	228.842	5.23502	0.131851	6.98485	182.871	8.74831	0	38.0885	2.78146	7.21854	17.5496	75.9149	0.113858	1.28211	0	2.90144	3.63403	0	0
61	1175.45	0.986022	22.2339	0.828593	0.00162625	0.0179668	918.762	12.6936	229.91	5.28751	0.134096	7.20964	182.506	8.82025	0	36.9142	2.71864	7.28136	17.6291	75.7167	0.124789	1.33937	0	2.99279	3.66143	0	0
62	1174.62	1.01806	22.9598	0.865334	0.00175376	0.019645	916.527	12.7769	230.919	5.33943	0.136306	7.4349	182.14	8.89079	0	35.8056	2.6583	7.3417	17.7039	75.5232	0.136442	1.39745	0	3.08442	3.68846	0	0
63	1173.78	1.05026	23.6885	0.902673	0.00188753	0.0214319	914.348	12.8568	231.87	5.39083	0.138483	7.6605	181.774	8.96001	0	34.7599	2.60042	7.39958	17.7743	75.3343	0.14884	1.45633	0	3.17627	3.71513	0	0
64	1172.94	1.08261	24.4199	0.940588	0.00202763	0.0233312	912.223	12.9334	232.766	5.44172	0.140627	7.88632	181.408	9.02796	0	33.7743	2.54499	7.45501	17.8405	75.1497	0.162003	1.51595	0	3.26831	3.74148	0	0
65	1172.09	1.1151	25.1536	0.979058	0.00217413	0.0253462	910.149	13.0069	233.61	5.49214	0.14274	8.11225	181.041	9.09471	0	32.846	2.49198	7.50802	17.9026	74.9694	0.175953	1.57627	0	3.3605	3.76752	0	0
66	1171.23	1.1477	25.8893	1.01806	0.00232711	0.0274802	908.126	13.0773	234.403	5.5421	0.144822	8.33819	180.674	9.1603	0	31.9723	2.44138	7.55862	17.9608	74.7931	0.19071	1.63726	0	3.45281	3.79327	0	0
67	1170.38	1.18042	26.6265	1.05758	0.00248661	0.0297364	906.15	13.1448	235.149	5.59164	0.146875	8.56402	180.306	9.22479	0	31.1505	2.39312	7.60688	18.0154	74.6207	0.206293	1.69887	0	3.54519	3.81876	0	0
68	1169.52	1.21323	27.3651	1.09759	0.00265269	0.0321178	904.22	13.2096	235.85	5.64077	0.148899	8.78966	179.938	9.28821	0	30.378	2.34718	7.65282	18.0665	74.4519	0.22272	1.76107	0	3.63763	3.84398	0	0
69	1168.66	1.24613	28.1048	1.13808	0.0028254	0.0346276	902.334	13.2717	236.507	5.68952	0.150895	9.01501	179.571	9.35063	0	29.6524	2.30349	7.69651	18.1142	74.2868	0.240009	1.82381	0	3.73008	3.86896	0	0
70	1167.79	1.27911	28.8453	1.17903	0.00300478	0.0372688	900.489	13.3312	237.124	5.73789	0.152864	9.24	179.203	9.41206	0	28.9711	2.26199	7.73801	18.1588	74.125	0.258176	1.88706	0	3.82252	3.89371	0	0
71	1166.92	1.31215	29.5863	1.22041	0.00319087	0.040044	898.685	13.3884	237.702	5.7859	0.154807	9.46455	178.835	9.47255	0	28.3318	2.22263	7.77737	18.2004	73.9664	0.277237	1.95079	0	3.91492	3.91824	0	0
72	1166.05	1.34524	30.3277	1.26221	0.0033837	0.0429562	896.919	13.4432	238.243	5.83358	0.156725	9.68858	178.467	9.53213	0	27.7322	2.18533	7.81467	18.2392	73.811	0.297209	2.01496	0	4.00726	3.94255	0	0
73	1165.18	1.37839	31.0692	1.30441	0.00358329	0.046008	895.19	13.4959	238.75	5.88092	0.158619	9.91203	178.1	9.59082	0	27.1701	2.15002	7.84998	18.2753	73.6586	0.318103	2.07954	0	4.09951	3.96666	0	0
74	1164.3	1.41158	31.8107	1.347	0.00378967	0.049202	893.496	13.5465	239.224	5.92795	0.16049	10.1348	177.732	9.64866	0	26.6435	2.11663	7.88337	18.3088	73.5089	0.339936	2.14449	0	4.19165	3.99057	0	0
