Time	[ERK]	[ERK-PY]	[ERK-PT]	[ERK-PP]	[MEK]	[MKP3]	[ERK-PY_MEK]	[ERK-PT_MEK]	[ERK_MEK_Y]	[ERK_MEK_T]	[ERK-PP_MKP3]	[ERK-PY_MKP3]	[ERK-PT_MKP3_Y]	[ERK-PT_MKP3_T]	[ERK_MKP3_T]	[ERK_MKP3_Y]
57	279.538	210.825	30.5151	13.6285	8.62099	5.88591	44.6537	0.900547	5.80423	120.021	3.23269	8.40564	2.07462	1.1923	29.9545	49.2543
58	277.542	212.285	30.7332	13.9694	8.64869	5.88054	45.121	0.910047	5.78113	119.539	3.31231	8.45749	2.09338	1.19986	29.7863	49.2701
59	275.59	213.704	30.9473	14.3105	8.67602	5.87527	45.5794	0.919429	5.75845	119.067	3.3919	8.50767	2.11189	1.20727	29.6217	49.2843
60	273.682	215.082	31.1576	14.6517	8.703	5.87008	46.029	0.928696	5.73621	118.603	3.47144	8.55625	2.13018	1.21453	29.4608	49.2967
61	271.817	216.421	31.3642	14.993	8.72963	5.86499	46.4699	0.937853	5.71438	118.148	3.5509	8.60327	2.14824	1.22164	29.3034	49.3076
62	269.993	217.722	31.5674	15.3341	8.75591	5.85997	46.9023	0.946903	5.69296	117.702	3.63028	8.64876	2.16609	1.22862	29.1495	49.3168
63	268.209	218.986	31.7673	15.6752	8.78185	5.85503	47.3263	0.95585	5.67195	117.264	3.70955	8.69278	2.18373	1.23547	28.999	49.3245
64	266.464	220.213	31.9641	16.016	8.80746	5.85017	47.7421	0.964698	5.65134	116.834	3.78869	8.73536	2.20117	1.24219	28.8519	49.3305
65	264.758	221.406	32.1578	16.3565	8.83273	5.84538	48.1498	0.97345	5.63111	116.413	3.86769	8.77654	2.21842	1.2488	28.7081	49.3351
66	263.089	222.564	32.3487	16.6967	8.85769	5.84065	48.5495	0.982109	5.61127	115.999	3.94653	8.81637	2.23548	1.25529	28.5676	49.3381
