Time	[camR]	[ca]	[camR_ca1_A]	[camR_ca1_B]	[camR_ca1_C]	[camR_ca1_D]	[camR_ca2_AB]	[camR_ca2_AC]	[camR_ca2_AD]	[camR_ca2_BC]	[camR_ca2_BD]	[camR_ca2_CD]	[camR_ca3_ABC]	[camR_ca3_ABD]	[camR_ca3_ACD]	[camR_ca3_BCD]	[camR_ca4_ABCD]	[camT]	[camT_ca1_A]	[camT_ca1_B]	[camT_ca1_C]	[camT_ca1_D]	[camT_ca2_AB]	[camT_ca2_AC]	[camT_ca2_AD]	[camT_ca2_BC]	[camT_ca2_BD]	[camT_ca2_CD]	[camT_ca3_ABC]	[camT_ca3_ABD]	[camT_ca3_ACD]	[camT_ca3_BCD]	[camT_ca4_ABCD]	[CaMKII]	[camR_CaMKII]	[camR_ca1_A_CaMKII]	[camR_ca1_B_CaMKII]	[camR_ca1_C_CaMKII]	[camR_ca1_D_CaMKII]	[camR_ca2_AB_CaMKII]	[camR_ca2_AC_CaMKII]	[camR_ca2_AD_CaMKII]	[camR_ca2_BC_CaMKII]	[camR_ca2_BD_CaMKII]	[camR_ca2_CD_CaMKII]	[camR_ca3_ABC_CaMKII]	[camR_ca3_ABD_CaMKII]	[camR_ca3_ACD_CaMKII]	[camR_ca3_BCD_CaMKII]	[camR_ca4_ABCD_CaMKII]	[PP2B]	[camR_PP2B]	[camR_ca1_A_PP2B]	[camR_ca1_B_PP2B]	[camR_ca1_C_PP2B]	[camR_ca1_D_PP2B]	[camR_ca2_AB_PP2B]	[camR_ca2_AC_PP2B]	[camR_ca2_AD_PP2B]	[camR_ca2_BC_PP2B]	[camR_ca2_BD_PP2B]	[camR_ca2_CD_PP2B]	[camR_ca3_ABC_PP2B]	[camR_ca3_ABD_PP2B]	[camR_ca3_ACD_PP2B]	[camR_ca3_BCD_PP2B]	[camR_ca4_ABCD_PP2B]
17	5.00886e-17	9.42416e-06	3.58661e-18	1.78896e-15	1.71488e-18	2.04778e-15	2.95281e-14	2.9134e-17	3.38011e-14	1.44414e-14	1.47036e-11	1.65311e-14	1.40592e-14	1.66226e-11	1.60952e-14	7.94893e-12	9.00235e-12	1.03543e-12	4.64741e-15	2.31835e-12	2.22177e-15	2.65376e-12	9.69121e-15	9.62371e-18	1.10935e-14	4.75733e-15	4.7668e-12	5.44568e-15	1.81408e-17	2.13373e-14	2.07677e-17	1.02037e-14	4.57591e-17	6.99597e-05	3.28138e-14	3.70826e-14	1.8603e-11	1.77256e-14	2.12972e-11	2.12511e-11	2.01913e-14	2.43288e-11	1.01421e-11	1.22255e-08	1.16109e-11	1.15143e-11	1.38478e-08	1.31818e-11	6.62148e-09	7.50019e-09	1.44038e-06	1.31045e-13	1.48412e-13	7.43903e-11	7.09627e-14	8.5164e-11	8.43163e-11	8.04142e-14	9.65277e-11	4.03109e-11	4.83901e-08	4.61491e-11	4.56686e-11	5.4812e-08	5.22827e-11	2.6209e-08	2.96872e-08
18	4.65939e-17	9.42416e-06	3.33637e-18	1.66419e-15	1.59523e-18	1.90497e-15	2.74702e-14	2.71022e-17	3.14454e-14	1.34347e-14	1.36797e-11	1.53787e-14	1.30802e-14	1.54651e-11	1.49743e-14	7.3954e-12	8.37547e-12	9.63189e-13	4.32315e-15	2.15667e-12	2.06675e-15	2.46869e-12	9.01572e-15	8.95245e-18	1.03203e-14	4.42565e-15	4.43486e-12	5.06601e-15	1.68775e-17	1.98514e-14	1.93214e-17	9.49316e-15	4.25726e-17	6.99626e-05	3.04718e-14	3.44358e-14	1.72753e-11	1.64604e-14	1.97772e-11	1.97346e-11	1.87503e-14	2.25927e-11	9.41835e-12	1.13532e-08	1.07824e-11	1.06926e-11	1.28597e-08	1.22412e-11	6.14902e-09	6.96503e-09	1.43749e-06	1.3342e-13	1.51103e-13	7.57388e-11	7.22498e-14	8.67079e-11	8.584e-11	8.18696e-14	9.8272e-11	4.10399e-11	4.92637e-08	4.69836e-11	4.64937e-11	5.58015e-08	5.32273e-11	2.66821e-08	3.02231e-08
19	4.33682e-17	9.42416e-06	3.10539e-18	1.54903e-15	1.48479e-18	1.77314e-15	2.55705e-14	2.52267e-17	2.92708e-14	1.25054e-14	1.27345e-11	1.4315e-14	1.21764e-14	1.43966e-11	1.39397e-14	6.88443e-12	7.79678e-12	8.96507e-13	4.02386e-15	2.00742e-12	1.92367e-15	2.29785e-12	8.39219e-15	8.33284e-18	9.60656e-15	4.1195e-15	4.12844e-12	4.71556e-15	1.57113e-17	1.84799e-14	1.79863e-17	8.83725e-15	3.96312e-17	6.99652e-05	2.83116e-14	3.19945e-14	1.60506e-11	1.52934e-14	1.83751e-11	1.83359e-11	1.74212e-14	2.09914e-11	8.75075e-12	1.05485e-08	1.00181e-11	9.93477e-12	1.19483e-08	1.13736e-11	5.71322e-09	6.47139e-09	1.43484e-06	1.3561e-13	1.53585e-13	7.69827e-11	7.34369e-14	8.81319e-11	8.72454e-11	8.32121e-14	9.98809e-11	4.17123e-11	5.00694e-08	4.77534e-11	4.72548e-11	5.67142e-08	5.40986e-11	2.71185e-08	3.07174e-08
20	4.03902e-17	9.42415e-06	2.89215e-18	1.44271e-15	1.38283e-18	1.65144e-15	2.38165e-14	2.34952e-17	2.7263e-14	1.16475e-14	1.18617e-11	1.33329e-14	1.13417e-14	1.34098e-11	1.29842e-14	6.41256e-12	7.26238e-12	8.34947e-13	3.74756e-15	1.86964e-12	1.79158e-15	2.14014e-12	7.81647e-15	7.7608e-18	8.94753e-15	3.83683e-15	3.84546e-12	4.392e-15	1.46343e-17	1.72132e-14	1.67534e-17	8.23152e-15	3.69148e-17	6.99677e-05	2.63185e-14	2.9742e-14	1.49206e-11	1.42167e-14	1.70815e-11	1.70453e-11	1.61948e-14	1.95139e-11	8.13481e-12	9.80614e-09	9.31295e-12	9.23553e-12	1.11074e-08	1.05731e-11	5.31113e-09	6.01595e-09	1.43238e-06	1.37631e-13	1.55876e-13	7.81303e-11	7.45323e-14	8.94458e-11	8.85421e-11	8.44507e-14	1.01365e-10	4.23327e-11	5.08129e-08	4.84636e-11	4.79571e-11	5.75563e-08	5.49026e-11	2.75212e-08	3.11735e-08
21	3.76406e-17	9.42415e-06	2.69526e-18	1.34453e-15	1.28869e-18	1.53906e-15	2.21967e-14	2.18963e-17	2.54088e-14	1.08551e-14	1.10555e-11	1.24259e-14	1.05709e-14	1.24984e-11	1.21016e-14	5.97673e-12	6.76879e-12	7.78106e-13	3.49243e-15	1.74241e-12	1.66961e-15	1.9945e-12	7.2848e-15	7.23259e-18	8.33894e-15	3.5758e-15	3.5841e-12	4.09321e-15	1.36396e-17	1.60433e-14	1.56147e-17	7.67207e-15	3.44059e-17	6.99699e-05	2.44793e-14	2.76634e-14	1.38779e-11	1.32232e-14	1.58878e-11	1.58544e-11	1.50632e-14	1.81505e-11	7.56641e-12	9.12105e-09	8.66223e-12	8.59027e-12	1.03314e-08	9.83437e-12	4.94008e-09	5.59566e-09	1.43012e-06	1.39496e-13	1.5799e-13	7.91894e-11	7.5543e-14	9.06582e-11	8.97387e-11	8.55937e-14	1.02735e-10	4.29052e-11	5.14989e-08	4.9119e-11	4.86051e-11	5.83334e-08	5.56444e-11	2.78927e-08	3.15944e-08
22	3.51012e-17	9.42415e-06	2.51343e-18	1.25387e-15	1.20175e-18	1.43528e-15	2.0701e-14	2.04198e-17	2.36967e-14	1.01235e-14	1.03113e-11	1.15885e-14	9.85925e-15	1.16571e-11	1.1287e-14	5.57441e-12	6.31316e-12	7.25612e-13	3.25682e-15	1.62492e-12	1.55697e-15	1.86002e-12	6.79389e-15	6.74479e-18	7.777e-15	3.33478e-15	3.34284e-12	3.81731e-15	1.27214e-17	1.49634e-14	1.45635e-17	7.15563e-15	3.20899e-17	6.9972e-05	2.27817e-14	2.57449e-14	1.29155e-11	1.23061e-14	1.4786e-11	1.47552e-11	1.40187e-14	1.68921e-11	7.04179e-12	8.48873e-09	8.06163e-12	7.99469e-12	9.61516e-09	9.15254e-12	4.59761e-09	5.20773e-09	1.42803e-06	1.41217e-13	1.5994e-13	8.01669e-11	7.64759e-14	9.17773e-11	9.08432e-11	8.66487e-14	1.04e-10	4.34336e-11	5.21321e-08	4.9724e-11	4.92032e-11	5.90506e-08	5.63292e-11	2.82357e-08	3.19829e-08
23	3.27559e-17	9.42415e-06	2.34549e-18	1.17014e-15	1.12146e-18	1.33944e-15	1.93194e-14	1.9056e-17	2.21152e-14	9.44776e-15	9.6237e-12	1.08149e-14	9.20176e-15	1.08798e-11	1.05343e-14	5.20269e-12	5.89218e-12	6.7713e-13	3.03922e-15	1.51641e-12	1.45294e-15	1.73581e-12	6.34042e-15	6.29426e-18	7.25792e-15	3.11214e-15	3.11992e-12	3.56247e-15	1.1873e-17	1.39656e-14	1.35923e-17	6.67847e-15	2.995e-17	6.99739e-05	2.12146e-14	2.39739e-14	1.2027e-11	1.14595e-14	1.37688e-11	1.37404e-11	1.30545e-14	1.57304e-11	6.55748e-12	7.90499e-09	7.50718e-12	7.44489e-12	8.95397e-09	8.52311e-12	4.28145e-09	4.84962e-09	1.4261e-06	1.42806e-13	1.61741e-13	8.10693e-11	7.73372e-14	9.28103e-11	9.18627e-11	8.76226e-14	1.05167e-10	4.39214e-11	5.27167e-08	5.02824e-11	4.97554e-11	5.97127e-08	5.69613e-11	2.85523e-08	3.23415e-08
24	3.05895e-17	9.42415e-06	2.19036e-18	1.09279e-15	1.04729e-18	1.2509e-15	1.80432e-14	1.77962e-17	2.06543e-14	8.82349e-15	8.98849e-12	1.01003e-14	8.59436e-15	1.01617e-11	9.83892e-15	4.85929e-12	5.50327e-12	6.32346e-13	2.83821e-15	1.41617e-12	1.35685e-15	1.62107e-12	5.92152e-15	5.87808e-18	6.7784e-15	2.90648e-15	2.91399e-12	3.32705e-15	1.10892e-17	1.30438e-14	1.2695e-17	6.23767e-15	2.79732e-17	6.99757e-05	1.97677e-14	2.23386e-14	1.12067e-11	1.06779e-14	1.28297e-11	1.28035e-11	1.21642e-14	1.46578e-11	6.11032e-12	7.36603e-09	6.99525e-12	6.93725e-12	8.34348e-09	7.94195e-12	3.98954e-09	4.51897e-09	1.42432e-06	1.44273e-13	1.63404e-13	8.19024e-11	7.81323e-14	9.37641e-11	9.28041e-11	8.85218e-14	1.06245e-10	4.43718e-11	5.32564e-08	5.0798e-11	5.02652e-11	6.03241e-08	5.7545e-11	2.88446e-08	3.26726e-08
25	2.85881e-17	9.42415e-06	2.04705e-18	1.02133e-15	9.78764e-19	1.1691e-15	1.6864e-14	1.66323e-17	1.93045e-14	8.24675e-15	8.40161e-12	9.44013e-15	8.03318e-15	9.4982e-12	9.19648e-15	4.54203e-12	5.14395e-12	5.90973e-13	2.65251e-15	1.32357e-12	1.26807e-15	1.51507e-12	5.5345e-15	5.49359e-18	6.33539e-15	2.71648e-15	2.72373e-12	3.10956e-15	1.03651e-17	1.21921e-14	1.1866e-17	5.8304e-15	2.61468e-17	6.99773e-05	1.84315e-14	2.08286e-14	1.04492e-11	9.95608e-15	1.19625e-11	1.19383e-11	1.13421e-14	1.36673e-11	5.69739e-12	6.86832e-09	6.52252e-12	6.46847e-12	7.77973e-09	7.40528e-12	3.71997e-09	4.21363e-09	1.42268e-06	1.45627e-13	1.6494e-13	8.26718e-11	7.88666e-14	9.46449e-11	9.36735e-11	8.93522e-14	1.0724e-10	4.47877e-11	5.37548e-08	5.12742e-11	5.0736e-11	6.08886e-08	5.80839e-11	2.91146e-08	3.29784e-08
26	2.6739e-17	9.42415e-06	1.91465e-18	9.55308e-16	9.15455e-19	1.09353e-15	1.57745e-14	1.55569e-17	1.80574e-14	7.71387e-15	7.85932e-12	8.83014e-15	7.51464e-15	8.88515e-12	8.60285e-15	4.24886e-12	4.81194e-12	5.52748e-13	2.48094e-15	1.23801e-12	1.18605e-15	1.41713e-12	5.17692e-15	5.13834e-18	5.92606e-15	2.54093e-15	2.54793e-12	2.90861e-15	9.69601e-18	1.14052e-14	1.11001e-17	5.45409e-15	2.44592e-17	6.99789e-05	1.71975e-14	1.9434e-14	9.74959e-12	9.28944e-15	1.11616e-11	1.11392e-11	1.05828e-14	1.27525e-11	5.31601e-12	6.40865e-09	6.08591e-12	6.03552e-12	7.25906e-09	6.90963e-12	3.47101e-09	3.93163e-09	1.42116e-06	1.46879e-13	1.66358e-13	8.33824e-11	7.95448e-14	9.54584e-11	9.44763e-11	9.01191e-14	1.08159e-10	4.51718e-11	5.42152e-08	5.17139e-11	5.11708e-11	6.14101e-08	5.85817e-11	2.93639e-08	3.32608e-08
27	2.50303e-17	9.42415e-06	1.7923e-18	8.94301e-16	8.56955e-19	1.0237e-15	1.47677e-14	1.45632e-17	1.69049e-14	7.22144e-15	7.35819e-12	8.26647e-15	7.03545e-15	8.31862e-12	8.05427e-15	3.97795e-12	4.50513e-12	5.17426e-13	2.3224e-15	1.15895e-12	1.11026e-15	1.32664e-12	4.84648e-15	4.81008e-18	5.54781e-15	2.37871e-15	2.38546e-12	2.72292e-15	9.0777e-18	1.0678e-14	1.03922e-17	5.10633e-15	2.28996e-17	6.99803e-05	1.60576e-14	1.81458e-14	9.10335e-12	8.67367e-15	1.04218e-11	1.04011e-11	9.88142e-15	1.19075e-11	4.96374e-12	5.98405e-09	5.68262e-12	5.6356e-12	6.77812e-09	6.45179e-12	3.24104e-09	3.67114e-09	1.41976e-06	1.48034e-13	1.67668e-13	8.40387e-11	8.01712e-14	9.62099e-11	9.5218e-11	9.08275e-14	1.09008e-10	4.55266e-11	5.46404e-08	5.21201e-11	5.15724e-11	6.18917e-08	5.90415e-11	2.95942e-08	3.35216e-08
28	2.34513e-17	9.42415e-06	1.67923e-18	8.37924e-16	8.02894e-19	9.59163e-16	1.38373e-14	1.36449e-17	1.58398e-14	6.76638e-15	6.89506e-12	7.74556e-15	6.5926e-15	7.79505e-12	7.54729e-15	3.72758e-12	4.22158e-12	4.84784e-13	2.1759e-15	1.08589e-12	1.04022e-15	1.24301e-12	4.5411e-15	4.50672e-18	5.19825e-15	2.2288e-15	2.23532e-12	2.55132e-15	8.50627e-18	1.00059e-14	9.73805e-18	4.78494e-15	2.14583e-17	6.99816e-05	1.50046e-14	1.69557e-14	8.50635e-12	8.10481e-15	9.7383e-12	9.71924e-12	9.23351e-15	1.11268e-11	4.6383e-12	5.5918e-09	5.31005e-12	5.26616e-12	6.33381e-09	6.02884e-12	3.02859e-09	3.4305e-09	1.41846e-06	1.49102e-13	1.68878e-13	8.46451e-11	8.07499e-14	9.6904e-11	9.59031e-11	9.14819e-14	1.09793e-10	4.58544e-11	5.50332e-08	5.24954e-11	5.19434e-11	6.23366e-08	5.94663e-11	2.98069e-08	3.37626e-08
29	2.1992e-17	9.42415e-06	1.57474e-18	7.8582e-16	7.52933e-19	8.99522e-16	1.29774e-14	1.27961e-17	1.48555e-14	6.3458e-15	6.46701e-12	7.26412e-15	6.18329e-15	7.31114e-12	7.07871e-15	3.49618e-12	3.9595e-12	4.54618e-13	2.0405e-15	1.01837e-12	9.75491e-16	1.16572e-12	4.25887e-15	4.22636e-18	4.87518e-15	2.09025e-15	2.09655e-12	2.39272e-15	7.97813e-18	9.38477e-15	9.13343e-18	4.48789e-15	2.01262e-17	6.99828e-05	1.40317e-14	1.58562e-14	7.95479e-12	7.57925e-15	9.10685e-12	9.08926e-12	8.63489e-15	1.04056e-11	4.33763e-12	5.22939e-09	4.96583e-12	4.92482e-12	5.92332e-09	5.63807e-12	2.83231e-09	3.20817e-09	1.41727e-06	1.50088e-13	1.69996e-13	8.52053e-11	8.12846e-14	9.75454e-11	9.65361e-11	9.20866e-14	1.10517e-10	4.61573e-11	5.53961e-08	5.28421e-11	5.22862e-11	6.27477e-08	5.98587e-11	3.00035e-08	3.39853e-08
30	2.06432e-17	9.42415e-06	1.47816e-18	7.37662e-16	7.06754e-19	8.44397e-16	1.21826e-14	1.20117e-17	1.39457e-14	5.95706e-15	6.07135e-12	6.81914e-15	5.80496e-15	6.86385e-12	6.64559e-15	3.28228e-12	3.71727e-12	4.26735e-13	1.91535e-15	9.55958e-13	9.15663e-16	1.09428e-12	3.99801e-15	3.96722e-18	4.57657e-15	1.96219e-15	1.96828e-12	2.24613e-15	7.48995e-18	8.81062e-15	8.57456e-18	4.21332e-15	1.88949e-17	6.99839e-05	1.31328e-14	1.48403e-14	7.44514e-12	7.09362e-15	8.52339e-12	8.50715e-12	8.08177e-15	9.73921e-12	4.05981e-12	4.89453e-09	4.64778e-12	4.60942e-12	5.54402e-09	5.27699e-12	2.65094e-09	3.00273e-09	1.41616e-06	1.51e-13	1.71029e-13	8.57229e-11	8.17786e-14	9.8138e-11	9.7121e-11	9.26453e-14	1.11187e-10	4.64371e-11	5.57314e-08	5.31625e-11	5.2603e-11	6.31275e-08	6.02214e-11	3.01851e-08	3.4191e-08
31	1.93964e-17	9.42415e-06	1.38888e-18	6.93148e-16	6.6407e-19	7.93444e-16	1.14479e-14	1.12866e-17	1.31046e-14	5.59773e-15	5.70561e-12	6.40781e-15	5.45523e-15	6.45038e-12	6.24521e-15	3.08456e-12	3.49334e-12	4.00963e-13	1.79968e-15	8.9827e-13	8.60362e-16	1.02825e-12	3.75687e-15	3.72769e-18	4.30055e-15	1.84381e-15	1.84971e-12	2.11063e-15	7.03869e-18	8.27988e-15	8.05795e-18	3.95952e-15	1.77567e-17	6.99849e-05	1.23021e-14	1.39015e-14	6.97417e-12	6.64486e-15	7.98422e-12	7.96922e-12	7.57063e-15	9.12337e-12	3.80307e-12	4.58508e-09	4.35386e-12	4.31796e-12	5.19351e-09	4.94332e-12	2.48334e-09	2.81289e-09	1.41514e-06	1.51842e-13	1.71984e-13	8.62013e-11	8.22352e-14	9.86856e-11	9.76615e-11	9.31615e-14	1.11806e-10	4.66957e-11	5.60413e-08	5.34585e-11	5.28957e-11	6.34785e-08	6.05565e-11	3.0353e-08	3.43811e-08
32	1.82439e-17	9.42415e-06	1.30636e-18	6.51999e-16	6.24613e-19	7.46342e-16	1.07687e-14	1.06163e-17	1.23272e-14	5.26555e-15	5.3675e-12	6.02758e-15	5.13192e-15	6.06815e-12	5.87509e-15	2.90178e-12	3.28634e-12	3.77139e-13	1.69274e-15	8.44944e-13	8.09242e-16	9.67206e-13	3.53396e-15	3.50627e-18	4.04538e-15	1.73439e-15	1.7401e-12	1.98537e-15	6.62152e-18	7.78924e-15	7.58038e-18	3.72489e-15	1.67045e-17	6.99858e-05	1.15343e-14	1.30338e-14	6.53892e-12	6.23012e-15	7.48593e-12	7.47208e-12	7.09825e-15	8.55423e-12	3.5658e-12	4.29909e-09	4.08223e-12	4.0486e-12	4.86957e-09	4.63495e-12	2.32844e-09	2.63744e-09	1.41419e-06	1.52621e-13	1.72866e-13	8.66434e-11	8.26571e-14	9.91917e-11	9.8161e-11	9.36387e-14	1.12377e-10	4.69347e-11	5.63277e-08	5.37321e-11	5.31662e-11	6.38029e-08	6.08661e-11	3.05081e-08	3.45568e-08
33	1.71785e-17	9.42415e-06	1.23007e-18	6.13959e-16	5.88137e-19	7.02798e-16	1.01408e-14	9.99659e-18	1.16084e-14	4.95847e-15	5.05492e-12	5.67606e-15	4.83303e-15	5.71477e-12	5.53291e-15	2.7328e-12	3.09496e-12	3.55114e-13	1.59389e-15	7.95647e-13	7.61983e-16	9.10776e-13	3.32789e-15	3.30157e-18	3.80949e-15	1.63323e-15	1.63876e-12	1.86958e-15	6.23585e-18	7.33564e-15	7.13886e-18	3.50797e-15	1.57317e-17	6.99867e-05	1.08248e-14	1.22319e-14	6.13663e-12	5.8468e-15	7.02538e-12	7.0126e-12	6.66165e-15	8.02821e-12	3.34651e-12	4.03477e-09	3.83117e-12	3.79965e-12	4.57018e-09	4.34994e-12	2.18528e-09	2.47528e-09	1.41332e-06	1.5334e-13	1.73681e-13	8.70519e-11	8.30471e-14	9.96595e-11	9.86227e-11	9.40797e-14	1.12906e-10	4.71555e-11	5.65924e-08	5.3985e-11	5.34162e-11	6.41028e-08	6.11524e-11	3.06514e-08	3.47192e-08
34	1.61935e-17	9.42415e-06	1.15954e-18	5.7879e-16	5.54414e-19	6.62542e-16	9.5603e-15	9.42368e-18	1.09439e-14	4.67456e-15	4.76592e-12	5.35107e-15	4.55668e-15	5.38806e-12	5.21655e-15	2.57656e-12	2.91802e-12	3.34753e-13	1.5025e-15	7.5007e-13	7.18292e-16	8.58607e-13	3.13736e-15	3.11233e-18	3.5914e-15	1.5397e-15	1.54507e-12	1.76252e-15	5.87928e-18	6.91626e-15	6.73065e-18	3.30742e-15	1.48324e-17	6.99875e-05	1.01689e-14	1.14907e-14	5.7648e-12	5.49249e-15	6.5997e-12	6.58789e-12	6.25809e-15	7.54199e-12	3.14381e-12	3.79045e-09	3.59912e-12	3.56953e-12	4.29344e-09	4.0865e-12	2.05296e-09	2.3254e-09	1.41251e-06	1.54005e-13	1.74435e-13	8.74296e-11	8.34075e-14	1.00092e-10	9.90494e-11	9.44873e-14	1.13394e-10	4.73597e-11	5.68371e-08	5.42187e-11	5.36473e-11	6.43799e-08	6.14169e-11	3.0784e-08	3.48693e-08
35	1.52829e-17	9.42415e-06	1.09434e-18	5.46274e-16	5.23236e-19	6.25323e-16	9.02358e-15	8.894e-18	1.03296e-14	4.41206e-15	4.49872e-12	5.05059e-15	4.30118e-15	5.08599e-12	4.92405e-15	2.43211e-12	2.75443e-12	3.15927e-13	1.41801e-15	7.07933e-13	6.77898e-16	8.10373e-13	2.96121e-15	2.93736e-18	3.38976e-15	1.45323e-15	1.45845e-12	1.66354e-15	5.5496e-18	6.52852e-15	6.35323e-18	3.122e-15	1.40008e-17	6.99882e-05	9.56262e-15	1.08055e-14	5.42108e-12	5.16498e-15	6.2062e-12	6.1953e-12	5.88506e-15	7.09255e-12	2.95644e-12	3.56461e-09	3.38461e-12	3.35682e-12	4.03763e-09	3.84298e-12	1.93064e-09	2.18684e-09	1.41177e-06	1.5462e-13	1.75132e-13	8.77787e-11	8.37407e-14	1.00491e-10	9.94439e-11	9.48641e-14	1.13846e-10	4.75484e-11	5.70632e-08	5.44347e-11	5.3861e-11	6.46361e-08	6.16615e-11	3.09064e-08	3.5008e-08
36	1.44409e-17	9.42415e-06	1.03404e-18	5.16211e-16	4.94409e-19	5.9091e-16	8.52732e-15	8.40425e-18	9.76148e-15	4.16936e-15	4.25166e-12	4.77277e-15	4.06493e-15	4.80669e-12	4.65359e-15	2.29855e-12	2.60316e-12	2.98522e-13	1.33988e-15	6.68972e-13	6.4055e-16	7.65777e-13	2.79834e-15	2.77558e-18	3.20332e-15	1.37328e-15	1.37835e-12	1.57202e-15	5.24476e-18	6.16999e-15	6.00426e-18	2.95055e-15	1.32319e-17	6.99889e-05	9.00217e-15	1.01721e-14	5.10334e-12	4.86222e-15	5.84244e-12	5.83238e-12	5.54021e-15	6.67706e-12	2.78323e-12	3.35584e-09	3.18632e-12	3.16019e-12	3.80115e-09	3.61787e-12	1.81756e-09	2.05876e-09	1.41108e-06	1.55188e-13	1.75776e-13	8.81014e-11	8.40487e-14	1.00861e-10	9.98085e-11	9.52124e-14	1.14264e-10	4.77229e-11	5.72723e-08	5.46345e-11	5.40584e-11	6.48729e-08	6.18876e-11	3.10197e-08	3.51363e-08
37	1.36623e-17	9.42415e-06	9.78297e-19	4.88413e-16	4.67754e-19	5.5909e-16	8.06845e-15	7.9514e-18	9.23621e-15	3.94494e-15	4.0232e-12	4.51588e-15	3.84648e-15	4.54842e-12	4.40351e-15	2.17505e-12	2.46329e-12	2.82427e-13	1.26765e-15	6.32948e-13	6.06016e-16	7.24541e-13	2.64774e-15	2.62599e-18	3.03093e-15	1.29935e-15	1.30429e-12	1.4874e-15	4.96289e-18	5.83847e-15	5.68157e-18	2.79201e-15	1.2521e-17	6.99896e-05	8.48404e-15	9.58659e-15	4.80959e-12	4.58232e-15	5.50615e-12	5.49686e-12	5.2214e-15	6.29295e-12	2.6231e-12	3.16282e-09	3.00299e-12	2.9784e-12	3.58252e-09	3.40975e-12	1.71303e-09	1.94035e-09	1.41044e-06	1.55713e-13	1.76371e-13	8.83998e-11	8.43334e-14	1.01203e-10	1.00146e-10	9.55344e-14	1.1465e-10	4.78842e-11	5.74656e-08	5.48191e-11	5.4241e-11	6.50918e-08	6.20966e-11	3.11244e-08	3.52549e-08
38	1.29424e-17	9.42415e-06	9.26748e-19	4.62708e-16	4.43107e-19	5.29667e-16	7.64412e-15	7.53265e-18	8.75048e-15	3.73742e-15	3.81194e-12	4.27834e-15	3.64447e-15	4.30959e-12	4.17224e-15	2.06084e-12	2.33395e-12	2.67545e-13	1.20085e-15	5.99636e-13	5.74083e-16	6.8641e-13	2.50847e-15	2.48767e-18	2.87152e-15	1.23099e-15	1.2358e-12	1.40914e-15	4.70223e-18	5.5319e-15	5.38316e-18	2.64541e-15	1.18635e-17	6.99902e-05	8.00499e-15	9.04521e-15	4.53801e-12	4.32354e-15	5.19523e-12	5.18665e-12	4.92665e-15	5.93782e-12	2.47505e-12	2.98437e-09	2.8335e-12	2.81032e-12	3.38039e-09	3.21733e-12	1.61638e-09	1.83088e-09	1.40985e-06	1.56199e-13	1.76922e-13	8.86756e-11	8.45967e-14	1.01518e-10	1.00457e-10	9.58321e-14	1.15006e-10	4.80333e-11	5.76443e-08	5.49898e-11	5.44098e-11	6.52942e-08	6.22899e-11	3.12212e-08	3.53645e-08
39	1.22767e-17	9.42415e-06	8.79078e-19	4.38938e-16	4.20314e-19	5.02458e-16	7.25174e-15	7.14541e-18	8.30132e-15	3.54552e-15	3.61659e-12	4.05867e-15	3.45767e-15	4.08874e-12	3.95839e-15	1.95523e-12	2.21435e-12	2.53783e-13	1.13908e-15	5.68832e-13	5.44553e-16	6.51149e-13	2.37969e-15	2.35976e-18	2.72411e-15	1.16778e-15	1.17246e-12	1.33678e-15	4.4612e-18	5.24841e-15	5.10723e-18	2.50984e-15	1.12556e-17	6.99907e-05	7.56207e-15	8.54465e-15	4.2869e-12	4.08427e-15	4.90775e-12	4.89983e-12	4.65412e-15	5.60946e-12	2.33816e-12	2.81938e-09	2.67679e-12	2.65492e-12	3.1935e-09	3.03942e-12	1.52701e-09	1.72965e-09	1.4093e-06	1.56648e-13	1.77431e-13	8.89307e-11	8.48401e-14	1.0181e-10	1.00746e-10	9.61074e-14	1.15336e-10	4.81712e-11	5.78095e-08	5.51477e-11	5.45659e-11	6.54814e-08	6.24685e-11	3.13106e-08	3.54659e-08
40	1.1661e-17	9.42415e-06	8.34994e-19	4.16956e-16	3.99237e-19	4.77297e-16	6.88887e-15	6.78731e-18	7.88594e-15	3.36806e-15	3.43592e-12	3.85553e-15	3.28492e-15	3.8845e-12	3.76062e-15	1.85756e-12	2.10374e-12	2.41056e-13	1.08196e-15	5.40345e-13	5.17244e-16	6.18542e-13	2.2606e-15	2.24147e-18	2.58778e-15	1.10932e-15	1.11389e-12	1.26987e-15	4.23829e-18	4.98625e-15	4.85204e-18	2.38447e-15	1.06933e-17	6.99912e-05	7.15252e-15	8.08181e-15	4.05471e-12	3.86303e-15	4.64194e-12	4.63463e-12	4.40212e-15	5.30585e-12	2.21159e-12	2.66682e-09	2.53188e-12	2.51123e-12	3.0207e-09	2.87492e-12	1.44438e-09	1.63606e-09	1.4088e-06	1.57063e-13	1.77902e-13	8.91665e-11	8.50652e-14	1.0208e-10	1.01012e-10	9.63619e-14	1.15641e-10	4.82987e-11	5.79623e-08	5.52936e-11	5.47102e-11	6.56545e-08	6.26337e-11	3.13934e-08	3.55596e-08
