Time	[Vdrum]	[Vdcyc]	[sa4_degraded]	[Srw1]	[Slp1A]	[Puc1]	[IE]	[iIE]	[rum1+]	[cig2+]	[Cdc13]	[cdc13+]	[pCdc13]	[sa161_degraded]	[Cig2p]	[Pyp3]	[iSrw1]	[iSlp1]	[Cig2]	[iCdc10]	[Cdc10]	[Mik1]	[mik1+]	[sa347_degraded]	[Cig1]	[cig1+]	[sa353_degraded]	[Clp1+]	[iWee1]	[Wee1]	[Clp1]	[iCdc25]	[Cdc25]	[Cdc18T]	[cdc18+]	[sa386_degraded]	[preRC]	[postRC]	[repldna]	[irepldna]	[sa370_degraded]	[sa44_degraded]	[Vdc18]	[Cdc13p-Rum1]	[Cig2-Rum1]	[Cig2p-Rum1]	[UDNA]	[Cdc13-Rum1]	[Rum1]
42	0	0	0	0.00117083	0.000222024	0	0.00439274	0	0	0	0.12002	0	0.769623	0	0.0712547	0	0	0	0.154808	0	0.00352746	0.0684894	0	0	0.014616	0	0	0	0	0.966887	0.014802	0	0.0247979	0.0271538	0	0	0	7.53027e-05	0.997863	0	0	0	0	0.0510088	0.000485198	0.000223529	0	0.0079383	0.0150292
43	0	0	0	0.00117748	0.000227345	0	0.00449579	0	0	0	0.122103	0	0.779016	0	0.0703769	0	0	0	0.153291	0	0.0035738	0.0683546	0	0	0.0146336	0	0	0	0	0.965851	0.014824	0	0.0255799	0.0267724	0	0	0	7.66867e-05	0.997798	0	0	0	0	0.0506565	0.000467973	0.000215044	0	0.00792385	0.014761
44	0	0	0	0.00118405	0.00023291	0	0.00460346	0	0	0	0.124254	0	0.788122	0	0.0695118	0	0	0	0.15181	0	0.00362026	0.0682033	0	0	0.0146492	0	0	0	0	0.964752	0.0148441	0	0.0264088	0.0264794	0	0	0	7.81475e-05	0.997737	0	0	0	0	0.0502897	0.000451461	0.000206906	0	0.00791282	0.0145004
45	0	0	0	0.00119051	0.000238751	0	0.00471638	0	0	0	0.126482	0	0.796938	0	0.0686568	0	0	0	0.150366	0	0.00366674	0.0680336	0	0	0.0146628	0	0	0	0	0.963583	0.0148623	0	0.0272918	0.0262561	0	0	0	7.96442e-05	0.997681	0	0	0	0	0.0499073	0.000435606	0.000199078	0	0.00790533	0.0142467
46	0	0	0	0.00119688	0.00024491	0	0.00483532	0	0	0	0.128801	0	0.805456	0	0.0678094	0	0	0	0.148961	0	0.00371315	0.0678432	0	0	0.0146747	0	0	0	0	0.962333	0.0148788	0	0.028237	0.0260875	0	0	0	8.11408e-05	0.997631	0	0	0	0	0.0495074	0.000420354	0.000191527	0	0.00790156	0.0139989
47	0	0	0	0.00120312	0.000251435	0	0.00496122	0	0	0	0.131224	0	0.813667	0	0.0669672	0	0	0	0.147596	0	0.00375937	0.06763	0	0	0.0146849	0	0	0	0	0.960988	0.0148939	0	0.0292548	0.0259611	0	0	0	8.26056e-05	0.997587	0	0	0	0	0.0490881	0.000405652	0.000184221	0	0.00790175	0.0137564
48	0	0	0	0.00120923	0.000258386	0	0.00509521	0	0	0	0.133769	0	0.821561	0	0.066128	0	0	0	0.146272	0	0.00380531	0.0673911	0	0	0.0146937	0	0	0	0	0.959532	0.0149076	0	0.0303579	0.0258669	0	0	0	8.40106e-05	0.997549	0	0	0	0	0.0486469	0.000391446	0.000177131	0	0.00790619	0.0135181
49	0	0	0	0.00121519	0.000265839	0	0.00523872	0	0	0	0.136457	0	0.829122	0	0.0652893	0	0	0	0.144991	0	0.00385085	0.067123	0	0	0.0147011	0	0	0	0	0.957945	0.0149202	0	0.0315626	0.0257963	0	0	0	8.53312e-05	0.997517	0	0	0	0	0.0481807	0.000377679	0.000170225	0	0.00791526	0.0132833
50	0	0	0	0.001221	0.000273888	0	0.00539354	0	0	0	0.139317	0	0.836328	0	0.0644483	0	0	0	0.143755	0	0.00389584	0.0668218	0	0	0.0147073	0	0	0	0	0.9562	0.0149316	0	0.0328893	0.0257422	0	0	0	8.65457e-05	0.997493	0	0	0	0	0.0476855	0.000364295	0.000163471	0	0.00792946	0.0130508
51	0	0	0	0.00122663	0.000282654	0	0.00556195	0	0	0	0.142383	0	0.843154	0	0.063602	0	0	0	0.142566	0	0.00394013	0.0664823	0	0	0.0147122	0	0	0	0	0.954265	0.0149421	0	0.0343652	0.0256984	0	0	0	8.76348e-05	0.997475	0	0	0	0	0.0471562	0.00035123	0.000156836	0	0.00794945	0.0128194
