Time	[EGF]	[NGF]	[freeEGFReceptor]	[boundEGFReceptor]	[freeNGFReceptor]	[boundNGFReceptor]	[SosInactive]	[SosActive]	[P90RskInactive]	[P90RskActive]	[RasInactive]	[RasActive]	[RasGapActive]	[Raf1Inactive]	[Raf1Active]	[BRafInactive]	[BRafActive]	[MekInactive]	[MekActive]	[ErkInactive]	[ErkActive]	[PI3KInactive]	[PI3KActive]	[AktInactive]	[AktActive]	[C3GInactive]	[C3GActive]	[Rap1Inactive]	[Rap1Active]	[RapGapActive]	[PP2AActive]	[Raf1PPtase]
18	9.922e+06	449594	4.46502	79995.5	3593.57	6406.43	42682.8	77317.2	98376.8	21623.2	105107	14892.6	120000	119138	862.224	119316	684.106	442603	157397	94693.6	505306	-5.1821e-16	120000	102533	17467	7.97893e-27	120000	105545	14455.4	120000	120000	120000
19	9.922e+06	449423	4.46502	79995.5	3422.68	6577.32	44690.9	75309.1	97152.8	22847.2	105485	14515.1	120000	119186	814.475	119316	684.106	444906	155094	96083	503917	1.59028e-16	120000	101616	18384.5	-3.96833e-27	120000	105545	14455.4	120000	120000	120000
20	9.922e+06	449263	4.46502	79995.5	3263.32	6736.68	46587.6	73412.4	95945.5	24054.5	105842	14158.1	120000	119228	771.624	119316	684.106	446946	153054	97346.5	502653	-1.04156e-18	120000	100705	19294.8	-3.69381e-28	120000	105545	14455.4	120000	120000	120000
21	9.922e+06	449115	4.46502	79995.5	3114.7	6885.3	48382.8	71617.2	94754.4	25245.6	106180	13819.8	120000	119267	732.94	119316	684.106	448763	151237	98497.7	501502	5.01251e-19	120000	99801.9	20198.1	-5.59096e-30	120000	105545	14455.4	120000	120000	120000
22	9.922e+06	448976	4.46502	79995.5	2976.09	7023.91	50085	69915	93579.1	26420.9	106501	13498.5	120000	119302	697.834	119316	684.106	450389	149611	99549.1	500451	-2.18016e-18	120000	98905.7	21094.3	-9.22153e-29	120000	105545	14455.4	120000	120000	120000
23	9.922e+06	448847	4.46502	79995.5	2846.81	7153.19	51701.9	68298.1	92419	27581	106807	13193	120000	119334	665.827	119316	684.106	451852	148148	100512	499488	9.29066e-19	120000	98016.4	21983.6	1.1131e-28	120000	105545	14455.4	120000	120000	120000
24	9.922e+06	448726	4.46502	79995.5	2726.23	7273.77	53240	66760	91274	28726	107098	12902.1	120000	119363	636.521	119316	684.106	453176	146824	101397	498603	-1.98867e-19	120000	97134.1	22865.9	5.89646e-30	120000	105545	14455.4	120000	120000	120000
25	9.922e+06	448614	4.46502	79995.5	2613.77	7386.23	54705.2	65294.8	90143.5	29856.5	107375	12624.6	120000	119390	609.588	119316	684.106	454378	145622	102212	497788	6.46135e-20	120000	96258.8	23741.2	1.34675e-29	120000	105545	14455.4	120000	120000	120000
26	9.922e+06	448509	4.46502	79995.5	2508.86	7491.14	56102.7	63897.3	89027.3	30972.7	107640	12359.8	120000	119415	584.751	119316	684.106	455475	144525	102966	497034	1.50729e-19	120000	95390.3	24609.7	8.03926e-29	120000	105545	14455.4	120000	120000	120000
27	9.922e+06	448411	4.46502	79995.5	2411.01	7588.99	57437.2	62562.8	87925.1	32074.9	107893	12106.6	120000	119438	561.776	119316	684.106	456481	143519	103665	496335	-1.08431e-21	120000	94528.7	25471.3	-4.4961e-29	120000	105545	14455.4	120000	120000	120000
28	9.922e+06	448320	4.46502	79995.5	2319.73	7680.27	58712.8	61287.2	86836.6	33163.4	108136	11864.3	120000	119460	540.462	119316	684.106	457406	142594	104315	495685	-6.37717e-21	120000	93673.9	26326.1	-5.26561e-30	120000	105545	14455.4	120000	120000	120000
29	9.922e+06	448235	4.46502	79995.5	2234.58	7765.42	59933.3	60066.7	85761.6	34238.4	108368	11632.4	120000	119479	520.638	119316	684.106	458260	141740	104921	495079	9.34964e-21	120000	92825.8	27174.2	-1.2963e-30	120000	105545	14455.4	120000	120000	120000
30	9.922e+06	448155	4.46502	79995.5	2155.14	7844.86	61102	58898	84699.9	35300.1	108590	11410.1	120000	119498	502.157	119316	684.106	459050	140950	105487	494513	-4.04024e-21	120000	91984.5	28015.5	2.74619e-30	120000	105545	14455.4	120000	120000	120000
31	9.922e+06	448081	4.46502	79995.5	2081.04	7918.96	62222.2	57777.8	83651.1	36348.9	108803	11196.8	120000	119515	484.889	119316	684.106	459784	140216	106017	493983	-2.11612e-21	120000	91149.9	28850.1	6.79286e-30	120000	105545	14455.4	120000	120000	120000
32	9.922e+06	448012	4.46502	79995.5	2011.91	7988.09	63296.6	56703.4	82615.1	37384.9	109008	10992.1	120000	119531	468.72	119316	684.106	460467	139533	106515	493485	2.1761e-21	120000	90321.9	29678.1	-1.73925e-29	120000	105545	14455.4	120000	120000	120000
33	9.922e+06	447947	4.46502	79995.5	1947.42	8052.58	64327.7	55672.3	81591.7	38408.3	109204	10795.6	120000	119546	453.554	119316	684.106	461104	138896	106982	493018	-2.9243e-22	120000	89500.6	30499.4	1.31599e-30	120000	105545	14455.4	120000	120000	120000
34	9.922e+06	447887	4.46502	79995.5	1887.25	8112.75	65318.2	54681.8	80580.7	39419.3	109393	10606.6	120000	119561	439.302	119316	684.106	461700	138300	107423	492577	1.26153e-22	120000	88685.8	31314.2	-2.13191e-31	120000	105545	14455.4	120000	120000	120000
35	9.922e+06	447831	4.46502	79995.5	1831.12	8168.88	66270	53730	79581.9	40418.1	109575	10424.9	120000	119574	425.887	119316	684.106	462259	137741	107838	492162	-1.16823e-22	120000	87877.6	32122.4	1.17429e-31	120000	105545	14455.4	120000	120000	120000
36	9.922e+06	447779	4.46502	79995.5	1778.75	8221.25	67185.3	52814.7	78595.2	41404.8	109750	10250.1	120000	119587	413.24	119316	684.106	462784	137216	108231	491769	-6.89367e-23	120000	87075.8	32924.2	2.05288e-32	120000	105545	14455.4	120000	120000	120000
37	9.922e+06	447730	4.46502	79995.5	1729.89	8270.11	68066	51934	77620.3	42379.7	109918	10081.8	120000	119599	401.3	119316	684.106	463277	136723	108602	491398	3.81363e-23	120000	86280.5	33719.5	-3.17062e-33	120000	105545	14455.4	120000	120000	120000
38	9.922e+06	447684	4.46502	79995.5	1684.3	8315.7	68913.8	51086.2	76657.1	43342.9	110080	9919.67	120000	119610	390.012	119316	684.106	463742	136258	108954	491046	-1.98099e-23	120000	85491.7	34508.3	-9.29437e-34	120000	105545	14455.4	120000	120000	120000
39	9.922e+06	447642	4.46502	79995.5	1641.77	8358.23	69730.4	50269.6	75705.4	44294.6	110237	9763.43	120000	119621	379.326	119316	684.106	464180	135820	109288	490712	-2.88541e-23	120000	84709.2	35290.8	3.00357e-34	120000	105545	14455.4	120000	120000	120000
40	9.922e+06	447602	4.46502	79995.5	1602.08	8397.92	70517.2	49482.8	74765.1	45234.9	110387	9612.8	120000	119631	369.198	119316	684.106	464595	135405	109605	490395	2.28624e-24	120000	83933.1	36066.9	-3.38562e-34	120000	105545	14455.4	120000	120000	120000
41	9.922e+06	447565	4.46502	79995.5	1565.06	8434.94	71275.9	48724.1	73836	46164	110532	9467.51	120000	119640	359.588	119316	684.106	464987	135013	109906	490094	7.50876e-24	120000	83163.3	36836.7	4.0316e-35	120000	105545	14455.4	120000	120000	120000
42	9.922e+06	447531	4.46502	79995.5	1530.51	8469.49	72007.5	47992.5	72918.1	47081.9	110673	9327.31	120000	119650	350.459	119316	684.106	465359	134641	110193	489807	-2.03685e-24	120000	82399.8	37600.2	-8.39494e-35	120000	105545	14455.4	120000	120000	120000
43	9.922e+06	447498	4.46502	79995.5	1498.28	8501.72	72713.6	47286.4	72011	47989	110808	9191.96	120000	119658	341.778	119316	684.106	465711	134289	110466	489534	-3.87731e-24	120000	81642.4	38357.6	7.45857e-35	120000	105545	14455.4	120000	120000	120000
44	9.922e+06	447468	4.46502	79995.5	1468.2	8531.8	73395.1	46604.9	71114.8	48885.2	110939	9061.25	120000	119666	333.514	119316	684.106	466046	133954	110726	489274	-7.50366e-24	120000	80891.3	39108.7	-3.61667e-34	120000	105545	14455.4	120000	120000	120000
45	9.922e+06	447440	4.46502	79995.5	1440.14	8559.86	74053.3	45946.7	70229.2	49770.8	111065	8934.97	120000	119674	325.641	119316	684.106	466364	133636	110975	489025	6.63242e-24	120000	80146.4	39853.6	3.68526e-34	120000	105545	14455.4	120000	120000	120000
46	9.922e+06	447414	4.46502	79995.5	1413.95	8586.05	74689.1	45310.9	69354.2	50645.8	111187	8812.92	120000	119682	318.132	119316	684.106	466667	133333	111212	488788	9.07681e-24	120000	79407.5	40592.5	4.89291e-34	120000	105545	14455.4	120000	120000	120000
47	9.922e+06	447390	4.46502	79995.5	1389.52	8610.48	75303.6	44696.4	68489.6	51510.4	111305	8694.92	120000	119689	310.965	119316	684.106	466955	133045	111439	488561	-2.76026e-24	120000	78674.8	41325.2	-2.79824e-35	120000	105545	14455.4	120000	120000	120000
48	9.922e+06	447367	4.46502	79995.5	1366.73	8633.27	75897.7	44102.3	67635.3	52364.7	111419	8580.8	120000	119696	304.118	119316	684.106	467230	132770	111656	488344	-1.84699e-24	120000	77948	42052	5.19123e-36	120000	105545	14455.4	120000	120000	120000
49	9.922e+06	447345	4.46502	79995.5	1345.46	8654.54	76472.3	43527.7	66791.2	53208.8	111530	8470.38	120000	119702	297.572	119316	684.106	467493	132507	111864	488136	3.05395e-24	120000	77227.3	42772.7	4.16782e-35	120000	105545	14455.4	120000	120000	120000
50	9.922e+06	447326	4.46502	79995.5	1325.61	8674.39	77028.2	42971.8	65957.1	54042.9	111636	8363.52	120000	119709	291.309	119316	684.106	467743	132257	112063	487937	6.12581e-25	120000	76512.6	43487.4	-1.36487e-35	120000	105545	14455.4	120000	120000	120000
51	9.922e+06	447307	4.46502	79995.5	1307.09	8692.91	77566.2	42433.8	65132.9	54867.1	111740	8260.06	120000	119715	285.312	119316	684.106	467983	132017	112254	487746	-1.77895e-24	120000	75803.8	44196.2	7.49193e-35	120000	105545	14455.4	120000	120000	120000
52	9.922e+06	447290	4.46502	79995.5	1289.81	8710.19	78087.1	41912.9	64318.5	55681.5	111840	8159.87	120000	119720	279.566	119316	684.106	468212	131788	112437	487563	2.71968e-24	120000	75100.8	44899.2	4.33536e-35	120000	105545	14455.4	120000	120000	120000
53	9.922e+06	447274	4.46502	79995.5	1273.68	8726.32	78591.5	41408.5	63513.9	56486.1	111937	8062.82	120000	119726	274.057	119316	684.106	468432	131568	112613	487387	2.55041e-24	120000	74403.7	45596.3	-7.35161e-35	120000	105545	14455.4	120000	120000	120000
54	9.922e+06	447259	4.46502	79995.5	1258.63	8741.37	79080.1	40919.9	62718.8	57281.2	112031	7968.76	120000	119731	268.77	119316	684.106	468642	131358	112781	487219	-6.00721e-24	120000	73712.5	46287.5	-2.61535e-34	120000	105545	14455.4	120000	120000	120000
55	9.922e+06	447245	4.46502	79995.5	1244.59	8755.41	79553.6	40446.4	61933.1	58066.9	112122	7877.6	120000	119736	263.695	119316	684.106	468844	131156	112944	487056	-1.04504e-23	120000	73027	46973	-2.14367e-34	120000	105545	14455.4	120000	120000	120000
56	9.922e+06	447231	4.46502	79995.5	1231.49	8768.51	80012.5	39987.5	61156.9	58843.1	112211	7789.21	120000	119741	258.819	119316	684.106	469037	130963	113100	486900	-3.66753e-24	120000	72347.2	47652.8	2.01823e-35	120000	105545	14455.4	120000	120000	120000
57	9.922e+06	447219	4.46502	79995.5	1219.27	8780.73	80457.5	39542.5	60389.9	59610.1	112297	7703.48	120000	119746	254.132	119316	684.106	469223	130777	113250	486750	3.69155e-24	120000	71673.2	48326.8	1.06021e-35	120000	105545	14455.4	120000	120000	120000
58	9.922e+06	447208	4.46502	79995.5	1207.86	8792.14	80889.1	39110.9	59632	60368	112380	7620.32	120000	119750	249.624	119316	684.106	469401	130599	113394	486606	3.74771e-25	120000	71004.8	48995.2	-2.2115e-34	120000	105545	14455.4	120000	120000	120000
59	9.922e+06	447197	4.46502	79995.5	1197.22	8802.78	81307.8	38692.2	58883.2	61116.8	112460	7539.62	120000	119755	245.286	119316	684.106	469573	130427	113533	486467	-6.4774e-24	120000	70342.1	49657.9	-1.53957e-34	120000	105545	14455.4	120000	120000	120000
60	9.922e+06	447187	4.46502	79995.5	1187.28	8812.72	81714.1	38285.9	58143.4	61856.6	112539	7461.28	120000	119759	241.109	119316	684.106	469738	130262	113668	486332	-1.92044e-25	120000	69684.9	50315.1	1.42361e-34	120000	105545	14455.4	120000	120000	120000
61	9.922e+06	447178	4.46502	79995.5	1178.01	8821.99	82108.5	37891.5	57412.4	62587.6	112615	7385.23	120000	119763	237.085	119316	684.106	469896	130104	113797	486203	9.29257e-24	120000	69033.3	50966.7	1.68882e-34	120000	105545	14455.4	120000	120000	120000
62	9.922e+06	447169	4.46502	79995.5	1169.37	8830.63	82491.5	37508.5	56690.1	63309.9	112689	7311.37	120000	119767	233.207	119316	684.106	470049	129951	113921	486079	4.37788e-24	120000	68387.2	51612.8	-2.76288e-35	120000	105545	14455.4	120000	120000	120000
63	9.922e+06	447161	4.46502	79995.5	1161.29	8838.71	82863.3	37136.7	55976.5	64023.5	112760	7239.62	120000	119771	229.467	119316	684.106	470196	129804	114042	485958	-1.92918e-24	120000	67746.6	52253.4	-9.44209e-35	120000	105545	14455.4	120000	120000	120000
64	9.922e+06	447154	4.46502	79995.5	1153.76	8846.24	83224.6	36775.4	55271.4	64728.6	112830	7169.9	120000	119774	225.858	119316	684.106	470338	129662	114158	485842	-3.66431e-24	120000	67111.4	52888.6	3.67351e-35	120000	105545	14455.4	120000	120000	120000
65	9.922e+06	447147	4.46502	79995.5	1146.74	8853.26	83575.6	36424.4	54574.7	65425.3	112898	7102.16	120000	119778	222.375	119316	684.106	470475	129525	114270	485730	3.74005e-25	120000	66481.6	53518.4	2.66837e-35	120000	105545	14455.4	120000	120000	120000
66	9.922e+06	447140	4.46502	79995.5	1140.18	8859.82	83916.8	36083.2	53886.5	66113.5	112964	7036.29	120000	119781	219.011	119316	684.106	470607	129393	114379	485621	9.38057e-25	120000	65857.2	54142.8	-2.43394e-36	120000	105545	14455.4	120000	120000	120000
67	9.922e+06	447134	4.46502	79995.5	1134.06	8865.94	84248.4	35751.6	53206.5	66793.5	113028	6972.25	120000	119784	215.762	119316	684.106	470734	129266	114483	485517	5.98846e-25	120000	65238.2	54761.8	-1.13381e-35	120000	105545	14455.4	120000	120000	120000
68	9.922e+06	447128	4.46502	79995.5	1128.35	8871.65	84570.9	35429.1	52534.6	67465.4	113090	6909.97	120000	119787	212.621	119316	684.106	470857	129143	114585	485415	-4.32558e-25	120000	64624.4	55375.6	5.18276e-36	120000	105545	14455.4	120000	120000	120000
69	9.922e+06	447123	4.46502	79995.5	1123.02	8876.98	84884.6	35115.4	51870.9	68129.1	113151	6849.39	120000	119790	209.584	119316	684.106	470976	129024	114683	485317	-2.84802e-25	120000	64015.9	55984.1	-2.05679e-38	120000	105545	14455.4	120000	120000	120000
70	9.922e+06	447118	4.46502	79995.5	1118.05	8881.95	85189.7	34810.3	51215.1	68784.9	113210	6790.44	120000	119793	206.647	119316	684.106	471091	128909	114778	485222	-1.99573e-26	120000	63412.6	56587.4	-1.05561e-37	120000	105545	14455.4	120000	120000	120000
71	9.922e+06	447113	4.46502	79995.5	1113.41	8886.59	85486.6	34513.4	50567.2	69432.8	113267	6733.07	120000	119796	203.804	119316	684.106	471202	128798	114869	485131	1.43573e-25	120000	62814.5	57185.5	-1.33954e-37	120000	105545	14455.4	120000	120000	120000
72	9.922e+06	447109	4.46502	79995.5	1109.08	8890.92	85775.5	34224.5	49927.2	70072.8	113323	6677.22	120000	119799	201.052	119316	684.106	471309	128691	114958	485042	5.49706e-26	120000	62221.6	57778.4	1.8101e-37	120000	105545	14455.4	120000	120000	120000
73	9.922e+06	447105	4.46502	79995.5	1105.04	8894.96	86056.8	33943.2	49294.8	70705.2	113377	6622.85	120000	119802	198.387	119316	684.106	471413	128587	115044	484956	-3.5884e-26	120000	61633.7	58366.3	-4.43155e-38	120000	105545	14455.4	120000	120000	120000
74	9.922e+06	447101	4.46502	79995.5	1101.27	8898.73	86330.7	33669.3	48670.1	71329.9	113430	6569.9	120000	119804	195.805	119316	684.106	471514	128486	115128	484872	-2.67302e-26	120000	61051	58949	2.57663e-39	120000	105545	14455.4	120000	120000	120000
75	9.922e+06	447098	4.46502	79995.5	1097.75	8902.25	86597.4	33402.6	48053	71947	113482	6518.33	120000	119807	193.303	119316	684.106	471611	128389	115209	484791	6.53776e-27	120000	60473.3	59526.7	1.33347e-38	120000	105545	14455.4	120000	120000	120000
76	9.922e+06	447094	4.46502	79995.5	1094.47	8905.53	86857.2	33142.8	47443.3	72556.7	113532	6468.09	120000	119809	190.877	119316	684.106	471705	128295	115287	484713	4.19933e-26	120000	59900.6	60099.4	1.75968e-38	120000	105545	14455.4	120000	120000	120000
77	9.922e+06	447091	4.46502	79995.5	1091.4	8908.6	87110.3	32889.7	46841	73159	113581	6419.13	120000	119811	188.524	119316	684.106	471797	128203	115364	484636	1.44026e-26	120000	59332.8	60667.2	-1.21497e-39	120000	105545	14455.4	120000	120000	120000
78	9.922e+06	447089	4.46502	79995.5	1088.55	8911.45	87357	32643	46246	73754	113629	6371.42	120000	119814	186.242	119316	684.106	471885	128115	115438	484562	-3.01135e-28	120000	58770	61230	-3.66747e-39	120000	105545	14455.4	120000	120000	120000
79	9.922e+06	447086	4.46502	79995.5	1085.88	8914.12	87597.4	32402.6	45658.2	74341.8	113675	6324.91	120000	119816	184.027	119316	684.106	471971	128029	115509	484491	-8.86906e-27	120000	58212.2	61787.8	6.01668e-40	120000	105545	14455.4	120000	120000	120000
80	9.922e+06	447083	4.46502	79995.5	1083.39	8916.61	87831.7	32168.3	45077.6	74922.4	113720	6279.56	120000	119818	181.877	119316	684.106	472055	127945	115579	484421	-3.03857e-27	120000	57659.1	62340.9	1.55427e-40	120000	105545	14455.4	120000	120000	120000
81	9.922e+06	447081	4.46502	79995.5	1081.07	8918.93	88060.2	31939.8	44504	75496	113765	6235.34	120000	119820	179.789	119316	684.106	472136	127864	115647	484353	1.32187e-27	120000	57110.9	62889.1	2.75699e-40	120000	105545	14455.4	120000	120000	120000
82	9.922e+06	447079	4.46502	79995.5	1078.9	8921.1	88283.1	31716.9	43937.4	76062.6	113808	6192.21	120000	119822	177.761	119316	684.106	472214	127786	115712	484288	2.58804e-27	120000	56567.5	63432.5	-1.09807e-40	120000	105545	14455.4	120000	120000	120000
83	9.922e+06	447077	4.46502	79995.5	1076.87	8923.13	88500.4	31499.6	43377.7	76622.3	113850	6150.13	120000	119824	175.791	119316	684.106	472291	127709	115776	484224	1.09903e-27	120000	56028.9	63971.1	-4.35101e-41	120000	105545	14455.4	120000	120000	120000
84	9.922e+06	447075	4.46502	79995.5	1074.99	8925.01	88712.4	31287.6	42824.8	77175.2	113891	6109.08	120000	119826	173.875	119316	684.106	472365	127635	115839	484161	1.81473e-27	120000	55495	64505	-5.27553e-40	120000	105545	14455.4	120000	120000	120000
85	9.922e+06	447073	4.46502	79995.5	1073.23	8926.77	88919.3	31080.7	42278.7	77721.3	113931	6069.02	120000	119828	172.013	119316	684.106	472437	127563	115899	484101	5.03997e-27	120000	54965.8	65034.2	-1.1403e-39	120000	105545	14455.4	120000	120000	120000
86	9.922e+06	447072	4.46502	79995.5	1071.58	8928.42	89121.3	30878.7	41739.2	78260.8	113970	6029.92	120000	119830	170.203	119316	684.106	472507	127493	115958	484042	1.54145e-27	120000	54441.2	65558.8	-6.24553e-40	120000	105545	14455.4	120000	120000	120000
87	9.922e+06	447070	4.46502	79995.5	1070.05	8929.95	89318.3	30681.7	41206.4	78793.6	114008	5991.75	120000	119832	168.442	119316	684.106	472575	127425	116015	483985	-7.17892e-27	120000	53921.3	66078.7	1.00555e-39	120000	105545	14455.4	120000	120000	120000
88	9.922e+06	447069	4.46502	79995.5	1068.62	8931.38	89510.7	30489.3	40680	79320	114046	5954.49	120000	119833	166.728	119316	684.106	472641	127359	116070	483930	-7.4053e-27	120000	53406	66594	9.09708e-40	120000	105545	14455.4	120000	120000	120000
89	9.922e+06	447067	4.46502	79995.5	1067.28	8932.72	89698.6	30301.4	40160.1	79839.9	114082	5918.09	120000	119835	165.06	119316	684.106	472705	127295	116125	483875	-2.9565e-28	120000	52895.2	67104.8	-5.84796e-40	120000	105545	14455.4	120000	120000	120000
90	9.922e+06	447066	4.46502	79995.5	1066.03	8933.97	89882.1	30117.9	39646.6	80353.4	114117	5882.55	120000	119837	163.437	119316	684.106	472768	127232	116177	483823	3.11129e-27	120000	52388.9	67611.1	-9.93253e-40	120000	105545	14455.4	120000	120000	120000
91	9.922e+06	447065	4.46502	79995.5	1064.87	8935.13	90061.3	29938.7	39139.3	80860.7	114152	5847.83	120000	119838	161.856	119316	684.106	472829	127171	116229	483771	3.742e-27	120000	51887.2	68112.8	-6.48831e-40	120000	105545	14455.4	120000	120000	120000
92	9.922e+06	447064	4.46502	79995.5	1063.79	8936.21	90236.3	29763.7	38638.3	81361.7	114186	5813.91	120000	119840	160.316	119316	684.106	472888	127112	116279	483721	1.47434e-27	120000	51389.9	68610.1	1.16375e-40	120000	105545	14455.4	120000	120000	120000
93	9.922e+06	447063	4.46502	79995.5	1062.77	8937.23	90407.3	29592.7	38143.5	81856.5	114219	5780.77	120000	119841	158.816	119316	684.106	472946	127054	116327	483673	-1.43678e-27	120000	50897	69103	8.07835e-40	120000	105545	14455.4	120000	120000	120000
94	9.922e+06	447062	4.46502	79995.5	1061.83	8938.17	90574.5	29425.5	37654.7	82345.3	114252	5748.38	120000	119843	157.354	119316	684.106	473002	126998	116375	483625	-2.02218e-27	120000	50408.5	69591.5	6.16868e-40	120000	105545	14455.4	120000	120000	120000
95	9.922e+06	447061	4.46502	79995.5	1060.95	8939.05	90737.8	29262.2	37172	82828	114283	5716.72	120000	119844	155.929	119316	684.106	473057	126943	116421	483579	-7.5436e-28	120000	49924.3	70075.7	-1.98278e-40	120000	105545	14455.4	120000	120000	120000
96	9.922e+06	447060	4.46502	79995.5	1060.12	8939.88	90897.5	29102.5	36695.2	83304.8	114314	5685.77	120000	119845	154.541	119316	684.106	473110	126890	116466	483534	-3.24873e-28	120000	49444.5	70555.5	-3.60133e-40	120000	105545	14455.4	120000	120000	120000
97	9.922e+06	447059	4.46502	79995.5	1059.36	8940.64	91053.5	28946.5	36224.3	83775.7	114344	5655.51	120000	119847	153.186	119316	684.106	473162	126838	116510	483490	1.10686e-28	120000	48969	71031	1.88541e-41	120000	105545	14455.4	120000	120000	120000
