Time	[NULL]	[Ins]	[InR]	[Ins_InR]	[Ins_InR_P]	[Ins_2_InR_P]	[cytoplasm_InR]	[cytoplasm_Ins_2_InR_P]	[cytoplasm_Ins_InR_P]	[InR_tot]	[InR_bound]	[InR_active]	[PTP1B]	[IRS1_TyrP_PI3K]	[PI345P3]	[PIP2]	[PI345P3_mol]	[PIP2_mol]	[Akt]	[Akt_P2]	[PKC]	[PKC_P]	[AS160]	[AS160_P]	[cytoplasm_GLUT4]	[cellsurface_GLUT4]	[PTEN]	[PP2A]	[extracellular_ROS]	[PTP1B_ox]	[PTP1B_plus_PTP1B_ox]	[PTEN_ox]	[PTEN_plus_PTEN_ox]	[ROS]	[GSH]	[GSSG]	[cytoplasm_SOD2]	[NOX_inact]	[NOX]	[NOX_deact]	[NOX_total]	[Mt]	[IRS1]	[IRS1_TyrP]	[IRS1_PolySerP]	[IRS1_TyrP_PolySerP]	[IRS_total]	[PI3K]	[JNK_P]	[IKK_P]	[JNK]	[JNK_plus_JNK_P]	[IKK]	[IKK_plus_IKK_P]	[DUSP]	[DUSP_ox]	[DUSP_plus_DUSP_ox]	[null]	[degr_Foxo1]	[cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0]	[nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0]	[dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0]	[cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1]	[nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1]	[dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1]	[cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0]	[nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0]	[dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0]	[cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1]	[nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1]	[dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1]	[cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0]	[nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0]	[dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0]	[cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1]	[nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1]	[dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1]	[cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0]	[nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0]	[dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0]	[cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1]	[nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1]	[dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1]	[cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0]	[nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0]	[dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0]	[cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1]	[nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1]	[dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1]	[cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0]	[nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0]	[dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0]	[cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1]	[nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1]	[dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1]	[cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0]	[nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0]	[dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0]	[cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1]	[nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1]	[dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1]	[cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0]	[nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0]	[dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0]	[cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1]	[nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1]	[dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1]	[Foxo1_Pa0_tot]	[Foxo1_Pa1_tot]	[Foxo1_Pd0_tot]	[Foxo1_Pd1_tot]	[Foxo1_Pe0_tot]	[Foxo1_Pe1_tot]	[Foxo1_pUb0_tot]	[Foxo1_pUb1_tot]	[cytoplasm_Foxo1_tot]	[nucleus_Foxo1_tot]	[dnabound_Foxo1_tot]	[Foxo1_all]	[nucleus_RNA_InR]	[cytoplasm_RNA_InR]	[nucleus_RNA_SOD2]	[cytoplasm_RNA_SOD2]	[E2F1]	[SGK]	[CDK2]	[AMPK]	[CBPP300]	[SIRT1]	[E3]	[USP7]	[SCF]	[Proteasome]
10	0	0	1.40267e+18	0	0	0	6.00198e+14	0	0	6.04085e+15	0	0	4.64865e+15	0	1.12351e+13	1.21706e+16	1.12351e+16	1.21706e+19	6.0606e+15	2.07537e+09	6.0606e+15	2.12925e+09	1.21189e+15	2.28674e+11	5.59879e+15	1.19061e+17	6.04739e+15	3.0303e+16	0	1.41195e+15	6.06061e+15	1.32178e+13	6.06061e+15	1.10471e+11	5.79654e+12	2.64067e+11	2.49248e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.13996e+15	0	1.61631e+13	0	6.15612e+15	6.06061e+14	3.45749e+12	8.6581e+10	9.66239e+14	9.69697e+14	1.21126e+14	1.21212e+14	6.0061e+15	5.45073e+13	6.06061e+15	0	9.12735e+10	1.46556e+13	6.56509e+14	4.26403e+15	9.71577e+10	5.76163e+12	4.00184e+13	3.70787e+10	8.618e+12	4.5022e+13	2.45365e+08	7.28913e+10	4.17053e+11	8.39089e+09	1.41083e+11	1.33064e+12	3.61502e+08	4.65767e+09	5.13636e+10	2.93011e+07	2.59585e+09	1.45745e+10	1.34269e+06	1.00797e+08	5.7774e+08	7.62362e+09	2.62182e+10	2.69993e+11	1.22908e+08	4.14149e+08	4.58591e+09	5.37202e+07	7.66397e+08	3.02847e+09	876845	1.30048e+07	5.18865e+07	2.7284e+06	1.58426e+06	8.14612e+07	278541	83221.4	7.83986e+06	21095	144382	911910	2269.17	11583.1	87414.3	1.22268e+14	2.05121e+10	1.22245e+14	4.32427e+10	1.21143e+14	1.1458e+12	1.21254e+14	1.03425e+12	2.94349e+13	4.04299e+13	5.24236e+13	1.22288e+14	6.21423e+14	7.19431e+11	2.42107e+15	2.80205e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
11	0	0	1.40236e+18	0	0	0	6.00653e+14	0	0	6.04009e+15	0	0	4.64654e+15	0	1.12359e+13	1.21706e+16	1.12359e+16	1.21706e+19	6.0606e+15	1.14596e+09	6.0606e+15	1.13971e+09	1.21197e+15	1.46698e+11	5.59241e+15	1.20708e+17	6.04698e+15	3.0303e+16	0	1.41406e+15	6.06061e+15	1.3626e+13	6.06061e+15	1.10518e+11	5.79641e+12	2.64197e+11	2.49143e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.14809e+15	0	1.74784e+13	0	6.16557e+15	6.06061e+14	3.72003e+12	9.31694e+10	9.65977e+14	9.69697e+14	1.21119e+14	1.21212e+14	6.0017e+15	5.8905e+13	6.06061e+15	0	1.009e+11	1.32388e+13	6.50541e+14	4.52481e+15	9.39456e+10	6.24388e+12	4.65125e+13	3.6128e+10	9.16619e+12	5.18657e+13	2.55708e+08	8.4713e+10	5.26412e+11	8.6782e+09	1.53777e+11	1.55878e+12	3.92015e+08	5.33362e+09	6.32451e+10	3.27787e+07	3.04973e+09	1.85155e+10	1.57407e+06	1.24044e+08	7.70239e+08	4.8631e+09	1.6184e+10	1.78013e+11	8.4309e+07	2.82021e+08	3.33803e+09	3.7688e+07	5.33032e+08	2.18674e+09	659853	9.88125e+06	4.13216e+07	1.90412e+06	1.06617e+06	5.91828e+07	202267	60576.3	6.02878e+06	16233.5	109534	724012	1814.55	9248.6	73374.6	1.22455e+14	1.3153e+10	1.2242e+14	4.76555e+10	1.21207e+14	1.26147e+12	1.21331e+14	1.13735e+12	2.66052e+13	4.01334e+13	5.57294e+13	1.22468e+14	7.01431e+14	8.152e+11	2.73681e+15	3.17996e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
12	0	0	1.40209e+18	0	0	0	6.01153e+14	0	0	6.03957e+15	0	0	4.64524e+15	0	1.12365e+13	1.21706e+16	1.12365e+16	1.21706e+19	6.06061e+15	6.32765e+08	6.06061e+15	6.10045e+08	1.21203e+15	9.3395e+10	5.58712e+15	1.22069e+17	6.04664e+15	3.0303e+16	0	1.41536e+15	6.06061e+15	1.39638e+13	6.06061e+15	1.10544e+11	5.79633e+12	2.6428e+11	2.49083e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.15625e+15	0	1.87427e+13	0	6.17499e+15	6.06061e+14	3.97004e+12	9.94458e+10	9.65727e+14	9.69697e+14	1.21113e+14	1.21212e+14	5.99747e+15	6.31353e+13	6.06061e+15	0	1.10221e+11	1.20506e+13	6.44656e+14	4.74769e+15	9.10736e+10	6.71927e+12	5.30332e+13	3.51562e+10	9.66744e+12	5.85237e+13	2.6479e+08	9.69802e+10	6.45726e+11	8.91836e+09	1.65718e+11	1.78322e+12	4.19939e+08	6.0084e+09	7.5609e+10	3.60893e+07	3.50865e+09	2.27571e+10	1.80543e+06	1.48674e+08	9.87891e+08	3.08491e+09	9.94964e+09	1.15086e+11	5.70387e+07	1.89687e+08	2.36308e+09	2.59828e+07	3.64336e+08	1.53287e+09	484080	7.31026e+06	3.16776e+07	1.30635e+06	707127	4.16321e+07	143522	43039.5	4.45769e+06	12131.1	80789.8	551222	1400.68	7131.03	58652	1.2264e+14	8.36926e+09	1.22596e+14	5.18899e+10	1.21276e+14	1.37219e+12	1.21407e+14	1.24122e+12	2.42325e+13	3.98389e+13	5.8577e+13	1.22648e+14	7.76594e+14	9.05401e+11	3.03356e+15	3.53606e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
13	0	0	1.40187e+18	0	0	0	6.0168e+14	0	0	6.03925e+15	0	0	4.64447e+15	0	1.1237e+13	1.21706e+16	1.1237e+16	1.21706e+19	6.06061e+15	3.49394e+08	6.06061e+15	3.26534e+08	1.21206e+15	5.90865e+10	5.58275e+15	1.23198e+17	6.04636e+15	3.0303e+16	0	1.41614e+15	6.06061e+15	1.42432e+13	6.06061e+15	1.10552e+11	5.79629e+12	2.64318e+11	2.49065e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.16444e+15	0	1.99529e+13	0	6.1844e+15	6.06061e+14	4.20807e+12	1.05424e+11	9.65489e+14	9.69697e+14	1.21107e+14	1.21212e+14	5.9934e+15	6.72033e+13	6.06061e+15	0	1.19278e+11	1.10534e+13	6.39145e+14	4.93745e+15	8.86375e+10	7.19193e+12	5.95389e+13	3.42195e+10	1.01321e+13	6.49441e+13	2.73242e+08	1.09717e+11	7.73886e+11	9.12679e+09	1.76989e+11	2.00138e+12	4.45895e+08	6.68066e+09	8.82673e+10	3.92587e+07	3.97035e+09	2.72318e+10	2.03646e+06	1.7452e+08	1.22805e+09	1.94808e+09	6.09548e+09	7.32218e+10	3.81524e+07	1.26209e+08	1.63499e+09	1.766e+07	2.45515e+08	1.0489e+09	347792	5.28997e+06	2.35356e+07	883890	463208	2.85259e+07	99956.4	29955.2	3.19244e+06	8851.5	58231	405552	1050.75	5343.21	45052	1.22824e+14	5.29144e+09	1.22773e+14	5.5948e+10	1.21351e+14	1.47807e+12	1.21483e+14	1.34575e+12	2.22416e+13	3.95646e+13	6.10229e+13	1.22829e+14	8.46336e+14	9.89272e+11	3.30901e+15	3.86729e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
14	0	0	1.4017e+18	0	0	0	6.02218e+14	0	0	6.03913e+15	0	0	4.64406e+15	0	1.12374e+13	1.21706e+16	1.12374e+16	1.21706e+19	6.06061e+15	1.92925e+08	6.06061e+15	1.74782e+08	1.21208e+15	3.71849e+10	5.57912e+15	1.24134e+17	6.04613e+15	3.0303e+16	0	1.41655e+15	6.06061e+15	1.44738e+13	6.06061e+15	1.10543e+11	5.79629e+12	2.64315e+11	2.49087e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.17267e+15	0	2.11083e+13	0	6.19378e+15	6.06061e+14	4.43465e+12	1.11116e+11	9.65262e+14	9.69697e+14	1.21101e+14	1.21212e+14	5.98949e+15	7.11144e+13	6.06061e+15	0	1.28117e+11	1.02161e+13	6.34145e+14	5.0986e+15	8.66828e+10	7.66471e+12	6.60014e+13	3.3354e+10	1.05679e+13	7.10946e+13	2.81571e+08	1.22944e+11	9.09859e+11	9.31505e+09	1.87658e+11	2.21149e+12	4.70422e+08	7.34951e+09	1.01068e+11	4.23154e+07	4.43319e+09	3.18773e+10	2.26745e+06	2.01456e+08	1.48798e+09	1.22558e+09	3.72257e+09	4.59753e+10	2.52768e+07	8.31655e+07	1.10978e+09	1.18623e+07	1.63492e+08	7.03553e+08	245562	3.75725e+06	1.70354e+07	591207	300184	1.91254e+07	68555.1	20482.4	2.22687e+06	6331.97	41171.6	290046	769.905	3909.3	33483.8	1.23007e+14	3.32762e+09	1.22951e+14	5.98341e+10	1.21431e+14	1.57923e+12	1.21559e+14	1.45088e+12	2.05704e+13	3.93196e+13	6.31204e+13	1.2301e+14	9.10392e+14	1.06644e+12	3.56207e+15	4.17213e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
15	0	0	1.40158e+18	0	0	0	6.02754e+14	0	0	6.03919e+15	0	0	4.64392e+15	0	1.12378e+13	1.21706e+16	1.12378e+16	1.21706e+19	6.06061e+15	1.06528e+08	6.06061e+15	9.35542e+07	1.2121e+15	2.32976e+10	5.5761e+15	1.24911e+17	6.04594e+15	3.0303e+16	0	1.41668e+15	6.06061e+15	1.46637e+13	6.06061e+15	1.10517e+11	5.79633e+12	2.64275e+11	2.49144e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.18093e+15	0	2.22099e+13	0	6.20314e+15	6.06061e+14	4.65027e+12	1.16535e+11	9.65047e+14	9.69697e+14	1.21096e+14	1.21212e+14	5.98573e+15	7.48735e+13	6.06061e+15	0	1.36787e+11	9.51275e+12	6.29706e+14	5.23517e+15	8.52216e+10	8.13945e+12	7.24025e+13	3.25809e+10	1.09807e+13	7.69575e+13	2.90167e+08	1.36673e+11	1.0527e+12	9.4915e+09	1.97783e+11	2.41245e+12	4.93961e+08	8.0143e+09	1.13891e+11	4.5286e+07	4.89594e+09	3.66386e+10	2.49898e+06	2.29377e+08	1.76499e+09	7.68577e+08	2.26688e+09	2.85512e+10	1.66102e+07	5.43254e+07	7.41195e+08	7.88905e+06	1.07779e+08	4.64106e+08	170843	2.6263e+06	1.20612e+07	391621	192718	1.25919e+07	46419.3	13792.5	1.51959e+06	4454.79	28639.2	202573	553.121	2803.13	24209.3	1.2319e+14	2.08314e+09	1.23128e+14	6.35534e+10	1.21516e+14	1.67585e+12	1.21635e+14	1.55648e+12	1.91672e+13	3.9107e+13	6.49178e+13	1.23192e+14	9.68729e+14	1.13682e+12	3.7926e+15	4.45022e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
16	0	0	1.4015e+18	0	0	0	6.03281e+14	0	0	6.03942e+15	0	0	4.64401e+15	0	1.1238e+13	1.21706e+16	1.1238e+16	1.21706e+19	6.06061e+15	5.88215e+07	6.06061e+15	5.00761e+07	1.21211e+15	1.45414e+10	5.57359e+15	1.25558e+17	6.04579e+15	3.0303e+16	0	1.41659e+15	6.06061e+15	1.48196e+13	6.06061e+15	1.10478e+11	5.79641e+12	2.642e+11	2.49233e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.18923e+15	0	2.32592e+13	0	6.21249e+15	6.06061e+14	4.85542e+12	1.21692e+11	9.64842e+14	9.69697e+14	1.2109e+14	1.21212e+14	5.98212e+15	7.84856e+13	6.06061e+15	0	1.45338e+11	8.92172e+12	6.25823e+14	5.35075e+15	8.42432e+10	8.61722e+12	7.87315e+13	3.19105e+10	1.13748e+13	8.25257e+13	2.99318e+08	1.50907e+11	1.20156e+12	9.66195e+09	2.07409e+11	2.60362e+12	5.1685e+08	8.67454e+09	1.26645e+11	4.81934e+07	5.35752e+09	4.14674e+10	2.73167e+06	2.58192e+08	2.05651e+09	4.80652e+08	1.3768e+09	1.7567e+10	1.0838e+07	3.52063e+07	4.88228e+08	5.20218e+06	7.04385e+07	3.01871e+08	117364	1.81048e+06	8.37992e+06	257266	122709	8.16406e+06	31090.5	9165.16	1.01792e+06	3089.88	19645	138667	390.79	1975.61	17100.3	1.23372e+14	1.29902e+09	1.23307e+14	6.71115e+10	1.21606e+14	1.7681e+12	1.21711e+14	1.66247e+12	1.79888e+13	3.89271e+13	6.64579e+13	1.23374e+14	1.02148e+15	1.20054e+12	4.0011e+15	4.70206e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
17	0	0	1.40147e+18	0	0	0	6.03791e+14	0	0	6.03979e+15	0	0	4.64428e+15	0	1.12383e+13	1.21706e+16	1.12383e+16	1.21706e+19	6.06061e+15	3.24795e+07	6.06061e+15	2.68039e+07	1.21211e+15	9.04663e+09	5.57151e+15	1.26095e+17	6.04566e+15	3.0303e+16	0	1.41633e+15	6.06061e+15	1.49471e+13	6.06061e+15	1.10425e+11	5.79651e+12	2.64093e+11	2.49352e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.19756e+15	0	2.42579e+13	0	6.22182e+15	6.06061e+14	5.05056e+12	1.266e+11	9.64646e+14	9.69697e+14	1.21086e+14	1.21212e+14	5.97865e+15	8.19556e+13	6.06061e+15	0	1.53817e+11	8.42495e+12	6.22466e+14	5.44849e+15	8.3723e+10	9.09853e+12	8.49828e+13	3.13459e+10	1.17531e+13	8.78e+13	3.09221e+08	1.65637e+11	1.35567e+12	9.83021e+09	2.16573e+11	2.78478e+12	5.39342e+08	9.32978e+09	1.39265e+11	5.10555e+07	5.81697e+09	4.63228e+10	2.96607e+06	2.87819e+08	2.36018e+09	2.99854e+08	8.34189e+08	1.0724e+10	7.02783e+06	2.2652e+07	3.17791e+08	3.40518e+06	4.5689e+07	1.94009e+08	79743.7	1.23301e+06	5.72838e+06	167790	77566.4	5.22451e+06	20629.6	6020.26	671227	2117	13313.1	93307.9	272.161	1371.79	11841.1	1.23555e+14	8.07335e+08	1.23485e+14	7.05144e+10	1.217e+14	1.85616e+12	1.21787e+14	1.76874e+12	1.69991e+13	3.87781e+13	6.77785e+13	1.23556e+14	1.06891e+15	1.25788e+12	4.18858e+15	4.92873e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
18	0	0	1.40147e+18	0	0	0	6.0428e+14	0	0	6.04029e+15	0	0	4.6447e+15	0	1.12385e+13	1.21706e+16	1.12385e+16	1.21706e+19	6.06061e+15	1.79342e+07	6.06061e+15	1.43471e+07	1.21212e+15	5.61229e+09	5.56977e+15	1.26543e+17	6.04556e+15	3.0303e+16	0	1.4159e+15	6.06061e+15	1.50509e+13	6.06061e+15	1.10361e+11	5.79665e+12	2.63959e+11	2.49497e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.20592e+15	0	2.52081e+13	0	6.23112e+15	6.06061e+14	5.23614e+12	1.31269e+11	9.64461e+14	9.69697e+14	1.21081e+14	1.21212e+14	5.97532e+15	8.52882e+13	6.06061e+15	0	1.62269e+11	8.00731e+12	6.19588e+14	5.53111e+15	8.3628e+10	9.5835e+12	9.11546e+13	3.08852e+10	1.21175e+13	9.27862e+13	3.20001e+08	1.80848e+11	1.51436e+12	9.99863e+09	2.25307e+11	2.95592e+12	5.61611e+08	9.97964e+09	1.51702e+11	5.38855e+07	6.27335e+09	5.11701e+10	3.20259e+06	3.18176e+08	2.67386e+09	1.86652e+08	5.04328e+08	6.50296e+09	4.53199e+06	1.44792e+07	2.04724e+08	2.21454e+06	2.94406e+07	1.23414e+08	53660.8	830773	3.86092e+06	108743	48718.1	3.30611e+06	13577.3	3914.73	436688	1434.96	8927.03	61867	187.192	940.231	8060.33	1.23737e+14	5.00295e+08	1.23664e+14	7.3768e+10	1.21797e+14	1.94022e+12	1.21862e+14	1.87521e+12	1.61679e+13	3.86573e+13	6.89124e+13	1.23738e+14	1.11134e+15	1.30922e+12	4.35633e+15	5.13171e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
19	0	0	1.40151e+18	0	0	0	6.04746e+14	0	0	6.04091e+15	0	0	4.64526e+15	0	1.12386e+13	1.21706e+16	1.12386e+16	1.21706e+19	6.06061e+15	9.90276e+06	6.06061e+15	7.67948e+06	1.21212e+15	3.47317e+09	5.56833e+15	1.26915e+17	6.04547e+15	3.0303e+16	0	1.41534e+15	6.06061e+15	1.51348e+13	6.06061e+15	1.10286e+11	5.79681e+12	2.638e+11	2.49666e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.2143e+15	0	2.61118e+13	0	6.24042e+15	6.06061e+14	5.41258e+12	1.3571e+11	9.64284e+14	9.69697e+14	1.21076e+14	1.21212e+14	5.97212e+15	8.84881e+13	6.06061e+15	0	1.70734e+11	7.65612e+12	6.17138e+14	5.60092e+15	8.39208e+10	1.0072e+13	9.72476e+13	3.05227e+10	1.24696e+13	9.74935e+13	3.31725e+08	1.96517e+11	1.677e+12	1.01684e+10	2.33635e+11	3.11728e+12	5.83773e+08	1.06238e+10	1.63923e+11	5.6692e+07	6.72572e+09	5.59804e+10	3.44144e+06	3.49181e+08	2.99562e+09	1.15954e+08	3.04308e+08	3.9208e+09	2.90804e+06	9.20012e+06	1.307e+08	1.43197e+06	1.88605e+07	7.78161e+07	35800.8	554440	2.57032e+06	70080.7	30426.5	2.072e+06	8872.04	2523.13	280820	963.508	5930.48	40500.4	127.349	637.133	5406.16	1.23919e+14	3.09237e+08	1.23843e+14	7.68783e+10	1.21899e+14	2.02044e+12	1.21938e+14	1.98178e+12	1.54699e+13	3.85619e+13	6.98878e+13	1.2392e+14	1.14914e+15	1.355e+12	4.5058e+15	5.31271e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
20	0	0	1.40158e+18	0	0	0	6.05188e+14	0	0	6.04163e+15	0	0	4.64594e+15	0	1.12387e+13	1.21706e+16	1.12387e+16	1.21706e+19	6.06061e+15	5.46801e+06	6.06061e+15	4.11054e+06	1.21212e+15	2.14477e+09	5.56712e+15	1.27226e+17	6.0454e+15	3.0303e+16	0	1.41467e+15	6.06061e+15	1.52021e+13	6.06061e+15	1.10203e+11	5.79699e+12	2.63619e+11	2.49855e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.22272e+15	0	2.69711e+13	0	6.24969e+15	6.06061e+14	5.58028e+12	1.39932e+11	9.64117e+14	9.69697e+14	1.21072e+14	1.21212e+14	5.96905e+15	9.15599e+13	6.06061e+15	0	1.79249e+11	7.36075e+12	6.15068e+14	5.65994e+15	8.45628e+10	1.05637e+13	1.03264e+14	3.0251e+10	1.28101e+13	1.01934e+14	3.44415e+08	2.12615e+11	1.84307e+12	1.03401e+10	2.4158e+11	3.26918e+12	6.05894e+08	1.12619e+10	1.75908e+11	5.94794e+07	7.17318e+09	6.07301e+10	3.68267e+06	3.80754e+08	3.32374e+09	7.19021e+07	1.83301e+08	2.35235e+09	1.85762e+06	5.81417e+06	8.27816e+07	921202	1.20204e+07	4.86919e+07	23702.6	366879	1.69264e+06	44938.8	18908.1	1.28771e+06	5760.72	1613.58	178776	641.537	3907.44	26220.4	85.8012	427.416	3579.58	1.24101e+14	1.90716e+08	1.24022e+14	7.98511e+10	1.22004e+14	2.097e+12	1.22013e+14	2.08839e+12	1.48838e+13	3.84888e+13	7.07289e+13	1.24101e+14	1.18272e+15	1.39568e+12	4.63856e+15	5.47356e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
21	0	0	1.40168e+18	0	0	0	6.05604e+14	0	0	6.04244e+15	0	0	4.64672e+15	0	1.12388e+13	1.21706e+16	1.12388e+16	1.21706e+19	6.06061e+15	3.01928e+06	6.06061e+15	2.20022e+06	1.21212e+15	1.32195e+09	5.56612e+15	1.27484e+17	6.04535e+15	3.0303e+16	0	1.41389e+15	6.06061e+15	1.52554e+13	6.06061e+15	1.10112e+11	5.79719e+12	2.63419e+11	2.50062e+15	6.06061e+12	0	0	6.06061e+12	3.0303e+12	6.23116e+15	0	2.77879e+13	0	6.25895e+15	6.06061e+14	5.73966e+12	1.43946e+11	9.63957e+14	9.69697e+14	1.21068e+14	1.21212e+14	5.9661e+15	9.4508e+13	6.06061e+15	0	1.87848e+11	7.11229e+12	6.13327e+14	5.70987e+15	8.55157e+10	1.10581e+13	1.09208e+14	3.00616e+10	1.31396e+13	1.0612e+14	3.58059e+08	2.2911e+11	2.01207e+12	1.05136e+10	2.49162e+11	3.41203e+12	6.28007e+08	1.18936e+10	1.87646e+11	6.22492e+07	7.61484e+09	6.54002e+10	3.92617e+06	4.12811e+08	3.65671e+09	4.45103e+07	1.10245e+08	1.40537e+09	1.18178e+06	3.65631e+06	5.20657e+07	589887	7.62592e+06	3.02669e+07	15584.6	240915	1.104e+06	28687.2	11698.7	794466	3719.34	1024.84	112819	423.959	2555.71	16811.6	57.3117	284.173	2343.59	1.24283e+14	1.17388e+08	1.24201e+14	8.2692e+10	1.22113e+14	2.17006e+12	1.22088e+14	2.19497e+12	1.43917e+13	3.84351e+13	7.14563e+13	1.24283e+14	1.21245e+15	1.43172e+12	4.75614e+15	5.61609e+12	1.81818e+13	0	0	0	6.06061e+11	6.06061e+13	0	6.06061e+13	6.06061e+13	6.06061e+13
