Time	[GLCi]	[ATP]	[G6P]	[ADP]	[F6P]	[F16bP]	[AMP]	[DHAP]	[GAP]	[NAD]	[BPG]	[NADH]	[P3G]	[P2G]	[PEP]	[PYR]	[PYRmito]	[AcAld]	[GLCo]	[CO2]	[EtOH]	[Glycerol]	[Glycogen]	[Trehalose]	[Succinate]	[AcCoA]	[CO2mito]
17	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
18	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
19	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
20	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
21	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
22	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
23	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
24	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
25	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
26	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
27	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
28	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
29	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
30	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
31	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
32	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
33	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
34	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
35	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
36	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
37	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
38	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
39	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108758	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
40	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108758	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
41	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108758	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
42	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108758	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
43	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108758	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
44	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108758	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
45	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108758	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
46	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
47	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
48	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
49	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
50	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
51	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
52	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
53	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
54	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
55	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
56	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
57	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
58	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
59	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
60	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
61	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
62	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
63	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
64	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
65	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
66	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
67	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
68	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
69	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
70	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
71	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
72	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
73	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
74	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
75	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
76	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
77	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
78	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
79	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
80	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
81	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
82	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
83	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
84	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
85	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
86	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
87	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
88	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
89	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
90	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
91	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
92	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
93	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
94	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
95	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
96	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
97	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
98	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
99	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
100	0.299657	0.894892	0.496414	1.71907	0.104555	1.34278	1.48604	0.601873	0.0270815	1.46263	0.000108759	0.127369	0.363388	0.0515066	0.0271093	1.49508	0.381151	0.100271	50	1	50	0.15	0	0	0	1	1
