Time	[dihydrofolate free]	[dihydrofolate bound]	[dihydrofolate reductase free]	[dihydrofolate reductase total]	[tetrahydrofolate]	[5-methyl-tetrahydrofolate]	[10-formyl-tetrahydrofolate]	[10-formyl-dihydrofolate]	[HCHO]	[FGAR]	[AICAR]	[MTX1]	[MTX2]	[MTX3]	[MTX4]	[MTX5]	[MTX1b]	[MTX2b]	[MTX3b]	[MTX4b]	[MTX5b]	[EMTX]	[dUMP]	[GAR]	[serine]	[formate]	[ATP]	[glutamine]	[glycine]	[NADP]	[NADPH]	[homocysteine]
20	0.00121147	0.00241881	0.638909	0.641327	0.45946	1.62924	1.00054	0.000329353	0.00737954	16.4972	3.69503	9.70359e-30	-3.8174e-27	3.366e-27	-4.65628e-28	-2.93619e-33	1.93612e-25	-2.43152e-22	4.07044e-22	-1.0776e-22	-1.11758e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
21	0.00121157	0.00241886	0.638869	0.641288	0.459471	1.62927	1.00056	0.000329379	0.00737951	16.4976	3.69502	3.58701e-28	-2.78595e-27	3.24218e-27	-4.67364e-28	-3.12846e-33	7.17119e-24	-2.39608e-22	4.042e-22	-1.08155e-22	-1.2025e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
22	0.00121166	0.0024189	0.638831	0.64125	0.459482	1.6293	1.00058	0.000329405	0.00737949	16.4979	3.69502	9.55565e-28	-2.30891e-27	3.01975e-27	-4.68856e-28	-3.32139e-33	1.91049e-23	-2.33925e-22	3.98064e-22	-1.08493e-22	-1.2878e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
23	0.00121176	0.00241895	0.638794	0.641213	0.459493	1.62934	1.00061	0.00032943	0.00737946	16.4983	3.69502	1.85312e-27	-2.75184e-27	2.67595e-27	-4.69807e-28	-3.51529e-33	3.70511e-23	-2.29251e-22	3.87722e-22	-1.08708e-22	-1.37375e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
24	0.00121185	0.00241899	0.638759	0.641178	0.459504	1.62937	1.00063	0.000329455	0.00737943	16.4986	3.69502	3.0422e-27	-3.6399e-27	2.32746e-27	-4.70394e-28	-3.70991e-33	5.91016e-23	-2.25154e-22	3.7491e-22	-1.08838e-22	-1.46017e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
25	0.00121194	0.00241904	0.638724	0.641143	0.459515	1.6294	1.00065	0.000329479	0.00737941	16.499	3.69502	4.45085e-27	-3.64797e-27	2.23207e-27	-4.7127e-28	-3.90453e-33	8.03486e-23	-2.17577e-22	3.64044e-22	-1.09035e-22	-1.54646e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
26	0.00121202	0.00241908	0.63869	0.641109	0.459526	1.62944	1.00067	0.000329503	0.00737938	16.4994	3.69502	6.16449e-27	-3.58289e-27	2.29378e-27	-4.71891e-28	-4.09971e-33	1.03405e-22	-2.11551e-22	3.52819e-22	-1.09173e-22	-1.63309e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
27	0.00121211	0.00241913	0.638657	0.641076	0.459537	1.62947	1.0007	0.000329526	0.00737935	16.4997	3.69501	8.20535e-27	-3.39569e-27	2.5586e-27	-4.72194e-28	-4.2955e-33	1.27866e-22	-2.08458e-22	3.41628e-22	-1.09238e-22	-1.72013e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
28	0.00121219	0.00241917	0.638625	0.641045	0.459548	1.6295	1.00072	0.000329549	0.00737932	16.5001	3.69501	9.24813e-27	-3.26942e-27	2.62226e-27	-4.72451e-28	-4.49151e-33	1.47915e-22	-2.04989e-22	3.26221e-22	-1.09291e-22	-1.80727e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
29	0.00121227	0.00241922	0.638595	0.641014	0.459559	1.62954	1.00074	0.000329571	0.0073793	16.5005	3.69501	8.9879e-27	-3.21144e-27	2.42144e-27	-4.72678e-28	-4.68768e-33	1.61834e-22	-2.01388e-22	3.05864e-22	-1.09338e-22	-1.89449e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
30	0.00121235	0.00241926	0.638565	0.640984	0.459571	1.62957	1.00077	0.000329593	0.00737927	16.5008	3.69501	7.45618e-27	-3.17119e-27	2.00527e-27	-4.72811e-28	-4.88405e-33	1.69253e-22	-1.9907e-22	2.80983e-22	-1.09364e-22	-1.98184e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
