Time	[ Inactive Cyclin:CDK complex]	[Active Cyclin:CDK complex]	[Total CDK]	[Free CDK]	[Unphosphorylated CDC25]	[One-site phosphorylated CDC25]	[Two-site phosphorylated CDC25]	[Unphosphorylated wee1]	[phosphorylated wee1]	[Active SKP2 or APC]	[Free CKI]	[Cyclin:CDK:CKI complex with CKI unphosphorylated]	[Cyclin:CDK:CKI complex with CKI phosphorylated]	[Free cyclin]	[totalCyclin]
50	20.6953	0.148732	200	0.89578	97.749	2.20146	0.0495904	9.77929	0.220712	0.156745	0	0	0	23.1753	44.0193
51	21.1403	0.15414	200	0.893528	97.7003	2.248	0.0517357	9.77461	0.225394	0.150655	0	0	0	23.7336	45.028
52	21.5857	0.159799	200	0.891273	97.6493	2.29664	0.0540269	9.76971	0.230287	0.144808	0	0	0	24.2955	46.041
53	22.0311	0.165732	200	0.889016	97.596	2.34756	0.0564801	9.76459	0.23541	0.139195	0	0	0	24.8605	47.0573
54	22.4761	0.171965	200	0.88676	97.5399	2.40099	0.059114	9.75921	0.240787	0.133807	0	0	0	25.4279	48.076
55	22.9202	0.178534	200	0.884506	97.4809	2.45719	0.0619512	9.75356	0.246444	0.128635	0	0	0	25.9973	49.096
56	23.3629	0.185476	200	0.882258	97.4185	2.51649	0.0650187	9.74759	0.252415	0.123672	0	0	0	26.5679	50.1163
57	23.8038	0.192841	200	0.880017	97.3524	2.57929	0.0683496	9.74126	0.258738	0.118911	0	0	0	27.1392	51.1358
58	24.2421	0.200688	200	0.877786	97.2819	2.64607	0.0719853	9.73454	0.265465	0.114343	0	0	0	27.7105	52.1533
59	24.6775	0.209095	200	0.875567	97.2066	2.71745	0.0759778	9.72734	0.272656	0.109962	0	0	0	28.281	53.1676
60	25.1092	0.218157	200	0.873363	97.1254	2.79421	0.0803947	9.71961	0.280393	0.105762	0	0	0	28.85	54.1774
61	25.5366	0.228006	200	0.871177	97.0373	2.8774	0.0853254	9.71122	0.28878	0.101736	0	0	0	29.4166	55.1812
62	25.9588	0.238815	200	0.869012	96.9407	2.96842	0.0908916	9.70204	0.29796	0.0978801	0	0	0	29.9798	56.1774
