Time	[BM]	[ACT]	[GLC]	[ACoA]	[AKG]	[cAMP]	[FBP]	[G6P]	[GLX]	[ICT]	[MAL]	[OAA]	[PEP]	[PG3]	[PYR]	[AceA]	[AceB]	[AceK]	[Acoa2act]	[Acs]	[Akg2mal]	[CAMPdegr]	[Cya]	[Emp]	[Eno]	[Fdp]	[GltA]	[Icd]	[Icd_P]	[Mdh]	[Me]	[PckA]	[Pdh]	[PfkA]	[Ppc]	[PpsA]	[PykF]	[Cra]	[CraFBP]	[Crp]	[CrpcAMP]	[IclR]	[PdhR]	[PdhRPYR]	[EIIA]	[EIIA_P]	[EIICB]
10	0.030054	2.09567e-05	4.79989	0.353184	0.191348	0.202782	6.57495	1.90812	5.70484e-09	0.00140881	3.27952	0.0504793	0.210453	5.72088	0.863208	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429073	0.000220536	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299107	0.00699089	0.00594339	0.00134661	0.00729	0.00116389	0.00612611	0.0964775	0.00352253	0.003
11	0.0300594	2.30518e-05	4.79987	0.353304	0.191367	0.202782	6.57494	1.90812	5.70462e-09	0.00140889	3.27966	0.0504751	0.210453	5.72087	0.863205	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429073	0.000220539	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299107	0.00699089	0.00594339	0.00134661	0.00729	0.0011639	0.0061261	0.0964775	0.00352253	0.003
12	0.0300649	2.51468e-05	4.79986	0.353424	0.191386	0.202782	6.57494	1.90812	5.70439e-09	0.00140896	3.27981	0.050471	0.210453	5.72086	0.863203	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429073	0.000220541	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299108	0.00699089	0.00594339	0.00134661	0.00729	0.0011639	0.0061261	0.0964775	0.00352252	0.003
13	0.0300703	2.72418e-05	4.79985	0.353542	0.191405	0.202782	6.57493	1.90812	5.70414e-09	0.00140904	3.27996	0.0504671	0.210453	5.72086	0.863201	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.000220542	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299108	0.00699089	0.00594339	0.00134661	0.00729	0.0011639	0.0061261	0.0964775	0.00352252	0.003
14	0.0300757	2.93366e-05	4.79984	0.35366	0.191424	0.202782	6.57492	1.90812	5.70387e-09	0.00140912	3.28012	0.0504633	0.210453	5.72086	0.863199	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.000220544	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299109	0.00699089	0.00594339	0.00134661	0.00729	0.0011639	0.0061261	0.0964775	0.00352252	0.003
15	0.0300811	3.14314e-05	4.79983	0.353778	0.191443	0.202782	6.57492	1.90812	5.70359e-09	0.0014092	3.28028	0.0504595	0.210453	5.72085	0.863197	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.000220545	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299109	0.00699089	0.0059434	0.0013466	0.00729	0.00116391	0.00612609	0.0964775	0.00352252	0.003
16	0.0300865	3.3526e-05	4.79982	0.353895	0.191463	0.202782	6.57491	1.90812	5.70329e-09	0.00140928	3.28045	0.0504558	0.210453	5.72085	0.863195	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.000220547	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299109	0.00699089	0.0059434	0.0013466	0.00729	0.00116391	0.00612609	0.0964775	0.00352252	0.003
17	0.0300919	3.56206e-05	4.79981	0.354012	0.191482	0.202782	6.57491	1.90812	5.70298e-09	0.00140935	3.28061	0.0504522	0.210453	5.72084	0.863194	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.000220548	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.00029911	0.00699089	0.0059434	0.0013466	0.00729	0.00116391	0.00612609	0.0964775	0.00352252	0.003
18	0.0300973	3.77151e-05	4.7998	0.354128	0.191501	0.202781	6.57491	1.90812	5.70266e-09	0.00140943	3.28078	0.0504487	0.210453	5.72084	0.863192	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.000220549	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.00029911	0.00699089	0.0059434	0.0013466	0.00729	0.00116391	0.00612609	0.0964775	0.00352252	0.003
19	0.0301028	3.98095e-05	4.79978	0.354243	0.19152	0.202781	6.5749	1.90812	5.70232e-09	0.00140951	3.28095	0.0504452	0.210453	5.72084	0.863191	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.00022055	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.00029911	0.00699089	0.0059434	0.0013466	0.00729	0.00116391	0.00612609	0.0964775	0.00352252	0.003
20	0.0301082	4.19038e-05	4.79977	0.354358	0.191539	0.202781	6.5749	1.90812	5.70197e-09	0.00140959	3.28113	0.0504418	0.210453	5.72083	0.86319	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429072	0.000220551	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299111	0.00699089	0.0059434	0.0013466	0.00729	0.00116391	0.00612609	0.0964775	0.00352252	0.003
21	0.0301136	4.39981e-05	4.79976	0.354473	0.191559	0.202781	6.57489	1.90812	5.70161e-09	0.00140966	3.2813	0.0504384	0.210453	5.72083	0.863188	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220552	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299111	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352252	0.003
22	0.030119	4.60923e-05	4.79975	0.354587	0.191578	0.202781	6.57489	1.90812	5.70124e-09	0.00140974	3.28148	0.050435	0.210453	5.72083	0.863187	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220553	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299111	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352252	0.003
23	0.0301244	4.81864e-05	4.79974	0.354701	0.191597	0.202781	6.57489	1.90812	5.70085e-09	0.00140982	3.28165	0.0504317	0.210452	5.72082	0.863186	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220554	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299112	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352252	0.003
24	0.0301298	5.02804e-05	4.79973	0.354814	0.191616	0.202781	6.57488	1.90812	5.70046e-09	0.0014099	3.28183	0.0504284	0.210452	5.72082	0.863185	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220554	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299112	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352252	0.003
25	0.0301353	5.23744e-05	4.79972	0.354927	0.191635	0.202781	6.57488	1.90811	5.70005e-09	0.00140997	3.28201	0.0504252	0.210452	5.72082	0.863184	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220555	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299112	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352252	0.003
26	0.0301407	5.44682e-05	4.7997	0.355039	0.191654	0.202781	6.57488	1.90811	5.69963e-09	0.00141005	3.28218	0.050422	0.210452	5.72082	0.863183	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220556	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299113	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352251	0.003
27	0.0301461	5.65621e-05	4.79969	0.355151	0.191673	0.202781	6.57487	1.90811	5.69921e-09	0.00141012	3.28236	0.0504188	0.210452	5.72081	0.863182	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220556	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299113	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352251	0.003
28	0.0301515	5.86558e-05	4.79968	0.355262	0.191691	0.202781	6.57487	1.90811	5.69877e-09	0.0014102	3.28254	0.0504157	0.210452	5.72081	0.863181	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220557	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299113	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352251	0.003
29	0.030157	6.07495e-05	4.79967	0.355373	0.19171	0.202781	6.57487	1.90811	5.69833e-09	0.00141028	3.28271	0.0504125	0.210452	5.72081	0.86318	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220558	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999713	0.000987493	0.00597717	0.000299114	0.00699089	0.0059434	0.0013466	0.00729	0.00116392	0.00612608	0.0964775	0.00352251	0.003
30	0.0301624	6.28431e-05	4.79966	0.355484	0.191729	0.202781	6.57486	1.90811	5.69788e-09	0.00141035	3.28289	0.0504094	0.210452	5.7208	0.863179	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220558	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299114	0.00699089	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
31	0.0301678	6.49367e-05	4.79965	0.355594	0.191747	0.202781	6.57486	1.90811	5.69742e-09	0.00141043	3.28307	0.0504063	0.210452	5.7208	0.863179	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220559	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299114	0.00699089	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
32	0.0301733	6.70302e-05	4.79964	0.355703	0.191766	0.202781	6.57486	1.90811	5.69695e-09	0.0014105	3.28324	0.0504032	0.210452	5.7208	0.863178	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220559	0.00345727	0.000999713	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299114	0.00699089	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
33	0.0301787	6.91236e-05	4.79962	0.355813	0.191784	0.202781	6.57485	1.90811	5.69647e-09	0.00141057	3.28342	0.0504002	0.210452	5.7208	0.863177	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.00022056	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299115	0.00699089	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
34	0.0301841	7.1217e-05	4.79961	0.355922	0.191803	0.202781	6.57485	1.90811	5.69599e-09	0.00141065	3.28359	0.0503972	0.210452	5.72079	0.863176	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.00022056	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299115	0.00699089	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
35	0.0301895	7.33103e-05	4.7996	0.35603	0.191821	0.202781	6.57485	1.90811	5.6955e-09	0.00141072	3.28377	0.0503941	0.210452	5.72079	0.863175	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.00429071	0.000220561	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299115	0.00699088	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
36	0.030195	7.54036e-05	4.79959	0.356138	0.191839	0.202781	6.57485	1.90811	5.695e-09	0.0014108	3.28394	0.0503911	0.210452	5.72079	0.863174	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220562	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299115	0.00699088	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
37	0.0302004	7.74968e-05	4.79958	0.356246	0.191858	0.202781	6.57484	1.90811	5.6945e-09	0.00141087	3.28411	0.0503882	0.210452	5.72079	0.863174	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220562	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299116	0.00699088	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
38	0.0302059	7.959e-05	4.79957	0.356353	0.191876	0.202781	6.57484	1.90811	5.69399e-09	0.00141094	3.28429	0.0503852	0.210452	5.72078	0.863173	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220563	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299116	0.00699088	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.00352251	0.003
39	0.0302113	8.16831e-05	4.79956	0.35646	0.191894	0.202781	6.57484	1.90811	5.69347e-09	0.00141101	3.28446	0.0503822	0.210452	5.72078	0.863172	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220563	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299116	0.00699088	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.0035225	0.003
40	0.0302167	8.37762e-05	4.79954	0.356566	0.191912	0.202781	6.57483	1.90811	5.69295e-09	0.00141109	3.28463	0.0503793	0.210452	5.72078	0.863171	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220564	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299116	0.00699088	0.0059434	0.0013466	0.00729	0.00116393	0.00612607	0.0964775	0.0035225	0.003
41	0.0302222	8.58692e-05	4.79953	0.356672	0.19193	0.202781	6.57483	1.90811	5.69242e-09	0.00141116	3.2848	0.0503764	0.210452	5.72078	0.863171	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220564	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299117	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
42	0.0302276	8.79622e-05	4.79952	0.356778	0.191947	0.20278	6.57483	1.90811	5.69189e-09	0.00141123	3.28497	0.0503735	0.210452	5.72077	0.86317	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220565	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299117	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
43	0.030233	9.00551e-05	4.79951	0.356883	0.191965	0.20278	6.57483	1.90811	5.69135e-09	0.0014113	3.28514	0.0503706	0.210452	5.72077	0.863169	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220565	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299117	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
44	0.0302385	9.2148e-05	4.7995	0.356988	0.191983	0.20278	6.57482	1.90811	5.69081e-09	0.00141137	3.28531	0.0503677	0.210451	5.72077	0.863168	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220566	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299117	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
45	0.0302439	9.42409e-05	4.79949	0.357092	0.192	0.20278	6.57482	1.90811	5.69026e-09	0.00141144	3.28548	0.0503648	0.210451	5.72077	0.863168	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220566	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299118	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
46	0.0302494	9.63337e-05	4.79947	0.357196	0.192018	0.20278	6.57482	1.90811	5.68971e-09	0.00141152	3.28565	0.0503619	0.210451	5.72077	0.863167	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220566	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299118	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
47	0.0302548	9.84265e-05	4.79946	0.3573	0.192035	0.20278	6.57481	1.90811	5.68916e-09	0.00141159	3.28582	0.0503591	0.210451	5.72076	0.863166	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220567	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299118	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
48	0.0302603	0.000100519	4.79945	0.357403	0.192053	0.20278	6.57481	1.90811	5.6886e-09	0.00141166	3.28598	0.0503563	0.210451	5.72076	0.863165	0.00472323	0.00141697	0.000141697	0.001	0.00109622	0.00102685	0.001	0.001	0.0115156	0.0115528	0.000157492	0.00102961	0.0042907	0.000220567	0.00345727	0.000999712	0.00229089	0.0046474	0.000143816	0.000999712	0.000987493	0.00597717	0.000299118	0.00699088	0.0059434	0.0013466	0.00729	0.00116394	0.00612606	0.0964775	0.0035225	0.003
