Time	[IR]	[IRp]	[IRins]	[IRip]	[IRi]	[IRS1]	[IRS1p]	[IRS1p307]	[IRS1307]	[X]	[Xp]	[PKB]	[PKB308p]	[PKB473p]	[PKB308p473p]	[mTORC1]	[mTORC1a]	[mTORC2]	[mTORC2a]	[AS160]	[AS160p]	[GLUT4m]	[GLUT4]	[S6K]	[S6Kp]	[S6]	[S6p]
39	5.94089	0.0191546	42.8966	0.057597	1.08572	81.5043	0.00402561	0.468687	18.023	99.9944	0.00560485	22.6231	14.3029	55.1561	7.91797	61.7623	38.2377	99.5362	0.463847	56.6938	43.3062	24.5647	25.4353	98.2348	1.76523	84.0666	15.9334
40	5.94089	0.0191546	42.8966	0.0575896	1.08571	81.5069	0.00402529	0.468563	18.0205	99.9944	0.00560555	22.6274	14.3046	55.1526	7.91543	61.7693	38.2307	99.5362	0.463778	56.6975	43.3025	24.5636	25.4364	98.2247	1.77528	83.9903	16.0097
41	5.94089	0.0191546	42.8967	0.0575834	1.08571	81.5091	0.00402501	0.468457	18.0184	99.9944	0.00560615	22.6311	14.306	55.1497	7.91326	61.7754	38.2246	99.5363	0.463719	56.7007	43.2993	24.5627	25.4373	98.2151	1.78487	83.9176	16.0824
42	5.94089	0.0191546	42.8967	0.0575781	1.08571	81.5109	0.00402478	0.468367	18.0167	99.9944	0.00560666	22.6342	14.3073	55.1471	7.91142	61.7805	38.2195	99.5363	0.463669	56.7034	43.2966	24.5619	25.4381	98.206	1.79403	83.8483	16.1517
43	5.94089	0.0191546	42.8967	0.0575736	1.08571	81.5125	0.00402458	0.46829	18.0152	99.9944	0.00560709	22.6368	14.3083	55.145	7.90986	61.7849	38.2151	99.5364	0.463626	56.7057	43.2943	24.5612	25.4388	98.1972	1.80277	83.7823	16.2177
44	5.9409	0.0191546	42.8967	0.0575698	1.08571	81.5138	0.00402441	0.468225	18.0139	99.9944	0.00560745	22.6391	14.3092	55.1432	7.90853	61.7886	38.2114	99.5364	0.46359	56.7077	43.2923	24.5607	25.4393	98.1889	1.81111	83.7194	16.2806
45	5.9409	0.0191546	42.8967	0.0575666	1.08571	81.515	0.00402427	0.46817	18.0128	99.9944	0.00560777	22.641	14.31	55.1416	7.9074	61.7917	38.2083	99.5364	0.46356	56.7094	43.2906	24.5602	25.4398	98.1809	1.81908	83.6594	16.3406
46	5.9409	0.0191546	42.8967	0.0575638	1.0857	81.5159	0.00402414	0.468123	18.0119	99.9944	0.00560803	22.6426	14.3106	55.1403	7.90644	61.7944	38.2056	99.5365	0.463534	56.7108	43.2892	24.5598	25.4402	98.1733	1.82668	83.6022	16.3978
47	5.9409	0.0191546	42.8967	0.0575614	1.0857	81.5168	0.00402404	0.468083	18.0111	99.9944	0.00560826	22.644	14.3112	55.1392	7.90563	61.7967	38.2033	99.5365	0.463511	56.712	43.288	24.5594	25.4406	98.1661	1.83395	83.5477	16.4523
48	5.9409	0.0191546	42.8967	0.0575594	1.0857	81.5175	0.00402395	0.468049	18.0105	99.9944	0.00560845	22.6452	14.3116	55.1383	7.90493	61.7986	38.2014	99.5365	0.463492	56.713	43.287	24.5591	25.4409	98.1591	1.84088	83.4956	16.5044
49	5.9409	0.0191546	42.8967	0.0575577	1.0857	81.5181	0.00402388	0.46802	18.0099	99.9944	0.00560861	22.6462	14.312	55.1375	7.90434	61.8002	38.1998	99.5365	0.463476	56.7139	43.2861	24.5589	25.4411	98.1525	1.84751	83.446	16.554
50	5.9409	0.0191546	42.8967	0.0575563	1.0857	81.5186	0.00402381	0.467995	18.0094	99.9944	0.00560875	22.647	14.3124	55.1368	7.90384	61.8016	38.1984	99.5365	0.463463	56.7146	43.2854	24.5587	25.4413	98.1462	1.85384	83.3986	16.6014
51	5.9409	0.0191546	42.8967	0.0575551	1.0857	81.519	0.00402376	0.467975	18.009	99.9944	0.00560887	22.6478	14.3126	55.1362	7.90341	61.8028	38.1972	99.5365	0.463451	56.7152	43.2848	24.5585	25.4415	98.1401	1.85988	83.3534	16.6466
52	5.9409	0.0191546	42.8967	0.057554	1.0857	81.5194	0.00402371	0.467957	18.0087	99.9944	0.00560897	22.6484	14.3129	55.1357	7.90305	61.8038	38.1962	99.5366	0.463441	56.7158	43.2842	24.5583	25.4417	98.1343	1.86566	83.3103	16.6897
53	5.9409	0.0191546	42.8967	0.0575531	1.0857	81.5197	0.00402367	0.467942	18.0084	99.9944	0.00560906	22.6489	14.3131	55.1353	7.90274	61.8047	38.1953	99.5366	0.463433	56.7162	43.2838	24.5582	25.4418	98.1288	1.87118	83.2692	16.7308
54	5.9409	0.0191547	42.8967	0.0575524	1.0857	81.5199	0.00402364	0.467929	18.0081	99.9944	0.00560913	22.6494	14.3133	55.1349	7.90248	61.8054	38.1946	99.5366	0.463426	56.7166	43.2834	24.5581	25.4419	98.1236	1.87645	83.2299	16.7701
55	5.9409	0.0191547	42.8967	0.0575517	1.0857	81.5201	0.00402361	0.467918	18.0079	99.9944	0.00560919	22.6497	14.3134	55.1346	7.90226	61.806	38.194	99.5366	0.46342	56.717	43.283	24.558	25.442	98.1185	1.88149	83.1924	16.8076
56	5.9409	0.0191547	42.8967	0.0575512	1.0857	81.5203	0.00402359	0.467909	18.0077	99.9944	0.00560924	22.65	14.3135	55.1343	7.90207	61.8066	38.1934	99.5366	0.463415	56.7172	43.2828	24.5579	25.4421	98.1137	1.8863	83.1566	16.8434
57	5.9409	0.0191547	42.8967	0.0575507	1.0857	81.5205	0.00402357	0.467901	18.0076	99.9944	0.00560929	22.6503	14.3137	55.1341	7.90191	61.807	38.193	99.5366	0.46341	56.7175	43.2825	24.5578	25.4422	98.1091	1.8909	83.1224	16.8776
58	5.9409	0.0191547	42.8967	0.0575504	1.0857	81.5206	0.00402355	0.467894	18.0074	99.9944	0.00560932	22.6506	14.3137	55.1339	7.90177	61.8074	38.1926	99.5366	0.463406	56.7177	43.2823	24.5578	25.4422	98.1047	1.89529	83.0898	16.9102
59	5.9409	0.0191547	42.8967	0.05755	1.0857	81.5208	0.00402353	0.467888	18.0073	99.9944	0.00560936	22.6508	14.3138	55.1338	7.90165	61.8077	38.1923	99.5366	0.463403	56.7178	43.2822	24.5577	25.4423	98.1005	1.89949	83.0587	16.9413
