Time	[Calcium in Nucleus]	[Calcium in Cytosol]	[NFAT_Nuc]	[Active Calcineurin in nucleus]	[Phosphorylated NFAT in nucleus]	[NFAT Calcineurin complex in nucleus]	[Phosphorylated NFAT Calcineurin complex in nucleus]	[Inactive Calcineurin in nucleus]	[NFAT_Cyt]	[Active Calcineurin in cytosol]	[Phosphorylated NFAT in cytosol]	[NFAT Calcineurin complex in cytosol]	[Phosphorylated NFAT Calcineurin complex in cytosol]	[Inactive Calcineurin in cytosol]
53	0.962647	0.962724	0.00016105	0.0222432	6.38144e-05	0.0153659	4.9851e-05	0.0249364	5.29963e-05	0.00198118	0.00335587	0.000180271	0.000112551	0.00224666
54	0.962595	0.962673	0.000162721	0.0222264	6.29442e-05	0.0154858	5.0002e-05	0.0249217	5.25438e-05	0.00196545	0.00330916	0.000178652	0.000110572	0.00222881
55	0.962544	0.962624	0.000164358	0.0222097	6.20926e-05	0.015603	5.01498e-05	0.0249068	5.21011e-05	0.00195019	0.00326344	0.000177097	0.000108663	0.00221149
56	0.962494	0.962576	0.000165963	0.022193	6.12591e-05	0.0157177	5.02945e-05	0.024892	5.1668e-05	0.00193539	0.00321867	0.000175606	0.000106821	0.00219469
57	0.962444	0.962529	0.000167535	0.0221763	6.04431e-05	0.0158298	5.04363e-05	0.0248771	5.12442e-05	0.00192102	0.00317483	0.000174174	0.000105042	0.00217838
58	0.962396	0.962483	0.000169076	0.0221597	5.96441e-05	0.0159395	5.05752e-05	0.0248621	5.08294e-05	0.00190707	0.00313189	0.000172798	0.000103325	0.00216255
59	0.962349	0.962438	0.000170587	0.0221431	5.88614e-05	0.0160468	5.07114e-05	0.0248471	5.04233e-05	0.00189353	0.00308981	0.000171477	0.000101665	0.00214718
60	0.962303	0.962393	0.000172068	0.0221265	5.80945e-05	0.016152	5.08448e-05	0.0248321	5.00258e-05	0.00188039	0.00304857	0.000170206	0.000100061	0.00213226
61	0.962258	0.96235	0.000173522	0.02211	5.7343e-05	0.0162549	5.09757e-05	0.024817	4.96365e-05	0.00186762	0.00300814	0.000168985	9.85095e-05	0.00211778
62	0.962214	0.962307	0.000174948	0.0220935	5.66063e-05	0.0163557	5.1104e-05	0.0248019	4.92552e-05	0.00185523	0.0029685	0.000167809	9.7009e-05	0.00210371
63	0.96217	0.962265	0.000176348	0.022077	5.58839e-05	0.0164545	5.12299e-05	0.0247868	4.88817e-05	0.0018432	0.00292963	0.000166678	9.55568e-05	0.00209005
64	0.962128	0.962224	0.000177722	0.0220606	5.51755e-05	0.0165513	5.13534e-05	0.0247716	4.85158e-05	0.00183151	0.00289149	0.00016559	9.41509e-05	0.00207678
65	0.962086	0.962184	0.000179071	0.0220442	5.44807e-05	0.0166462	5.14746e-05	0.0247564	4.81572e-05	0.00182016	0.00285408	0.000164541	9.27896e-05	0.0020639
66	0.962045	0.962145	0.000180396	0.0220279	5.37989e-05	0.0167392	5.15936e-05	0.0247412	4.78058e-05	0.00180913	0.00281736	0.000163531	9.14707e-05	0.00205139
67	0.962005	0.962106	0.000181697	0.0220116	5.31299e-05	0.0168304	5.17104e-05	0.024726	4.74613e-05	0.00179842	0.00278132	0.000162557	9.01926e-05	0.00203923
68	0.961965	0.962068	0.000182976	0.0219953	5.24732e-05	0.0169199	5.18251e-05	0.0247107	4.71237e-05	0.00178802	0.00274594	0.000161619	8.89535e-05	0.00202743
69	0.961927	0.96203	0.000184233	0.021979	5.18285e-05	0.0170077	5.19378e-05	0.0246954	4.67926e-05	0.00177791	0.00271119	0.000160714	8.77519e-05	0.00201596
70	0.961889	0.961994	0.000185469	0.0219628	5.11955e-05	0.0170938	5.20485e-05	0.0246801	4.64679e-05	0.0017681	0.00267707	0.000159841	8.65861e-05	0.00200482
71	0.961851	0.961958	0.000186684	0.0219467	5.05738e-05	0.0171784	5.21572e-05	0.0246648	4.61495e-05	0.00175856	0.00264355	0.000158999	8.54549e-05	0.00199399
72	0.961815	0.961922	0.000187879	0.0219305	4.9963e-05	0.0172614	5.22641e-05	0.0246494	4.58371e-05	0.0017493	0.00261062	0.000158186	8.43568e-05	0.00198348
73	0.961779	0.961887	0.000189055	0.0219144	4.9363e-05	0.0173429	5.23691e-05	0.0246341	4.55307e-05	0.0017403	0.00257826	0.000157402	8.32904e-05	0.00197327
74	0.961743	0.961853	0.000190212	0.0218983	4.87734e-05	0.0174229	5.24724e-05	0.0246187	4.52301e-05	0.00173156	0.00254645	0.000156644	8.22548e-05	0.00196334
75	0.961708	0.961819	0.00019135	0.0218823	4.81939e-05	0.0175015	5.25739e-05	0.0246033	4.4935e-05	0.00172306	0.00251519	0.000155912	8.12485e-05	0.00195371
76	0.961674	0.961786	0.000192471	0.0218663	4.76242e-05	0.0175787	5.26738e-05	0.024588	4.46454e-05	0.00171482	0.00248445	0.000155204	8.02703e-05	0.00194434
77	0.961641	0.961754	0.000193575	0.0218503	4.70641e-05	0.0176546	5.2772e-05	0.0245726	4.43612e-05	0.0017068	0.00245422	0.00015452	7.93194e-05	0.00193525
78	0.961608	0.961722	0.000194662	0.0218344	4.65134e-05	0.0177292	5.28686e-05	0.0245572	4.40822e-05	0.00169902	0.00242449	0.000153859	7.83946e-05	0.00192642
79	0.961575	0.96169	0.000195732	0.0218185	4.59717e-05	0.0178025	5.29636e-05	0.0245417	4.38082e-05	0.00169146	0.00239526	0.00015322	7.7495e-05	0.00191784
80	0.961543	0.961659	0.000196787	0.0218026	4.54389e-05	0.0178746	5.30572e-05	0.0245263	4.35392e-05	0.00168412	0.00236649	0.000152601	7.66197e-05	0.0019095
81	0.961512	0.961628	0.000197827	0.0217868	4.49147e-05	0.0179454	5.31492e-05	0.0245109	4.3275e-05	0.00167699	0.00233819	0.000152003	7.57677e-05	0.00190141
82	0.961481	0.961598	0.000198852	0.021771	4.4399e-05	0.0180151	5.32398e-05	0.0244955	4.30154e-05	0.00167006	0.00231033	0.000151423	7.49382e-05	0.00189355
83	0.96145	0.961569	0.000199862	0.0217553	4.38914e-05	0.0180836	5.33291e-05	0.0244801	4.27605e-05	0.00166334	0.00228292	0.000150862	7.41304e-05	0.00188592
84	0.961421	0.96154	0.000200858	0.0217395	4.33918e-05	0.018151	5.34169e-05	0.0244646	4.251e-05	0.00165681	0.00225594	0.000150319	7.33435e-05	0.00187851
85	0.961391	0.961511	0.000201841	0.0217239	4.29001e-05	0.0182173	5.35034e-05	0.0244492	4.2264e-05	0.00165047	0.00222937	0.000149793	7.25769e-05	0.00187132
86	0.961362	0.961483	0.00020281	0.0217082	4.24159e-05	0.0182826	5.35886e-05	0.0244338	4.20221e-05	0.00164432	0.00220322	0.000149284	7.18297e-05	0.00186433
87	0.961333	0.961455	0.000203766	0.0216926	4.19392e-05	0.0183468	5.36725e-05	0.0244183	4.17844e-05	0.00163835	0.00217746	0.00014879	7.11012e-05	0.00185756
88	0.961305	0.961428	0.000204709	0.021677	4.14698e-05	0.01841	5.37552e-05	0.0244029	4.15508e-05	0.00163255	0.0021521	0.000148311	7.03909e-05	0.00185098
89	0.961278	0.961401	0.000205641	0.0216614	4.10074e-05	0.0184723	5.38366e-05	0.0243875	4.13212e-05	0.00162693	0.00212711	0.000147847	6.96981e-05	0.0018446
90	0.96125	0.961374	0.00020656	0.0216459	4.05519e-05	0.0185335	5.39169e-05	0.0243721	4.10954e-05	0.00162148	0.0021025	0.000147397	6.90222e-05	0.00183841
91	0.961224	0.961348	0.000207467	0.0216304	4.01032e-05	0.0185939	5.3996e-05	0.0243567	4.08734e-05	0.00161618	0.00207825	0.00014696	6.83626e-05	0.0018324
92	0.961197	0.961322	0.000208363	0.021615	3.96612e-05	0.0186533	5.40739e-05	0.0243412	4.0655e-05	0.00161105	0.00205435	0.000146537	6.77189e-05	0.00182658
93	0.961171	0.961297	0.000209248	0.0215995	3.92255e-05	0.0187118	5.41508e-05	0.0243258	4.04403e-05	0.00160608	0.00203081	0.000146126	6.70904e-05	0.00182093
94	0.961145	0.961272	0.000210122	0.0215841	3.87962e-05	0.0187694	5.42265e-05	0.0243104	4.02291e-05	0.00160125	0.0020076	0.000145727	6.64767e-05	0.00181545
95	0.96112	0.961247	0.000210985	0.0215688	3.83731e-05	0.0188262	5.43012e-05	0.024295	4.00214e-05	0.00159658	0.00198472	0.00014534	6.58773e-05	0.00181015
96	0.961095	0.961223	0.000211838	0.0215535	3.7956e-05	0.0188822	5.43749e-05	0.0242797	3.9817e-05	0.00159205	0.00196218	0.000144963	6.52917e-05	0.00180501
97	0.96107	0.961199	0.000212681	0.0215382	3.75448e-05	0.0189373	5.44475e-05	0.0242643	3.96159e-05	0.00158766	0.00193995	0.000144598	6.47195e-05	0.00180002
98	0.961046	0.961175	0.000213514	0.0215229	3.71394e-05	0.0189916	5.45192e-05	0.0242489	3.9418e-05	0.00158341	0.00191803	0.000144243	6.41603e-05	0.0017952
99	0.961022	0.961152	0.000214338	0.0215077	3.67397e-05	0.0190452	5.45898e-05	0.0242336	3.92232e-05	0.0015793	0.00189641	0.000143898	6.36135e-05	0.00179053
100	0.960999	0.961129	0.000215152	0.0214925	3.63455e-05	0.0190979	5.46595e-05	0.0242182	3.90315e-05	0.00157531	0.0018751	0.000143563	6.30789e-05	0.00178601
