Time	[High energy phosphates]	[Glucose 6 Phosphate]	[Fructose 6 Phosphate]	[NADH]	[NAD]	[3-phosphoglycerate]	[2-phosphoglycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Acetaldehyde]	[CO2]	[Ethanol]	[Succinate]	[X]	[glyceraldehyde 3-phosphate]	[dihydroxyacetone phosphate]	[Glycerol]	[D-6-phosphoglucono-delta-lactone]	[6-phosphogluconate]	[NADP+]	[NADPH]	[ribulose 5-phosphate]	[ribose 5-phosphate]	[xylulose 5-phosphate]	[sedoheptulose 7-phosphate]	[erythrose 4-phosphate]	[Extracellular Glucose]	[Glucose in Cytosol]
81	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
82	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
83	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
84	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
85	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
86	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
87	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
88	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
89	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
90	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
91	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
92	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
93	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
94	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
95	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
96	7.51429	3.61899	0.528171	0.0404994	1.5495	1.0146	0.14135	0.343799	14.2079	0.196471	1	50	0.1	0.1	0.0597121	1.47448	0.15	0.613972	1.10365	0.263128	1.73687	0.352225	0.35184	0.349771	0.828311	0.0585771	50	0.0758662
