Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[Gly_e]	[ATP_c]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[CO2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
28	0.343842	4.95312	0.544562	2.65795	1.98441	0.544581	1.23864	3.83823	0.191459	0	1	0	2.34767	0.166193	0.035242	5	0.0348823	1.37351	0	3.95617	10.5794	0.121257	0	0	0.0468755	17.0863	1.01934	3.47102	1054.33	0.313686	0.0438317
29	0.343896	4.95313	0.544452	2.65814	1.98428	0.544659	1.23853	3.83932	0.191489	0	1	0	2.34786	0.166224	0.0352475	5	0.0348878	1.37391	0	3.95617	10.5808	0.121265	0	0	0.046865	17.0835	1.01944	3.47127	1054.62	0.313606	0.043827
30	0.343938	4.95314	0.544363	2.65829	1.98417	0.544722	1.23845	3.84019	0.191514	0	1	0	2.34801	0.166249	0.0352519	5	0.0348923	1.37422	0	3.95618	10.5819	0.121273	0	0	0.0468567	17.0813	1.01953	3.47146	1054.85	0.313542	0.0438233
31	0.343973	4.95315	0.544292	2.65841	1.98409	0.544772	1.23838	3.84089	0.191533	0	1	0	2.34813	0.166268	0.0352555	5	0.0348958	1.37448	0	3.95618	10.5828	0.121278	0	0	0.04685	17.0795	1.01959	3.47162	1055.03	0.313491	0.0438203
32	0.344001	4.95316	0.544235	2.65851	1.98402	0.544812	1.23832	3.84145	0.191549	0	1	0	2.34823	0.166284	0.0352583	5	0.0348987	1.37468	0	3.95618	10.5835	0.121283	0	0	0.0468446	17.0781	1.01965	3.47174	1055.18	0.31345	0.0438179
33	0.344023	4.95316	0.544189	2.65859	1.98397	0.544844	1.23828	3.8419	0.191561	0	1	0	2.34831	0.166297	0.0352606	5	0.034901	1.37484	0	3.95618	10.584	0.121286	0	0	0.0468403	17.077	1.01969	3.47184	1055.3	0.313417	0.043816
34	0.344041	4.95316	0.544152	2.65865	1.98392	0.54487	1.23824	3.84227	0.191571	0	1	0	2.34837	0.166308	0.0352625	5	0.0349028	1.37498	0	3.95619	10.5845	0.121289	0	0	0.0468368	17.0761	1.01973	3.47192	1055.4	0.31339	0.0438144
35	0.344055	4.95317	0.544123	2.6587	1.98389	0.544891	1.23821	3.84256	0.191579	0	1	0	2.34842	0.166316	0.035264	5	0.0349043	1.37508	0	3.95619	10.5849	0.121292	0	0	0.046834	17.0753	1.01975	3.47199	1055.47	0.313369	0.0438132
36	0.344066	4.95317	0.544099	2.65874	1.98386	0.544907	1.23819	3.84279	0.191586	0	1	0	2.34846	0.166322	0.0352651	5	0.0349055	1.37516	0	3.95619	10.5852	0.121294	0	0	0.0468318	17.0747	1.01978	3.47204	1055.53	0.313352	0.0438122
37	0.344076	4.95317	0.54408	2.65877	1.98384	0.544921	1.23817	3.84298	0.191591	0	1	0	2.34849	0.166328	0.0352661	5	0.0349064	1.37523	0	3.95619	10.5854	0.121295	0	0	0.04683	17.0743	1.01979	3.47208	1055.58	0.313338	0.0438114
38	0.344083	4.95317	0.544065	2.6588	1.98382	0.544931	1.23816	3.84313	0.191595	0	1	0	2.34852	0.166332	0.0352668	5	0.0349072	1.37529	0	3.95619	10.5856	0.121296	0	0	0.0468286	17.0739	1.01981	3.47212	1055.62	0.313327	0.0438107
39	0.344089	4.95317	0.544053	2.65882	1.9838	0.54494	1.23814	3.84325	0.191599	0	1	0	2.34854	0.166335	0.0352675	5	0.0349078	1.37533	0	3.95619	10.5858	0.121297	0	0	0.0468274	17.0736	1.01982	3.47214	1055.65	0.313319	0.0438102
40	0.344094	4.95317	0.544043	2.65884	1.98379	0.544947	1.23813	3.84334	0.191601	0	1	0	2.34855	0.166338	0.0352679	5	0.0349083	1.37537	0	3.95619	10.5859	0.121298	0	0	0.0468265	17.0733	1.01983	3.47216	1055.68	0.313312	0.0438098
41	0.344097	4.95317	0.544035	2.65885	1.98378	0.544952	1.23813	3.84342	0.191603	0	1	0	2.34857	0.16634	0.0352683	5	0.0349087	1.37539	0	3.95619	10.586	0.121299	0	0	0.0468258	17.0732	1.01984	3.47218	1055.7	0.313306	0.0438095
42	0.3441	4.95317	0.544029	2.65886	1.98378	0.544957	1.23812	3.84348	0.191605	0	1	0	2.34858	0.166342	0.0352687	5	0.034909	1.37542	0	3.95619	10.5861	0.121299	0	0	0.0468252	17.073	1.01984	3.4722	1055.72	0.313301	0.0438092
43	0.344103	4.95318	0.544024	2.65887	1.98377	0.54496	1.23812	3.84353	0.191606	0	1	0	2.34859	0.166343	0.0352689	5	0.0349092	1.37543	0	3.95619	10.5861	0.1213	0	0	0.0468247	17.0729	1.01985	3.47221	1055.73	0.313298	0.043809
44	0.344105	4.95318	0.54402	2.65888	1.98376	0.544963	1.23811	3.84357	0.191608	0	1	0	2.34859	0.166345	0.0352691	5	0.0349094	1.37545	0	3.95619	10.5862	0.1213	0	0	0.0468243	17.0728	1.01985	3.47222	1055.74	0.313295	0.0438088
45	0.344106	4.95318	0.544016	2.65888	1.98376	0.544966	1.23811	3.84361	0.191608	0	1	0	2.3486	0.166346	0.0352693	5	0.0349096	1.37546	0	3.95619	10.5862	0.1213	0	0	0.046824	17.0727	1.01986	3.47222	1055.75	0.313292	0.0438087
46	0.344108	4.95318	0.544014	2.65889	1.98376	0.544967	1.23811	3.84363	0.191609	0	1	0	2.3486	0.166346	0.0352694	5	0.0349097	1.37547	0	3.95619	10.5862	0.1213	0	0	0.0468238	17.0726	1.01986	3.47223	1055.75	0.313291	0.0438086
47	0.344109	4.95318	0.544012	2.65889	1.98375	0.544969	1.2381	3.84365	0.19161	0	1	0	2.34861	0.166347	0.0352695	5	0.0349098	1.37548	0	3.95619	10.5863	0.121301	0	0	0.0468236	17.0726	1.01986	3.47223	1055.76	0.313289	0.0438085
