Time	[Glucose inside the cell]	[ATP]	[Glucose 6-phosphate]	[Phosphoenol pyruvate]	[Glycerol]	[Ethanol]	[Glycogen and Trehalose]	[Glucose outside the cell]
57	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
58	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
59	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
60	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
61	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
62	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
63	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
64	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
65	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
66	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
67	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
68	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
69	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
70	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
71	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
72	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
73	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
74	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
75	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
76	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
77	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
78	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
79	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
80	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
81	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
82	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
83	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
84	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
85	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
86	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
87	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
88	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
89	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
90	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
91	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
92	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
93	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
94	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
95	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
96	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
97	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
98	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
99	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
100	0.0345091	1.12781	1.01099	0.00952491	0	0	0	1
