Time	[S0]	[ATP]	[S1]	[Pi_]	[ADP]	[fwd_step1]	[fwd_step2]	[back_step1]	[back_step2]
49	4.61537e+15	20	5.38463e+15	0	0	3.16904e+18	3.16368e+18	2.2636e+13	1.58184e+12
50	4.61537e+15	20	5.38463e+15	0	0	3.23366e+18	3.22829e+18	2.30976e+13	1.61415e+12
51	4.61537e+15	20	5.38463e+15	0	0	3.29827e+18	3.29291e+18	2.35591e+13	1.64645e+12
52	4.61537e+15	20	5.38463e+15	0	0	3.36289e+18	3.35753e+18	2.40206e+13	1.67876e+12
53	4.61537e+15	20	5.38463e+15	0	0	3.4275e+18	3.42214e+18	2.44822e+13	1.71107e+12
54	4.61537e+15	20	5.38463e+15	0	0	3.49212e+18	3.48676e+18	2.49437e+13	1.74338e+12
55	4.61537e+15	20	5.38463e+15	0	0	3.55673e+18	3.55137e+18	2.54052e+13	1.77569e+12
56	4.61537e+15	20	5.38463e+15	0	0	3.62135e+18	3.61599e+18	2.58668e+13	1.80799e+12
57	4.61537e+15	20	5.38463e+15	0	0	3.68596e+18	3.6806e+18	2.63283e+13	1.8403e+12
58	4.61537e+15	20	5.38463e+15	0	0	3.75058e+18	3.74522e+18	2.67898e+13	1.87261e+12
59	4.61537e+15	20	5.38463e+15	0	0	3.81519e+18	3.80983e+18	2.72514e+13	1.90492e+12
60	4.61537e+15	20	5.38463e+15	0	0	3.87981e+18	3.87445e+18	2.77129e+13	1.93722e+12
61	4.61537e+15	20	5.38463e+15	0	0	3.94442e+18	3.93907e+18	2.81745e+13	1.96953e+12
62	4.61537e+15	20	5.38463e+15	0	0	4.00904e+18	4.00368e+18	2.8636e+13	2.00184e+12
63	4.61537e+15	20	5.38463e+15	0	0	4.07365e+18	4.0683e+18	2.90975e+13	2.03415e+12
64	4.61537e+15	20	5.38463e+15	0	0	4.13827e+18	4.13291e+18	2.95591e+13	2.06646e+12
65	4.61537e+15	20	5.38463e+15	0	0	4.20288e+18	4.19753e+18	3.00206e+13	2.09876e+12
66	4.61537e+15	20	5.38463e+15	0	0	4.2675e+18	4.26214e+18	3.04821e+13	2.13107e+12
67	4.61537e+15	20	5.38463e+15	0	0	4.33211e+18	4.32676e+18	3.09437e+13	2.16338e+12
68	4.61537e+15	20	5.38463e+15	0	0	4.39673e+18	4.39137e+18	3.14052e+13	2.19569e+12
69	4.61537e+15	20	5.38463e+15	0	0	4.46134e+18	4.45599e+18	3.18667e+13	2.228e+12
70	4.61537e+15	20	5.38463e+15	0	0	4.52596e+18	4.52061e+18	3.23283e+13	2.2603e+12
71	4.61537e+15	20	5.38463e+15	0	0	4.59058e+18	4.58522e+18	3.27898e+13	2.29261e+12
72	4.61537e+15	20	5.38463e+15	0	0	4.65519e+18	4.64984e+18	3.32514e+13	2.32492e+12
73	4.61537e+15	20	5.38463e+15	0	0	4.71981e+18	4.71445e+18	3.37129e+13	2.35723e+12
74	4.61537e+15	20	5.38463e+15	0	0	4.78442e+18	4.77907e+18	3.41744e+13	2.38953e+12
75	4.61537e+15	20	5.38463e+15	0	0	4.84904e+18	4.84368e+18	3.4636e+13	2.42184e+12
76	4.61537e+15	20	5.38463e+15	0	0	4.91365e+18	4.9083e+18	3.50975e+13	2.45415e+12
77	4.61537e+15	20	5.38463e+15	0	0	4.97827e+18	4.97291e+18	3.5559e+13	2.48646e+12
78	4.61537e+15	20	5.38463e+15	0	0	5.04288e+18	5.03753e+18	3.60206e+13	2.51877e+12
79	4.61537e+15	20	5.38463e+15	0	0	5.1075e+18	5.10215e+18	3.64821e+13	2.55107e+12
80	4.61537e+15	20	5.38463e+15	0	0	5.17211e+18	5.16676e+18	3.69437e+13	2.58338e+12
81	4.61537e+15	20	5.38463e+15	0	0	5.23673e+18	5.23138e+18	3.74052e+13	2.61569e+12
82	4.61537e+15	20	5.38463e+15	0	0	5.30134e+18	5.29599e+18	3.78667e+13	2.648e+12
83	4.61537e+15	20	5.38463e+15	0	0	5.36596e+18	5.36061e+18	3.83283e+13	2.6803e+12
84	4.61537e+15	20	5.38463e+15	0	0	5.43057e+18	5.42522e+18	3.87898e+13	2.71261e+12
85	4.61537e+15	20	5.38463e+15	0	0	5.49519e+18	5.48984e+18	3.92513e+13	2.74492e+12
86	4.61537e+15	20	5.38463e+15	0	0	5.5598e+18	5.55445e+18	3.97129e+13	2.77723e+12
87	4.61537e+15	20	5.38463e+15	0	0	5.62442e+18	5.61907e+18	4.01744e+13	2.80954e+12
88	4.61537e+15	20	5.38463e+15	0	0	5.68903e+18	5.68369e+18	4.06359e+13	2.84184e+12
89	4.61537e+15	20	5.38463e+15	0	0	5.75365e+18	5.7483e+18	4.10975e+13	2.87415e+12
90	4.61537e+15	20	5.38463e+15	0	0	5.81826e+18	5.81292e+18	4.1559e+13	2.90646e+12
91	4.61537e+15	20	5.38463e+15	0	0	5.88288e+18	5.87753e+18	4.20206e+13	2.93877e+12
92	4.61537e+15	20	5.38463e+15	0	0	5.94749e+18	5.94215e+18	4.24821e+13	2.97107e+12
93	4.61537e+15	20	5.38463e+15	0	0	6.01211e+18	6.00676e+18	4.29436e+13	3.00338e+12
94	4.61537e+15	20	5.38463e+15	0	0	6.07672e+18	6.07138e+18	4.34052e+13	3.03569e+12
95	4.61537e+15	20	5.38463e+15	0	0	6.14134e+18	6.136e+18	4.38667e+13	3.068e+12
96	4.61537e+15	20	5.38463e+15	0	0	6.20595e+18	6.20061e+18	4.43282e+13	3.10031e+12
97	4.61537e+15	20	5.38463e+15	0	0	6.27057e+18	6.26523e+18	4.47898e+13	3.13261e+12
98	4.61537e+15	20	5.38463e+15	0	0	6.33518e+18	6.32984e+18	4.52513e+13	3.16492e+12
99	4.61537e+15	20	5.38463e+15	0	0	6.3998e+18	6.39446e+18	4.57129e+13	3.19723e+12
100	4.61537e+15	20	5.38463e+15	0	0	6.46441e+18	6.45907e+18	4.61744e+13	3.22954e+12
