Time	[C16AcylCarCYT]	[C16AcylCarMAT]	[C16AcylCoAMAT]	[C16EnoylCoAMAT]	[C16HydroxyacylCoAMAT]	[C16KetoacylCoAMAT]	[C14AcylCarCYT]	[C14AcylCarMAT]	[C14AcylCoAMAT]	[C14EnoylCoAMAT]	[C14HydroxyacylCoAMAT]	[C14KetoacylCoAMAT]	[C12AcylCarCYT]	[C12AcylCarMAT]	[C12AcylCoAMAT]	[C12EnoylCoAMAT]	[C12HydroxyacylCoAMAT]	[C12KetoacylCoAMAT]	[C10AcylCarCYT]	[C10AcylCarMAT]	[C10AcylCoAMAT]	[C10EnoylCoAMAT]	[C10HydroxyacylCoAMAT]	[C10KetoacylCoAMAT]	[C8AcylCarCYT]	[C8AcylCarMAT]	[C8AcylCoAMAT]	[C8EnoylCoAMAT]	[C8HydroxyacylCoAMAT]	[C8KetoacylCoAMAT]	[C6AcylCarCYT]	[C6AcylCarMAT]	[C6AcylCoAMAT]	[C6EnoylCoAMAT]	[C6HydroxyacylCoAMAT]	[C6KetoacylCoAMAT]	[C4AcylCarCYT]	[C4AcylCarMAT]	[C4AcylCoAMAT]	[C4EnoylCoAMAT]	[C4HydroxyacylCoAMAT]	[C4AcetoacylCoAMAT]	[AcetylCoAMAT]	[FADHMAT]	[NADHMAT]	[CoAMAT]	[C16AcylCoACYT]	[CarCYT]	[CoACYT]	[MalCoACYT]	[CarMAT]	[FADtMAT]	[NADtMAT]	[CoAMATt]
33	0.0074373	0.00688801	0.0110598	0.000496659	0.00155547	4.93647e-06	0.00153435	0.00271367	0.0263511	0.000596827	0.0017597	5.57987e-06	0.00216722	0.00348399	0.0307763	0.000755951	0.00231618	7.3245e-06	0.00420433	0.00568021	0.0411134	0.0011038	0.00339608	1.07129e-05	0.0128919	0.0194932	0.0534084	0.00408712	0.0126968	4.00466e-05	0.122362	0.232812	0.616838	1.1923	3.71922	0.0117299	0.168607	0.39493	1.60572	4.89493	15.303	0.0482748	30	0.46	16	4942.42	0.0705387	400	140	0	950	0.77	250	5000
34	0.00619201	0.00572545	0.00917797	0.000407049	0.00127476	4.0456e-06	0.00124832	0.00222655	0.0217849	0.00048634	0.00143773	4.55903e-06	0.00166448	0.00268062	0.0237587	0.000608289	0.00186544	5.89961e-06	0.00295088	0.00396924	0.0286194	0.000857973	0.00264169	8.33434e-06	0.00955019	0.0142916	0.0358597	0.00312934	0.00972489	3.06782e-05	0.103868	0.196529	0.474779	0.982533	3.06537	0.00966944	0.166639	0.38979	1.30449	4.10394	12.8309	0.0404831	30	0.46	16	4947.05	0.0589189	400	140	0	950	0.77	250	5000
35	0.00515914	0.00476442	0.00762764	0.000335039	0.0010492	3.32977e-06	0.00102049	0.00183325	0.0180491	0.000398304	0.00118017	3.74239e-06	0.00127958	0.0020642	0.018348	0.000492616	0.00151191	4.78189e-06	0.00206887	0.00278213	0.0200892	0.000672655	0.00207243	6.53921e-06	0.0070405	0.0104484	0.0242553	0.00240626	0.00748013	2.36006e-05	0.0878703	0.165508	0.367918	0.810184	2.52802	0.00797563	0.164534	0.384451	1.06723	3.45198	10.7931	0.0340587	30	0.46	16	4950.83	0.0492132	400	140	0	950	0.77	250	5000
36	0.00430111	0.0039681	0.00634649	0.00027668	0.000866415	2.74968e-06	0.00083763	0.00151376	0.0149799	0.000327499	0.000972289	3.08323e-06	0.000984609	0.00159115	0.0141813	0.00040101	0.0012316	3.89559e-06	0.00145164	0.00195929	0.01424	0.000531638	0.00163887	5.17177e-06	0.00517048	0.00762294	0.0165613	0.00185908	0.00578073	1.82412e-05	0.0741317	0.139114	0.287151	0.668577	2.08641	0.00658327	0.16233	0.378976	0.879611	2.91461	9.1133	0.0287618	30	0.46	16	4953.93	0.0411063	400	140	0	950	0.77	250	5000
37	0.0035874	0.00330706	0.00528521	0.000229064	0.000717291	2.27641e-06	0.000689862	0.00125286	0.0124497	0.000270124	0.000803292	2.54736e-06	0.000758433	0.00122818	0.0109765	0.000327801	0.00100735	3.18647e-06	0.00102116	0.00138836	0.0102029	0.000423313	0.00130556	4.12035e-06	0.00378594	0.00555368	0.0114329	0.0014437	0.00449015	1.41705e-05	0.0624001	0.116744	0.225717	0.552174	1.72333	0.00543825	0.160057	0.373411	0.730509	2.47145	7.72789	0.0243923	30	0.46	16	4956.48	0.0343349	400	140	0	950	0.77	250	5000
38	0.00299317	0.00275752	0.0044044	0.000190011	0.000594989	1.88827e-06	0.000569746	0.00103887	0.0103581	0.00022335	0.000665136	2.10927e-06	0.000584962	0.000949704	0.00851378	0.000268858	0.000826635	2.61495e-06	0.000721361	0.000991149	0.00739349	0.000339325	0.00104696	3.30447e-06	0.00276604	0.00404271	0.00798903	0.00112713	0.00350625	1.10665e-05	0.0524282	0.0978449	0.178647	0.456417	1.42459	0.00449598	0.157737	0.367795	0.611386	2.1056	6.58415	0.0207842	30	0.46	16	4958.57	0.0286789	400	140	0	950	0.77	250	5000
39	0.00249803	0.00230018	0.00367231	0.000157851	0.000494276	1.56865e-06	0.000471614	0.000862734	0.0086252	0.000185036	0.000551692	1.74954e-06	0.0004519	0.000736065	0.00662208	0.000221116	0.000680138	2.15161e-06	0.00051248	0.000713618	0.00541994	0.000273625	0.000844536	2.66576e-06	0.00201777	0.00294185	0.00565504	0.000884774	0.0027528	8.68922e-06	0.0439832	0.0819172	0.142302	0.377573	1.17859	0.0037199	0.155389	0.362157	0.515699	1.8032	5.63871	0.0178013	30	0.46	16	4960.29	0.0239546	400	140	0	950	0.77	250	5000
40	0.00208521	0.00191924	0.00306313	0.000131284	0.000411082	1.30462e-06	0.000391102	0.00071732	0.00718699	0.000153532	0.000458219	1.45313e-06	0.00034982	0.000572101	0.00516838	0.00018226	0.000560821	1.77422e-06	0.000366639	0.000518615	0.00401926	0.0002218	0.00068478	2.16163e-06	0.00147051	0.00214106	0.0040565	0.000698306	0.00217295	6.85944e-06	0.0368527	0.0685217	0.114018	0.312591	0.975806	0.00308009	0.153026	0.356518	0.43843	1.55289	4.85606	0.0153316	30	0.46	16	4961.7	0.0200086	400	140	0	950	0.77	250	5000
41	0.00174088	0.00160175	0.00255579	0.000109285	0.000342194	1.086e-06	0.000324814	0.000596984	0.00599171	0.000127549	0.000380993	1.20823e-06	0.000271479	0.000446147	0.00404983	0.000150511	0.00046327	1.46565e-06	0.00026444	0.000380663	0.00301439	0.000180608	0.000557741	1.7607e-06	0.00107122	0.00155917	0.00294898	0.000554068	0.00172432	5.4436e-06	0.0308464	0.0572747	0.091839	0.258979	0.808489	0.00255211	0.150658	0.350897	0.375716	1.34534	4.20711	0.0132836	30	0.46	16	4962.87	0.0167126	400	140	0	950	0.77	250	5000
42	0.00145356	0.001337	0.00213298	9.10349e-05	0.000285047	9.04631e-07	0.00027008	0.000497212	0.00499725	0.000106069	0.000317054	1.00547e-06	0.000211312	0.00034924	0.0031873	0.000124488	0.00038327	1.21258e-06	0.000192459	0.000282302	0.00228545	0.000147641	0.000456028	1.43967e-06	0.000780402	0.00113658	0.00217224	0.000441873	0.0013753	4.342e-06	0.0257972	0.0478446	0.0743224	0.214705	0.670301	0.002116	0.148295	0.345307	0.324571	1.17295	3.66808	0.0115823	30	0.46	16	4963.84	0.0139595	400	140	0	950	0.77	250	5000
