Time	[C16AcylCarCYT]	[C16AcylCarMAT]	[C16AcylCoAMAT]	[C16EnoylCoAMAT]	[C16HydroxyacylCoAMAT]	[C16KetoacylCoAMAT]	[C14AcylCarCYT]	[C14AcylCarMAT]	[C14AcylCoAMAT]	[C14EnoylCoAMAT]	[C14HydroxyacylCoAMAT]	[C14KetoacylCoAMAT]	[C12AcylCarCYT]	[C12AcylCarMAT]	[C12AcylCoAMAT]	[C12EnoylCoAMAT]	[C12HydroxyacylCoAMAT]	[C12KetoacylCoAMAT]	[C10AcylCarCYT]	[C10AcylCarMAT]	[C10AcylCoAMAT]	[C10EnoylCoAMAT]	[C10HydroxyacylCoAMAT]	[C10KetoacylCoAMAT]	[C8AcylCarCYT]	[C8AcylCarMAT]	[C8AcylCoAMAT]	[C8EnoylCoAMAT]	[C8HydroxyacylCoAMAT]	[C8KetoacylCoAMAT]	[C6AcylCarCYT]	[C6AcylCarMAT]	[C6AcylCoAMAT]	[C6EnoylCoAMAT]	[C6HydroxyacylCoAMAT]	[C6KetoacylCoAMAT]	[C4AcylCarCYT]	[C4AcylCarMAT]	[C4AcylCoAMAT]	[C4EnoylCoAMAT]	[C4HydroxyacylCoAMAT]	[C4AcetoacylCoAMAT]	[AcetylCoAMAT]	[FADHMAT]	[NADHMAT]	[CoAMAT]	[C16AcylCoACYT]	[CarCYT]	[CoACYT]	[MalCoACYT]	[CarMAT]	[FADtMAT]	[NADtMAT]	[CoAMATt]
10	0.184335	0.433443	1.058	0.0728292	0.227952	0.000723433	0.0474444	0.225361	2.33025	0.0818391	0.234614	0.000743846	0.0688355	0.326969	3.38088	0.0961925	0.292229	0.000923826	0.151299	0.718673	7.43112	0.107577	0.328816	0.00103677	0.180888	0.859218	8.88438	0.237336	0.734914	0.0023164	0.4924	2.3389	24.1845	21.1276	65.783	0.207217	0.823532	3.91178	40.4512	79.3267	247.833	0.780863	70	0.46	16	4424.8	25	200	140	0	950	0.77	250	5000
11	0.184366	0.433586	1.05832	0.0728724	0.228089	0.000723868	0.047463	0.225449	2.33093	0.0818879	0.23475	0.000744275	0.0688673	0.32712	3.3821	0.096252	0.292408	0.000924392	0.151407	0.719185	7.43568	0.107647	0.329029	0.00103744	0.181058	0.860026	8.89185	0.237494	0.735403	0.00231794	0.492863	2.3411	24.2048	21.1412	65.8251	0.207349	0.824438	3.91608	40.4903	79.4014	248.066	0.781598	70	0.46	16	4424.36	25	200	140	0	950	0.77	250	5000
12	0.184383	0.433668	1.0585	0.0728972	0.228167	0.000724116	0.0474737	0.2255	2.33132	0.0819158	0.234827	0.000744521	0.0688855	0.327206	3.3828	0.0962861	0.29251	0.000924715	0.151469	0.719479	7.4383	0.107687	0.329151	0.00103782	0.181156	0.860489	8.89613	0.237585	0.735684	0.00231882	0.493128	2.34236	24.2164	21.1489	65.8492	0.207425	0.824958	3.91855	40.5128	79.4442	248.2	0.782019	70	0.46	16	4424.11	25	200	140	0	950	0.77	250	5000
13	0.184393	0.433715	1.05861	0.0729113	0.228212	0.000724259	0.0474798	0.225529	2.33154	0.0819318	0.234872	0.000744662	0.0688959	0.327256	3.3832	0.0963056	0.292569	0.000924901	0.151505	0.719647	7.43979	0.10771	0.329221	0.00103804	0.181211	0.860754	8.89857	0.237637	0.735844	0.00231932	0.49328	2.34308	24.223	21.1534	65.8629	0.207468	0.825255	3.91996	40.5256	79.4686	248.276	0.782259	70	0.46	16	4423.97	25	200	140	0	950	0.77	250	5000
14	0.184399	0.433742	1.05867	0.0729194	0.228237	0.00072434	0.0474833	0.225546	2.33167	0.0819409	0.234897	0.000744742	0.0689019	0.327284	3.38343	0.0963167	0.292602	0.000925007	0.151525	0.719743	7.44065	0.107723	0.329261	0.00103817	0.181243	0.860906	8.89997	0.237666	0.735936	0.00231961	0.493367	2.34349	24.2268	21.1559	65.8708	0.207493	0.825425	3.92077	40.5329	79.4826	248.32	0.782397	70	0.46	16	4423.88	25	200	140	0	950	0.77	250	5000
15	0.184402	0.433758	1.0587	0.0729241	0.228252	0.000724387	0.0474853	0.225555	2.33175	0.0819461	0.234912	0.000744788	0.0689053	0.3273	3.38357	0.0963231	0.292622	0.000925067	0.151536	0.719798	7.44114	0.107731	0.329284	0.00103824	0.181262	0.860993	8.90078	0.237684	0.735989	0.00231978	0.493417	2.34373	24.229	21.1573	65.8754	0.207507	0.825523	3.92123	40.5371	79.4907	248.345	0.782476	70	0.46	16	4423.84	25	200	140	0	950	0.77	250	5000
16	0.184404	0.433767	1.05872	0.0729268	0.228261	0.000724414	0.0474865	0.225561	2.33179	0.0819492	0.23492	0.000744815	0.0689073	0.32731	3.38364	0.0963268	0.292633	0.000925103	0.151543	0.71983	7.44142	0.107735	0.329297	0.00103828	0.181272	0.861043	8.90124	0.237693	0.736019	0.00231988	0.493446	2.34387	24.2303	21.1582	65.878	0.207515	0.825579	3.9215	40.5396	79.4953	248.359	0.782522	70	0.46	16	4423.81	25	200	140	0	950	0.77	250	5000
17	0.184405	0.433772	1.05873	0.0729283	0.228266	0.000724429	0.0474871	0.225564	2.33181	0.0819509	0.234925	0.00074483	0.0689084	0.327315	3.38369	0.0963289	0.292639	0.000925123	0.151547	0.719848	7.44158	0.107738	0.329305	0.00103831	0.181278	0.861072	8.90151	0.237699	0.736036	0.00231993	0.493462	2.34394	24.231	21.1587	65.8795	0.20752	0.825611	3.92165	40.541	79.498	248.368	0.782548	70	0.46	16	4423.79	25	200	140	0	950	0.77	250	5000
18	0.184405	0.433775	1.05874	0.0729292	0.228268	0.000724438	0.0474875	0.225566	2.33183	0.0819519	0.234928	0.000744839	0.068909	0.327318	3.38371	0.0963301	0.292643	0.000925134	0.151549	0.719859	7.44167	0.107739	0.329309	0.00103832	0.181282	0.861088	8.90166	0.237702	0.736046	0.00231996	0.493471	2.34399	24.2314	21.1589	65.8803	0.207523	0.82563	3.92174	40.5418	79.4995	248.372	0.782563	70	0.46	16	4423.78	25	200	140	0	950	0.77	250	5000
19	0.184406	0.433776	1.05874	0.0729297	0.22827	0.000724443	0.0474877	0.225567	2.33183	0.0819525	0.234929	0.000744844	0.0689094	0.32732	3.38372	0.0963308	0.292645	0.000925141	0.15155	0.719865	7.44173	0.10774	0.329311	0.00103833	0.181284	0.861098	8.90175	0.237704	0.736052	0.00231998	0.493477	2.34401	24.2317	21.1591	65.8808	0.207524	0.82564	3.92179	40.5422	79.5004	248.375	0.782571	70	0.46	16	4423.78	25	200	140	0	950	0.77	250	5000
20	0.184406	0.433777	1.05875	0.07293	0.228271	0.000724446	0.0474878	0.225567	2.33184	0.0819528	0.23493	0.000744847	0.0689096	0.327321	3.38373	0.0963312	0.292646	0.000925144	0.151551	0.719868	7.44176	0.10774	0.329313	0.00103833	0.181285	0.861103	8.9018	0.237705	0.736055	0.00231999	0.49348	2.34403	24.2318	21.1592	65.8811	0.207525	0.825646	3.92182	40.5425	79.5009	248.377	0.782576	70	0.46	16	4423.78	25	200	140	0	950	0.77	250	5000
21	0.184406	0.433778	1.05875	0.0729301	0.228271	0.000724448	0.0474879	0.225568	2.33184	0.081953	0.234931	0.000744848	0.0689098	0.327321	3.38374	0.0963314	0.292647	0.000925146	0.151552	0.71987	7.44177	0.107741	0.329314	0.00103833	0.181285	0.861106	8.90182	0.237706	0.736057	0.00231999	0.493482	2.34404	24.2319	21.1592	65.8812	0.207526	0.82565	3.92184	40.5426	79.5011	248.378	0.782579	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
22	0.184406	0.433778	1.05875	0.0729302	0.228272	0.000724449	0.0474879	0.225568	2.33184	0.0819531	0.234931	0.000744849	0.0689098	0.327322	3.38374	0.0963316	0.292647	0.000925148	0.151552	0.719871	7.44178	0.107741	0.329314	0.00103834	0.181286	0.861108	8.90184	0.237706	0.736058	0.00232	0.493483	2.34404	24.2319	21.1593	65.8813	0.207526	0.825652	3.92185	40.5427	79.5013	248.378	0.78258	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
23	0.184406	0.433778	1.05875	0.0729303	0.228272	0.000724449	0.047488	0.225568	2.33184	0.0819531	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292647	0.000925148	0.151552	0.719872	7.44179	0.107741	0.329314	0.00103834	0.181286	0.861109	8.90185	0.237706	0.736059	0.00232	0.493483	2.34405	24.2319	21.1593	65.8814	0.207526	0.825653	3.92185	40.5428	79.5014	248.378	0.782581	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
24	0.184406	0.433778	1.05875	0.0729303	0.228272	0.000724449	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292647	0.000925149	0.151552	0.719872	7.44179	0.107741	0.329314	0.00103834	0.181286	0.861109	8.90185	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825653	3.92185	40.5428	79.5014	248.378	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
25	0.184406	0.433778	1.05875	0.0729303	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292647	0.000925149	0.151552	0.719872	7.44179	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
26	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719872	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
27	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
28	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
29	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
30	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
31	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
32	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
33	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
34	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
35	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
36	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
37	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
38	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
39	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
40	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
41	0.184406	0.433778	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
42	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
43	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
44	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
45	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
46	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
47	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
48	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
49	0.184406	0.433779	1.05875	0.0729304	0.228272	0.00072445	0.047488	0.225568	2.33184	0.0819532	0.234931	0.00074485	0.0689099	0.327322	3.38374	0.0963317	0.292648	0.000925149	0.151552	0.719873	7.4418	0.107741	0.329315	0.00103834	0.181286	0.86111	8.90186	0.237706	0.736059	0.00232	0.493484	2.34405	24.232	21.1593	65.8814	0.207526	0.825654	3.92186	40.5428	79.5015	248.379	0.782582	70	0.46	16	4423.77	25	200	140	0	950	0.77	250	5000
