Time	[NGF]	[TrkA]	[pTrkA]	[pTrkA_Akt]	[Akt]	[pAkt]	[S6]	[pAkt_S6]	[pS6]	[pro_TrkA]	[NGF_TrkA]
86	0.716667	8.0285	0.022431	0.043553	1.09905	0.000285105	3.53788	0.0130615	0.00139476	8.52065	0.399214
87	0.725	8.01885	0.0229309	0.0448563	1.09722	0.000296287	3.53729	0.0135731	0.0014696	8.52065	0.406056
88	0.733333	8.00914	0.0234351	0.0461779	1.09537	0.00030773	3.53669	0.0140964	0.00154734	8.52065	0.41291
89	0.741667	7.99938	0.0239437	0.0475177	1.09348	0.000319436	3.53608	0.0146317	0.00162805	8.52065	0.419777
90	0.75	7.98955	0.0244566	0.0488754	1.09156	0.000331405	3.53545	0.0151788	0.00171179	8.52065	0.426654
91	0.758333	7.97968	0.0249739	0.0502509	1.08962	0.000343638	3.5348	0.0157378	0.00179863	8.52065	0.433541
92	0.766667	7.96974	0.0254954	0.051644	1.08764	0.000356136	3.53414	0.0163088	0.00188864	8.52065	0.440437
93	0.775	7.95975	0.0260212	0.0530545	1.08563	0.000368899	3.53346	0.0168916	0.00198188	8.52065	0.447342
94	0.783333	7.94971	0.0265513	0.0544822	1.0836	0.000381928	3.53277	0.0174865	0.00207843	8.52065	0.454255
95	0.791667	7.93961	0.0270856	0.0559269	1.08153	0.000395224	3.53206	0.0180933	0.00217834	8.52065	0.461175
96	0.8	7.92946	0.027624	0.0573885	1.07944	0.000408786	3.53134	0.018712	0.00228168	8.52065	0.468101
97	0.808333	7.91925	0.0281666	0.0588666	1.07732	0.000422614	3.5306	0.0193427	0.00238852	8.52065	0.475033
98	0.816667	7.909	0.0287134	0.0603611	1.07517	0.00043671	3.52985	0.0199854	0.00249893	8.52065	0.48197
99	0.825	7.89869	0.0292642	0.0618718	1.07299	0.000451073	3.52908	0.0206399	0.00261298	8.52065	0.488911
100	0.833333	7.88834	0.0298192	0.0633984	1.07078	0.000465703	3.5283	0.0213064	0.00273072	8.52065	0.495856
