Time	[cABAR_m]	[cPP2C]	[cSnRK2]	[cs]	[cCOP1c]	[cCOP1d]	[cCOP1n]	[cE3]	[cE3_m]	[cE3n]	[cE4]	[cE4_m]	[cEC]	[cEG]	[cG]	[cG_m]	[cL]	[cLUX]	[cLUX_m]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cZG]	[cZTL]
20	0.453917	0.444958	0.264453	0.262874	1.28484	0.0700108	1.0217	0.169782	0.501625	0.0891135	1.16971	0.656621	0.123939	0.0540962	0.0321577	0.315195	0.155284	1.71394	0.302407	0.305931	0.0429264	0.10654	0.150189	0.909255	0.0337928	0.0431941	0.0333556	0.0128843	0.181249	0.167902	0.165696	0.269869
21	0.547034	0.446848	0.249701	0.268137	1.29741	0.0738924	1.07063	0.178687	0.470288	0.122071	0.982517	0.528323	0.146617	0.0429346	0.0246697	0.250157	0.210953	1.39405	0.229602	0.444261	0.0428374	0.0850987	0.125085	0.932774	0.0311739	0.0481197	0.0282038	0.0129794	0.151991	0.132786	0.138401	0.264686
22	0.659757	0.434207	0.241497	0.274211	1.30672	0.0772517	1.11265	0.177064	0.419522	0.156211	0.80674	0.418648	0.158698	0.0339108	0.0197247	0.199638	0.289645	1.11714	0.174142	0.620071	0.0484833	0.0714654	0.114632	0.950198	0.0370667	0.0699287	0.0251856	0.0142892	0.125519	0.104027	0.115602	0.259979
23	0.774274	0.412182	0.239745	0.279294	1.31362	0.0801348	1.14851	0.165285	0.353979	0.187296	0.650986	0.325572	0.158519	0.0263314	0.0162105	0.158335	0.390461	0.886814	0.131275	0.803873	0.0617446	0.0665449	0.123466	0.963106	0.05588	0.11764	0.0241322	0.016657	0.102296	0.0808465	0.0965593	0.255842
24	0.878042	0.385797	0.243471	0.286028	1.3142	0.40704	0.84321	0.146299	0.285155	0.210793	0.519113	0.250582	0.146661	0.0199519	0.0134597	0.150716	0.50446	0.700855	0.0989465	0.946346	0.0829642	0.0731703	0.157025	0.955925	0.0932334	0.196656	0.0256824	0.0664579	0.0824889	0.0625435	0.0813872	0.251549
25	0.967155	0.358506	0.251508	0.435233	1.11467	1.30918	0.0269041	0.112475	0.214716	0.182795	0.406333	0.190944	0.0936444	0.0197233	0.0239146	0.312049	0.760468	0.557825	0.0749244	1.09236	0.115644	0.124083	0.220618	0.35794	0.199718	0.344794	0.424657	1.06301	0.0676188	0.0482894	0.120892	0.206764
26	1.03887	0.332293	0.262826	0.504963	0.990859	1.34683	0.0538217	0.0888891	0.155457	0.154958	0.323919	0.151841	0.0600927	0.0122565	0.0158643	0.187008	0.910015	0.448159	0.0606124	0.819595	0.155094	0.191104	0.323394	0.131679	0.387384	0.637695	0.799692	0.805747	0.0544667	0.0376264	0.148673	0.190369
27	1.09335	0.308257	0.276585	0.533771	0.915762	1.33707	0.0968643	0.0719441	0.1159	0.136212	0.26458	0.136964	0.040881	0.00768795	0.0131467	0.156972	0.925255	0.365698	0.0573046	0.546231	0.190866	0.286616	0.47602	0.0484418	0.660718	0.947956	0.900969	0.476618	0.043532	0.0302596	0.16276	0.189949
28	1.13314	0.286873	0.292104	0.542083	0.870213	1.29093	0.152393	0.0574555	0.0935472	0.116935	0.226322	0.147546	0.0279113	0.0068271	0.0157107	0.189217	0.853246	0.309259	0.0668749	0.345553	0.218703	0.419535	0.667926	0.0178207	0.956442	1.19403	0.838541	0.272951	0.0351338	0.0261751	0.175881	0.189307
29	1.16066	0.268244	0.308824	0.53986	0.842586	1.22317	0.210842	0.0459595	0.0853824	0.0928936	0.210493	0.188743	0.0187827	0.0080752	0.0234922	0.276557	0.739508	0.28166	0.0949827	0.213142	0.236821	0.583261	0.860471	0.00655589	1.21629	1.34929	0.718275	0.17134	0.0295763	0.0261301	0.196627	0.181934
30	1.17762	0.252294	0.326279	0.532079	0.82583	1.14773	0.263096	0.0377663	0.0898976	0.0632936	0.221482	0.271482	0.0122207	0.0109145	0.0384386	0.430962	0.61539	0.291487	0.153524	0.130064	0.244466	0.758179	1.02294	0.00241178	1.40431	1.41077	0.595856	0.126794	0.0275613	0.0323414	0.232081	0.164883
31	1.18464	0.23887	0.344058	0.521337	0.815667	1.07376	0.304651	0.0325493	0.106972	0.032038	0.267734	0.412299	0.00740486	0.0150882	0.0642953	0.670192	0.49907	0.35683	0.263504	0.0793369	0.241806	0.92384	1.14356	0.000887244	1.50545	1.38822	0.492246	0.108865	0.0307954	0.0497212	0.287308	0.137771
32	1.1804	0.227837	0.361784	0.509073	0.809502	1.0055	0.335228	0.0297995	0.136908	0.0117624	0.361278	0.627007	0.00402206	0.0200593	0.104806	0.994634	0.398982	0.50898	0.453184	0.0488691	0.23018	1.06567	1.22134	0.000326399	1.51912	1.29355	0.410969	0.100784	0.0428104	0.0871032	0.361491	0.104866
33	1.15979	0.219173	0.379067	0.496162	0.805763	0.944159	0.356658	0.0290723	0.179002	0.00576748	0.512791	0.913109	0.00200387	0.0272268	0.157104	1.35544	0.317183	0.787315	0.736385	0.0307915	0.211975	1.17514	1.25738	0.000120075	1.44984	1.13196	0.348385	0.0939477	0.0691658	0.154511	0.444737	0.0756629
34	1.11131	0.213169	0.395437	0.483205	0.803496	0.889522	0.371242	0.030183	0.230455	0.00418127	0.723115	1.22827	0.00119029	0.0370722	0.206804	1.6551	0.25225	1.21194	1.06971	0.0202205	0.189998	1.2468	1.2488	4.41732e-05	1.30352	0.915418	0.298803	0.084458	0.114609	0.251559	0.524994	0.0572696
35	1.02176	0.210729	0.410172	0.47071	0.80212	0.840903	0.381001	0.0335285	0.286544	0.00386177	0.972922	1.49297	0.00118998	0.0479751	0.236055	1.81118	0.201434	1.74353	1.35011	0.0142163	0.166747	1.27488	1.18802	1.62504e-05	1.10018	0.687996	0.257003	0.0716807	0.17729	0.360139	0.597023	0.0488653
36	0.893133	0.213568	0.422048	0.457693	0.804027	0.78062	0.388001	0.0393958	0.342006	0.00429577	1.22255	1.63824	0.00174367	0.0586125	0.240427	1.81051	0.161876	2.28262	1.49144	0.0112158	0.144036	1.24263	1.0723	0.00508488	0.870219	0.493839	0.219207	0.0576669	0.247288	0.4574	0.657273	0.0497473
37	0.750569	0.223906	0.429143	0.373901	0.939122	0.220916	0.474088	0.041809	0.39279	0.00412526	1.42932	1.64378	0.00493699	0.0868971	0.262123	1.61356	0.130631	2.70988	1.43845	0.0145259	0.12294	0.791319	0.881962	0.258961	0.451762	0.346683	0.16905	0.0444277	0.295484	0.504731	0.551841	0.175743
38	0.617865	0.243603	0.429038	0.314307	1.04129	0.083096	0.568415	0.0528207	0.435968	0.00600397	1.5646	1.5527	0.00955387	0.111425	0.215739	1.36612	0.108003	2.93532	1.25953	0.0224403	0.104053	0.550771	0.677614	0.451024	0.266795	0.241094	0.129947	0.0339082	0.325014	0.498533	0.460936	0.239365
39	0.50655	0.273587	0.419491	0.273576	1.11699	0.0541688	0.661564	0.0681979	0.470083	0.00961463	1.62189	1.40989	0.0170507	0.118402	0.165244	1.11053	0.0930712	2.95586	1.03826	0.0360515	0.0876292	0.399838	0.5123	0.593309	0.171089	0.167217	0.0999267	0.0264326	0.332639	0.457609	0.385006	0.268081
40	0.421918	0.312932	0.399495	0.247371	1.17306	0.0518927	0.749623	0.0875904	0.4951	0.0160159	1.60737	1.24338	0.028761	0.111386	0.120296	0.87243	0.0855623	2.81209	0.822532	0.0569861	0.0736785	0.296299	0.38835	0.698716	0.114532	0.116307	0.0771602	0.021195	0.321253	0.398726	0.321584	0.278663
41	0.366814	0.358164	0.370339	0.232996	1.2146	0.0558382	0.830457	0.1104	0.511526	0.0269469	1.53197	1.07045	0.0460923	0.0976767	0.0845205	0.669119	0.0859017	2.55753	0.635867	0.088124	0.062108	0.222618	0.296864	0.776803	0.0785347	0.0817185	0.060051	0.0174476	0.29644	0.334998	0.26861	0.280144
42	0.34482	0.403331	0.335836	0.228546	1.24537	0.0608934	0.903111	0.134648	0.519544	0.0442314	1.40848	0.903314	0.0695672	0.081651	0.0587304	0.509066	0.0953492	2.24211	0.485479	0.134081	0.0528434	0.169211	0.229117	0.834652	0.054975	0.0588286	0.0472588	0.0147467	0.264028	0.274512	0.224362	0.277344
43	0.361161	0.440895	0.301267	0.23212	1.26817	0.0657732	0.967391	0.156975	0.518147	0.0686936	1.25201	0.751514	0.0972525	0.066208	0.0416825	0.392188	0.116195	1.90655	0.369941	0.20169	0.0459675	0.130051	0.17887	0.877507	0.0397626	0.0448331	0.0377707	0.0129617	0.228809	0.221216	0.187403	0.272789
44	0.419236	0.463582	0.271621	0.241284	1.28506	0.0701666	1.02357	0.173684	0.504405	0.0995168	1.07979	0.619906	0.124323	0.0531559	0.0310036	0.31032	0.151911	1.5817	0.28357	0.299994	0.0419139	0.101309	0.142454	0.909255	0.0308855	0.0388755	0.0309149	0.0121617	0.194128	0.176244	0.156532	0.267769
45	0.513853	0.467644	0.250111	0.253118	1.29757	0.0740214	1.0722	0.181806	0.4738	0.134426	0.908079	0.507228	0.144986	0.0427712	0.0242922	0.251173	0.206954	1.28809	0.218936	0.437992	0.0417252	0.0807984	0.118586	0.932774	0.0280535	0.0428241	0.0263081	0.0124892	0.161961	0.139147	0.130746	0.262908
46	0.629653	0.455145	0.237633	0.26483	1.30684	0.0773592	1.11396	0.179651	0.423496	0.169894	0.748678	0.408948	0.155138	0.034276	0.0197624	0.203782	0.285398	1.03583	0.169078	0.615825	0.0471937	0.0677921	0.108673	0.950198	0.0331125	0.0624994	0.0237587	0.0140259	0.13324	0.108912	0.109209	0.258482
47	0.748474	0.431858	0.233315	0.274413	1.31371	0.0802244	1.1496	0.16752	0.357691	0.201516	0.607969	0.322844	0.153714	0.0269225	0.0164186	0.163246	0.387071	0.826667	0.129563	0.806373	0.0603051	0.0631554	0.117417	0.963106	0.0503727	0.10705	0.0231307	0.016647	0.108273	0.0845835	0.0912187	0.254584
48	0.857024	0.4035	0.235549	0.284642	1.31427	0.407366	0.843859	0.148217	0.28788	0.22474	0.488452	0.251182	0.141476	0.0205103	0.0136783	0.154785	0.503854	0.657543	0.0988885	0.959547	0.0815848	0.0697651	0.150662	0.955925	0.085669	0.182904	0.0250861	0.0665015	0.087102	0.0653727	0.0769257	0.250495
49	0.950669	0.374004	0.242741	0.439642	1.11471	1.31006	0.0269052	0.113891	0.216173	0.194039	0.384681	0.192554	0.0894972	0.0201014	0.0240382	0.31467	0.764787	0.526956	0.0754986	1.10445	0.11465	0.119246	0.213802	0.35794	0.187076	0.327416	0.422837	1.05972	0.0712242	0.0504071	0.116947	0.206061
50	1.02626	0.345625	0.253603	0.511646	0.990884	1.34763	0.0538232	0.0898376	0.156039	0.163376	0.308675	0.153633	0.0572008	0.0125	0.0160214	0.189476	0.916783	0.426265	0.0614698	0.827214	0.154549	0.184961	0.314921	0.131679	0.369253	0.614746	0.797192	0.804447	0.0572449	0.0392041	0.145179	0.189864
51	1.08394	0.319597	0.26715	0.541262	0.915777	1.33779	0.0968662	0.0724906	0.115952	0.14226	0.253988	0.138754	0.038881	0.00786463	0.013343	0.159563	0.932675	0.350397	0.0583982	0.550912	0.190712	0.27856	0.464282	0.0484418	0.637591	0.922785	0.898956	0.476915	0.0456461	0.0314308	0.159791	0.189468
52	1.12628	0.296439	0.28262	0.549814	0.870222	1.29159	0.152396	0.0576574	0.0932399	0.120997	0.219113	0.149275	0.0265538	0.0069783	0.0159541	0.19209	0.860338	0.298916	0.0682819	0.348433	0.218892	0.409045	0.653852	0.0178207	0.930856	1.17051	0.837472	0.274026	0.0367251	0.0270329	0.173472	0.188782
53	1.15577	0.276266	0.299412	0.547601	0.842592	1.22377	0.210844	0.0458794	0.0847789	0.0952464	0.20571	0.190286	0.0178865	0.00820859	0.0237934	0.279655	0.745787	0.275189	0.0968428	0.214927	0.237326	0.57085	0.846438	0.00655589	1.19126	1.32975	0.718135	0.17267	0.0307565	0.0267248	0.194786	0.181345
54	1.17424	0.258989	0.317034	0.539723	0.825833	1.14827	0.263098	0.0374769	0.0889953	0.0642111	0.218367	0.272499	0.011659	0.0110071	0.0387905	0.433814	0.620664	0.288205	0.155938	0.131178	0.245258	0.745033	1.01056	0.00241178	1.38216	1.39603	0.596438	0.128092	0.0284038	0.0326616	0.230752	0.164271
55	1.18241	0.244436	0.335062	0.528811	0.815669	1.07424	0.304652	0.0321494	0.105741	0.0320064	0.265594	0.412104	0.00709012	0.0150733	0.0646335	0.671657	0.503326	0.356238	0.266271	0.0800403	0.242837	0.911108	1.13339	0.000887244	1.48749	1.37816	0.49329	0.109983	0.0313184	0.0496387	0.286321	0.137256
56	1.17913	0.232446	0.353105	0.516321	0.809504	1.00594	0.33523	0.0294148	0.135338	0.0115808	0.359331	0.624627	0.00387665	0.0198614	0.104945	0.993134	0.402321	0.510322	0.455314	0.049318	0.231373	1.05414	1.2134	0.000326399	1.50579	1.28771	0.412238	0.101666	0.0429347	0.0862577	0.360572	0.104598
57	1.15947	0.222971	0.370769	0.50313	0.805764	0.944558	0.356659	0.0287807	0.177141	0.00570683	0.510159	0.907998	0.00195233	0.0268986	0.15682	1.3507	0.319761	0.789059	0.736254	0.0310823	0.213239	1.16526	1.2515	0.000120075	1.44112	1.13001	0.349701	0.0946263	0.0686621	0.152296	0.443699	0.0756661
58	1.11231	0.216267	0.38758	0.489846	0.803496	0.889883	0.371243	0.0299652	0.228427	0.00416006	0.719223	1.22156	0.00117503	0.0366823	0.206245	1.64973	0.254232	1.21217	1.06707	0.020412	0.191247	1.23878	1.24499	4.41733e-05	1.29916	0.916695	0.300073	0.0850256	0.113164	0.247618	0.523888	0.0573829
