Time	[RasGTP_Golgi_GM]	[EGF_EC]	[CAPRI_cyt]	[serca]	[PIP_PM]	[PI_PM]	[Shc_PM]	[CaCAPRI_PM_PM]	[RactCa]	[Shc_star_PM]	[EGFR_PM]	[PLC_act_PM]	[RasGTP_pal_cyt]	[PLC_PM]	[PIP2_PM]	[Activated_EGFR_PM]	[Ca]	[Ract]	[Rinh]	[RinhCa]	[IP3]	[RasGDP_Golgi_GM]	[Ca_RasGRP_GM_GM]	[DAG_GM_GM]	[RasGRP_DAG_GM]	[CaCAPRI_cyt]	[DAG_PM]	[RasGTP_depal_cyt]	[RasGDP_depal_cyt]	[RasGDP_pal_cyt]	[Ca_PLCe_cyt]	[Ras_CaPLCe_GM]	[PIP2_GM_GM]	[ER_erMembrane]	[Ca_ER]	[Sos_cyt]	[Grb2_cyt]	[PLCe_cyt]	[buffer_cyt]	[ca_buffer_cyt]	[SosGrb2_cyt]	[SGS_PM]	[RasGTP_PM]	[RasGDP_PM]	[RasGRP_cyt]	[CaRasGRP1_cyt]
10	3.61162e-07	4.02136	30.0815	45	10945.5	134131	185.807	0.00886552	0.168555	0.00374045	19.7075	0.218076	6.01331e-05	99.7819	761.09	1.27929	1.82068	11.1514	10.7872	0.532756	199.492	39.3543	4.813e-05	1.84693e-07	5.73961e-09	0.0130765	2948.42	7.40905e-07	0.433702	13.8034	0.0983885	5.63999e-10	250	2	120116	81.0363	502.436	11.9416	118.623	1.77745	99.4474	0.189124	0.00485568	377.688	30.0852	0.0148245
11	5.51115e-07	4.02136	30.0789	45	11269.2	133660	185.768	0.0106476	0.18394	0.00421721	19.5896	0.249798	8.57615e-05	99.7502	705.228	1.39449	1.98954	11.1361	10.8329	0.487138	219.612	38.4717	5.37321e-05	3.37808e-07	1.12785e-08	0.014585	3151.76	1.07729e-06	0.471587	14.4207	0.108342	9.74995e-10	250	2	120088	81.0164	502.416	11.9317	118.459	1.94107	99.4438	0.227456	0.00641821	376.691	30.0835	0.0165106
12	8.16423e-07	4.02136	30.0762	45	11526.4	133235	185.726	0.0125477	0.199416	0.00471066	19.4737	0.281821	0.000118328	99.7182	657.978	1.50755	2.15987	11.1206	10.8631	0.456881	237.367	37.6184	5.93406e-05	5.90214e-07	2.10482e-08	0.0161091	3366.63	1.51493e-06	0.508621	14.9608	0.118317	1.61781e-09	250	2	120060	80.9969	502.397	11.9217	118.294	2.10558	99.4378	0.269003	0.00827432	375.819	30.0818	0.0181997
13	1.17786e-06	4.02136	30.0734	45	11724.1	132852	185.681	0.014558	0.215077	0.00522042	19.3596	0.313975	0.000158795	99.686	618.036	1.61849	2.33272	11.1049	10.8812	0.438827	253.252	36.7933	6.49765e-05	9.90936e-07	3.75682e-08	0.0176542	3592.1	2.07151e-06	0.544833	15.4332	0.128366	2.59032e-09	250	2	120031	80.9777	502.378	11.9116	118.128	2.27194	99.4295	0.313689	0.0104462	375.055	30.0801	0.0198986
14	1.65958e-06	4.02136	30.0705	45	11868.7	132506	185.633	0.0166727	0.231028	0.00574611	19.2474	0.34612	0.000208143	99.6539	583.889	1.72736	2.50929	11.089	10.8895	0.43051	267.66	35.9956	7.06669e-05	1.60662e-06	6.44901e-08	0.0192271	3827.46	2.76591e-06	0.580251	15.8465	0.13855	4.01999e-09	250	2	120001	80.9588	502.359	11.9014	117.959	2.44129	99.419	0.361442	0.0129555	374.386	30.0784	0.0216156
15	2.28926e-06	4.02136	30.0676	45	11966	132194	185.582	0.0188878	0.247395	0.00628736	19.137	0.378147	0.000267361	99.6219	554.187	1.83419	2.69099	11.0726	10.89	0.430014	280.846	35.2246	7.64448e-05	2.52574e-06	1.06948e-07	0.0208361	4072.05	3.6181e-06	0.614901	16.208	0.148941	6.07021e-09	250	2	119971	80.9402	502.34	11.8911	117.785	2.61492	99.4064	0.412189	0.0158233	373.801	30.0766	0.0233611
16	3.09833e-06	4.02136	30.0645	45	12021	131912	185.527	0.0212017	0.264323	0.00684381	19.0284	0.409966	0.000337444	99.59	527.882	1.93902	2.8795	11.0557	10.8841	0.435872	292.945	34.4793	8.23497e-05	3.86408e-06	1.7202e-07	0.0224913	4325.14	4.64919e-06	0.648809	16.5241	0.159622	8.94859e-09	250	2	119940	80.9218	502.322	11.8804	117.606	2.79438	99.3918	0.465859	0.0190699	373.287	30.0748	0.0251475
17	4.12211e-06	4.02136	30.0613	45	12038.3	131658	185.47	0.0236147	0.281983	0.00741511	18.9216	0.441508	0.00041939	99.5585	504.206	2.04189	3.07679	11.038	10.873	0.446983	304.019	33.759	8.84287e-05	5.77078e-06	2.69242e-07	0.0242048	4585.99	5.88128e-06	0.681998	16.8004	0.170691	1.29164e-08	250	2	119907	80.9036	502.304	11.8693	117.419	2.98144	99.3752	0.522382	0.0227155	372.838	30.073	0.0269893
18	5.39996e-06	4.02136	30.0579	45	12021.9	131428	185.41	0.0261299	0.300579	0.00800089	18.8164	0.472715	0.000514194	99.5273	482.612	2.14282	3.28522	11.0194	10.8575	0.462542	314.088	33.063	9.4738e-05	8.43612e-06	4.11265e-07	0.0259914	4853.8	7.33751e-06	0.714491	17.042	0.182263	1.83012e-08	250	2	119873	80.8856	502.286	11.8577	117.222	3.17825	99.3569	0.581689	0.0267792	372.443	30.0711	0.0289042
19	6.97541e-06	4.02136	30.0545	45	11975.4	131220	185.348	0.0287532	0.320357	0.00860083	18.713	0.503546	0.000622849	99.4965	462.71	2.24186	3.50768	10.9996	10.838	0.481997	323.164	32.3905	0.000101344	1.21012e-05	6.14652e-07	0.0278689	5127.78	9.04197e-06	0.74631	17.2531	0.194475	2.55135e-08	250	2	119836	80.8676	502.268	11.8455	117.013	3.38737	99.3367	0.643713	0.0312801	372.097	30.0691	0.0309129
20	8.89631e-06	4.02136	30.0508	45	11902.1	131033	185.282	0.0314934	0.341616	0.00921458	18.6113	0.533966	0.000746338	99.466	444.215	2.33903	3.74772	10.9784	10.815	0.505011	331.255	31.7408	0.000108329	1.70703e-05	9.0085e-07	0.0298593	5407.13	1.10197e-05	0.777474	17.4375	0.207497	3.50676e-08	250	2	119797	80.8497	502.25	11.8325	116.788	3.61194	99.3148	0.708387	0.0362364	371.794	30.067	0.0330408
21	1.12149e-05	4.02136	30.0469	45	11805	130863	185.215	0.0343635	0.364735	0.00984182	18.5111	0.56395	0.000885637	99.436	426.914	2.43438	4.00982	10.9553	10.7886	0.531445	338.377	31.1132	0.000115791	2.37264e-05	1.2974e-06	0.0319898	5691.1	1.32965e-05	0.808005	17.5985	0.221535	4.76112e-08	250	2	119754	80.8319	502.232	11.8185	116.544	3.85588	99.2913	0.775645	0.041666	371.527	30.0647	0.035319
22	1.39881e-05	4.02136	30.0427	45	11686.6	130710	185.144	0.0373808	0.390196	0.0104822	18.4126	0.593479	0.00104171	99.4065	410.641	2.52793	4.29978	10.9298	10.7587	0.561347	344.551	30.507	0.000123855	3.25526e-05	1.83948e-06	0.0342947	5978.93	1.58993e-05	0.837921	17.7391	0.236851	6.39652e-08	250	2	119706	80.8141	502.214	11.8031	116.276	4.12424	99.2662	0.845424	0.0475861	371.292	30.0622	0.0377868
23	1.72771e-05	4.02136	30.0382	45	11549.4	130571	185.071	0.0405685	0.41864	0.0111355	18.3157	0.622538	0.00121551	99.3775	395.267	2.61971	4.62534	10.9014	10.725	0.594964	349.807	29.9217	0.000132679	4.41608e-05	2.57185e-06	0.0368189	6269.92	1.88554e-05	0.86724	17.8618	0.253786	8.51815e-08	250	2	119653	80.7963	502.196	11.7862	115.976	4.42363	99.2395	0.917661	0.0540135	371.084	30.0595	0.0404943
24	2.1148e-05	4.02136	30.0334	45	11395.7	130446	184.996	0.0439575	0.45094	0.0118012	18.2203	0.651118	0.00140797	99.3489	380.684	2.70976	4.99712	10.8691	10.6872	0.63277	354.177	29.3565	0.000142473	5.93322e-05	3.55152e-06	0.0396214	6563.37	2.21934e-05	0.895979	17.9688	0.272796	1.12628e-07	250	2	119593	80.7785	502.178	11.7672	115.637	4.7631	99.2115	0.992294	0.0609644	370.901	30.0565	0.0435083
25	2.56715e-05	4.02136	30.028	45	11227.4	130333	184.918	0.0475887	0.488326	0.0124792	18.1265	0.679214	0.00162002	99.3208	366.807	2.79811	5.43026	10.8317	10.6445	0.675532	357.696	28.8108	0.00015352	7.9075e-05	4.85115e-06	0.0427838	6858.65	2.59421e-05	0.924156	18.0621	0.294509	1.48118e-07	250	2	119523	80.7606	502.161	11.7455	115.245	5.15533	99.1821	1.06926	0.0684545	370.74	30.0531	0.0469195
26	3.09228e-05	4.02136	30.0219	45	11046.4	130231	184.838	0.051518	0.532615	0.0131691	18.0341	0.706822	0.00185256	99.2932	353.564	2.88479	5.94732	10.7874	10.5956	0.72442	360.402	28.2842	0.00016622	0.000104713	6.56401e-06	0.0464218	7155.13	3.01314e-05	0.951786	18.1434	0.319831	1.94121e-07	250	2	119440	80.7427	502.143	11.7202	114.781	5.61898	99.1513	1.1485	0.0764991	370.596	30.0491	0.0508569
27	3.69815e-05	4.02136	30.015	45	10854.5	130138	184.756	0.0558226	0.586625	0.0138707	17.9432	0.733941	0.00210647	99.2661	340.894	2.96982	6.58375	10.7334	10.5388	0.781221	362.334	27.7759	0.000181159	0.000138024	8.81095e-06	0.0507081	7452.24	3.47916e-05	0.978885	18.2141	0.350126	2.54115e-07	250	2	119339	80.7246	502.125	11.6899	114.217	6.18289	99.1193	1.22996	0.0851126	370.469	30.0445	0.0555118
28	4.3931e-05	4.02136	30.0068	45	10653.1	130055	184.672	0.060614	0.655028	0.0145836	17.8538	0.760572	0.00238263	99.2394	328.746	3.05324	7.3992	10.665	10.4713	0.848744	363.531	27.2854	0.000199253	0.000181472	1.17511e-05	0.055915	7749.42	3.99537e-05	1.00547	18.2757	0.387575	3.33231e-07	250	2	119210	80.7065	502.106	11.6524	113.505	6.89457	99.086	1.31358	0.0943091	370.355	30.0388	0.0611854
29	5.18577e-05	4.02136	29.9969	45	10443.6	129979	184.585	0.0660609	0.746267	0.0153075	17.7657	0.786718	0.00268187	99.2133	317.076	3.13508	8.50362	10.5737	10.3883	0.931655	364.031	26.8123	0.000222024	0.000238625	1.55989e-05	0.062506	8046.15	4.56494e-05	1.03155	18.3292	0.435948	4.39529e-07	250	2	119037	80.6882	502.088	11.6041	112.561	7.83927	99.0516	1.3993	0.104102	370.253	30.0316	0.0683871
30	6.08485e-05	4.02136	29.9841	45	10227.4	129911	184.497	0.0724385	0.877599	0.0160423	17.6791	0.812383	0.00300502	99.1876	305.849	3.21536	10.128	10.4424	10.2816	1.03845	363.873	26.3559	0.000252279	0.000314983	2.06536e-05	0.0713574	8341.95	5.19107e-05	1.05714	18.3757	0.50251	5.86841e-07	250	2	118787	80.6698	502.07	11.5375	111.211	9.18942	99.0161	1.48706	0.114503	370.161	30.0219	0.0780755
31	7.09838e-05	4.02136	29.9663	45	10005.7	129849	184.406	0.0802473	1.0916	0.0167875	17.5938	0.83757	0.00335287	99.1624	295.032	3.29411	12.8662	10.2284	10.133	1.18699	363.095	25.9158	0.000296002	0.000419855	2.73557e-05	0.0844141	8636.36	5.87702e-05	1.08226	18.4159	0.603753	8.02297e-07	250	2	118375	80.6512	502.051	11.4362	109.036	11.3639	98.9795	1.57681	0.125525	370.079	30.0076	0.0923609
32	8.2313e-05	4.02136	29.9369	45	9779.46	129793	184.314	0.0905893	1.53506	0.0175429	17.5099	0.862286	0.00372619	99.1377	284.598	3.37137	18.9314	9.78494	9.89386	1.42614	361.733	25.4914	0.000369629	0.000571658	3.64137e-05	0.107404	8928.95	6.62609e-05	1.10692	18.4508	0.789652	1.15263e-06	250	2	117502	80.6324	502.032	11.2503	104.632	15.7681	98.9419	1.66851	0.137176	370.003	29.9826	0.117384
33	9.46945e-05	4.02136	29.8597	45	9549.76	129742	184.22	0.107232	3.32248	0.0183084	17.4273	0.886535	0.00412571	99.1135	274.522	3.44714	50.357	7.99752	9.3074	2.0126	359.825	25.0824	0.000555031	0.000820952	4.91849e-05	0.174389	9219.31	7.44157e-05	1.13113	18.481	1.36798	1.91214e-06	250	2	113510	80.6135	502.013	10.672	87.8229	32.5771	98.9033	1.76209	0.149463	369.935	29.9111	0.1889
34	0.000104515	4.02136	28.9882	45	9317.49	129697	184.123	0.183809	8.79475	0.0190835	17.346	0.910325	0.00455207	99.0897	264.785	3.52147	419.444	2.52525	4.82636	6.49364	357.405	24.6881	0.00258651	0.00158547	7.03429e-05	0.998764	9507.08	8.32669e-05	1.1549	18.507	6.53494	6.96497e-06	250	2	77945.3	80.5944	501.994	5.50506	27.0002	93.3998	98.8637	1.8575	0.162369	369.872	29.0503	1.04959
35	0.000113085	4.02136	27.8606	45	9083.47	129655	184.025	0.46345	8.48692	0.019868	17.266	0.933661	0.00500526	99.0663	255.368	3.59438	360.54	2.83308	2.24436	9.07564	354.508	24.3082	0.00654416	0.00429503	0.00012648	1.95451	9791.91	9.28386e-05	1.17825	18.5294	7.86703	1.57874e-05	250	2	82681.7	80.575	501.975	4.17297	29.9747	90.4253	98.8233	1.95469	0.175694	369.814	27.9716	2.12804
36	0.000128629	4.02136	27.4882	45	8848.45	129618	183.926	0.81414	7.71527	0.0206618	17.1872	0.956551	0.00548382	99.0434	246.256	3.66589	257.547	3.60473	2.11338	9.20662	351.168	23.9423	0.00788959	0.00802577	0.000249874	2.11128	10073.5	0.000103143	1.20118	18.5486	7.15927	2.01528e-05	250	2	91724.3	80.5555	501.955	4.88073	38.0606	82.3394	98.7821	2.05361	0.189186	369.76	27.7072	2.39243
37	0.000148975	4.02136	27.5112	45	8613.12	129584	183.824	1.11992	6.79551	0.0214645	17.1097	0.979001	0.00598549	99.021	237.433	3.73603	180.712	4.52449	2.48767	8.83233	347.417	23.5898	0.00755239	0.0116244	0.000443238	1.90031	10351.5	0.000114183	1.22371	18.5651	6.21023	2.19844e-05	250	2	98859.6	80.5357	501.936	5.82977	47.7548	72.6452	98.74	2.15422	0.20278	369.71	27.8742	2.22542
38	0.000172806	4.02136	27.6749	45	8378.11	129553	183.721	1.34479	5.96943	0.0222759	17.0334	1.00102	0.00650833	98.999	228.889	3.80482	134.246	5.35057	2.99495	8.32505	343.288	23.2505	0.00656689	0.0146682	0.000694103	1.59841	10625.7	0.000125961	1.24585	18.5791	5.31148	2.25924e-05	250	2	103472	80.5157	501.916	6.72852	56.5659	63.8341	98.6972	2.25646	0.216535	369.664	28.188	1.9116
39	0.000199459	4.02136	27.849	45	8143.98	129526	183.617	1.49338	5.39742	0.0230958	16.9582	1.02261	0.00705113	98.9774	220.612	3.87229	109.68	5.92258	3.49598	7.82402	338.809	22.9239	0.0055196	0.0170888	0.000985429	1.33293	10895.8	0.000138485	1.26761	18.5911	4.62103	2.27749e-05	250	2	106074	80.4954	501.895	7.41896	62.756	57.644	98.6536	2.36029	0.23055	369.62	28.4971	1.60262
40	0.000228504	4.02136	27.9861	45	7911.24	129501	183.51	1.58433	5.08106	0.0239239	16.8842	1.04379	0.00761338	98.9562	212.592	3.93845	98.0351	6.23894	3.91831	7.40169	334.013	22.6095	0.00465437	0.0190148	0.00130125	1.13989	11161.6	0.000151766	1.28899	18.6012	4.17504	2.31479e-05	250	2	107374	80.4749	501.875	7.86496	66.2362	54.1638	98.6093	2.46566	0.244925	369.579	28.7437	1.35604
41	0.000259719	4.02136	28.0778	45	7680.35	129478	183.403	1.63685	4.95934	0.0247601	16.8114	1.06455	0.00819516	98.9354	204.82	4.00334	93.8702	6.36066	4.22996	7.09004	328.927	22.3071	0.0040284	0.0206758	0.00163035	1.01592	11423	0.000165824	1.31002	18.6096	3.93881	2.41242e-05	250	2	107868	80.4542	501.854	8.10118	67.6213	52.7787	98.5644	2.57253	0.259739	369.539	28.9178	1.18187
42	0.000293068	4.02136	28.129	45	7451.74	129457	183.294	1.66637	4.96434	0.025604	16.7397	1.08491	0.00879693	98.9151	197.289	4.06698	94.0475	6.35566	4.42544	6.89456	323.579	22.0163	0.00362288	0.022326	0.00196778	0.946553	11679.7	0.00018068	1.33069	18.6167	3.85766	2.59245e-05	250	2	107874	80.4332	501.833	8.18234	67.6233	52.7767	98.5188	2.68085	0.275044	369.501	29.0279	1.07187
43	0.000328662	4.02136	28.1488	45	7225.76	129439	183.183	1.68391	5.0311	0.0264554	16.6691	1.10488	0.00941934	98.8951	189.99	4.12939	96.327	6.2889	4.51939	6.80061	317.997	21.7367	0.00339324	0.0241934	0.00231456	0.915969	11931.5	0.000196359	1.35102	18.6226	3.87398	2.86112e-05	250	2	107638	80.4119	501.812	8.16601	66.9324	53.4676	98.4726	2.79057	0.290875	369.464	29.0879	1.01179
44	0.000366759	4.02136	28.1479	45	7002.75	129422	183.071	1.69649	5.1033	0.0273142	16.5996	1.12445	0.0100631	98.8756	182.918	4.19058	98.8425	6.2167	4.54211	6.77789	312.206	21.468	0.00328676	0.0264482	0.00267633	0.909169	12178.4	0.000212886	1.37101	18.6273	3.93189	3.21012e-05	250	2	107367	80.3904	501.79	8.10811	66.1556	54.2444	98.4258	2.90166	0.307247	369.428	29.1142	0.985529
45	0.000407743	4.02136	28.1372	45	6783.01	129407	182.958	1.7078	5.14365	0.0281801	16.5311	1.14364	0.0107289	98.8564	176.065	4.25059	100.271	6.17635	4.53088	6.78912	306.23	21.2098	0.00325063	0.029181	0.00306138	0.912903	12420.2	0.000230288	1.39068	18.6311	3.98508	3.61884e-05	250	2	107209	80.3686	501.769	8.05492	65.7033	54.6967	98.3785	3.01407	0.324165	369.392	29.1223	0.97742
46	0.000452057	4.02136	28.1261	45	6566.8	129393	182.843	1.71892	5.13905	0.0290528	16.4637	1.16246	0.0114173	98.8375	169.427	4.30943	100.102	6.18095	4.51786	6.80214	300.095	20.9618	0.00324012	0.0323991	0.00347853	0.917207	12656.8	0.000248591	1.41002	18.6342	4.00621	4.0613e-05	250	2	107223	80.3465	501.747	8.03379	65.7276	54.6724	98.3307	3.12777	0.341628	369.357	29.1249	0.97473
47	0.000500112	4.02136	28.1204	45	6354.33	129381	182.727	1.72936	5.09482	0.0299323	16.3974	1.1809	0.0121289	98.8191	162.998	4.36713	98.532	6.22518	4.52222	6.79778	293.823	20.7237	0.00322538	0.0360447	0.00393532	0.916507	12888.1	0.000267821	1.42906	18.6364	3.98864	4.51541e-05	250	2	107389	80.3242	501.724	8.05136	66.1789	54.2211	98.2823	3.2427	0.359634	369.322	29.1302	0.969478
48	0.000552227	4.02136	28.1223	45	6145.82	129369	182.61	1.73804	5.02406	0.0308183	16.332	1.19899	0.0128641	98.801	156.773	4.4237	96.0696	6.29594	4.54996	6.77004	287.435	20.4952	0.00319268	0.04003	0.00443695	0.909224	13114.1	0.000288004	1.4478	18.6381	3.93939	4.96888e-05	250	2	107655	80.3016	501.702	8.1006	66.9197	53.4803	98.2336	3.35883	0.378185	369.288	29.1412	0.958409
49	0.000608629	4.02136	28.1316	45	5941.42	129359	182.492	1.74395	4.93952	0.0317106	16.2676	1.21672	0.0136235	98.7833	150.746	4.47916	93.2008	6.38048	4.59873	6.72127	280.953	20.276	0.00314022	0.0442707	0.00498623	0.896256	13334.7	0.000309167	1.46624	18.6392	3.87012	5.41926e-05	250	2	107969	80.2787	501.679	8.16987	67.813	52.587	98.1843	3.47612	0.397285	369.253	29.1581	0.941525
50	0.000669485	4.02136	28.147	45	5741.29	129350	182.373	1.74643	4.85013	0.0326089	16.2042	1.2341	0.0144073	98.7659	144.913	4.53354	90.2493	6.46987	4.66287	6.65713	274.396	20.0659	0.00307233	0.0487059	0.00558402	0.879425	13549.9	0.000331335	1.4844	18.6398	3.79115	5.8705e-05	250	2	108296	80.2556	501.656	8.24885	68.7619	51.6381	98.1347	3.59453	0.416943	369.218	29.1792	0.920341
51	0.000734945	4.02136	28.1666	45	5545.53	129342	182.252	1.74525	4.76063	0.0335132	16.1418	1.25113	0.0152161	98.7489	139.27	4.58685	87.3751	6.55937	4.73665	6.58335	267.784	19.8644	0.00299492	0.0533034	0.00623002	0.860463	13759.6	0.000354535	1.50227	18.6401	3.70929	6.32881e-05	250	2	108618	80.2321	501.632	8.3307	69.7138	50.6862	98.0847	3.71403	0.437168	369.183	29.2029	0.896632
52	0.000805165	4.02136	28.1894	45	5354.26	129334	182.131	1.74048	4.67264	0.0344231	16.0803	1.26783	0.0160502	98.7322	133.813	4.63911	84.6251	6.64736	4.8158	6.5042	261.133	19.6714	0.00291298	0.0580545	0.00692349	0.840599	13963.9	0.000378795	1.51988	18.6399	3.62801	6.79983e-05	250	2	108929	80.2084	501.608	8.41199	70.6498	49.7502	98.0343	3.83458	0.457974	369.148	29.2277	0.871812
53	0.000880325	4.02136	28.2145	45	5167.54	129327	182.009	1.73237	4.58597	0.0353386	16.0198	1.2842	0.0169102	98.7158	128.536	4.69035	81.9864	6.73403	4.89771	6.42229	254.461	19.4867	0.0028298	0.0629644	0.00766372	0.820526	14162.7	0.000404142	1.53721	18.6395	3.54834	7.28718e-05	250	2	109230	80.1844	501.584	8.49166	71.5716	48.8284	97.9835	3.95613	0.479372	369.113	29.2527	0.846766
54	0.000960627	4.02136	28.2413	45	4985.43	129321	181.885	1.72123	4.49959	0.0362594	15.9601	1.30025	0.0177965	98.6998	123.436	4.74058	79.4231	6.82041	4.98122	6.33878	247.784	19.3099	0.00274708	0.0680432	0.00845024	0.800519	14356.1	0.000430605	1.55429	18.6387	3.46997	7.79209e-05	250	2	109524	80.1602	501.56	8.57003	72.4895	47.9105	97.9324	4.07867	0.501377	369.077	29.2775	0.821919
55	0.0010463	4.02136	28.2698	45	4807.97	129315	181.761	1.70737	4.41233	0.0371854	15.9013	1.31598	0.0187096	98.684	118.509	4.78981	76.8988	6.90767	5.0661	6.2539	241.116	19.1407	0.00266536	0.0732989	0.00928283	0.780609	14544.1	0.000458212	1.57111	18.6377	3.39205	8.31382e-05	250	2	109816	80.1357	501.536	8.64795	73.4161	46.9839	97.881	4.20214	0.524002	369.04	29.302	0.797385
