Time	[T1]	[alpha]	[alpha_T1]	[alpha_T1_alpha]	[T1_alpha]	[alpha_alpha_T1]	[T2]	[alpha_T2]	[alpha_T2_beta]	[beta]	[T2_beta]	[alpha_beta_T2]	[T3]	[beta_T3]	[beta_T3_Inh]	[Inh]	[T3_Inh]	[beta_Inh_T3]	[Inh_T1]	[empty]
22	1.02586	114.23	0.52373	2.38166	1.62502	11.1149	0.143197	0.0559162	0.632647	13.3167	0.549184	2.50905	0.046704	0.00130553	7.05246	21.9419	19.1623	12.2372	21.8288	0
23	1.04055	106.041	0.486795	2.1655	1.54593	10.17	0.158175	0.0563161	0.622724	13.2769	0.575877	2.47691	0.0453883	0.0012883	7.06798	22.0412	19.1145	12.2709	23.0912	0
24	1.05505	98.0351	0.450348	1.95903	1.46481	9.26109	0.17547	0.0567072	0.611853	13.2067	0.604501	2.44147	0.0447321	0.00127728	7.07226	22.102	19.0976	12.2842	24.3097	0
25	1.06882	90.2505	0.414486	1.7627	1.38161	8.39019	0.195451	0.0570764	0.599965	13.1079	0.635065	2.40244	0.0444497	0.00126894	7.06654	22.1291	19.1082	12.2795	25.4822	0
26	1.08134	82.7174	0.379321	1.57687	1.29638	7.55916	0.218557	0.0574083	0.586981	12.9817	0.667555	2.3595	0.0444055	0.0012616	7.05171	22.1262	19.144	12.2586	26.6069	0
27	1.09207	75.461	0.344985	1.40186	1.20933	6.76976	0.245305	0.0576846	0.572819	12.8289	0.701923	2.31227	0.0445343	0.00125447	7.02839	22.0957	19.2032	12.2226	27.682	0
28	1.10044	68.5027	0.311627	1.23796	1.1208	6.02368	0.276295	0.0578832	0.557393	12.6498	0.738066	2.26036	0.0448045	0.0012471	6.99694	22.0393	19.2847	12.1723	28.7055	0
29	1.10588	61.8612	0.279408	1.0854	1.03124	5.3225	0.31222	0.057978	0.540621	12.4442	0.775811	2.20337	0.0452017	0.00123925	6.95751	21.958	19.3879	12.1082	29.6756	0
30	1.10782	55.5533	0.2485	0.944341	0.941259	4.6677	0.35387	0.0579388	0.522426	12.2116	0.814886	2.14088	0.0457212	0.00123072	6.91005	21.8519	19.5129	12.0301	30.5904	0
31	1.10572	49.5939	0.219082	0.814909	0.851595	4.06054	0.402126	0.0577311	0.502746	11.9515	0.854898	2.0725	0.0463641	0.00122137	6.85437	21.7206	19.6602	11.9378	31.4482	0
32	1.09909	43.9961	0.191333	0.697131	0.763103	3.50203	0.457952	0.0573169	0.48154	11.663	0.895305	1.99789	0.0471362	0.00121104	6.79012	21.5633	19.8306	11.8309	32.2473	0
33	1.08756	38.7713	0.165425	0.590942	0.676737	2.99284	0.52237	0.0566559	0.458799	11.3455	0.93539	1.91678	0.0480471	0.00119959	6.71682	21.3784	20.0254	11.7086	32.9865	0
34	1.07091	33.9287	0.141511	0.496165	0.593508	2.5332	0.596424	0.0557074	0.434556	10.9985	0.974246	1.82907	0.0491095	0.00118687	6.63392	21.1641	20.246	11.5698	33.6647	0
35	1.04914	29.4744	0.119716	0.412499	0.514438	2.12278	0.681113	0.0544338	0.408897	10.6219	1.01077	1.73479	0.05034	0.00117276	6.54079	20.9183	20.494	11.4137	34.2814	0
36	1.02249	25.4116	0.10013	0.339513	0.440487	1.76064	0.77732	0.0528041	0.381973	10.2161	1.04366	1.63424	0.0517581	0.0011571	6.43678	20.6386	20.7713	11.239	34.8367	0
37	0.991506	21.7392	0.0827924	0.276642	0.372494	1.44519	0.885702	0.0507989	0.354003	9.7824	1.0715	1.528	0.0533868	0.00113977	6.32125	20.3226	21.0796	11.0446	35.3314	0
38	0.957046	18.4518	0.0676885	0.223196	0.311102	1.17411	1.00658	0.0484151	0.32528	9.32294	1.09277	1.41695	0.0552523	0.00112068	6.19364	19.9678	21.4205	10.8295	35.7669	0
39	0.920224	15.5393	0.0547479	0.178382	0.256712	0.944443	1.13983	0.0456695	0.296162	8.84089	1.10601	1.30233	0.057384	0.00109974	6.05352	19.5722	21.795	10.593	36.1455	0
40	0.88237	12.9863	0.0438465	0.141322	0.209446	0.752676	1.28477	0.0426014	0.267061	8.3405	1.10991	1.18566	0.0598142	0.00107691	5.90067	19.1342	22.2041	10.3344	36.4703	0
41	0.844927	10.773	0.034815	0.111095	0.169156	0.594867	1.4401	0.0392725	0.238421	7.82701	1.10349	1.06872	0.0625779	0.00105222	5.7351	18.653	22.6476	10.0536	36.7451	0
42	0.809335	8.8753	0.027451	0.0867665	0.135441	0.466829	1.60391	0.0357627	0.21069	7.30646	1.08621	0.953425	0.0657123	0.00102572	5.55714	18.1289	23.1249	9.7512	36.9742	0
43	0.77692	7.26572	0.0215344	0.0674292	0.107716	0.364328	1.77376	0.0321644	0.184289	6.78542	1.05806	0.841718	0.069256	0.000997533	5.36749	17.5632	23.6342	9.42802	37.1621	0
44	0.748797	5.91474	0.016842	0.0522318	0.0852665	0.283266	1.94678	0.0285742	0.159582	6.27061	1.01966	0.7354	0.073249	0.000967851	5.16717	16.9584	24.1729	9.08573	37.3136	0
45	0.725809	4.79189	0.0131603	0.0404041	0.0673302	0.219833	2.11988	0.025084	0.136852	5.76846	0.972163	0.636017	0.0777315	0.000936901	4.95758	16.3185	24.7372	8.72654	37.4335	0
46	0.708512	3.86696	0.0102956	0.0312713	0.0531523	0.170625	2.28999	0.0217733	0.116288	5.28476	0.917195	0.544751	0.0827439	0.00090496	4.7404	15.6485	25.3227	8.35323	37.5261	0
47	0.697189	3.11111	0.00807918	0.0242605	0.0420334	0.132698	2.45426	0.0187039	0.0979773	4.82437	0.856696	0.462365	0.0883256	0.00087233	4.51756	14.9543	25.9242	7.96903	37.5957	0
48	0.691895	2.49764	0.00636947	0.0188978	0.0333573	0.103589	2.61023	0.0159172	0.0819181	4.39098	0.792737	0.389196	0.0945152	0.000839327	4.29112	14.2425	26.5361	7.57746	37.6459	0
49	0.692515	2.00255	0.00505131	0.0148015	0.0266031	0.081288	2.756	0.0134345	0.068028	3.98705	0.727346	0.325188	0.10135	0.000806263	4.06323	13.5203	27.1524	7.18219	37.6797	0
50	0.698823	1.60483	0.00403325	0.01167	0.0213439	0.0641966	2.89026	0.0112597	0.0561646	3.6139	0.662356	0.269964	0.108865	0.000773434	3.83596	12.7946	27.7675	6.78689	37.6999	0
51	0.710535	1.28643	0.00324412	0.00926962	0.0172395	0.0510662	3.01226	0.00938231	0.0461458	3.27174	0.599306	0.222905	0.117094	0.000741105	3.61128	12.0724	28.3758	6.39505	37.7086	0
52	0.727349	1.03214	0.00262935	0.00742148	0.0140234	0.0409371	3.12182	0.00778203	0.0377679	2.95995	0.539386	0.18324	0.12607	0.000709503	3.39097	11.3599	28.9724	6.00985	37.7076	0
53	0.748971	0.829382	0.00214745	0.00599038	0.0114901	0.0330804	3.2192	0.00643249	0.0308213	2.67725	0.483426	0.150121	0.135822	0.000678813	3.17657	10.6628	29.5528	5.63411	37.6983	0
54	0.775137	0.667821	0.00176715	0.0048748	0.00948245	0.0269466	3.30498	0.00530446	0.0251024	2.42188	0.431927	0.122689	0.146379	0.000649176	2.96935	9.98573	30.1134	5.27019	37.6818	0
55	0.805615	0.539094	0.0014649	0.00399881	0.00788081	0.0221236	3.37999	0.00436836	0.0204218	2.19184	0.385106	0.100119	0.157768	0.000620693	2.77033	9.33271	30.6513	4.91998	37.6589	0
56	0.840213	0.436469	0.00122295	0.00330571	0.00659447	0.0183032	3.44519	0.00359598	0.016609	1.98497	0.342954	0.0816478	0.170014	0.000593424	2.58025	8.70671	31.1642	4.58492	37.6304	0
57	0.87877	0.354564	0.00102792	0.00275314	0.00555444	0.0152542	3.50163	0.00296145	0.0135142	1.79913	0.305301	0.0665948	0.183141	0.000567398	2.3996	8.1099	31.6507	4.266	37.5966	0
58	0.921161	0.289097	0.000869664	0.00230932	0.00470812	0.012803	3.55032	0.00244183	0.0110088	1.63223	0.271866	0.0543657	0.19717	0.000542615	2.22869	7.54366	32.1098	3.96384	37.5581	0
59	0.967284	0.236669	0.000740429	0.00195031	0.00401523	0.0108186	3.59225	0.00201721	0.00898404	1.4823	0.242301	0.0444522	0.212124	0.000519054	2.06759	7.00874	32.5411	3.67871	37.5152	0
60	1.01706	0.194588	0.000634273	0.00165795	0.00344469	0.00920146	3.62832	0.00167063	0.00734914	1.34753	0.216233	0.0364263	0.22802	0.000496676	1.91626	6.50527	32.9446	3.41058	37.468	0
61	1.07042	0.160729	0.000546597	0.00141837	0.0029724	0.00787548	3.65937	0.00138786	0.00602934	1.22629	0.193285	0.029932	0.244877	0.000475431	1.77453	6.03296	33.3209	3.15922	37.4168	0
62	1.12733	0.133409	0.000473817	0.00122091	0.00257951	0.006782	3.68611	0.0011571	0.00496345	1.11707	0.173092	0.0246762	0.262712	0.000455262	1.6421	5.59111	33.6705	2.92419	37.3616	0
63	1.18773	0.111301	0.000413122	0.00105729	0.00225121	0.00587551	3.70919	0.000968595	0.00410177	1.01858	0.155318	0.0204195	0.281538	0.000436107	1.51864	5.17876	33.9945	2.70493	37.3027	0
64	1.2516	0.0933538	0.000362289	0.000921053	0.00197573	0.00512039	3.72916	0.000814407	0.00340416	0.929627	0.139656	0.0169677	0.301369	0.000417901	1.40376	4.79474	34.2937	2.50077	37.24	0
65	1.3189	0.0787374	0.000319548	0.000807103	0.00174371	0.00448858	3.74648	0.000688056	0.00283832	0.849185	0.125832	0.0141638	0.322217	0.000400581	1.29701	4.43775	34.5694	2.31098	37.1737	0
66	1.38961	0.0667931	0.000283484	0.000711405	0.00154762	0.0039578	3.76155	0.000584293	0.00237833	0.776339	0.113606	0.0118813	0.344091	0.000384085	1.19797	4.10639	34.8227	2.13481	37.1039	0
67	1.46368	0.0569987	0.000252956	0.00063074	0.00138137	0.00351027	3.77471	0.000498871	0.00200343	0.710284	0.102768	0.0100189	0.367	0.000368356	1.10616	3.7992	35.055	1.97146	37.0305	0
68	1.5411	0.0489392	0.000227042	0.000562519	0.00124005	0.0031317	3.78624	0.00042836	0.00169705	0.650312	0.0931374	0.00849507	0.390948	0.000353337	1.02115	3.51475	35.2674	1.82016	36.9537	0
69	1.62182	0.0422841	0.000204991	0.000504655	0.00111964	0.00281052	3.79638	0.000369995	0.0014459	0.595796	0.0845571	0.00724477	0.415941	0.000338978	0.942497	3.25158	35.4611	1.68013	36.8735	0
70	1.70581	0.0367696	0.000186191	0.000455451	0.00101684	0.00253737	3.80533	0.000321543	0.00123939	0.546186	0.0768934	0.00621574	0.44198	0.000325232	0.869769	3.00831	35.6373	1.55062	36.79	0
71	1.79303	0.0321847	0.000170137	0.000413527	0.00092896	0.00230459	3.81325	0.000281203	0.00106904	0.50099	0.0700311	0.00536618	0.469065	0.000312057	0.802558	2.78357	35.7972	1.43091	36.7032	0
72	1.88343	0.0283604	0.000156419	0.000377751	0.000853768	0.00210594	3.82029	0.000247519	0.000928066	0.459778	0.0638717	0.00466257	0.497194	0.000299414	0.740475	2.57607	35.9417	1.32032	36.6131	0
73	1.97697	0.0251608	0.000144695	0.000347195	0.000789429	0.00193626	3.82656	0.000219316	0.000811027	0.422164	0.0583306	0.00407801	0.526364	0.00028727	0.683151	2.38458	36.072	1.21819	36.5198	0
74	2.07357	0.0224765	0.000134686	0.000321096	0.000734422	0.00179133	3.83216	0.000195641	0.000713557	0.387806	0.0533352	0.00359086	0.556567	0.000275593	0.630238	2.20794	36.189	1.1239	36.4234	0
75	2.17319	0.020219	0.000126158	0.000298824	0.000687488	0.00166765	3.83719	0.000175722	0.000632144	0.356398	0.0488229	0.00318373	0.587795	0.000264356	0.581409	2.04503	36.2936	1.03689	36.324	0
76	2.27576	0.0183168	0.000118919	0.000279858	0.000647586	0.00156235	3.84169	0.000158932	0.000563959	0.327668	0.0447397	0.00284257	0.620038	0.000253535	0.536359	1.89485	36.3867	0.9566	36.2216	0
77	2.3812	0.0167119	0.000112813	0.00026377	0.000613855	0.00147305	3.84575	0.00014476	0.000506719	0.301371	0.0410387	0.00255604	0.653283	0.000243109	0.494804	1.75643	36.4691	0.882533	36.1163	0
78	2.48945	0.0153572	0.00010771	0.000250206	0.000585585	0.00139779	3.84941	0.000132791	0.000458576	0.277287	0.0376793	0.00231496	0.687516	0.000233061	0.456478	1.62886	36.5416	0.814216	36.0082	0
79	2.60041	0.0142142	0.000103502	0.000238876	0.000562197	0.00133496	3.85272	0.000122686	0.000418033	0.25522	0.034626	0.00211188	0.72272	0.000223372	0.421136	1.51133	36.6047	0.751212	35.8973	0
80	2.71401	0.0132517	0.000100105	0.000229542	0.000543219	0.00128326	3.85571	0.000114169	0.000383876	0.234991	0.0318476	0.00194076	0.758878	0.00021403	0.388548	1.40305	36.6592	0.693115	35.7838	0
81	2.83015	0.0124443	9.74499e-05	0.000222015	0.000528277	0.00124161	3.85842	0.000107013	0.000355117	0.21644	0.0293171	0.00179667	0.79597	0.000205021	0.358503	1.30332	36.7058	0.639547	35.6678	0
82	2.94875	0.0117712	9.54852e-05	0.000216142	0.000517078	0.00120919	3.86088	0.000101036	0.000330953	0.199422	0.0270103	0.00167562	0.833973	0.000196336	0.330806	1.21145	36.7449	0.590161	35.5492	0
83	3.0697	0.0112157	9.41718e-05	0.000211806	0.000509407	0.00118535	3.86311	9.60871e-05	0.000310732	0.183806	0.0249061	0.00157435	0.872866	0.000187965	0.305274	1.12685	36.777	0.544634	35.4283	0
84	3.19291	0.0107642	9.3484e-05	0.000208922	0.000505115	0.00116962	3.86514	9.20467e-05	0.000293923	0.169473	0.0229856	0.00149022	0.912623	0.000179898	0.281741	1.04894	36.8028	0.502667	35.3051	0
85	3.31827	0.0104061	9.34076e-05	0.000207432	0.000504117	0.00116169	3.86698	8.88181e-05	0.000280098	0.156314	0.0212322	0.0014211	0.953219	0.000172131	0.260051	0.977189	36.8226	0.463985	35.1798	0
86	3.44568	0.0101328	9.39401e-05	0.000207306	0.00050639	0.00116139	3.86865	8.63252e-05	0.000268914	0.144233	0.019631	0.00136528	0.994627	0.000164655	0.240063	0.911124	36.8368	0.428335	35.0524	0
87	3.57503	0.009938	9.50903e-05	0.000208539	0.000511972	0.00116871	3.87017	8.45098e-05	0.000260097	0.13314	0.0181688	0.0013214	1.03682	0.000157466	0.221645	0.850294	36.8459	0.395482	34.923	0
88	3.70622	0.00981704	9.68785e-05	0.00021115	0.000520962	0.00118376	3.87154	8.3329e-05	0.000253433	0.122954	0.0168337	0.00128839	1.07977	0.000150559	0.204674	0.794285	36.8502	0.365208	34.7918	0
89	3.83914	0.00976692	9.93375e-05	0.000215188	0.000533524	0.00120681	3.87279	8.27542e-05	0.000248764	0.113602	0.0156153	0.00126546	1.12344	0.00014393	0.18904	0.742721	36.8501	0.337317	34.6588	0
90	3.97367	0.00978612	0.000102513	0.000220725	0.00054989	0.00123829	3.87392	8.27694e-05	0.000245973	0.105017	0.0145041	0.00125206	1.16781	0.000137577	0.17464	0.69525	36.8458	0.311623	34.5242	0
91	4.10971	0.00987455	0.000106465	0.000227865	0.000570372	0.00127878	3.87493	8.33709e-05	0.000244988	0.0971376	0.0134917	0.00124783	1.21285	0.000131495	0.161378	0.651551	36.8377	0.287958	34.3881	0
92	4.24715	0.0100335	0.000111271	0.000236744	0.000595364	0.00132906	3.87585	8.45668e-05	0.000245775	0.089909	0.0125706	0.0012526	1.25851	0.000125683	0.149167	0.611328	36.826	0.266166	34.2506	0
93	4.38587	0.0102659	0.000117025	0.000247536	0.000625359	0.00139012	3.87666	8.63779e-05	0.000248336	0.0832808	0.0117342	0.00126642	1.30478	0.000120141	0.137927	0.574308	36.8111	0.246104	34.1117	0
94	4.52577	0.0105759	0.000123845	0.000260456	0.000660966	0.00146316	3.87739	8.88371e-05	0.000252712	0.0772073	0.0109766	0.0012895	1.35163	0.000114866	0.127585	0.540243	36.793	0.22764	33.9717	0
95	4.66674	0.0109695	0.000131874	0.000275769	0.000702924	0.00154969	3.87803	9.19914e-05	0.000258981	0.0716474	0.0102928	0.00132225	1.399	0.00010986	0.118072	0.508901	36.7722	0.210654	33.8306	0
96	4.80866	0.0114544	0.000141284	0.000293795	0.000752129	0.00165153	3.87859	9.59025e-05	0.00026726	0.0665637	0.00967822	0.0013653	1.44689	0.000105123	0.109326	0.480074	36.7486	0.195035	33.6885	0
97	4.95143	0.0120405	0.000152285	0.000314926	0.000809665	0.00177088	3.87907	0.000100649	0.00027771	0.0619228	0.00912923	0.00141948	1.49524	0.000100658	0.101291	0.453568	36.7227	0.180682	33.5455	0
98	5.09493	0.0127401	0.000165127	0.000339633	0.000876843	0.00191042	3.87947	0.00010633	0.000290542	0.0576946	0.00864271	0.00148588	1.54404	9.64691e-05	0.0939155	0.429208	36.6945	0.167502	33.4018	0
99	5.23907	0.0135681	0.000180116	0.000368486	0.000955239	0.00207337	3.8798	0.000113067	0.00030602	0.0538528	0.0082162	0.00156588	1.59324	9.25612e-05	0.0871513	0.406833	36.6641	0.15541	33.2574	0
100	5.38372	0.0145429	0.000197618	0.000402172	0.00104676	0.00226361	3.88005	0.000121006	0.000324474	0.0503738	0.00784795	0.00166117	1.64281	8.8942e-05	0.0809558	0.386297	36.6318	0.14433	33.1124	0
