Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]
48	8.96739	2.22718	0.904634	1.56221	2.50248	1.40806	0.589552	1.77991	0.74204	0.10904	0.322142	0.117994	0.0294093	0.308318	0.0247357	0.00615436
49	8.7492	2.30513	0.908694	1.75912	3.27909	1.68005	0.610924	2.26056	0.893028	0.115013	0.709427	0.164348	0.0756228	0.318506	0.0518111	0.0181302
50	8.48975	2.35911	0.91283	1.88444	4.04077	1.93077	0.630612	2.72587	0.987791	0.117981	1.23322	0.196081	0.162685	0.325899	0.0894607	0.0468596
51	8.21449	2.37982	0.916788	1.90408	4.79	2.16305	0.647958	3.17417	1.04913	0.119553	1.84054	0.216145	0.296644	0.330726	0.126513	0.101099
52	7.95411	2.35937	0.920296	1.79865	5.52537	2.37834	0.662959	3.60307	1.09138	0.120476	2.49563	0.228719	0.481339	0.332979	0.157479	0.187854
53	7.74197	2.29484	0.923068	1.57539	6.2415	2.57535	0.675819	4.00499	1.12134	0.121067	3.17718	0.236722	0.729135	0.332358	0.181774	0.308286
54	7.609	2.19112	0.92482	1.26853	6.92974	2.74475	0.686793	4.35406	1.14011	0.121448	3.87042	0.24195	1.06644	0.328095	0.200573	0.451318
55	7.57277	2.06154	0.925303	0.933991	7.57052	2.84665	0.696131	4.55879	1.13916	0.121601	4.55195	0.245465	1.52946	0.318645	0.215107	0.587996
56	7.62461	1.92552	0.924368	0.636739	8.09455	2.74238	0.704034	4.37834	1.08989	0.121268	5.14572	0.247861	2.14172	0.301534	0.22623	0.677107
57	7.73352	1.80322	0.922039	0.424487	8.30578	2.25614	0.7106	3.67919	0.972926	0.119919	5.47766	0.249419	2.86203	0.274692	0.234479	0.689766
58	7.86873	1.70882	0.918564	0.301598	7.99899	1.53854	0.715774	2.7432	0.832528	0.11741	5.41818	0.250231	3.55733	0.240574	0.240283	0.635054
59	8.01314	1.64659	0.91437	0.23933	7.17076	0.827433	0.719393	1.78648	0.699477	0.114032	5.007	0.250351	4.07665	0.207473	0.244107	0.549111
60	8.15981	1.61322	0.909935	0.210467	5.99093	0.283514	0.721187	0.901165	0.567017	0.109605	4.34738	0.249783	4.32668	0.182814	0.246418	0.462578
61	8.30598	1.60286	0.905673	0.201314	4.78709	0.0488725	0.720793	0.231725	0.424939	0.102966	3.55378	0.248427	4.28043	0.168697	0.247579	0.389886
62	8.45022	1.61005	0.901889	0.206507	3.81519	0.00997816	0.71801	0.0168682	0.313849	0.0936756	2.76878	0.246065	3.96842	0.163845	0.247803	0.333914
63	8.59147	1.63061	0.898775	0.224356	3.02155	0.00784661	0.712715	0.0044675	0.259038	0.085815	2.10917	0.242496	3.46921	0.166232	0.247165	0.291573
64	8.72853	1.66163	0.896433	0.25534	2.33481	0.0117678	0.704383	0.00646551	0.222533	0.0799865	1.57469	0.237474	2.8686	0.174111	0.2456	0.257605
65	8.85971	1.70137	0.894903	0.302441	1.73458	0.0217283	0.691844	0.0122073	0.189043	0.0743232	1.12932	0.230343	2.22931	0.18624	0.242824	0.22632
66	8.9821	1.74923	0.894187	0.371909	1.22056	0.0461771	0.672854	0.0267908	0.155336	0.0676874	0.75116	0.219504	1.59573	0.201784	0.23811	0.192342
67	9.09035	1.80584	0.894271	0.474383	0.818119	0.108304	0.643604	0.0670353	0.125083	0.0600264	0.435391	0.201157	1.00582	0.220046	0.229616	0.151084
68	9.17445	1.87303	0.895143	0.625308	0.602509	0.254342	0.602156	0.18037	0.114818	0.0547989	0.194998	0.165966	0.503011	0.240173	0.211996	0.100446
69	9.21704	1.95328	0.896799	0.838646	0.689591	0.513826	0.565295	0.44624	0.164661	0.0614883	0.0634955	0.101421	0.152015	0.260896	0.166671	0.0466601
70	9.19606	2.04637	0.899228	1.09829	1.1313	0.834751	0.557322	0.868243	0.321877	0.0810784	0.0469574	0.0529376	0.024799	0.280388	0.0690983	0.011945
71	9.10031	2.14425	0.902358	1.35559	1.82565	1.15165	0.571094	1.35275	0.555449	0.0992871	0.128915	0.0733909	0.014373	0.296842	0.0205207	0.00398568
72	8.93408	2.23555	0.906015	1.5888	2.60343	1.44459	0.592046	1.84267	0.765598	0.110073	0.362596	0.124664	0.0334378	0.309783	0.0271555	0.00702315
73	8.71003	2.31076	0.909975	1.77778	3.37821	1.71356	0.61336	2.32131	0.90789	0.115521	0.770683	0.169253	0.0844089	0.319575	0.0563586	0.0206959
74	8.44776	2.36084	0.913993	1.89073	4.13821	1.9617	0.632816	2.78435	0.997089	0.118239	1.30785	0.199229	0.177379	0.326619	0.0944844	0.0521951
75	8.17346	2.37653	0.917812	1.89447	4.8859	2.19168	0.649892	3.23018	1.05529	0.119697	1.92283	0.218114	0.317708	0.33111	0.130931	0.110238
76	7.91835	2.35041	0.921157	1.77268	5.61921	2.40469	0.664633	3.65602	1.09563	0.120563	2.58216	0.229961	0.509755	0.333007	0.161008	0.201312
77	7.71581	2.28045	0.923737	1.53625	6.33236	2.59883	0.677258	4.05292	1.12416	0.121123	3.26584	0.237523	0.767593	0.331959	0.184516	0.325363
78	7.59575	2.17267	0.925269	1.22264	7.01598	2.76262	0.688025	4.39014	1.14105	0.121478	3.95908	0.242482	1.11937	0.327113	0.2027	0.469172
79	7.57279	2.04138	0.925514	0.889891	7.64721	2.84788	0.69718	4.55999	1.13569	0.121588	4.63485	0.245826	1.6014	0.316796	0.216749	0.601506
80	7.63449	1.90642	0.92434	0.602403	8.14361	2.69816	0.704918	4.3066	1.07701	0.121148	5.20454	0.248103	2.23197	0.298455	0.227467	0.681108
81	7.74853	1.78752	0.921797	0.403143	8.29332	2.16445	0.711316	3.55535	0.953411	0.119631	5.48668	0.249558	2.95709	0.270349	0.235369	0.683223
82	7.88571	1.69761	0.918164	0.29044	7.91194	1.43686	0.716303	2.60875	0.813255	0.116984	5.37416	0.250276	3.63538	0.235833	0.240882	0.622183
83	8.03072	1.6397	0.913882	0.233984	7.02316	0.739261	0.719702	1.65719	0.680984	0.113484	4.92279	0.250303	4.121	0.203565	0.244479	0.535006
84	8.17746	1.60988	0.909423	0.208357	5.81859	0.231835	0.721227	0.789835	0.54724	0.108834	4.23782	0.249635	4.33019	0.180334	0.246617	0.450141
85	8.32345	1.60225	0.90519	0.20138	4.63959	0.0374616	0.720521	0.172791	0.405244	0.101746	3.43649	0.248151	4.24415	0.167598	0.247641	0.380041
86	8.46737	1.61151	0.90147	0.208386	3.69902	0.00895169	0.717415	0.0117918	0.303185	0.0923531	2.66474	0.245628	3.90101	0.16386	0.247745	0.326434
87	8.60814	1.63367	0.898441	0.228007	2.92241	0.00816066	0.711754	0.00453669	0.252821	0.08485	2.02477	0.241868	3.3834	0.167101	0.246983	0.285742
88	8.74452	1.66599	0.896196	0.261039	2.24798	0.0127307	0.70294	0.00701501	0.217196	0.0791257	1.50494	0.236594	2.77467	0.175638	0.245268	0.252578
89	8.8747	1.70688	0.894767	0.310872	1.65903	0.0240312	0.689687	0.0135506	0.183719	0.0733561	1.07015	0.22905	2.13434	0.188293	0.242271	0.221277
90	8.9955	1.75592	0.894153	0.38431	1.15796	0.0519638	0.669555	0.0303452	0.150106	0.0665198	0.700962	0.217429	1.5052	0.204266	0.237162	0.186554
91	9.10108	1.81391	0.894339	0.492708	0.775653	0.122864	0.638589	0.0771401	0.121326	0.058844	0.39492	0.197397	0.925339	0.222853	0.227813	0.144024
92	9.18052	1.88283	0.895313	0.651989	0.595836	0.284977	0.596231	0.207548	0.116661	0.0546733	0.168002	0.158431	0.440108	0.243156	0.207867	0.0923034
93	9.21533	1.96508	0.897074	0.874186	0.733423	0.558162	0.562676	0.499151	0.179769	0.0637157	0.0547961	0.0909419	0.118941	0.263825	0.155209	0.0396594
94	9.18392	2.05953	0.899605	1.13598	1.22097	0.881412	0.558791	0.935994	0.352658	0.0840424	0.0519928	0.051897	0.020252	0.282965	0.0564021	0.00955826
95	9.07769	2.15707	0.902818	1.39043	1.93659	1.19524	0.574224	1.42327	0.588742	0.101262	0.151658	0.0800637	0.0154762	0.298905	0.0192793	0.00389643
96	8.90242	2.24657	0.906529	1.61858	2.71655	1.48455	0.595418	1.91204	0.789824	0.111099	0.411037	0.131917	0.038544	0.311359	0.0303097	0.00820097
97	8.67177	2.31869	0.910509	1.79862	3.48903	1.75031	0.616484	2.38852	0.922996	0.116024	0.841104	0.174408	0.0949755	0.320733	0.0615773	0.0239028
98	8.4063	2.36436	0.914512	1.8976	4.24712	1.99569	0.635566	2.84914	1.0066	0.118497	1.39209	0.20251	0.19455	0.3274	0.099998	0.0586678
99	8.13306	2.37442	0.918278	1.88367	4.99294	2.22318	0.652265	3.2923	1.06166	0.119842	2.01501	0.220164	0.341929	0.331526	0.135678	0.121108
100	7.88374	2.34198	0.921528	1.74411	5.72372	2.4337	0.666662	3.71472	1.10009	0.120654	2.67875	0.231257	0.542269	0.333028	0.164765	0.217072
