Time	[ADP]	[ATP]	[AcAld]	[BPG]	[DHAP]	[F16bP]	[F6P]	[G1P]	[G3P]	[G6P]	[GAP]	[GLC]	[NAD]	[P2G]	[P3G]	[PEP]	[PYR]	[T6P]	[UDP]	[UTP]	[AMP]	[NADH]	[UDG]	[ACE]	[EtOH]	[F26bP]	[GLCx]	[GLY]	[SUC]	[TRH]	[ADH1]	[CDC19]	[ENO1]	[ENO2]	[FBA1]	[GLK1]	[GPD1]	[GPD2]	[GPM1]	[HOR2]	[HXK1]	[HXK2]	[PDC1]	[PDC5]	[PDC6]	[PFK1]	[PFK2]	[PGI1]	[PGK1]	[PGM1]	[PGM2]	[RHR2]	[TDH1]	[TDH3]	[TPI1]	[TPS1]	[TPS2]	[UGP1]	[E4P]	[G6L]	[NADPH]	[P6G]	[R5P]	[Ru5P]	[S7P]	[X5P]	[NADP]	[GND1]	[GND2]	[NQM1]	[RKI1]	[RPE1]	[SOL3]	[TAL1]	[TKL1]	[ZWF1]
10	2.25658	2.99744	0.837531	0.00108066	1.76919	3.16295	0.414218	0.110807	0.303808	1.51942	0.0759692	0.839397	1.28728	0.0588141	0.327098	0.293463	2.74996	0.0136096	0.298256	0.410072	0.765984	0.302719	0.689518	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0193902	1.37834	0.203849	0.269956	0.0799257	0.0322112	0.0583641	0.0464189	0.126151	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
11	2.25214	3.00809	0.863825	0.00108889	1.73869	3.06355	0.401613	0.108214	0.302682	1.47423	0.0746087	0.833885	1.29475	0.0603676	0.335399	0.302198	2.75474	0.0133214	0.293135	0.413615	0.759772	0.29525	0.691096	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0186059	1.44684	0.200931	0.274801	0.0803185	0.0324205	0.0598452	0.046629	0.129069	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
12	2.24931	3.01493	0.890602	0.00109639	1.70894	2.96798	0.390182	0.105914	0.301305	1.43324	0.0732822	0.829807	1.3019	0.0619021	0.343594	0.310845	2.75859	0.013063	0.287819	0.416879	0.755764	0.2881	0.693149	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0178792	1.5098	0.198306	0.279083	0.0807439	0.0326308	0.0614257	0.0468497	0.131694	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
13	2.24775	3.0188	0.917831	0.00110325	1.67999	2.87632	0.379666	0.103877	0.299758	1.39552	0.0719926	0.826795	1.30874	0.0634184	0.351688	0.319409	2.76156	0.0128274	0.282512	0.419755	0.75345	0.281258	0.695579	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0172024	1.56776	0.195923	0.28282	0.0811807	0.0328367	0.0630696	0.0470715	0.134077	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
14	2.24721	3.02031	0.945483	0.00110952	1.65188	2.78854	0.369893	0.102065	0.298099	1.36044	0.070741	0.824603	1.31529	0.0649169	0.359683	0.327892	2.76368	0.0126096	0.277341	0.422198	0.752478	0.274712	0.698307	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0165696	1.62117	0.193743	0.286035	0.0816145	0.0330348	0.0647508	0.0472882	0.136257	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
15	2.24753	3.01986	0.973529	0.00111522	1.62462	2.70454	0.360744	0.100447	0.296371	1.32759	0.0695277	0.823065	1.32155	0.0663976	0.36758	0.336295	2.76498	0.0124061	0.272378	0.424204	0.752605	0.268452	0.701264	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0159765	1.67041	0.191737	0.288751	0.0820355	0.0332228	0.0664503	0.047496	0.138263	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
16	2.24858	3.01776	1.00194	0.00112041	1.59819	2.6242	0.352137	0.0989923	0.294603	1.29667	0.0683525	0.822068	1.32753	0.06786	0.375375	0.344613	2.7655	0.0122146	0.267664	0.425791	0.753662	0.262466	0.704391	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0154196	1.71583	0.189882	0.290992	0.082438	0.0333995	0.0681547	0.0476924	0.140118	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
17	2.25026	3.01421	1.03068	0.00112509	1.57259	2.54738	0.344011	0.0976752	0.292819	1.26745	0.0672146	0.821531	1.33326	0.0693033	0.383066	0.352844	2.76528	0.0120333	0.263216	0.426991	0.755526	0.256741	0.70764	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0148958	1.75772	0.18816	0.292787	0.0828182	0.0335644	0.0698542	0.0478761	0.14184	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
18	2.2525	3.00939	1.05972	0.0011293	1.5478	2.47394	0.336318	0.0964741	0.291035	1.23977	0.0661133	0.821395	1.33873	0.0707268	0.390647	0.360982	2.76435	0.0118608	0.259038	0.42784	0.758108	0.251267	0.710968	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0144027	1.79635	0.186555	0.294161	0.0831743	0.0337175	0.0715416	0.0480465	0.143445	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
19	2.25524	3.00342	1.08903	0.00113304	1.5238	2.40374	0.329024	0.095371	0.289263	1.21351	0.0650477	0.821618	1.34397	0.0721296	0.398114	0.369021	2.76277	0.0116961	0.255128	0.428377	0.761339	0.246032	0.714341	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0139381	1.83196	0.185055	0.295143	0.0835056	0.0338588	0.073212	0.0482035	0.144945	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
20	2.25842	2.99642	1.11858	0.00113635	1.50056	2.33663	0.322096	0.0943509	0.287513	1.18855	0.0640167	0.822165	1.34897	0.0735107	0.405462	0.376955	2.76056	0.0115385	0.251474	0.428641	0.765161	0.241027	0.717731	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0135	1.86475	0.183649	0.295758	0.0838122	0.0339887	0.0748617	0.0483474	0.146351	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
21	2.262	2.98848	1.14834	0.00113923	1.47807	2.27248	0.315509	0.0934013	0.285792	1.16481	0.0630196	0.823009	1.35376	0.0748693	0.412688	0.38478	2.75777	0.0113873	0.248065	0.428668	0.769526	0.236241	0.721114	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0130866	1.89493	0.182329	0.296035	0.0840946	0.0341078	0.0764881	0.0484785	0.147671	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
22	2.26593	2.97968	1.17826	0.0011417	1.45631	2.21115	0.309241	0.0925118	0.284104	1.14219	0.0620551	0.824124	1.35834	0.0762046	0.419787	0.39249	2.75445	0.011242	0.244887	0.42849	0.774392	0.231665	0.72447	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0126963	1.92267	0.181087	0.295998	0.0843536	0.0342164	0.0780891	0.0485974	0.148913	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
23	2.27018	2.9701	1.20833	0.00114379	1.43526	2.15253	0.303271	0.091674	0.282454	1.12064	0.0611225	0.825491	1.36271	0.0775159	0.426755	0.40008	2.75062	0.0111022	0.241925	0.428137	0.779718	0.227288	0.727783	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0123275	1.94812	0.179916	0.295673	0.0845902	0.0343152	0.0796633	0.0487047	0.150084	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
24	2.2747	2.95983	1.2385	0.00114552	1.41489	2.0965	0.297581	0.0908808	0.280844	1.10009	0.0602208	0.82709	1.3669	0.0788026	0.433589	0.407545	2.74634	0.0109675	0.239167	0.427637	0.785469	0.223102	0.731042	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0119788	1.97144	0.17881	0.295085	0.0848056	0.0344048	0.0812098	0.048801	0.15119	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
25	2.27947	2.94892	1.26875	0.0011469	1.39518	2.04292	0.292152	0.0901263	0.279276	1.08047	0.0593491	0.828903	1.3709	0.0800641	0.440287	0.414883	2.74164	0.0108376	0.236596	0.427014	0.791609	0.219098	0.734237	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0116489	1.99277	0.177765	0.294256	0.0850009	0.0344856	0.0827275	0.0488868	0.152235	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
26	2.28444	2.93746	1.29905	0.00114796	1.37612	1.99171	0.286971	0.0894057	0.27775	1.06173	0.0585064	0.830914	1.37473	0.0813	0.446847	0.422089	2.73655	0.0107122	0.234201	0.426286	0.798104	0.215267	0.737359	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0113367	2.01222	0.176775	0.293209	0.0851773	0.0345583	0.0842159	0.0489629	0.153225	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
27	2.28958	2.9255	1.32936	0.0011487	1.35769	1.94274	0.282022	0.088715	0.276268	1.04382	0.0576919	0.833105	1.3784	0.0825099	0.453265	0.429161	2.73111	0.0105911	0.231968	0.425475	0.804923	0.211601	0.740404	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0110409	2.02992	0.175836	0.291966	0.0853358	0.0346233	0.0856745	0.0490298	0.154164	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
28	2.29487	2.9131	1.35966	0.00114917	1.33987	1.89593	0.277292	0.0880509	0.274829	1.02669	0.0569048	0.835462	1.38191	0.0836936	0.459543	0.436097	2.72537	0.010474	0.229885	0.424594	0.812034	0.208093	0.743367	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0107606	2.04598	0.174944	0.290545	0.0854776	0.034681	0.0871029	0.0490881	0.155056	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
29	2.30026	2.90033	1.38991	0.00114936	1.32264	1.85117	0.272769	0.0874105	0.273433	1.0103	0.0561442	0.837971	1.38526	0.0848509	0.465678	0.442894	2.71934	0.0103608	0.227943	0.423658	0.819407	0.204735	0.746246	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0104948	2.06049	0.174097	0.288966	0.0856036	0.034732	0.0885007	0.0491383	0.155903	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
30	2.30575	2.88724	1.42009	0.00114931	1.30598	1.80836	0.268441	0.0867917	0.27208	0.994607	0.0554092	0.840617	1.38848	0.0859817	0.47167	0.449551	2.71307	0.0102513	0.226129	0.422678	0.827014	0.201521	0.749039	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0102426	2.07354	0.173291	0.287247	0.0857149	0.0347767	0.0898677	0.0491809	0.156709	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
31	2.31129	2.87388	1.45018	0.00114903	1.28988	1.76743	0.264298	0.0861924	0.270769	0.979577	0.0546992	0.843387	1.39156	0.0870859	0.477519	0.456067	2.70658	0.0101453	0.224435	0.421666	0.834825	0.198442	0.751745	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.0100031	2.08523	0.172524	0.285404	0.0858124	0.0348155	0.0912036	0.0492164	0.157476	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
32	2.31687	2.86031	1.48015	0.00114854	1.27432	1.72828	0.260329	0.0856112	0.2695	0.965172	0.0540133	0.846268	1.39451	0.0881636	0.483226	0.462441	2.6999	0.0100427	0.222851	0.42063	0.842816	0.195493	0.754365	223	221.89	0.003	74	0.15	0	0.0153879	0.163909	2.04839	0.686372	1.97445	1.33839	0.045087	0.00683511	0.000793406	0.73	0.00547347	0.0167807	0.0613314	1.06781	0.0123547	0.00654086	0.046785	0.0390366	0.138291	0.257657	0.0032623	0.00125869	0.0511805	0.350865	4.2044	0.294358	0.00339248	0.00265985	0.00620211	0.00977562	2.09564	0.171792	0.283453	0.0858969	0.0348487	0.0925084	0.0492453	0.158208	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
