Time	[TF]	[TF_VII]	[VII]	[TF_VIIa]	[VIIa]	[Xa]	[IIa]	[TF_VIIa_X]	[X]	[TF_VIIa_Xa]	[IX]	[TF_VIIa_IX]	[IXa]	[II]	[VIII]	[VIIIa]	[IXa_VIIIa]	[IXa_VIIIa_X]	[VIIIa1_L]	[VIIIa2]	[V]	[Va]	[Xa_Va]	[Xa_Va_II]	[mIIa]	[TFPI]	[Xa_TFPI]	[TF_VIIa_Xa_TFPI]	[ATIII]	[Xa_ATIII]	[mIIa_ATIII]	[IXa_ATIII]	[IIa_ATIII]	[TF_VIIa_ATIII]
21	1.25019e-11	1.16238e-11	9.97743e-09	2.16818e-13	1.10073e-10	1.0018e-11	7.72186e-13	1.22963e-13	1.59989e-07	3.72619e-14	8.99987e-08	4.64299e-14	1.23732e-12	1.4e-06	6.99935e-10	6.32256e-14	9.41625e-19	1.77487e-18	1.74631e-15	1.74631e-15	1.99981e-08	1.83697e-12	1.0575e-14	8.87751e-15	1.62974e-12	2.49936e-09	1.8904e-13	4.48237e-13	3.4e-06	4.29481e-13	1.04838e-13	1.70293e-14	1.1204e-13	2.58345e-15
22	1.21149e-11	1.19801e-11	9.97573e-09	2.17154e-13	1.11383e-10	1.0645e-11	8.60968e-13	1.23181e-13	1.59988e-07	3.73313e-14	8.99986e-08	4.65198e-14	1.31886e-12	1.4e-06	6.99924e-10	7.42387e-14	1.24155e-18	2.34433e-18	2.15811e-15	2.15811e-15	1.99978e-08	2.15759e-12	1.37427e-14	1.15377e-14	2.2288e-12	2.49931e-09	2.12206e-13	4.78022e-13	3.4e-06	4.82174e-13	1.51112e-13	1.91586e-14	1.31743e-13	2.75315e-15
23	1.17418e-11	1.23232e-11	9.97397e-09	2.17173e-13	1.12775e-10	1.12669e-11	9.54111e-13	1.23216e-13	1.59987e-07	3.73447e-14	8.99985e-08	4.65392e-14	1.40035e-12	1.4e-06	6.99911e-10	8.64552e-14	1.61399e-18	3.0525e-18	2.63958e-15	2.63958e-15	1.99975e-08	2.51331e-12	1.76054e-14	1.47819e-14	2.9984e-12	2.49926e-09	2.36768e-13	5.07835e-13	3.4e-06	5.38052e-13	2.13844e-13	2.14237e-14	1.53643e-13	2.92299e-15
24	1.13821e-11	1.26534e-11	9.97213e-09	2.16914e-13	1.14248e-10	1.18826e-11	1.05145e-12	1.2309e-13	1.59987e-07	3.73091e-14	8.99984e-08	4.64973e-14	1.48169e-12	1.39999e-06	6.99897e-10	9.99276e-14	2.07123e-18	3.92303e-18	3.19809e-15	3.19809e-15	1.99971e-08	2.90567e-12	2.2261e-14	1.86922e-14	3.97367e-12	2.4992e-09	2.62712e-13	5.37636e-13	3.4e-06	5.97086e-13	2.97576e-13	2.38245e-14	1.77842e-13	3.09274e-15
25	1.10352e-11	1.29713e-11	9.97024e-09	2.16411e-13	1.158e-10	1.24911e-11	1.15282e-12	1.22822e-13	1.59986e-07	3.72305e-14	8.99984e-08	4.64016e-14	1.56277e-12	1.39999e-06	6.99881e-10	1.14706e-13	2.62674e-18	4.98193e-18	3.84133e-15	3.84133e-15	1.99966e-08	3.33611e-12	2.78128e-14	2.33556e-14	5.19424e-12	2.49914e-09	2.90022e-13	5.67387e-13	3.4e-06	6.59241e-13	4.07724e-13	2.63606e-14	2.04439e-13	3.26219e-15
26	1.07007e-11	1.32773e-11	9.96827e-09	2.15695e-13	1.1743e-10	1.30915e-11	1.25805e-12	1.22432e-13	1.59985e-07	3.71144e-14	8.99983e-08	4.62588e-14	1.6435e-12	1.39999e-06	6.99865e-10	1.30837e-13	3.29519e-18	6.25749e-18	4.57727e-15	4.57727e-15	1.99961e-08	3.80602e-12	3.43687e-14	2.88626e-14	6.70422e-12	2.49908e-09	3.18681e-13	5.97057e-13	3.4e-06	7.2448e-13	5.5076e-13	2.90314e-14	2.33532e-13	3.43115e-15
27	1.03782e-11	1.35718e-11	9.96624e-09	2.14797e-13	1.19138e-10	1.36829e-11	1.36695e-12	1.21936e-13	1.59984e-07	3.69658e-14	8.99982e-08	4.60751e-14	1.7238e-12	1.39999e-06	6.99846e-10	1.48365e-13	4.09253e-18	7.78057e-18	5.41417e-15	5.41417e-15	1.99956e-08	4.31667e-12	4.20416e-14	3.53083e-14	8.55282e-12	2.49902e-09	3.48668e-13	6.26616e-13	3.4e-06	7.92758e-13	7.34211e-13	3.18364e-14	2.65208e-13	3.59949e-15
28	1.00672e-11	1.38552e-11	9.96414e-09	2.13739e-13	1.20922e-10	1.42647e-11	1.47934e-12	1.21347e-13	1.59984e-07	3.67891e-14	8.99981e-08	4.58562e-14	1.80361e-12	1.39999e-06	6.99826e-10	1.67331e-13	5.03586e-18	9.58421e-18	6.36054e-15	6.36054e-15	1.9995e-08	4.86931e-12	5.09467e-14	4.27894e-14	1.07936e-11	2.49896e-09	3.79963e-13	6.56042e-13	3.4e-06	8.64027e-13	9.66927e-13	3.47748e-14	2.99557e-13	3.76706e-15
29	9.76732e-12	1.4128e-11	9.96199e-09	2.12547e-13	1.22781e-10	1.48362e-11	1.59503e-12	1.2068e-13	1.59983e-07	3.65885e-14	8.9998e-08	4.56072e-14	1.88286e-12	1.39998e-06	6.99805e-10	1.87775e-13	6.14362e-18	1.17041e-17	7.42512e-15	7.42512e-15	1.99944e-08	5.46504e-12	6.12033e-14	5.14063e-14	1.34858e-11	2.4989e-09	4.12542e-13	6.85313e-13	3.4e-06	9.38238e-13	1.25904e-12	3.78457e-14	3.36658e-13	3.93375e-15
30	9.47811e-12	1.43905e-11	9.95976e-09	2.11238e-13	1.24713e-10	1.53968e-11	1.71384e-12	1.19947e-13	1.59982e-07	3.63673e-14	8.9998e-08	4.53324e-14	1.9615e-12	1.39998e-06	6.99782e-10	2.09731e-13	7.43538e-18	1.41781e-17	8.61689e-15	8.61689e-15	1.99938e-08	6.10495e-12	7.29318e-14	6.126e-14	1.66925e-11	2.49884e-09	4.46382e-13	7.14411e-13	3.4e-06	1.01534e-12	1.62222e-12	4.10481e-14	3.76591e-13	4.09946e-15
