Time	[(GLU) glucose]	[(ENZ) hexokinase]	[(ENG) hexokinase-glucose intermediate]	[(TP1) adenosine triphosphate in store 1 (cytoplasm)]	[(ADP) adenosine diphosphate]	[(GLP) glucose 6-phosphate]	[(ETZ) phosphofructokinase]	[(ETG) phosphofructokinase intermediate]	[(GPP) hexose diphosphate]	[(GAP) glyceraldehyde 3-phosphate]	[(DHA) dihydroxacetone phosphate]	[(DPN) extramitochondrial diphospyridine nucleotide]	[(DPH) extramitochondrial reduced diphospyridine nucleotide]	[(PID) inorganic phosphate]	[(PGA) 3 phosphoglycerate]	[(PYR) pyruvate]	[(LAC) lactate]	[(DIN) intramitochondrial diphospyridine nucleotide]	[(DIH) intramitochondrial reduced diphospyridine nucleotide]	[(XI) low energy intermediate in oxidative phosphorylation]	[(XSI) high energy intermediate in oxidative phosphorylation]	[(OXY) oxygen]	[(XSP) phosphorylated intermediate in oxidative phosphorylation]	[(TP2) adenosine triphosphate in store 2 (mitochondria)]	[(DBP) dibromophenol]	[(PUE) enzyme concerned in ATP utilization]	[(PPP) enzyme intermediate concerned in ATP utilization]	[(AGP) alpha-glycerophosphate]	[(MOD) glyceraldehyde 3-phoshphate dehydrogenase-DPN complex]	[(MOB) acyl enzyme intermediate of glyceraldehyde 3-phoshphate dehydrogenase]	[(MOX) glyceraldehyde 3-phoshphate dehydrogenase]
14	0	1e-05	0	0.00046465	7.47422e-06	0	1e-05	0	0	0	0	0.000195105	4.89496e-06	0.00389438	0	0.000895877	0.00109511	3.54762e-05	2.45238e-05	2.29983e-05	3.90639e-06	0.000458452	3.30953e-05	0.000627643	0	1.76672e-06	1.23328e-06	0	5e-05	0	0
15	0	1e-05	0	0.000462191	6.38997e-06	0	1e-05	0	0	0	0	0.000195149	4.85077e-06	0.00389097	0	0.000895203	0.00109515	3.48285e-05	2.51715e-05	2.09317e-05	3.64343e-06	0.000456581	3.54249e-05	0.00063119	0	1.77057e-06	1.22943e-06	0	5e-05	0	0
16	0	1e-05	0	0.00045974	5.57829e-06	0	1e-05	0	0	0	0	0.000195176	4.82417e-06	0.00388795	0	0.00089456	0.00109518	3.41005e-05	2.58995e-05	1.89789e-05	3.39189e-06	0.000454841	3.76292e-05	0.000634457	0	1.77442e-06	1.22558e-06	0	5e-05	0	0
17	0	1e-05	0	0.000457296	4.97553e-06	0	1e-05	0	0	0	0	0.000195191	4.8086e-06	0.00388531	0	0.000893941	0.00109519	3.3306e-05	2.6694e-05	1.71782e-05	3.15545e-06	0.000453224	3.96663e-05	0.000637507	0	1.77827e-06	1.22173e-06	0	5e-05	0	0
18	0	1e-05	0	0.00045486	4.52854e-06	0	1e-05	0	0	0	0	0.0001952	4.79993e-06	0.00388302	0	0.000893345	0.0010952	3.24589e-05	2.75411e-05	1.55527e-05	2.93713e-06	0.00045172	4.15101e-05	0.000640393	0	1.78213e-06	1.21787e-06	0	5e-05	0	0
19	0	1e-05	0	0.000452432	4.19543e-06	0	1e-05	0	0	0	0	0.000195204	4.79559e-06	0.00388105	0	0.000892768	0.0010952	3.15734e-05	2.84266e-05	1.41116e-05	2.739e-06	0.000450318	4.31494e-05	0.000643158	0	1.786e-06	1.214e-06	0	5e-05	0	0
20	0	1e-05	0	0.000450012	3.94466e-06	0	1e-05	0	0	0	0	0.000195206	4.79393e-06	0.00387936	0	0.000892211	0.00109521	3.06628e-05	2.93372e-05	1.28524e-05	2.56201e-06	0.000449006	4.45856e-05	0.000645833	0	1.78987e-06	1.21013e-06	0	5e-05	0	0
21	0	1e-05	0	0.0004476	3.75327e-06	0	1e-05	0	0	0	0	0.000195206	4.79394e-06	0.00387792	0	0.000891672	0.00109521	2.97395e-05	3.02605e-05	1.17648e-05	2.40614e-06	0.000447775	4.5829e-05	0.000648441	0	1.79374e-06	1.20626e-06	0	5e-05	0	0
22	0	1e-05	0	0.000445195	3.60488e-06	0	1e-05	0	0	0	0	0.000195205	4.79496e-06	0.00387671	0	0.000891152	0.00109521	2.88145e-05	3.11855e-05	1.08335e-05	2.27052e-06	0.000446612	4.6896e-05	0.000650998	0	1.79762e-06	1.20238e-06	0	5e-05	0	0
23	0	1e-05	0	0.000442798	3.48794e-06	0	1e-05	0	0	0	0	0.000195203	4.79659e-06	0.00387568	0	0.000890648	0.0010952	2.78972e-05	3.21028e-05	1.00405e-05	2.15376e-06	0.000445508	4.78057e-05	0.000653516	0	1.8015e-06	1.1985e-06	0	5e-05	0	0
24	0	1e-05	0	0.000440409	3.39429e-06	0	1e-05	0	0	0	0	0.000195201	4.79857e-06	0.00387482	0	0.000890161	0.0010952	2.69954e-05	3.30046e-05	9.36777e-06	2.05407e-06	0.000444455	4.85782e-05	0.000656002	0	1.80539e-06	1.19461e-06	0	5e-05	0	0
25	0	1e-05	0	0.000438027	3.3181e-06	0	1e-05	0	0	0	0	0.000195199	4.80074e-06	0.00387409	0	0.000889691	0.0010952	2.61155e-05	3.38845e-05	8.79782e-06	1.96952e-06	0.000443445	4.92327e-05	0.000658464	0	1.80928e-06	1.19072e-06	0	5e-05	0	0
26	0	1e-05	0	0.000435654	3.2552e-06	0	1e-05	0	0	0	0	0.000195197	4.80301e-06	0.00387347	0	0.000889236	0.0010952	2.52622e-05	3.47378e-05	8.31473e-06	1.89814e-06	0.00044247	4.97871e-05	0.000660904	0	1.81318e-06	1.18682e-06	0	5e-05	0	0
27	0	1e-05	0	0.000433288	3.20251e-06	0	1e-05	0	0	0	0	0.000195195	4.8053e-06	0.00387294	0	0.000888797	0.00109519	2.44392e-05	3.55608e-05	7.90441e-06	1.83805e-06	0.000441526	5.02575e-05	0.000663327	0	1.81708e-06	1.18292e-06	0	5e-05	0	0
28	0	1e-05	0	0.00043093	3.15774e-06	0	1e-05	0	0	0	0	0.000195192	4.80759e-06	0.0038725	0	0.000888372	0.00109519	2.3649e-05	3.6351e-05	7.55468e-06	1.78749e-06	0.000440607	5.06578e-05	0.000665734	0	1.82098e-06	1.17902e-06	0	5e-05	0	0
29	0	1e-05	0	0.000428579	3.11917e-06	0	1e-05	0	0	0	0	0.00019519	4.80984e-06	0.00387212	0	0.000887961	0.00109519	2.28931e-05	3.71069e-05	7.25522e-06	1.7449e-06	0.00043971	5.09999e-05	0.000668126	0	1.82488e-06	1.17512e-06	0	5e-05	0	0
30	0	1e-05	0	0.000426237	3.0855e-06	0	1e-05	0	0	0	0	0.000195188	4.81204e-06	0.00387179	0	0.000887563	0.00109519	2.21723e-05	3.78277e-05	6.99739e-06	1.70891e-06	0.00043883	5.12937e-05	0.000670506	0	1.82879e-06	1.17121e-06	0	5e-05	0	0
31	0	1e-05	0	0.000423902	3.0557e-06	0	1e-05	0	0	0	0	0.000195186	4.8142e-06	0.00387151	0	0.000887178	0.00109519	2.14867e-05	3.85133e-05	6.77404e-06	1.67834e-06	0.000437967	5.15476e-05	0.000672875	0	1.83271e-06	1.16729e-06	0	5e-05	0	0
32	0	1e-05	0	0.000421576	3.02901e-06	0	1e-05	0	0	0	0	0.000195184	4.81629e-06	0.00387126	0	0.000886804	0.00109518	2.08361e-05	3.91639e-05	6.5793e-06	1.6522e-06	0.000437116	5.17685e-05	0.000675232	0	1.83663e-06	1.16337e-06	0	5e-05	0	0
33	0	1e-05	0	0.000419257	3.00481e-06	0	1e-05	0	0	0	0	0.000195182	4.81833e-06	0.00387104	0	0.000886442	0.00109518	2.02195e-05	3.97805e-05	6.40837e-06	1.62967e-06	0.000436276	5.1962e-05	0.000677579	0	1.84055e-06	1.15945e-06	0	5e-05	0	0
34	0	1e-05	0	0.000416946	2.98262e-06	0	1e-05	0	0	0	0	0.00019518	4.82031e-06	0.00387085	0	0.000886091	0.00109518	1.96362e-05	4.03638e-05	6.25734e-06	1.61006e-06	0.000435447	5.21326e-05	0.000679916	0	1.84447e-06	1.15553e-06	0	5e-05	0	0
35	0	1e-05	0	0.000414643	2.96207e-06	0	1e-05	0	0	0	0	0.000195178	4.82223e-06	0.00387068	0	0.00088575	0.00109518	1.90849e-05	4.09151e-05	6.12303e-06	1.59282e-06	0.000434626	5.22841e-05	0.000682244	0	1.8484e-06	1.1516e-06	0	5e-05	0	0
36	0	1e-05	0	0.000412347	2.94286e-06	0	1e-05	0	0	0	0	0.000195176	4.8241e-06	0.00387052	0	0.000885419	0.00109518	1.85643e-05	4.14357e-05	6.00284e-06	1.5775e-06	0.000433814	5.24197e-05	0.000684562	0	1.85233e-06	1.14767e-06	0	5e-05	0	0
37	0	1e-05	0	0.00041006	2.92477e-06	0	1e-05	0	0	0	0	0.000195174	4.82592e-06	0.00387038	0	0.000885096	0.00109517	1.8073e-05	4.1927e-05	5.89467e-06	1.56375e-06	0.000433008	5.25416e-05	0.000686872	0	1.85626e-06	1.14374e-06	0	5e-05	0	0
38	0	1e-05	0	0.00040778	2.9076e-06	0	1e-05	0	0	0	0	0.000195172	4.82769e-06	0.00387026	0	0.000884782	0.00109517	1.76097e-05	4.23903e-05	5.79677e-06	1.55128e-06	0.000432208	5.2652e-05	0.000689172	0	1.8602e-06	1.1398e-06	0	5e-05	0	0
39	0	1e-05	0	0.000405508	2.8912e-06	0	1e-05	0	0	0	0	0.000195171	4.82941e-06	0.00387014	0	0.000884476	0.00109517	1.71727e-05	4.28273e-05	5.70772e-06	1.53985e-06	0.000431414	5.27524e-05	0.000691465	0	1.86414e-06	1.13586e-06	0	5e-05	0	0
40	0	1e-05	0	0.000403245	2.87546e-06	0	1e-05	0	0	0	0	0.000195169	4.83109e-06	0.00387003	0	0.000884178	0.00109517	1.67608e-05	4.32392e-05	5.62635e-06	1.52928e-06	0.000430626	5.28444e-05	0.000693748	0	1.86808e-06	1.13192e-06	0	5e-05	0	0
41	0	1e-05	0	0.000400989	2.86028e-06	0	1e-05	0	0	0	0	0.000195167	4.83273e-06	0.00386993	0	0.000883887	0.00109517	1.63726e-05	4.36274e-05	5.55168e-06	1.51942e-06	0.000429843	5.29289e-05	0.000696023	0	1.87203e-06	1.12797e-06	0	5e-05	0	0
42	0	1e-05	0	0.000398741	2.84557e-06	0	1e-05	0	0	0	0	0.000195166	4.83433e-06	0.00386984	0	0.000883602	0.00109517	1.60066e-05	4.39934e-05	5.48288e-06	1.51016e-06	0.000429064	5.3007e-05	0.00069829	0	1.87598e-06	1.12402e-06	0	5e-05	0	0
43	0	1e-05	0	0.0003965	2.83128e-06	0	1e-05	0	0	0	0	0.000195164	4.83588e-06	0.00386975	0	0.000883324	0.00109516	1.56616e-05	4.43384e-05	5.41926e-06	1.5014e-06	0.00042829	5.30793e-05	0.000700548	0	1.87993e-06	1.12007e-06	0	5e-05	0	0
44	0	1e-05	0	0.000394268	2.81735e-06	0	1e-05	0	0	0	0	0.000195163	4.83741e-06	0.00386967	0	0.000883052	0.00109516	1.53364e-05	4.46636e-05	5.36022e-06	1.49306e-06	0.000427521	5.31467e-05	0.000702798	0	1.88389e-06	1.11611e-06	0	5e-05	0	0
45	0	1e-05	0	0.000392044	2.80373e-06	0	1e-05	0	0	0	0	0.000195161	4.8389e-06	0.00386959	0	0.000882785	0.00109516	1.50297e-05	4.49703e-05	5.30527e-06	1.48508e-06	0.000426755	5.32096e-05	0.00070504	0	1.88784e-06	1.11216e-06	0	5e-05	0	0
46	0	1e-05	0	0.000389828	2.79039e-06	0	1e-05	0	0	0	0	0.00019516	4.84036e-06	0.00386952	0	0.000882524	0.00109516	1.47404e-05	4.52596e-05	5.25398e-06	1.47741e-06	0.000425993	5.32686e-05	0.000707274	0	1.8918e-06	1.1082e-06	0	5e-05	0	0
47	0	1e-05	0	0.000387619	2.7773e-06	0	1e-05	0	0	0	0	0.000195158	4.84179e-06	0.00386945	0	0.000882268	0.00109516	1.44674e-05	4.55326e-05	5.20595e-06	1.47e-06	0.000425236	5.3324e-05	0.000709499	0	1.89577e-06	1.10423e-06	0	5e-05	0	0
48	0	1e-05	0	0.000385419	2.76442e-06	0	1e-05	0	0	0	0	0.000195157	4.84319e-06	0.00386939	0	0.000882016	0.00109516	1.42097e-05	4.57903e-05	5.16087e-06	1.46283e-06	0.000424481	5.33763e-05	0.000711717	0	1.89973e-06	1.10027e-06	0	5e-05	0	0
49	0	1e-05	0	0.000383226	2.75173e-06	0	1e-05	0	0	0	0	0.000195155	4.84456e-06	0.00386933	0	0.000881769	0.00109516	1.39665e-05	4.60335e-05	5.11844e-06	1.45585e-06	0.000423731	5.34257e-05	0.000713926	0	1.9037e-06	1.0963e-06	0	5e-05	0	0
50	0	1e-05	0	0.000381041	2.73922e-06	0	1e-05	0	0	0	0	0.000195154	4.84591e-06	0.00386927	0	0.000881526	0.00109515	1.37366e-05	4.62634e-05	5.07841e-06	1.44906e-06	0.000422984	5.34725e-05	0.000716127	0	1.90767e-06	1.09233e-06	0	5e-05	0	0
51	0	1e-05	0	0.000378865	2.72687e-06	0	1e-05	0	0	0	0	0.000195153	4.84724e-06	0.00386921	0	0.000881287	0.00109515	1.35194e-05	4.64806e-05	5.04057e-06	1.44242e-06	0.00042224	5.3517e-05	0.00071832	0	1.91164e-06	1.08836e-06	0	5e-05	0	0
52	0	1e-05	0	0.000376696	2.71465e-06	0	1e-05	0	0	0	0	0.000195151	4.84855e-06	0.00386916	0	0.000881052	0.00109515	1.33139e-05	4.66861e-05	5.00469e-06	1.43591e-06	0.0004215	5.35594e-05	0.000720505	0	1.91561e-06	1.08439e-06	0	5e-05	0	0
53	0	1e-05	0	0.000374535	2.70257e-06	0	1e-05	0	0	0	0	0.00019515	4.84983e-06	0.0038691	0	0.00088082	0.00109515	1.31195e-05	4.68805e-05	4.97062e-06	1.42954e-06	0.000420763	5.35998e-05	0.000722682	0	1.91958e-06	1.08042e-06	0	5e-05	0	0
54	0	1e-05	0	0.000372382	2.6906e-06	0	1e-05	0	0	0	0	0.000195149	4.85109e-06	0.00386905	0	0.000880592	0.00109515	1.29355e-05	4.70645e-05	4.93819e-06	1.42327e-06	0.000420029	5.36385e-05	0.000724851	0	1.92356e-06	1.07644e-06	0	5e-05	0	0
55	0	1e-05	0	0.000370237	2.67873e-06	0	1e-05	0	0	0	0	0.000195148	4.85234e-06	0.003869	0	0.000880367	0.00109515	1.27611e-05	4.72389e-05	4.90725e-06	1.4171e-06	0.000419299	5.36757e-05	0.000727012	0	1.92754e-06	1.07246e-06	0	5e-05	0	0
56	0	1e-05	0	0.0003681	2.66696e-06	0	1e-05	0	0	0	0	0.000195146	4.85356e-06	0.00386896	0	0.000880145	0.00109515	1.25958e-05	4.74042e-05	4.87767e-06	1.41101e-06	0.000418571	5.37113e-05	0.000729164	0	1.93152e-06	1.06848e-06	0	5e-05	0	0
57	0	1e-05	0	0.000365971	2.65527e-06	0	1e-05	0	0	0	0	0.000195145	4.85477e-06	0.00386891	0	0.000879926	0.00109515	1.24389e-05	4.75611e-05	4.84935e-06	1.40501e-06	0.000417847	5.37456e-05	0.000731309	0	1.9355e-06	1.0645e-06	0	5e-05	0	0
58	0	1e-05	0	0.00036385	2.64367e-06	0	1e-05	0	0	0	0	0.000195144	4.85597e-06	0.00386886	0	0.00087971	0.00109514	1.22899e-05	4.77101e-05	4.82216e-06	1.39908e-06	0.000417125	5.37788e-05	0.000733446	0	1.93949e-06	1.06051e-06	0	5e-05	0	0
59	0	1e-05	0	0.000361737	2.63214e-06	0	1e-05	0	0	0	0	0.000195143	4.85715e-06	0.00386882	0	0.000879496	0.00109514	1.21484e-05	4.78516e-05	4.79603e-06	1.39321e-06	0.000416407	5.38108e-05	0.000735574	0	1.94347e-06	1.05653e-06	0	5e-05	0	0
60	0	1e-05	0	0.000359632	2.62067e-06	0	1e-05	0	0	0	0	0.000195142	4.85831e-06	0.00386878	0	0.000879285	0.00109514	1.20137e-05	4.79863e-05	4.77085e-06	1.38741e-06	0.000415692	5.38417e-05	0.000737695	0	1.94746e-06	1.05254e-06	0	5e-05	0	0
61	0	1e-05	0	0.000357535	2.60927e-06	0	1e-05	0	0	0	0	0.000195141	4.85946e-06	0.00386874	0	0.000879076	0.00109514	1.18855e-05	4.81145e-05	4.74655e-06	1.38165e-06	0.00041498	5.38718e-05	0.000739807	0	1.95144e-06	1.04856e-06	0	5e-05	0	0
62	0	1e-05	0	0.000355446	2.59792e-06	0	1e-05	0	0	0	0	0.000195139	4.8606e-06	0.0038687	0	0.000878869	0.00109514	1.17634e-05	4.82366e-05	4.72306e-06	1.37595e-06	0.00041427	5.3901e-05	0.000741912	0	1.95543e-06	1.04457e-06	0	5e-05	0	0
63	0	1e-05	0	0.000353365	2.58663e-06	0	1e-05	0	0	0	0	0.000195138	4.86173e-06	0.00386866	0	0.000878664	0.00109514	1.1647e-05	4.8353e-05	4.70031e-06	1.37029e-06	0.000413564	5.39294e-05	0.000744008	0	1.95942e-06	1.04058e-06	0	5e-05	0	0
64	0.003	1e-05	0	0.000351291	2.57538e-06	0	1e-05	0	0	0	0	0.000195137	4.86284e-06	0.00386862	0	0.000878462	0.00109514	1.15358e-05	4.84642e-05	4.67824e-06	1.36467e-06	0.000412861	5.39571e-05	0.000746097	0	1.96341e-06	1.03659e-06	0	5e-05	0	0
65	0.00297016	2.67895e-06	7.32105e-06	0.000323653	2.12765e-05	1.8897e-05	9.48617e-06	5.13834e-07	3.01758e-06	9.38603e-09	9.19604e-08	0.00019514	4.93915e-06	0.00386827	7.15193e-10	0.000878253	0.00109514	1.17298e-05	4.82702e-05	1.06343e-05	2.00787e-06	0.000411854	4.73578e-05	0.000755071	0	2.00009e-06	9.9991e-07	2.04394e-10	4.99212e-05	6.08667e-08	1.79442e-08
66	0.00294721	2.48685e-06	7.51315e-06	0.000289919	3.72971e-05	3.20519e-05	9.03531e-06	9.64688e-07	1.14737e-05	3.75788e-08	7.82197e-07	0.000195157	5.47427e-06	0.00386512	3.9366e-08	0.000877911	0.00109527	1.32121e-05	4.67879e-05	2.1363e-05	4.2985e-06	0.000409504	3.43385e-05	0.00077285	0	2.06581e-06	9.34193e-07	4.02645e-09	4.93692e-05	4.05256e-07	2.2556e-07
67	0.00292624	2.27226e-06	7.72774e-06	0.00025527	5.28514e-05	3.99508e-05	8.67473e-06	1.32527e-06	2.22968e-05	7.55777e-08	2.44194e-06	0.000195129	6.60436e-06	0.00385736	3.04947e-07	0.000877199	0.00109576	1.57917e-05	4.42083e-05	2.97522e-05	6.58181e-06	0.000405911	2.3666e-05	0.00079202	0	2.1411e-06	8.58896e-07	2.24246e-08	4.8267e-05	9.90191e-07	7.42849e-07
68	0.00290732	2.04976e-06	7.95024e-06	0.000222085	6.80754e-05	4.42197e-05	8.36658e-06	1.63342e-06	3.36107e-05	1.18121e-07	5.18373e-06	0.000194982	8.20937e-06	0.00384564	1.07953e-06	0.000876001	0.00109686	1.87998e-05	4.12002e-05	3.51321e-05	7.93383e-06	0.000401691	1.69341e-05	0.00081006	0	2.22043e-06	7.79568e-07	7.73623e-08	4.6809e-05	1.68856e-06	1.50247e-06
69	0.00289045	1.83327e-06	8.16673e-06	0.000192092	8.15615e-05	4.59804e-05	8.09537e-06	1.90463e-06	4.43327e-05	1.61824e-07	8.96203e-06	0.000194702	1.00858e-05	0.00383131	2.46404e-06	0.000874442	0.00109871	2.17717e-05	3.82283e-05	3.8538e-05	8.45073e-06	0.000397297	1.30113e-05	0.000826646	0	2.2991e-06	7.00895e-07	2.04189e-07	4.52123e-05	2.40525e-06	2.38247e-06
70	0.00287547	1.63446e-06	8.36554e-06	0.000166307	9.20989e-05	4.60493e-05	7.8575e-06	2.1425e-06	5.3885e-05	2.0423e-07	1.3639e-05	0.000194332	1.20293e-05	0.00381545	4.26113e-06	0.00087281	0.00110141	2.44924e-05	3.55076e-05	4.08417e-05	8.4793e-06	0.000392958	1.0679e-05	0.000841967	0	2.37292e-06	6.27076e-07	4.49273e-07	4.36389e-05	3.08174e-06	3.27941e-06
71	0.00286217	1.46084e-06	8.53916e-06	0.000145024	9.92168e-05	4.50303e-05	7.65486e-06	2.34514e-06	6.20203e-05	2.43533e-07	1.90325e-05	0.000193938	1.38721e-05	0.00379869	6.15643e-06	0.000871356	0.00110492	2.68891e-05	3.31109e-05	4.24997e-05	8.2758e-06	0.000388767	9.2245e-06	0.000856198	0	2.43882e-06	5.61177e-07	8.63231e-07	4.21897e-05	3.68647e-06	4.12385e-06
72	0.0028503	1.31532e-06	8.68468e-06	0.000127992	0.000103043	4.33641e-05	7.49045e-06	2.50955e-06	6.87025e-05	2.78513e-07	2.49511e-05	0.000193584	1.54978e-05	0.00378144	7.92897e-06	0.000870192	0.00110917	2.89529e-05	3.10471e-05	4.37302e-05	7.9795e-06	0.000384757	8.29032e-06	0.00086946	0	2.49522e-06	5.04784e-07	1.49267e-06	4.0918e-05	4.20605e-06	4.87599e-06
73	0.00283959	1.19722e-06	8.80278e-06	0.000114664	0.000104018	4.13617e-05	7.36584e-06	2.63416e-06	7.40186e-05	3.08477e-07	3.12173e-05	0.000193315	1.68417e-05	0.00376391	9.50289e-06	0.000869311	0.00111407	3.07025e-05	2.92975e-05	4.46493e-05	7.65911e-06	0.00038093	7.69161e-06	0.000881859	0	2.54185e-06	4.5815e-07	2.37341e-06	3.98437e-05	4.63876e-06	5.51758e-06
74	0.00282982	1.10372e-06	8.89628e-06	0.000104399	0.000102687	3.9235e-05	7.28011e-06	2.71989e-06	7.81174e-05	3.33186e-07	3.768e-05	0.000193152	1.7883e-05	0.00374628	1.0896e-05	0.000868653	0.00111946	3.21679e-05	2.78321e-05	4.53272e-05	7.34751e-06	0.000377278	7.32526e-06	0.000893494	0	2.57939e-06	4.20608e-07	3.52686e-06	3.89654e-05	4.98963e-06	6.04493e-06
75	0.00282079	1.03108e-06	8.96892e-06	9.65763e-05	9.95784e-05	3.71223e-05	7.22983e-06	2.77017e-06	8.11688e-05	3.52752e-07	4.42196e-05	0.000193098	1.86328e-05	0.00372865	1.21605e-05	0.000868152	0.00112523	3.33822e-05	2.66178e-05	4.58098e-05	7.05947e-06	0.000373785	7.13076e-06	0.000904454	0	2.609e-06	3.90997e-07	4.95962e-06	3.82694e-05	5.26715e-06	6.46343e-06
