Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[IXa_ATIII_Heparin]	[A_warf]	[VK_p]
24	0	0.7	0	0	72.0793	0	0	30.6	0	5.89816	0	150.938	0	0	26.7	0	1282.52	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	43.0791	50	0	0	0	0	2.5	262.628	0.0553811	0	0	375	0	0	0	1.00378	0.257667	0.104239	450	81.7874	0	0	0	0	0	0	4.10467e-10	115.484
25	0	0.7	0	0	71.4425	0	0	30.6	0	5.85974	0	149.974	0	0	26.7	0	1277.47	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	42.6046	50	0	0	0	0	2.5	261.059	0.0557812	0	0	375	0	0	0	1.0033	0.252565	0.103389	450	81.7874	0	0	0	0	0	0	1.50912e-10	115.484
26	0	0.7	0	0	70.8113	0	0	30.6	0	5.8199	0	149.012	0	0	26.7	0	1272.4	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	42.1387	50	0	0	0	0	2.5	259.491	0.0538835	0	0	375	0	0	0	1.00287	0.49749	0.104911	450	81.7874	0	0	0	0	0	0	1.47152	115.484
27	0	0.7	0	0	70.1269	0	0	30.6	0	5.753	0	147.98	0	0	26.7	0	1267	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	41.614	50	0	0	0	0	2.5	257.813	0.0507325	0	0	375	0	0	0	1.00267	0.579581	0.107542	450	81.7874	0	0	0	0	0	0	0.541342	115.484
28	0	0.7	0	0	69.3834	0	0	30.6	0	5.65896	0	146.871	0	0	26.7	0	1261.23	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	41.0251	50	0	0	0	0	2.5	256.011	0.047831	0	0	375	0	0	0	1.00267	0.601929	0.109744	450	81.7874	0	0	0	0	0	0	0.199148	115.484
29	0	0.7	0	0	68.5934	0	0	30.6	0	5.54567	0	145.7	0	0	26.7	0	1255.14	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	40.3874	50	0	0	0	0	2.5	254.109	0.0454485	0	0	375	0	0	0	1.0028	0.602453	0.11128	450	81.7874	0	0	0	0	0	0	0.0732625	115.484
30	0	0.7	0	0	67.7717	0	0	30.6	0	5.4213	0	144.483	0	0	26.7	0	1248.82	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	39.719	50	0	0	0	0	2.5	252.134	0.0435861	0	0	375	0	0	0	1.00299	0.595101	0.112193	450	81.7874	0	0	0	0	0	0	0.0269517	115.485
31	0	0.7	0	0	66.9318	0	0	30.6	0	5.29261	0	143.238	0	0	26.7	0	1242.34	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	39.0355	50	0	0	0	0	2.5	250.112	0.0421768	0	0	375	0	0	0	1.00319	0.585001	0.112593	450	81.7874	0	0	0	0	0	0	0.00991497	115.485
32	0	0.7	0	0	66.0848	0	0	30.6	0	5.16478	0	141.977	0	0	26.7	0	1235.76	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	38.3498	50	0	0	0	0	2.5	248.062	0.0411427	0	0	375	0	0	0	1.00337	0.574037	0.11259	450	81.7874	0	0	0	0	0	0	0.00364751	115.485
33	0	0.7	0	0	65.2396	0	0	30.6	0	5.04152	0	140.712	0	0	26.7	0	1229.12	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	37.672	50	0	0	0	0	2.5	246.004	0.040413	0	0	375	0	0	0	1.0035	0.562898	0.112286	450	81.7874	0	0	0	0	0	0	0.00134184	115.485
