Time	[Insulin]	[Unbound Insulin Receptor]	[Unphosphorylated once bound receptor]	[Phosphorylated once bound receptor]	[Phosphorylated twice bound receptor]	[Unbound unphosphorylated intracellular receptor]	[Phosphorylated twice bound intracellular receptor]	[Phosphorylated once bound intracellular receptor]	[Unphosphorylated IRS1]	[Phosphorylated IRS1]	[PI3 Kinase]	[IRS1- PI3 Kinase Complex]	[Unactivated Akt]	[Activated Akt]	[Unactivated PKC]	[Activated PKC]	[Intracellular GLUT4]	[Cell surface GLUT4]
22	0	664.163	-1.33248e-30	208.423	3.92779e-07	126.213	0.0365488	1.53197	568.908	428.127	97.0354	2.96458	93.1041	6.89586	93.1041	6.89586	61.7	39.1064
23	0	702.057	2.67237e-31	170.284	2.47655e-07	126.739	0.0230448	1.28096	615.904	381.444	97.3477	2.65232	93.7502	6.2498	93.7502	6.2498	63.0257	37.8196
24	0	733.034	-1.59064e-33	139.125	1.56152e-07	127.162	0.0145302	1.06505	660.874	336.775	97.6489	2.35113	94.3892	5.61079	94.3892	5.61079	64.4801	36.4024
25	0	758.361	1.4422e-36	113.667	9.84571e-08	127.498	0.00916162	0.881818	703.179	294.756	97.9344	2.06563	95.0099	4.99007	95.0099	4.99007	66.0457	34.8724
26	0	779.071	1.90929e-42	92.8675	6.20793e-08	127.762	0.00577659	0.727807	742.337	255.863	98.2006	1.79945	95.6023	4.39768	95.6023	4.39768	67.7027	33.249
27	0	796.009	2.39924e-42	75.8741	3.91423e-08	127.965	0.00364226	0.599263	778.039	220.406	98.4449	1.55515	96.1581	3.8419	96.1581	3.8419	69.4296	31.5537
28	0	809.865	-1.2279e-44	61.9903	2.468e-08	128.117	0.00229652	0.492529	810.135	188.531	98.6658	1.33418	96.6712	3.32884	96.6712	3.32884	71.2037	29.8093
29	0	821.203	-3.90868e-47	50.647	1.55613e-08	128.228	0.00144801	0.404245	838.624	160.239	98.863	1.13697	97.1376	2.86236	97.1376	2.86236	73.0015	28.0391
30	0	830.484	3.70715e-49	41.3793	9.81172e-09	128.305	0.000912999	0.331436	863.619	135.418	99.0369	0.963094	97.5559	2.44412	97.5559	2.44412	74.8	26.2662
31	0	838.084	-1.17613e-51	33.8075	6.1865e-09	128.354	0.000575665	0.27152	885.325	113.863	99.1885	0.811454	97.9261	2.0739	97.9261	2.0739	76.5772	24.5125
32	0	844.311	-1.56103e-55	27.6212	3.90072e-09	128.379	0.000362969	0.222298	904.003	95.3165	99.3195	0.68048	98.2501	1.74991	98.2501	1.74991	78.3131	22.798
33	0	849.416	1.81602e-57	22.5669	2.45948e-09	128.386	0.00022886	0.181912	919.948	79.4842	99.4317	0.568312	98.5307	1.46927	98.5307	1.46927	79.9903	21.1402
34	0	853.604	-4.83045e-60	18.4375	1.55076e-09	128.378	0.000144301	0.148808	933.465	66.0623	99.527	0.472956	98.7717	1.22834	98.7717	1.22834	81.5944	19.5537
35	0	857.042	3.12204e-63	15.0637	9.77785e-10	128.357	9.09847e-05	0.121694	944.856	54.7517	99.6076	0.39241	98.9769	1.02311	98.9769	1.02311	83.114	18.0498
36	0	859.869	-6.13765e-65	12.3073	6.16514e-10	128.325	5.73678e-05	0.099499	954.407	45.2687	99.6753	0.324743	99.1505	0.849465	99.1505	0.849465	84.541	16.6369
37	0	862.196	3.28444e-67	10.0552	3.88725e-10	128.286	3.61716e-05	0.0813381	962.38	37.3523	99.7318	0.26816	99.2966	0.703389	99.2966	0.703389	85.8701	15.3202
38	0	864.113	-2.24999e-73	8.21527	2.45099e-10	128.239	2.2807e-05	0.0664835	969.011	30.7678	99.779	0.221031	99.4189	0.581103	99.4189	0.581103	87.0987	14.1026
39	0	865.697	-6.78939e-73	6.71199	1.5454e-10	128.187	1.43803e-05	0.0543363	974.51	25.308	99.8181	0.181906	99.5208	0.479157	99.5208	0.479157	88.2266	12.9844
40	0	867.009	3.63645e-75	5.4838	9.7441e-11	128.131	9.06706e-06	0.0444051	979.058	20.7924	99.8505	0.149515	99.6055	0.394462	99.6055	0.394462	89.2554	11.9639
41	0	868.097	-2.51357e-78	4.48034	6.14386e-11	128.071	5.71698e-06	0.0362869	982.812	17.0657	99.8772	0.122762	99.6757	0.324302	99.6757	0.324302	90.1885	11.0381
42	0	869.003	6.58791e-81	3.66051	3.87383e-11	128.009	3.60467e-06	0.0296515	985.904	13.9955	99.8993	0.100707	99.7337	0.266325	99.7337	0.266325	91.0301	10.2026
43	0	869.76	-5.53034e-83	2.99069	2.44253e-11	127.944	2.27282e-06	0.0242286	988.448	11.4699	99.9174	0.0825544	99.7815	0.218511	99.7815	0.218511	91.7856	9.4524
44	0	870.395	1.31114e-85	2.44343	1.54007e-11	127.877	1.43306e-06	0.0197969	990.537	9.39491	99.9324	0.0676333	99.8209	0.179144	99.8209	0.179144	92.4608	8.78175
45	0	870.931	2.16429e-87	1.99632	9.71046e-12	127.808	9.03577e-07	0.0161755	992.253	7.69176	99.9446	0.0553817	99.8532	0.146777	99.8532	0.146777	93.0616	8.18468
46	0	871.385	3.20069e-86	1.63102	6.12266e-12	127.739	5.69725e-07	0.0132164	993.66	6.29499	99.9547	0.0453311	99.8798	0.120194	99.8798	0.120194	93.5942	7.65511
47	0	871.773	-8.70722e-86	1.33257	3.86047e-12	127.668	3.59224e-07	0.0107984	994.813	5.15028	99.9629	0.0370921	99.9016	0.0983835	99.9016	0.0983835	94.0648	7.18704
48	0	872.107	-9.0281e-83	1.08873	2.43412e-12	127.597	2.26499e-07	0.00882276	995.757	4.21267	99.9697	0.0303422	99.9195	0.0805015	99.9195	0.0805015	94.4792	6.77462
49	0	872.396	-7.34516e-83	0.889508	1.53477e-12	127.526	1.42813e-07	0.0072085	996.53	3.44503	99.9752	0.0248151	99.9342	0.0658499	99.9342	0.0658499	94.8431	6.41231
50	0	872.648	-8.28204e-83	0.726741	9.67711e-13	127.454	9.00473e-08	0.00588957	997.163	2.81679	99.9797	0.0202911	99.9461	0.0538513	99.9461	0.0538513	95.1617	6.09485
51	0	872.871	-7.68921e-81	0.593758	6.10167e-13	127.382	5.67772e-08	0.00481194	997.681	2.3028	99.9834	0.0165893	99.956	0.0440295	99.956	0.0440295	95.4399	5.81739
52	0	873.07	2.39041e-80	0.485109	3.8473e-13	127.309	3.57998e-08	0.00393147	998.104	1.88238	99.9864	0.0135612	99.964	0.0359924	99.964	0.0359924	95.6824	5.57543
53	0	873.249	-1.35345e-80	0.396341	2.42583e-13	127.237	2.25728e-08	0.0032121	998.45	1.53858	99.9889	0.0110847	99.9706	0.0294175	99.9706	0.0294175	95.8932	5.36487
54	0	873.411	-9.61448e-80	0.323817	1.52956e-13	127.165	1.42329e-08	0.00262435	998.733	1.25747	99.9909	0.00905973	99.976	0.0240402	99.976	0.0240402	96.0761	5.18199
55	0	873.56	-1.25865e-79	0.264563	9.64433e-14	127.092	8.97423e-09	0.00214414	998.965	1.02766	99.9926	0.00740417	99.9804	0.019643	99.9804	0.019643	96.2345	5.02344
56	0	873.698	9.42311e-80	0.216152	6.08097e-14	127.02	5.65845e-09	0.0017518	999.154	0.839804	99.9939	0.00605081	99.984	0.016048	99.984	0.016048	96.3713	4.88621
57	0	873.826	-6.96223e-82	0.176599	3.83418e-14	126.947	3.56777e-09	0.00143125	999.309	0.68626	99.9951	0.0049446	99.9869	0.0131091	99.9869	0.0131091	96.4894	4.76761
58	0	873.948	-9.41979e-81	0.144284	2.41754e-14	126.875	2.24956e-09	0.00116936	999.435	0.56077	99.996	0.00404048	99.9893	0.0107068	99.9893	0.0107068	96.5912	4.66526
59	0	874.063	-3.24173e-82	0.117882	1.52431e-14	126.803	1.4184e-09	0.000955384	999.538	0.458215	99.9967	0.00330157	99.9913	0.00874342	99.9913	0.00874342	96.6786	4.57705
60	0	874.173	-1.40017e-85	0.0963116	9.61138e-15	126.732	8.94356e-10	0.000780564	999.623	0.374407	99.9973	0.00269773	99.9929	0.00713878	99.9929	0.00713878	96.7537	4.50112
61	0	874.28	5.37954e-88	0.0786879	6.05972e-15	126.66	5.63869e-10	0.000637732	999.692	0.305921	99.9978	0.00220428	99.9942	0.00582742	99.9942	0.00582742	96.8181	4.43584
62	0	874.382	-3.94723e-92	0.0642891	3.82065e-15	126.588	3.55519e-10	0.000521037	999.748	0.249959	99.9982	0.00180106	99.9952	0.00475581	99.9952	0.00475581	96.8732	4.37977
63	0	874.482	4.34652e-90	0.0525251	2.4088e-15	126.517	2.24143e-10	0.000425695	999.794	0.204231	99.9985	0.00147158	99.9961	0.00388013	99.9961	0.00388013	96.9203	4.33166
64	0	874.579	-1.85444e-89	0.0429137	1.51862e-15	126.446	1.4131e-10	0.000347798	999.832	0.166867	99.9988	0.00120236	99.9968	0.00316459	99.9968	0.00316459	96.9604	4.29042
65	0	874.675	-1.38491e-89	0.0350611	9.57514e-16	126.375	8.90984e-11	0.000284156	999.863	0.136338	99.999	0.000982385	99.9974	0.00257992	99.9974	0.00257992	96.9946	4.2551
66	0	874.769	-1.68608e-90	0.0286455	6.03809e-16	126.305	5.61855e-11	0.00023216	999.888	0.111393	99.9992	0.00080265	99.9979	0.00210219	99.9979	0.00210219	97.0237	4.22487
67	0	874.861	-1.7609e-90	0.0234038	3.80714e-16	126.234	3.54261e-11	0.000189678	999.908	0.0910123	99.9993	0.000655795	99.9983	0.00171185	99.9983	0.00171185	97.0483	4.19902
68	0	874.952	3.75828e-91	0.0191212	2.40094e-16	126.164	2.23412e-11	0.00015497	999.925	0.07436	99.9995	0.000535806	99.9986	0.00139292	99.9986	0.00139292	97.0692	4.17693
69	0	875.042	1.54322e-89	0.0156223	1.51399e-16	126.094	1.4088e-11	0.000126613	999.939	0.0607542	99.9996	0.000437769	99.9989	0.00113233	99.9989	0.00113233	97.0868	4.15807
70	0	875.132	4.65704e-88	0.0127637	9.54712e-17	126.024	8.88378e-12	0.000103445	999.95	0.0496378	99.9996	0.000357669	99.9991	0.000919421	99.9991	0.000919421	97.1017	4.14197
71	0	875.22	8.82753e-89	0.0104281	6.0212e-17	125.955	5.60284e-12	8.45159e-05	999.959	0.0405553	99.9997	0.000292225	99.9993	0.000745464	99.9993	0.000745464	97.1141	4.12823
72	0	875.308	-5.55658e-90	0.00851994	3.79699e-17	125.886	3.53317e-12	6.90508e-05	999.967	0.0331346	99.9998	0.000238755	99.9994	0.000603334	99.9994	0.000603334	97.1245	4.11652
73	0	875.396	9.12721e-91	0.00696092	2.39452e-17	125.817	2.22814e-12	5.64156e-05	999.973	0.0270717	99.9998	0.000195068	99.9995	0.000487209	99.9995	0.000487209	97.1332	4.10654
74	0	875.482	7.30981e-92	0.00568718	1.51015e-17	125.748	1.40522e-12	4.60924e-05	999.978	0.0221181	99.9998	0.000159374	99.9996	0.000392331	99.9996	0.000392331	97.1404	4.09804
75	0	875.569	-4.39019e-94	0.00464651	9.52295e-18	125.679	8.86128e-13	3.76582e-05	999.982	0.0180709	99.9999	0.000130212	99.9997	0.000314813	99.9997	0.000314813	97.1463	4.0908
76	0	875.655	2.91332e-94	0.00379627	6.00562e-18	125.611	5.58834e-13	3.07673e-05	999.985	0.0147643	99.9999	0.000106386	99.9997	0.000251479	99.9997	0.000251479	97.1512	4.08464
77	0	875.74	1.61336e-95	0.00310161	3.7875e-18	125.543	3.52434e-13	2.51374e-05	999.988	0.0120627	99.9999	8.6919e-05	99.9998	0.000199734	99.9998	0.000199734	97.1551	4.07939
78	0	875.825	-8.24439e-97	0.00253407	2.3884e-18	125.475	2.22245e-13	2.05376e-05	999.99	0.00985542	99.9999	7.10144e-05	99.9998	0.000157457	99.9998	0.000157457	97.1582	4.07492
79	0	875.91	-4.40873e-99	0.00207037	1.50625e-18	125.407	1.40159e-13	1.67796e-05	999.992	0.00805205	99.9999	5.802e-05	99.9999	0.000122915	99.9999	0.000122915	97.1607	4.07112
80	0	875.995	-1.60677e-99	0.00169152	9.49909e-19	125.34	8.83908e-14	1.37092e-05	999.993	0.00657866	100	4.74033e-05	99.9999	9.46946e-05	99.9999	9.46946e-05	97.1625	4.06789
81	0	876.079	-4.01269e-100	0.001382	5.99028e-19	125.273	5.57406e-14	1.12006e-05	999.995	0.00537487	100	3.87293e-05	99.9999	7.16375e-05	99.9999	7.16375e-05	97.164	4.06514
82	0	876.163	3.097e-102	0.00112912	3.77779e-19	125.206	3.51531e-14	9.15105e-06	999.996	0.00439136	100	3.16425e-05	99.9999	5.27995e-05	99.9999	5.27995e-05	97.165	4.06279
83	0	876.246	5.59456e-104	0.000922506	2.38237e-19	125.139	2.21684e-14	7.47655e-06	999.996	0.00358781	100	2.58524e-05	100	3.74086e-05	100	3.74086e-05	97.1656	4.0608
84	0	876.33	-2.29729e-102	0.000753701	1.50231e-19	125.072	1.39793e-14	6.10846e-06	999.997	0.0029313	100	2.11218e-05	100	2.48339e-05	100	2.48339e-05	97.166	4.0591
85	0	876.413	4.88261e-102	0.000615785	9.47261e-20	125.006	8.81441e-15	4.9907e-06	999.998	0.00239492	100	1.72569e-05	100	1.45601e-05	100	1.45601e-05	97.1661	4.05765
86	0	876.496	-9.71312e-102	0.000503106	5.97297e-20	124.94	5.55801e-15	4.07748e-06	999.998	0.00195668	100	1.40991e-05	100	6.16625e-06	100	6.16625e-06	97.1659	4.05642
87	0	876.578	-1.11968e-101	0.000411045	3.76616e-20	124.874	3.5045e-15	3.33136e-06	999.998	0.00159864	100	1.15192e-05	100	-6.91656e-07	100	-6.91656e-07	97.1657	4.05536
88	0	876.661	1.41065e-104	0.00033583	2.37473e-20	124.808	2.20972e-15	2.72177e-06	999.999	0.00130611	100	9.41135e-06	100	-6.29467e-06	100	-6.29467e-06	97.1652	4.05446
89	0	876.743	1.47233e-103	0.000274378	1.49732e-20	124.743	1.3933e-15	2.22372e-06	999.999	0.00106711	100	7.68922e-06	100	-1.08724e-05	100	-1.08724e-05	97.1646	4.05369
90	0	876.825	3.99613e-104	0.000224171	9.44193e-21	124.678	8.78566e-16	1.81682e-06	999.999	0.000871848	100	6.28221e-06	100	-1.46125e-05	100	-1.46125e-05	97.164	4.05303
91	0	876.907	5.03589e-102	0.000183151	5.95282e-21	124.613	5.53993e-16	1.48437e-06	999.999	0.000712313	100	5.13266e-06	100	-1.76682e-05	100	-1.76682e-05	97.1632	4.05246
92	0	876.988	-3.22661e-101	0.000149637	3.76347e-21	124.548	3.49333e-16	1.21275e-06	999.999	0.00058197	100	4.19346e-06	100	-2.01648e-05	100	-2.01648e-05	97.1623	4.05197
93	0	877.069	-2.17386e-101	0.000122256	2.36626e-21	124.484	2.20298e-16	9.90835e-07	1000	0.000475479	100	3.42612e-06	100	-2.22045e-05	100	-2.22045e-05	97.1614	4.05155
94	0	877.15	-8.03444e-103	9.98847e-05	1.49272e-21	124.419	1.38919e-16	8.09527e-07	1000	0.000388473	100	2.79919e-06	100	-2.3871e-05	100	-2.3871e-05	97.1604	4.05119
95	0	877.231	3.00546e-104	8.16073e-05	9.41627e-22	124.355	8.76027e-17	6.61396e-07	1000	0.000317389	100	2.28698e-06	100	-2.52325e-05	100	-2.52325e-05	97.1594	4.05087
96	0	877.312	3.40191e-106	6.66744e-05	5.93616e-22	124.292	5.52436e-17	5.4037e-07	1000	0.000259311	100	1.8685e-06	100	-2.63449e-05	100	-2.63449e-05	97.1583	4.0506
97	0	877.392	1.02631e-107	5.4474e-05	3.74409e-22	124.228	3.48362e-17	4.41491e-07	1000	0.000211861	100	1.52659e-06	100	-2.72538e-05	100	-2.72538e-05	97.1572	4.05036
98	0	877.472	1.57884e-107	4.45061e-05	2.36031e-22	124.164	2.19684e-17	3.60705e-07	1000	0.000173094	100	1.24725e-06	100	-2.79963e-05	100	-2.79963e-05	97.1561	4.05015
99	0	877.552	-2.35364e-109	3.63622e-05	1.48909e-22	124.101	1.38534e-17	2.94701e-07	1000	0.00014142	100	1.01902e-06	100	-2.8603e-05	100	-2.8603e-05	97.155	4.04996
100	0	877.632	-3.07782e-110	2.97084e-05	9.38715e-23	124.038	8.73593e-18	2.40775e-07	1000	0.000115543	100	8.32556e-07	100	-2.90987e-05	100	-2.90987e-05	97.1538	4.04979
