Time	[MK]	[MKK-PP]	[MK_MKK-PP]	[MK-P]	[MK-P_MKK-PP]	[MK-PP]	[MKK]	[MKKK-P]	[MKK_MKKK-P]	[MKK-P]	[MKK-P_MKKK-P]	[MKK-PP_P2]	[P2]	[MKK-P_P2]	[MKK_P2]	[MKKK]	[MKKK_Sig]	[Sig]	[MKKK-P_P1]	[P1]	[MK-PP_P2]	[MK-P_P2]	[MK_P2]	[MKK-PP_P1]	[MKK-P_P1]	[MKK_P1]	[MKKK_P1]
41	1044.02	2.03624	40.1235	3.32241	0.0134413	1.25902	764.249	14.4423	215.523	4.95181	0.142897	0.149447	1.87229	0.06186	86.6591	54.4009	3.56369	6.43631	0.37458	1.98367	0.0852455	0.0398349	111.132	0.157657	0.0653249	85.8664	11.5524
42	1041.39	2.14002	42.1303	3.50515	0.014908	1.44934	759.172	14.7309	218.533	4.92604	0.145001	0.157915	1.87968	0.0617817	86.3934	51.4786	3.43936	6.56064	0.385659	2.00103	0.0989836	0.0422886	111.366	0.167406	0.0655604	86.0927	11.2876
43	1038.72	2.24565	44.1639	3.68553	0.0164538	1.65936	754.189	15.0134	221.419	4.90053	0.147023	0.16659	1.88705	0.0617029	86.1312	48.6812	3.31566	6.68434	0.396677	2.01819	0.114283	0.044737	111.594	0.177443	0.0657867	86.3151	11.0268
44	1036.01	2.35311	46.2231	3.86282	0.0180756	1.89001	749.301	15.2895	224.183	4.87531	0.148963	0.175471	1.8944	0.0616242	85.8726	46.0074	3.19289	6.80711	0.407618	2.03515	0.131236	0.04717	111.818	0.187764	0.0660043	86.5332	10.7703
45	1033.26	2.46235	48.3067	4.03632	0.0197697	2.14214	744.508	15.5591	226.826	4.85044	0.150823	0.184557	1.90173	0.0615464	85.6176	43.4554	3.07132	6.92868	0.418471	2.05189	0.149931	0.0495782	112.035	0.198368	0.0662136	86.7467	10.5183
46	1030.47	2.57335	50.4134	4.20543	0.0215319	2.41658	739.81	15.8222	229.35	4.82595	0.152605	0.193845	1.90903	0.0614697	85.3664	41.0233	2.95125	7.04875	0.429223	2.0684	0.170454	0.0519523	112.247	0.209251	0.066415	86.9554	10.2713
47	1027.65	2.68607	52.5421	4.36957	0.0233579	2.71404	735.206	16.0786	231.756	4.80186	0.15431	0.203334	1.9163	0.0613948	85.1193	38.7088	2.83294	7.16706	0.439861	2.08467	0.192885	0.0542841	112.453	0.220408	0.0666086	87.1589	10.0295
48	1024.79	2.80048	54.6917	4.52826	0.025243	3.03521	730.696	16.3283	234.046	4.77818	0.155939	0.213023	1.92355	0.0613217	84.8761	36.5093	2.71668	7.28332	0.450374	2.10068	0.217301	0.0565659	112.652	0.231838	0.0667946	87.3572	9.79315
49	1021.9	2.91655	56.8611	4.68107	0.0271823	3.38067	726.278	16.5712	236.223	4.75494	0.157495	0.22291	1.93077	0.0612509	84.6372	34.4223	2.6027	7.3973	0.460753	2.11643	0.243775	0.0587908	112.845	0.243535	0.0669734	87.5498	9.56249
50	1018.98	3.03424	59.0491	4.82765	0.0291708	3.75093	721.951	16.8074	238.289	4.73214	0.15898	0.232993	1.93795	0.0611825	84.4026	32.4447	2.49125	7.50875	0.470988	2.13192	0.272373	0.0609527	113.032	0.255497	0.0671449	87.7367	9.33775
51	1016.02	3.15354	61.2547	4.96773	0.0312035	4.14645	717.715	17.037	240.247	4.70978	0.160394	0.243272	1.94511	0.0611167	84.1723	30.5733	2.38254	7.61746	0.481072	2.14714	0.303155	0.0630464	113.212	0.267718	0.0673095	87.9176	9.11914
52	1013.03	3.2744	63.4768	5.10109	0.0332754	4.56758	713.566	17.2598	242.099	4.68788	0.161742	0.253745	1.95224	0.0610536	83.9464	28.805	2.27678	7.72322	0.490997	2.16207	0.336178	0.0650678	113.385	0.280196	0.0674673	88.0924	8.90684
53	1010.02	3.39681	65.7145	5.22761	0.0353818	5.01462	709.503	17.4761	243.849	4.66642	0.163023	0.264411	1.95934	0.0609933	83.7251	27.1362	2.17415	7.82585	0.500759	2.17673	0.371491	0.0670133	113.552	0.292925	0.0676184	88.261	8.70099
54	1006.97	3.52074	67.9668	5.3472	0.0375179	5.4878	705.524	17.6859	245.5	4.6454	0.164242	0.275268	1.96641	0.0609358	83.5083	25.5634	2.07479	7.92521	0.510353	2.19112	0.409138	0.0688804	113.711	0.305903	0.0677631	88.4231	8.50175
55	1003.9	3.64617	70.2328	5.45986	0.0396794	5.98726	701.628	17.8894	247.054	4.62483	0.1654	0.286316	1.97345	0.0608813	83.2961	24.0829	1.97884	8.02116	0.519775	2.20522	0.449159	0.0706674	113.863	0.319125	0.0679015	88.5788	8.3092
56	1000.8	3.77307	72.5115	5.56564	0.0418621	6.51312	697.81	18.0866	248.517	4.60469	0.166499	0.297553	1.98047	0.0608297	83.0885	22.691	1.88639	8.11361	0.529024	2.21904	0.491587	0.0723735	114.009	0.332587	0.0680339	88.7279	8.12345
57	997.667	3.90142	74.8021	5.66463	0.0440622	7.06539	694.069	18.2777	249.891	4.58498	0.167542	0.308979	1.98746	0.0607811	82.8856	21.3839	1.79753	8.20247	0.538099	2.2326	0.536452	0.0739984	114.147	0.346287	0.0681603	88.8703	7.94453
58	994.512	4.0312	77.1037	5.75699	0.0462765	7.64408	690.403	18.4629	251.179	4.56568	0.168532	0.320594	1.99442	0.0607354	82.6873	20.1578	1.71231	8.28769	0.547	2.24589	0.583778	0.0755429	114.278	0.360222	0.0682812	89.0061	7.77251
59	991.332	4.1624	79.4155	5.84291	0.0485017	8.24912	686.807	18.6425	252.385	4.54678	0.169469	0.332396	2.00137	0.0606927	82.4937	19.009	1.63076	8.36924	0.555727	2.25891	0.633585	0.0770079	114.401	0.374387	0.0683966	89.1352	7.60739
60	988.127	4.29499	81.7369	5.92259	0.0507352	8.8804	683.281	18.8165	253.513	4.52828	0.170358	0.344385	2.00829	0.0606529	82.3046	17.9336	1.55289	8.44711	0.564284	2.27167	0.685889	0.0783955	114.518	0.388782	0.0685068	89.2576	7.44916
61	984.899	4.42897	84.0669	5.99631	0.0529748	9.5378	679.82	18.9851	254.567	4.51017	0.171201	0.356561	2.01519	0.0606159	82.1202	16.9279	1.47868	8.52132	0.572672	2.28419	0.740703	0.0797077	114.627	0.403402	0.068612	89.3733	7.29779
62	981.646	4.56432	86.405	6.06433	0.0552187	10.2212	676.423	19.1487	255.549	4.49242	0.171999	0.368925	2.02207	0.0605818	81.9402	15.9883	1.40809	8.59191	0.580896	2.29647	0.798039	0.0809473	114.729	0.418247	0.0687125	89.4824	7.15326
63	978.371	4.70102	88.7504	6.12694	0.0574653	10.9303	673.086	19.3073	256.463	4.47503	0.172755	0.381475	2.02895	0.0605505	81.7648	15.1113	1.34109	8.65891	0.588959	2.30851	0.857903	0.0821173	114.824	0.433314	0.0688085	89.5849	7.01547
64	975.073	4.83908	91.1026	6.18445	0.0597135	11.6649	669.807	19.4612	257.313	4.45798	0.173472	0.394213	2.0358	0.0605219	81.5938	14.2933	1.2776	8.7224	0.596866	2.32033	0.920302	0.083221	114.912	0.448602	0.0689002	89.6809	6.88437
65	971.752	4.97846	93.4609	6.23716	0.0619624	12.4249	666.583	19.6107	258.102	4.44127	0.174151	0.407139	2.04265	0.060496	81.4271	13.531	1.21754	8.78246	0.604623	2.33194	0.985239	0.0842618	114.993	0.46411	0.0689879	89.7705	6.75985
66	968.411	5.11919	95.8248	6.2854	0.0642117	13.21	663.411	19.7559	258.833	4.42487	0.174795	0.420254	2.04948	0.0604727	81.2647	12.8211	1.16082	8.83918	0.612235	2.34334	1.05272	0.0852434	115.067	0.479838	0.0690717	89.8537	6.64179
67	965.047	5.26123	98.1936	6.32946	0.0664609	14.02	660.288	19.897	259.51	4.40878	0.175406	0.433557	2.05631	0.0604519	81.1065	12.1604	1.10734	8.89266	0.619708	2.35454	1.12274	0.0861694	115.134	0.495784	0.069152	89.9307	6.53009
68	961.663	5.4046	100.567	6.36966	0.0687103	14.8546	657.213	20.0343	260.135	4.39298	0.175985	0.447051	2.06314	0.0604335	80.9524	11.5461	1.05698	8.94302	0.627049	2.36556	1.19531	0.0870435	115.195	0.511948	0.0692289	90.0016	6.4246
69	958.258	5.54928	102.944	6.40628	0.0709599	15.7136	654.183	20.168	260.711	4.37746	0.176536	0.460736	2.06996	0.0604176	80.8023	10.9751	1.00964	8.99036	0.634263	2.37641	1.27042	0.0878695	115.248	0.528331	0.0693026	90.0665	6.32519
70	954.833	5.69528	105.325	6.43962	0.0732102	16.5968	651.194	20.2983	261.242	4.36221	0.177059	0.474614	2.07678	0.0604039	80.6561	10.4448	0.965189	9.03481	0.641358	2.38708	1.34809	0.0886509	115.295	0.544934	0.0693734	90.1256	6.2317
71	951.388	5.8426	107.709	6.46994	0.0754618	17.5039	648.246	20.4253	261.729	4.34721	0.177556	0.488686	2.0836	0.0603925	80.5137	9.95249	0.923507	9.07649	0.648339	2.3976	1.42831	0.0893912	115.336	0.561757	0.0694415	90.1789	6.14397
72	947.923	5.99123	110.096	6.4975	0.0777152	18.4348	645.336	20.5493	262.175	4.33247	0.178029	0.502953	2.09042	0.0603833	80.375	9.49578	0.884469	9.11553	0.655214	2.40798	1.51107	0.0900937	115.37	0.5788	0.069507	90.2267	6.06184
73	944.438	6.14119	112.485	6.52254	0.0799712	19.3892	642.462	20.6705	262.584	4.31795	0.17848	0.517417	2.09725	0.0603762	80.2398	9.07229	0.847951	9.15205	0.661989	2.41821	1.5964	0.0907616	115.398	0.596066	0.0695702	90.269	5.98515
74	940.935	6.29247	114.876	6.54529	0.0822307	20.3669	639.621	20.7889	262.956	4.30366	0.178911	0.53208	2.10408	0.0603712	80.1081	8.67982	0.813827	9.18617	0.668671	2.42832	1.68429	0.0913979	115.42	0.613556	0.0696311	90.3061	5.91372
75	937.412	6.44507	117.268	6.56595	0.0844944	21.3678	636.813	20.9049	263.295	4.28959	0.179322	0.546944	2.11093	0.0603681	79.9797	8.31628	0.781975	9.21802	0.675266	2.4383	1.77475	0.0920055	115.435	0.631271	0.0696901	90.3381	5.84737
76	933.87	6.59902	119.662	6.58471	0.0867632	22.3916	634.034	21.0186	263.602	4.27572	0.179715	0.562012	2.11778	0.0603669	79.8545	7.97972	0.752274	9.24773	0.681779	2.44818	1.86777	0.0925869	115.445	0.649215	0.0697473	90.3651	5.78595
77	930.309	6.7543	122.056	6.60174	0.0890379	23.4383	631.284	21.1301	263.879	4.26204	0.180092	0.577284	2.12464	0.0603677	79.7325	7.66829	0.724608	9.27539	0.688219	2.45795	1.96338	0.0931445	115.449	0.667388	0.0698027	90.3874	5.72927
78	926.73	6.91093	124.451	6.61721	0.0913194	24.5077	628.561	21.2395	264.129	4.24856	0.180453	0.592765	2.13152	0.0603702	79.6134	7.38027	0.698862	9.30114	0.694589	2.46762	2.06158	0.0936807	115.447	0.685794	0.0698567	90.405	5.67716
79	923.133	7.06893	126.847	6.63126	0.0936085	25.5995	625.863	21.3471	264.353	4.23525	0.1808	0.608456	2.13841	0.0603745	79.4972	7.11405	0.674925	9.32508	0.700896	2.4772	2.16237	0.0941973	115.439	0.704435	0.0699092	90.4181	5.62945
80	919.517	7.22829	129.243	6.64402	0.0959059	26.7138	623.189	21.453	264.552	4.22212	0.181133	0.62436	2.14531	0.0603805	79.3837	6.86811	0.652691	9.34731	0.707146	2.4867	2.26577	0.0946962	115.426	0.723314	0.0699605	90.4269	5.58596
81	915.884	7.38904	131.638	6.65559	0.0982125	27.8504	620.538	21.5572	264.728	4.20915	0.181455	0.64048	2.15224	0.0603882	79.2729	6.64104	0.63206	9.36794	0.713344	2.49613	2.37179	0.0951791	115.407	0.742433	0.0700107	90.4315	5.54654
82	912.232	7.55118	134.033	6.6661	0.100529	29.0091	617.908	21.6599	264.883	4.19634	0.181766	0.656819	2.15918	0.0603975	79.1646	6.43153	0.612934	9.38707	0.719495	2.50548	2.48044	0.0956476	115.383	0.761798	0.0700598	90.4322	5.51102
83	908.562	7.71474	136.428	6.67562	0.102855	30.1899	615.298	21.7613	265.018	4.18368	0.182066	0.67338	2.16614	0.0604084	79.0587	6.23834	0.595221	9.40478	0.725604	2.51477	2.59173	0.0961028	115.354	0.78141	0.0701081	90.4289	5.47923
84	904.875	7.87971	138.822	6.68423	0.105193	31.3926	612.707	21.8614	265.134	4.17117	0.182357	0.690166	2.17312	0.0604209	78.9551	6.06034	0.578832	9.42117	0.731675	2.52401	2.70569	0.096546	115.319	0.801273	0.0701556	90.4219	5.45102
85	901.17	8.04612	141.214	6.69201	0.107542	32.6172	610.134	21.9604	265.233	4.1588	0.18264	0.70718	2.18013	0.0604349	78.8537	5.89646	0.563684	9.43632	0.737714	2.53319	2.82231	0.0969782	115.279	0.82139	0.0702024	90.4113	5.42624
86	897.448	8.21399	143.606	6.69903	0.109904	33.8636	607.577	22.0583	265.315	4.14656	0.182915	0.724427	2.18716	0.0604503	78.7543	5.7457	0.5497	9.4503	0.743724	2.54232	2.94163	0.0974004	115.235	0.841767	0.0702486	90.3972	5.40474
87	893.708	8.38333	145.996	6.70533	0.112277	35.1317	605.037	22.1552	265.382	4.13446	0.183183	0.741909	2.19421	0.0604673	78.657	5.60716	0.536805	9.4632	0.74971	2.55141	3.06365	0.0978135	115.185	0.862406	0.0702943	90.3798	5.38638
88	889.952	8.55417	148.384	6.71096	0.114664	36.4214	602.513	22.2513	265.434	4.12248	0.183445	0.75963	2.20129	0.0604856	78.5615	5.47997	0.524927	9.47507	0.755676	2.56046	3.18839	0.098218	115.13	0.883312	0.0703396	90.3592	5.37101
89	886.178	8.72651	150.771	6.71597	0.117064	37.7327	600.002	22.3465	265.472	4.11062	0.1837	0.777594	2.20839	0.0605054	78.4679	5.36333	0.514001	9.486	0.761625	2.56948	3.31587	0.0986146	115.071	0.90449	0.0703846	90.3355	5.35851
90	882.386	8.90038	153.156	6.7204	0.119477	39.0655	597.506	22.441	265.498	4.09889	0.183951	0.795804	2.21552	0.0605266	78.3759	5.25652	0.503966	9.49603	0.76756	2.57847	3.44611	0.099004	115.007	0.925942	0.0704293	90.3089	5.34874
91	878.578	9.0758	155.539	6.72426	0.121904	40.4197	595.022	22.5349	265.512	4.08727	0.184197	0.814266	2.22268	0.0605492	78.2856	5.15885	0.494763	9.50524	0.773486	2.58743	3.57912	0.0993865	114.938	0.947675	0.0704738	90.2794	5.34158
92	874.754	9.25279	157.919	6.72761	0.124345	41.7952	592.551	22.6282	265.515	4.07576	0.18444	0.832983	2.22987	0.0605731	78.1968	5.06967	0.486338	9.51366	0.779406	2.59637	3.71492	0.0997626	114.865	0.969692	0.0705183	90.2471	5.33692
93	870.912	9.43137	160.298	6.73045	0.126801	43.192	590.091	22.721	265.507	4.06436	0.184678	0.85196	2.23709	0.0605983	78.1094	4.98841	0.47864	9.52136	0.785321	2.60529	3.85354	0.100133	114.787	0.991998	0.0705626	90.2122	5.33463
94	867.054	9.61157	162.674	6.73281	0.129271	44.6101	587.643	22.8134	265.49	4.05307	0.184914	0.8712	2.24434	0.060625	78.0234	4.91451	0.471621	9.52838	0.791236	2.61419	3.995	0.100497	114.705	1.0146	0.070607	90.1748	5.33461
95	863.179	9.79341	165.047	6.7347	0.131756	46.0493	585.205	22.9053	265.463	4.04188	0.185147	0.890709	2.25162	0.0606529	77.9387	4.84747	0.465236	9.53476	0.797153	2.62308	4.1393	0.100856	114.618	1.0375	0.0706514	90.1349	5.33675
96	859.288	9.97692	167.418	6.73616	0.134255	47.5096	582.777	22.9969	265.427	4.0308	0.185378	0.91049	2.25894	0.0606822	77.8552	4.78682	0.459444	9.54056	0.803075	2.63195	4.28648	0.10121	114.527	1.0607	0.070696	90.0926	5.34096
