Time	[AA]	[Clb2]	[degr]	[Cdc20]	[Cdh1]	[inactive Cdh1]	[securinT]	[securin]	[separaseT]	[separase]	[securin:separase]	[Net1]	[Net1Cdc14]	[PoloT]	[Polo]	[inactive Polo]	[Tem1]	[inactive Tem1]	[Cdc15]	[inactive Cdc15]	[MEN]	[PP2A]	[Net1P]	[Cdc14]
37	1	0.0148748	1	0.00736259	0.999911	8.91237e-05	0.161707	0.00404671	0.25	0.0923397	0.15766	0.00323667	0.246169	0.35092	0.143384	0.207536	0.000808864	0.999191	0.996143	0.00385718	8.2129e-05	0.416145	0.750595	0.253831
38	1	0.0147837	1	0.00732393	0.999774	0.000226247	0.18063	0.00545002	0.25	0.0748196	0.17518	0.0108723	0.399801	0.279393	0.0864161	0.192977	0.000418248	0.999582	0.995748	0.00425193	3.69439e-05	0.46052	0.589327	0.100199
39	1	0.0147815	1	0.00732372	0.998371	0.00162889	0.198374	0.00741542	0.25	0.0590414	0.190959	0.0794724	0.487078	0.22427	0.0509708	0.173299	0.000217138	0.999783	0.994286	0.00571354	1.70372e-05	0.512687	0.433449	0.0129216
40	1	0.0148173	1	0.00734149	0.995028	0.00497161	0.215003	0.0102375	0.25	0.0452345	0.204766	0.222571	0.495493	0.181874	0.030016	0.151858	0.000114107	0.999886	0.992573	0.00742654	8.04414e-06	0.572518	0.281936	0.0045075
41	1	0.0148688	1	0.00736686	0.991234	0.00876623	0.230581	0.0143117	0.25	0.0337306	0.216269	0.354946	0.497177	0.149288	0.0180641	0.131224	6.19388e-05	0.999938	0.990963	0.00903651	3.95951e-06	0.637438	0.147877	0.00282251
42	1	0.0149257	1	0.00739481	0.987297	0.0127033	0.245171	0.0199975	0.25	0.0248267	0.225173	0.446212	0.497756	0.124236	0.0113621	0.112873	3.56356e-05	0.999964	0.989476	0.0105242	2.09201e-06	0.701389	0.056032	0.00224401
43	1	0.0149841	1	0.00742352	0.983366	0.0166339	0.258831	0.0273234	0.25	0.0184919	0.231508	0.48593	0.49794	0.104966	0.00760004	0.0973659	2.22136e-05	0.999978	0.988107	0.0118932	1.21846e-06	0.757012	0.0161301	0.00206017
44	1	0.0150424	1	0.00745216	0.979506	0.020494	0.27162	0.0358643	0.25	0.0142441	0.235756	0.496608	0.497984	0.0901368	0.0054513	0.0846855	1.51338e-05	0.999985	0.986849	0.0131511	7.89633e-07	0.800453	0.00540766	0.00201572
45	1	0.0151002	1	0.00748054	0.975712	0.0242876	0.28359	0.0450208	0.25	0.0114307	0.238569	0.498806	0.497993	0.0787204	0.00418515	0.0745352	1.12049e-05	0.999989	0.985693	0.0143072	5.64202e-07	0.832533	0.00320109	0.00200683
46	1	0.0151576	1	0.00750874	0.971961	0.0280394	0.294792	0.0543158	0.25	0.00952405	0.240476	0.499246	0.497995	0.0699298	0.00340749	0.0665223	8.89168e-06	0.999991	0.984629	0.015371	4.36472e-07	0.855997	0.0027593	0.0020051
47	1	0.015215	1	0.00753692	0.968229	0.0317715	0.305272	0.0634559	0.25	0.00818373	0.241816	0.499358	0.497995	0.0631621	0.00290722	0.0602549	7.44644e-06	0.999993	0.983649	0.0163515	3.5877e-07	0.873412	0.00264621	0.00200468
48	1	0.0152726	1	0.00756523	0.9645	0.0355	0.315076	0.0722813	0.25	0.00720576	0.242794	0.499405	0.497995	0.0579544	0.0025706	0.0553838	6.49354e-06	0.999994	0.982743	0.0172565	3.0848e-07	0.886634	0.00259995	0.00200453
49	1	0.0153307	1	0.00759377	0.960763	0.039237	0.324243	0.0807116	0.25	0.00646813	0.243532	0.499431	0.497996	0.0539511	0.00233526	0.0516158	5.83668e-06	0.999994	0.981907	0.0180934	2.74257e-07	0.89691	0.00257331	0.00200447
50	1	0.0153895	1	0.00762262	0.957009	0.0429914	0.332815	0.0887107	0.25	0.00589589	0.244104	0.499448	0.497996	0.0508787	0.00216597	0.0487127	5.36855e-06	0.999995	0.981132	0.0188684	2.50071e-07	0.905068	0.00255604	0.00200443
51	1	0.015449	1	0.00765186	0.95323	0.0467704	0.340826	0.0962675	0.25	0.00544139	0.244559	0.49946	0.497996	0.0485266	0.00204196	0.0464846	5.02742e-06	0.999995	0.980413	0.0195875	2.32527e-07	0.911668	0.00254474	0.00200443
52	1	0.0155095	1	0.00768154	0.94942	0.0505799	0.348311	0.103385	0.25	0.00507325	0.244927	0.499467	0.497996	0.0467324	0.00195036	0.0447821	4.77573e-06	0.999995	0.979744	0.0202558	2.19594e-07	0.917094	0.00253768	0.00200444
53	1	0.0155709	1	0.0077117	0.945575	0.0544245	0.355303	0.110073	0.25	0.00477011	0.24523	0.499471	0.497996	0.0453711	0.00188274	0.0434884	4.58932e-06	0.999995	0.979122	0.0208781	2.09986e-07	0.921616	0.00253381	0.00200447
54	1	0.0156334	1	0.0077424	0.941691	0.0583087	0.361831	0.116348	0.25	0.00451701	0.245483	0.499472	0.497995	0.0443459	0.00183328	0.0425127	4.45184e-06	0.999996	0.978541	0.0214587	2.02844e-07	0.92543	0.00253242	0.0020045
55	1	0.0156971	1	0.00777367	0.937764	0.0622359	0.367923	0.122226	0.25	0.00430318	0.245697	0.499472	0.497995	0.0435823	0.00179784	0.0417845	4.35175e-06	0.999996	0.977999	0.0220014	1.97571e-07	0.928681	0.00253298	0.00200455
56	1	0.0157621	1	0.00780556	0.93379	0.0662098	0.373607	0.127727	0.25	0.00412071	0.245879	0.499469	0.497995	0.0430225	0.00177333	0.0412492	4.28062e-06	0.999996	0.97749	0.0225098	1.93734e-07	0.931475	0.00253516	0.0020046
57	1	0.0158284	1	0.0078381	0.929767	0.0702332	0.378906	0.132869	0.25	0.00396367	0.246036	0.499466	0.497995	0.0426218	0.00175742	0.0408644	4.23214e-06	0.999996	0.977013	0.022987	1.91017e-07	0.933894	0.00253868	0.00200466
58	1	0.0158961	1	0.00787133	0.925691	0.0743092	0.383844	0.137671	0.25	0.00382749	0.246173	0.499461	0.497995	0.0423458	0.00174832	0.0405975	4.20155e-06	0.999996	0.976564	0.0234361	1.8918e-07	0.936004	0.00254334	0.00200472
59	1	0.0159652	1	0.00790529	0.92156	0.0784404	0.388443	0.142152	0.25	0.00370866	0.246291	0.499456	0.497995	0.0421676	0.00174464	0.0404229	4.18517e-06	0.999996	0.97614	0.0238596	1.88041e-07	0.937854	0.00254901	0.00200479
60	1	0.016036	1	0.00794002	0.91737	0.0826296	0.392723	0.146328	0.25	0.0036044	0.246396	0.499449	0.497995	0.0420664	0.00174532	0.0403211	4.18017e-06	0.999996	0.97574	0.02426	1.87459e-07	0.939483	0.00255556	0.00200486
61	1	0.0161084	1	0.00797555	0.913121	0.0868792	0.396704	0.150216	0.25	0.00351248	0.246488	0.499442	0.497995	0.0420263	0.00174951	0.0402768	4.18438e-06	0.999996	0.97536	0.0246396	1.87328e-07	0.940925	0.0025629	0.00200494
62	1	0.0161825	1	0.00801192	0.908808	0.091192	0.400403	0.153834	0.25	0.00343111	0.246569	0.499434	0.497995	0.0420347	0.00175658	0.0402781	4.19609e-06	0.999996	0.975	0.0250003	1.87565e-07	0.942206	0.00257098	0.00200502
63	1	0.0162584	1	0.00804918	0.90443	0.0955703	0.403837	0.157196	0.25	0.00335885	0.246641	0.499425	0.497995	0.042082	0.00176601	0.040316	4.21401e-06	0.999996	0.974656	0.0253441	1.88105e-07	0.943347	0.00257973	0.0020051
64	1	0.0163362	1	0.00808736	0.899983	0.100017	0.407022	0.160317	0.25	0.00329447	0.246706	0.499416	0.497995	0.0421607	0.00177743	0.0403833	4.2371e-06	0.999996	0.974327	0.0256727	1.88898e-07	0.944365	0.00258912	0.00200519
65	1	0.016416	1	0.00812651	0.895466	0.104534	0.409973	0.16321	0.25	0.00323698	0.246763	0.499406	0.497995	0.0422651	0.00179052	0.0404746	4.26458e-06	0.999996	0.974012	0.0259877	1.89907e-07	0.945277	0.00259912	0.00200528
66	1	0.0164979	1	0.00816667	0.890876	0.109124	0.412703	0.165888	0.25	0.00318555	0.246814	0.499396	0.497995	0.0423907	0.00180505	0.0405856	4.29586e-06	0.999996	0.973709	0.0262905	1.91101e-07	0.946095	0.00260971	0.00200538
67	1	0.0165819	1	0.00820789	0.88621	0.11379	0.415225	0.168364	0.25	0.00313947	0.246861	0.499385	0.497995	0.0425339	0.00182087	0.0407131	4.33048e-06	0.999996	0.973417	0.0265826	1.92457e-07	0.946828	0.00262087	0.00200548
68	1	0.0166682	1	0.00825022	0.881466	0.118534	0.417552	0.17065	0.25	0.00309813	0.246902	0.499373	0.497994	0.0426923	0.00183783	0.0408544	4.36809e-06	0.999996	0.973135	0.0268651	1.93959e-07	0.947487	0.00263259	0.00200558
69	1	0.0167569	1	0.00829372	0.876641	0.123359	0.419694	0.172755	0.25	0.00306104	0.246939	0.499361	0.497994	0.0428636	0.00185584	0.0410078	4.40842e-06	0.999996	0.972861	0.0271393	1.95592e-07	0.94808	0.00264486	0.00200569
70	1	0.0168481	1	0.00833843	0.871731	0.128269	0.421662	0.17469	0.25	0.00302775	0.246972	0.499348	0.497994	0.0430465	0.00187483	0.0411717	4.45131e-06	0.999996	0.972594	0.0274063	1.97349e-07	0.948612	0.00265769	0.0020058
71	1	0.0169419	1	0.00838441	0.866735	0.133265	0.423467	0.176465	0.25	0.00299789	0.247002	0.499335	0.497994	0.0432398	0.00189477	0.0413451	4.49662e-06	0.999996	0.972333	0.027667	1.99221e-07	0.94909	0.00267108	0.00200592
72	1	0.0170384	1	0.00843173	0.86165	0.13835	0.425116	0.178088	0.25	0.00297112	0.247029	0.499321	0.497994	0.0434427	0.00191562	0.0415271	4.54428e-06	0.999995	0.972077	0.0279225	2.01205e-07	0.94952	0.00268503	0.00200604
73	1	0.0171377	1	0.00848045	0.856471	0.143529	0.42662	0.179567	0.25	0.00294716	0.247053	0.499307	0.497994	0.0436546	0.00193738	0.0417172	4.59424e-06	0.999995	0.971826	0.0281736	2.03297e-07	0.949904	0.00269955	0.00200616
74	1	0.0172401	1	0.00853064	0.851197	0.148803	0.427985	0.180911	0.25	0.00292576	0.247074	0.499292	0.497994	0.0438751	0.00196003	0.041915	4.64649e-06	0.999995	0.971579	0.0284212	2.05497e-07	0.950248	0.00271465	0.00200629
75	1	0.0173456	1	0.00858238	0.845824	0.154176	0.42922	0.182127	0.25	0.00290673	0.247093	0.499276	0.497994	0.0441039	0.00198361	0.0421203	4.70105e-06	0.999995	0.971334	0.0286661	2.07803e-07	0.950553	0.00273035	0.00200642
76	1	0.0174545	1	0.00863573	0.840348	0.159652	0.430331	0.18322	0.25	0.00288981	0.24711	0.49926	0.497993	0.0443409	0.00200812	0.0423328	4.75796e-06	0.999995	0.971091	0.028909	2.10218e-07	0.950825	0.00274667	0.00200656
77	1	0.0175668	1	0.00869078	0.834765	0.165235	0.431324	0.184199	0.25	0.00287494	0.247125	0.499243	0.497993	0.0445862	0.00203359	0.0425526	4.81726e-06	0.999995	0.970849	0.0291507	2.12744e-07	0.951065	0.00276362	0.0020067
78	1	0.0176828	1	0.00874763	0.829073	0.170927	0.432206	0.185068	0.25	0.00286186	0.247138	0.499226	0.497993	0.0448397	0.00206007	0.0427797	4.87905e-06	0.999995	0.970608	0.0293919	2.15382e-07	0.951275	0.00278122	0.00200685
79	1	0.0178027	1	0.00880636	0.823267	0.176733	0.432982	0.185833	0.25	0.00285051	0.247149	0.499207	0.497993	0.0451017	0.00208758	0.0430141	4.94342e-06	0.999995	0.970367	0.0296333	2.18138e-07	0.951458	0.00279951	0.002007
80	1	0.0179266	1	0.00886708	0.817343	0.182657	0.433657	0.186498	0.25	0.00284076	0.247159	0.499189	0.497993	0.0453724	0.00211619	0.0432562	5.01047e-06	0.999995	0.970125	0.0298755	2.21015e-07	0.951615	0.00281851	0.00200716
81	1	0.0180548	1	0.0089299	0.811297	0.188703	0.434237	0.187069	0.25	0.0028325	0.247168	0.499169	0.497993	0.045652	0.00214594	0.043506	5.08033e-06	0.999995	0.969881	0.0301191	2.24018e-07	0.951749	0.00283824	0.00200732
82	1	0.0181876	1	0.00899494	0.805124	0.194876	0.434724	0.18755	0.25	0.00282564	0.247174	0.499149	0.497993	0.0459408	0.0021769	0.0437639	5.15315e-06	0.999995	0.969635	0.0303649	2.27154e-07	0.951859	0.00285876	0.00200749
83	1	0.0183252	1	0.00906231	0.798819	0.201181	0.435124	0.187944	0.25	0.00282012	0.24718	0.499128	0.497992	0.0462393	0.00220913	0.0440302	5.22907e-06	0.999995	0.969387	0.0306133	2.30428e-07	0.951948	0.00288009	0.00200767
84	1	0.0184678	1	0.00913217	0.792378	0.207622	0.43544	0.188256	0.25	0.00281585	0.247184	0.499106	0.497992	0.0465478	0.00224271	0.0443051	5.30829e-06	0.999995	0.969135	0.0308651	2.33849e-07	0.952017	0.00290227	0.00200785
85	1	0.0186158	1	0.00920465	0.785795	0.214205	0.435675	0.188488	0.25	0.00281279	0.247187	0.499083	0.497992	0.0468668	0.00227772	0.0445891	5.39097e-06	0.999995	0.968879	0.0311208	2.37425e-07	0.952066	0.00292535	0.00200804
86	1	0.0187696	1	0.00927991	0.779064	0.220936	0.435832	0.188643	0.25	0.00281088	0.247189	0.499059	0.497992	0.0471968	0.00231425	0.0448826	5.47735e-06	0.999995	0.968619	0.0313811	2.41164e-07	0.952097	0.00294938	0.00200824
87	1	0.0189293	1	0.00935813	0.77218	0.22782	0.435915	0.188725	0.25	0.00281007	0.24719	0.499034	0.497992	0.0475384	0.0023524	0.045186	5.56765e-06	0.999994	0.968353	0.0316465	2.45076e-07	0.95211	0.00297441	0.00200845
88	1	0.0190956	1	0.0094395	0.765136	0.234864	0.435924	0.188735	0.25	0.00281034	0.24719	0.499008	0.497991	0.0478921	0.00239226	0.0454999	5.66213e-06	0.999994	0.968082	0.0319179	2.49173e-07	0.952106	0.00300051	0.00200866
89	1	0.0192687	1	0.00952422	0.757926	0.242074	0.435863	0.188675	0.25	0.00281164	0.247188	0.498981	0.497991	0.0482588	0.00243398	0.0458248	5.76107e-06	0.999994	0.967804	0.0321957	2.53466e-07	0.952085	0.00302774	0.00200888
90	1	0.0194492	1	0.00961252	0.750543	0.249457	0.435734	0.188547	0.25	0.00281397	0.247186	0.498953	0.497991	0.0486389	0.00247766	0.0461613	5.86478e-06	0.999994	0.967519	0.0324807	2.5797e-07	0.952047	0.00305617	0.00200912
91	1	0.0196375	1	0.00970464	0.742978	0.257022	0.435536	0.188354	0.25	0.0028173	0.247183	0.498923	0.497991	0.0490335	0.00252345	0.04651	5.9736e-06	0.999994	0.967226	0.0327737	2.62698e-07	0.951994	0.00308587	0.00200936
92	1	0.0198341	1	0.00980084	0.735223	0.264777	0.435273	0.188095	0.25	0.00282162	0.247178	0.498893	0.49799	0.0494432	0.00257152	0.0468717	6.0879e-06	0.999994	0.966925	0.0330753	2.67667e-07	0.951924	0.00311694	0.00200962
93	1	0.0200398	1	0.00990143	0.727271	0.272729	0.434945	0.187772	0.25	0.00282693	0.247173	0.49886	0.49799	0.049869	0.00262202	0.047247	6.20809e-06	0.999994	0.966614	0.0333864	2.72894e-07	0.951838	0.00314948	0.00200988
94	1	0.0202551	1	0.0100067	0.719111	0.280889	0.434553	0.187386	0.25	0.00283323	0.247167	0.498827	0.49799	0.050312	0.00267514	0.0476369	6.33464e-06	0.999994	0.966292	0.0337077	2.78399e-07	0.951737	0.00318358	0.00201016
95	1	0.0204809	1	0.0101171	0.710734	0.289266	0.434096	0.186937	0.25	0.00284053	0.247159	0.498791	0.49799	0.0507732	0.00273111	0.0480421	6.46803e-06	0.999994	0.96596	0.0340402	2.84205e-07	0.951619	0.00321936	0.00201045
96	1	0.0207178	1	0.0102329	0.702129	0.297871	0.433576	0.186425	0.25	0.00284884	0.247151	0.498754	0.497989	0.0512538	0.00279014	0.0484637	6.60885e-06	0.999993	0.965615	0.0343849	2.90336e-07	0.951485	0.00325696	0.00201076
97	1	0.0209669	1	0.0103546	0.693284	0.306716	0.432992	0.18585	0.25	0.00285818	0.247142	0.498715	0.497989	0.0517552	0.0028525	0.0489027	6.7577e-06	0.999993	0.965257	0.0347427	2.96818e-07	0.951335	0.00329651	0.00201109
98	1	0.0212292	1	0.0104828	0.684187	0.315813	0.432343	0.185211	0.25	0.00286858	0.247131	0.498673	0.497989	0.0522787	0.00291848	0.0493602	6.9153e-06	0.999993	0.964885	0.0351148	3.03682e-07	0.951167	0.00333819	0.00201143
99	1	0.0215057	1	0.0106179	0.674823	0.325177	0.431628	0.184508	0.25	0.00288009	0.24712	0.49863	0.497988	0.052826	0.0029884	0.0498376	7.08242e-06	0.999993	0.964498	0.0355024	3.10963e-07	0.950982	0.00338216	0.00201179
100	1	0.0217978	1	0.0107605	0.665179	0.334821	0.430847	0.18374	0.25	0.00289273	0.247107	0.498584	0.497988	0.0533987	0.00306262	0.0503361	7.25995e-06	0.999993	0.964093	0.0359068	3.18698e-07	0.950778	0.00342864	0.00201217
