Time	[Gd]	[Gt]	[R]	[Rl]	[Rg]	[Rlg]	[Rlgp]	[IP3]	[Pc]	[Pcg]	[P]	[Pg]	[Ca]
63	9990.93	5.30026	10.6927	0.000437199	3.87346	4.36335	0.0300932	0.0201315	8.86118	0.280704	90.5613	0.286857	0.0996028
64	9990.68	5.44695	10.6076	0.000448656	3.84253	4.47759	0.0318614	0.0202773	8.85622	0.288352	90.5506	0.294802	0.0995822
65	9990.43	5.59247	10.5231	0.000460015	3.81186	4.59086	0.0336751	0.0204218	8.85136	0.29593	90.54	0.302682	0.0995614
66	9990.19	5.7368	10.4394	0.000471279	3.78143	4.70316	0.0355339	0.0205652	8.84661	0.303442	90.5295	0.310496	0.0995403
67	9989.95	5.87998	10.3563	0.000482447	3.75125	4.8145	0.0374375	0.0207074	8.84195	0.310887	90.5189	0.318244	0.099519
68	9989.71	6.02199	10.2739	0.00049352	3.72131	4.9249	0.0393854	0.0208484	8.83738	0.318265	90.5084	0.325929	0.0994975
69	9989.47	6.16286	10.1922	0.000504499	3.69161	5.03435	0.0413773	0.0209882	8.8329	0.325578	90.498	0.333549	0.0994757
70	9989.24	6.30258	10.1111	0.000515385	3.66215	5.14287	0.0434128	0.0211269	8.82852	0.332827	90.4875	0.341105	0.0994538
71	9989	6.44116	10.0306	0.000526179	3.63292	5.25046	0.0454915	0.0212644	8.82422	0.340011	90.4772	0.348598	0.0994317
72	9988.77	6.57862	9.95079	0.000536881	3.60393	5.35713	0.047613	0.0214008	8.82001	0.347131	90.4668	0.356028	0.0994095
73	9988.54	6.71496	9.87161	0.000547491	3.57517	5.46289	0.049777	0.0215361	8.81587	0.354189	90.4565	0.363396	0.0993871
74	9988.31	6.85018	9.79306	0.000558012	3.54665	5.56775	0.0519832	0.0216702	8.81182	0.361184	90.4463	0.370701	0.0993646
75	9988.09	6.9843	9.71515	0.000568443	3.51835	5.67171	0.0542311	0.0218033	8.80785	0.368117	90.4361	0.377946	0.0993419
76	9987.86	7.11732	9.63785	0.000578785	3.49028	5.77477	0.0565205	0.0219352	8.80395	0.374989	90.4259	0.385129	0.0993191
77	9987.64	7.24925	9.56117	0.000589039	3.46243	5.87696	0.0588508	0.022066	8.80013	0.381801	90.4158	0.392251	0.0992963
78	9987.42	7.38009	9.4851	0.000599206	3.43481	5.97827	0.0612219	0.0221958	8.79638	0.388552	90.4058	0.399313	0.0992733
79	9987.2	7.50986	9.40964	0.000609286	3.40741	6.07871	0.0636333	0.0223244	8.7927	0.395244	90.3957	0.406316	0.0992502
80	9986.98	7.63856	9.33478	0.00061928	3.38023	6.17829	0.0660848	0.022452	8.78909	0.401877	90.3858	0.413259	0.0992271
81	9986.77	7.76621	9.26052	0.000629188	3.35326	6.27701	0.0685758	0.0225785	8.78555	0.408451	90.3759	0.420143	0.0992039
82	9986.55	7.89279	9.18685	0.000639012	3.32652	6.37489	0.0711062	0.022704	8.78207	0.414968	90.366	0.426969	0.0991806
83	9986.34	8.01833	9.11377	0.000648752	3.29998	6.47192	0.0736756	0.0228284	8.77866	0.421427	90.3562	0.433737	0.0991573
84	9986.13	8.14284	9.04127	0.000658408	3.27366	6.56812	0.0762837	0.0229518	8.7753	0.427829	90.3464	0.440447	0.0991339
85	9985.92	8.26631	8.96935	0.000667982	3.24756	6.66349	0.07893	0.0230741	8.77201	0.434175	90.3367	0.4471	0.0991105
86	9985.72	8.38875	8.89801	0.000677474	3.22166	6.75804	0.0816144	0.0231954	8.76878	0.440465	90.3271	0.453696	0.0990871
87	9985.51	8.51018	8.82723	0.000686884	3.19596	6.85178	0.0843363	0.0233157	8.76561	0.446699	90.3175	0.460236	0.0990637
88	9985.31	8.6306	8.75702	0.000696214	3.17048	6.94471	0.0870957	0.023435	8.76249	0.452879	90.3079	0.46672	0.0990402
89	9985.11	8.75002	8.68737	0.000705463	3.1452	7.03684	0.089892	0.0235533	8.75943	0.459005	90.2984	0.473149	0.0990168
90	9984.91	8.86844	8.61827	0.000714634	3.12012	7.12817	0.092725	0.0236706	8.75643	0.465076	90.289	0.479522	0.0989933
91	9984.71	8.98587	8.54972	0.000723725	3.09524	7.21872	0.0955944	0.0237869	8.75347	0.471094	90.2796	0.485841	0.0989699
92	9984.51	9.10232	8.48173	0.000732738	3.07056	7.30848	0.0984999	0.0239022	8.75057	0.477059	90.2703	0.492106	0.0989464
93	9984.32	9.2178	8.41427	0.000741674	3.04608	7.39746	0.101441	0.0240166	8.74772	0.482972	90.261	0.498316	0.098923
94	9984.12	9.33231	8.34735	0.000750532	3.0218	7.48568	0.104418	0.02413	8.74491	0.488833	90.2518	0.504474	0.0988996
95	9983.93	9.44586	8.28097	0.000759315	2.99771	7.57313	0.10743	0.0242424	8.74216	0.494642	90.2426	0.510578	0.0988762
96	9983.74	9.55846	8.21511	0.000768022	2.97381	7.65983	0.110476	0.0243539	8.73945	0.5004	90.2335	0.51663	0.0988529
97	9983.55	9.67011	8.14978	0.000776653	2.95011	7.74578	0.113557	0.0244644	8.73679	0.506107	90.2245	0.52263	0.0988296
98	9983.36	9.78082	8.08497	0.00078521	2.9266	7.83097	0.116673	0.024574	8.73417	0.511764	90.2155	0.528578	0.0988063
99	9983.18	9.8906	8.02068	0.000793693	2.90327	7.91544	0.119822	0.0246827	8.73159	0.517372	90.2066	0.534474	0.0987831
100	9983	9.99945	7.9569	0.000802103	2.88013	7.99916	0.123005	0.0247904	8.72906	0.52293	90.1977	0.54032	0.0987599
