Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_Ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
11	0.200045	1.11184	68.1359	0.182617	2.88599	6.44607	0.0428999	6.98324	0.947905	10.5146	0.566784	0.478452	0.731437	0.224886	0.179809	0.147093	0.22047
12	0.194682	1.07997	68.1184	0.181352	2.64363	6.44212	0.0398203	6.97897	0.869143	11.0273	0.554837	0.445263	0.673915	0.221615	0.166432	0.140603	0.221963
13	0.190196	1.0534	68.0484	0.180184	2.44505	6.43365	0.037132	6.96979	0.806657	11.5164	0.543062	0.420075	0.624956	0.218311	0.154855	0.134544	0.223282
14	0.186411	1.03106	67.9361	0.179092	2.28215	6.42154	0.0347884	6.95667	0.756891	11.9865	0.531533	0.400703	0.583308	0.215009	0.144846	0.128905	0.224452
15	0.183191	1.01213	67.7896	0.178062	2.14829	6.40648	0.032747	6.94035	0.717079	12.4411	0.520303	0.385595	0.547883	0.211731	0.136199	0.12367	0.225495
16	0.180426	0.995947	67.6156	0.177081	2.03807	6.38905	0.0309701	6.92147	0.685067	12.8831	0.509409	0.373645	0.517746	0.208496	0.128732	0.11882	0.226429
17	0.178029	0.981974	67.4193	0.17614	1.94707	6.36969	0.0294236	6.9005	0.659181	13.3145	0.498874	0.364054	0.492095	0.205319	0.122283	0.114333	0.227268
18	0.175931	0.969797	67.205	0.175231	1.87171	6.34879	0.0280778	6.87786	0.638112	13.7371	0.488714	0.356242	0.470242	0.202209	0.116712	0.110188	0.228023
19	0.174076	0.959077	66.9763	0.174349	1.80907	6.32664	0.0269062	6.85386	0.620839	14.1524	0.478935	0.349785	0.4516	0.199175	0.111896	0.106362	0.228706
20	0.17242	0.949545	66.7359	0.173489	1.75677	6.30349	0.0258855	6.82878	0.606563	14.5615	0.469538	0.344369	0.435672	0.196219	0.10773	0.102834	0.229322
21	0.170925	0.940983	66.4861	0.172647	1.71289	6.27954	0.0249956	6.80283	0.594659	14.9651	0.460521	0.339758	0.422034	0.193347	0.10412	0.0995821	0.22988
22	0.169563	0.933215	66.2289	0.17182	1.67585	6.25495	0.0242185	6.77619	0.584636	15.3641	0.451877	0.335777	0.410326	0.190559	0.100988	0.0965851	0.230384
23	0.168311	0.926098	65.9658	0.171006	1.6444	6.22984	0.023539	6.749	0.576108	15.759	0.443596	0.332292	0.400244	0.187856	0.0982647	0.0938237	0.23084
24	0.167147	0.919517	65.6979	0.170203	1.61748	6.20434	0.0229435	6.72137	0.568771	16.1503	0.43567	0.329199	0.391531	0.185238	0.0958906	0.0912792	0.23125
25	0.166059	0.913378	65.4264	0.169409	1.59426	6.17853	0.0224205	6.69341	0.562384	16.5382	0.428084	0.326419	0.383969	0.182704	0.093815	0.088934	0.23162
26	0.165031	0.907603	65.1521	0.168624	1.57405	6.15249	0.0219598	6.66519	0.556759	16.9232	0.420828	0.32389	0.377376	0.180252	0.0919943	0.0867718	0.23195
27	0.164054	0.902132	64.8756	0.167846	1.55631	6.12626	0.0215527	6.63678	0.551745	17.3054	0.413887	0.321564	0.371598	0.17788	0.0903911	0.0847772	0.232244
28	0.16312	0.896913	64.5976	0.167075	1.54057	6.09991	0.0211917	6.60824	0.547224	17.685	0.407249	0.319402	0.366503	0.175587	0.0889735	0.0829361	0.232504
29	0.162222	0.891904	64.3185	0.16631	1.52648	6.07347	0.0208703	6.57959	0.543099	18.0623	0.4009	0.317375	0.361984	0.17337	0.0877139	0.0812354	0.232732
30	0.161353	0.887072	64.0386	0.165549	1.51373	6.04698	0.020583	6.55089	0.539297	18.4373	0.394825	0.315458	0.357948	0.171227	0.0865892	0.0796629	0.232929
31	0.16051	0.882388	63.7584	0.164794	1.50208	6.02046	0.0203248	6.52216	0.535756	18.8101	0.389014	0.313632	0.354318	0.169155	0.0855793	0.0782075	0.233096
32	0.159688	0.877831	63.4781	0.164043	1.49134	5.99394	0.0200917	6.49343	0.532428	19.1809	0.383452	0.311881	0.351029	0.167152	0.0846672	0.0768589	0.233236
33	0.158884	0.87338	63.1978	0.163297	1.48135	5.96743	0.01988	6.46471	0.529275	19.5497	0.378127	0.310192	0.348028	0.165214	0.0838385	0.0756077	0.233349
34	0.158096	0.869022	62.9177	0.162555	1.47196	5.94095	0.0196869	6.43603	0.526266	19.9165	0.373027	0.308557	0.345267	0.16334	0.0830807	0.0744453	0.233435
35	0.157321	0.864743	62.6381	0.161816	1.46309	5.91452	0.0195095	6.4074	0.523376	20.2815	0.368141	0.306965	0.34271	0.161527	0.0823834	0.0733638	0.233497
36	0.156559	0.860532	62.359	0.161082	1.45463	5.88814	0.0193458	6.37882	0.520584	20.6447	0.363457	0.305411	0.340323	0.159772	0.0817378	0.072356	0.233535
37	0.155806	0.856382	62.0806	0.160351	1.44653	5.86183	0.0191937	6.35031	0.517875	21.006	0.358965	0.303889	0.338081	0.158074	0.0811361	0.0714152	0.23355
38	0.155063	0.852285	61.8028	0.159623	1.43871	5.83558	0.0190517	6.32188	0.515236	21.3656	0.354655	0.302395	0.335961	0.156429	0.080572	0.0705355	0.233542
39	0.154328	0.848235	61.5259	0.158899	1.43114	5.80941	0.0189182	6.29353	0.512655	21.7235	0.350517	0.300924	0.333944	0.154835	0.0800399	0.0697114	0.233512
40	0.153601	0.844228	61.2498	0.158178	1.42378	5.78333	0.0187922	6.26527	0.510124	22.0797	0.346543	0.299475	0.332015	0.153291	0.0795353	0.0689379	0.233461
41	0.15288	0.840259	60.9746	0.157461	1.41659	5.75733	0.0186726	6.23711	0.507636	22.4341	0.342722	0.298043	0.330159	0.151793	0.0790542	0.0682105	0.23339
42	0.152165	0.836325	60.7003	0.156746	1.40955	5.73142	0.0185585	6.20904	0.505185	22.7869	0.339047	0.296629	0.328367	0.150341	0.0785932	0.0675249	0.233298
43	0.151457	0.832424	60.427	0.156035	1.40264	5.7056	0.0184491	6.18107	0.502768	23.1381	0.33551	0.295229	0.326629	0.148932	0.0781495	0.0668775	0.233188
44	0.150753	0.828552	60.1546	0.155327	1.39584	5.67988	0.0183439	6.1532	0.500379	23.4876	0.332104	0.293842	0.324937	0.147564	0.0777208	0.0662648	0.233058
45	0.150054	0.824708	59.8833	0.154623	1.38914	5.65426	0.0182422	6.12544	0.498015	23.8355	0.328821	0.292467	0.323285	0.146235	0.077305	0.0656838	0.232911
46	0.14936	0.820891	59.6131	0.153921	1.38252	5.62873	0.0181435	6.09779	0.495675	24.1818	0.325655	0.291104	0.321667	0.144944	0.0769003	0.0651315	0.232745
47	0.148671	0.817098	59.3439	0.153223	1.37597	5.6033	0.0180476	6.07025	0.493356	24.5264	0.322599	0.289751	0.320079	0.143689	0.0765053	0.0646055	0.232563
48	0.147985	0.81333	59.0757	0.152528	1.36949	5.57798	0.0179541	6.04281	0.491056	24.8695	0.319649	0.288408	0.318518	0.142468	0.0761187	0.0641034	0.232363
49	0.147304	0.809584	58.8086	0.151835	1.36308	5.55276	0.0178626	6.01549	0.488773	25.2111	0.316797	0.287074	0.316979	0.14128	0.0757396	0.063623	0.232148
50	0.146627	0.805859	58.5426	0.151146	1.35671	5.52764	0.0177729	5.98827	0.486508	25.551	0.314038	0.285748	0.315461	0.140124	0.075367	0.0631625	0.231916
51	0.145953	0.802156	58.2778	0.15046	1.3504	5.50262	0.0176848	5.96117	0.484257	25.8894	0.311368	0.284431	0.313961	0.138998	0.0750001	0.0627201	0.231669
52	0.145284	0.798474	58.014	0.149777	1.34414	5.47771	0.0175981	5.93419	0.482022	26.2262	0.308782	0.283121	0.312477	0.1379	0.0746384	0.0622942	0.231406
53	0.144618	0.794812	57.7513	0.149097	1.33792	5.4529	0.0175127	5.90731	0.4798	26.5615	0.306275	0.281819	0.311008	0.13683	0.0742812	0.0618835	0.23113
54	0.143955	0.791169	57.4897	0.14842	1.33174	5.4282	0.0174285	5.88055	0.477592	26.8953	0.303844	0.280525	0.309552	0.135786	0.0739282	0.0614865	0.230838
55	0.143296	0.787545	57.2292	0.147746	1.3256	5.40361	0.0173452	5.85391	0.475396	27.2275	0.301483	0.279238	0.308109	0.134767	0.0735789	0.0611022	0.230533
56	0.14264	0.78394	56.9699	0.147075	1.3195	5.37911	0.0172629	5.82737	0.473213	27.5583	0.29919	0.277957	0.306677	0.133773	0.0732329	0.0607294	0.230215
57	0.141987	0.780353	56.7116	0.146407	1.31344	5.35473	0.0171814	5.80095	0.471043	27.8875	0.29696	0.276684	0.305255	0.132801	0.0728901	0.0603672	0.229883
58	0.141338	0.776785	56.4545	0.145742	1.30741	5.33045	0.0171007	5.77465	0.468883	28.2152	0.294791	0.275417	0.303844	0.131851	0.0725502	0.0600147	0.229539
59	0.140692	0.773234	56.1984	0.14508	1.30141	5.30627	0.0170207	5.74846	0.466735	28.5414	0.292678	0.274156	0.302442	0.130923	0.0722129	0.0596711	0.229182
60	0.14005	0.769701	55.9435	0.144421	1.29544	5.2822	0.0169413	5.72238	0.464599	28.8661	0.29062	0.272902	0.301049	0.130014	0.0718781	0.0593357	0.228813
61	0.13941	0.766185	55.6897	0.143765	1.28951	5.25823	0.0168626	5.69642	0.462473	29.1894	0.288614	0.271655	0.299664	0.129125	0.0715457	0.0590077	0.228433
62	0.138773	0.762687	55.437	0.143112	1.28361	5.23437	0.0167844	5.67057	0.460358	29.5112	0.286656	0.270413	0.298287	0.128254	0.0712154	0.0586867	0.228041
63	0.13814	0.759205	55.1854	0.142462	1.27774	5.21062	0.0167068	5.64483	0.458254	29.8315	0.284745	0.269178	0.296919	0.127401	0.0708873	0.0583721	0.227638
64	0.13751	0.755741	54.935	0.141814	1.2719	5.18696	0.0166297	5.61921	0.45616	30.1503	0.282877	0.267949	0.295558	0.126565	0.0705612	0.0580634	0.227224
65	0.136882	0.752293	54.6856	0.14117	1.26608	5.16342	0.0165531	5.5937	0.454077	30.4677	0.281051	0.266725	0.294204	0.125745	0.070237	0.0577601	0.226799
66	0.136258	0.748862	54.4373	0.140529	1.2603	5.13997	0.016477	5.5683	0.452004	30.7837	0.279264	0.265508	0.292857	0.124941	0.0699147	0.0574618	0.226365
67	0.135637	0.745447	54.1901	0.13989	1.25455	5.11663	0.0164013	5.54302	0.449941	31.0982	0.277515	0.264297	0.291518	0.124152	0.0695942	0.0571683	0.22592
68	0.135019	0.742048	53.944	0.139254	1.24882	5.0934	0.016326	5.51785	0.447888	31.4113	0.275802	0.263091	0.290185	0.123376	0.0692754	0.056879	0.225466
69	0.134403	0.738665	53.6991	0.138621	1.24312	5.07027	0.0162512	5.49279	0.445844	31.7229	0.274122	0.261891	0.288859	0.122615	0.0689584	0.0565938	0.225003
70	0.133791	0.735299	53.4552	0.137991	1.23745	5.04724	0.0161767	5.46784	0.443811	32.0332	0.272475	0.260697	0.28754	0.121867	0.068643	0.0563124	0.22453
71	0.133181	0.731948	53.2124	0.137364	1.2318	5.02431	0.0161027	5.443	0.441787	32.342	0.270859	0.259509	0.286227	0.121132	0.0683292	0.0560345	0.224049
72	0.132574	0.728613	52.9706	0.13674	1.22619	5.00148	0.016029	5.41828	0.439773	32.6494	0.269272	0.258326	0.284921	0.120408	0.068017	0.0557599	0.223559
73	0.13197	0.725294	52.73	0.136118	1.2206	4.97876	0.0159558	5.39366	0.437769	32.9555	0.267712	0.257149	0.283621	0.119696	0.0677064	0.0554884	0.223061
74	0.131369	0.72199	52.4904	0.135499	1.21503	4.95614	0.0158829	5.36915	0.435774	33.2601	0.266179	0.255977	0.282328	0.118996	0.0673973	0.0552198	0.222555
75	0.130771	0.718702	52.2519	0.134883	1.2095	4.93362	0.0158104	5.34476	0.433788	33.5633	0.264671	0.254811	0.28104	0.118306	0.0670898	0.0549539	0.222041
76	0.130175	0.715429	52.0145	0.13427	1.20399	4.9112	0.0157382	5.32047	0.431812	33.8652	0.263188	0.25365	0.279759	0.117627	0.0667838	0.0546906	0.22152
77	0.129583	0.712171	51.7781	0.13366	1.1985	4.88889	0.0156664	5.29629	0.429845	34.1657	0.261727	0.252495	0.278484	0.116957	0.0664792	0.0544298	0.220991
78	0.128993	0.708929	51.5428	0.133052	1.19304	4.86667	0.0155949	5.27223	0.427887	34.4648	0.260288	0.251345	0.277215	0.116298	0.0661761	0.0541713	0.220455
79	0.128406	0.705702	51.3086	0.132447	1.18761	4.84455	0.0155238	5.24827	0.425938	34.7626	0.258871	0.2502	0.275952	0.115647	0.0658745	0.0539149	0.219913
80	0.127821	0.702489	51.0754	0.131845	1.1822	4.82254	0.0154531	5.22441	0.423999	35.059	0.257473	0.249061	0.274695	0.115005	0.0655743	0.0536607	0.219363
81	0.127239	0.699292	50.8433	0.131246	1.17682	4.80062	0.0153826	5.20067	0.422068	35.3541	0.256094	0.247927	0.273444	0.114372	0.0652755	0.0534085	0.218807
82	0.12666	0.696109	50.6122	0.130649	1.17146	4.7788	0.0153125	5.17703	0.420147	35.6478	0.254734	0.246799	0.272198	0.113747	0.0649782	0.0531581	0.218245
83	0.126084	0.692941	50.3822	0.130055	1.16612	4.75708	0.0152428	5.1535	0.418234	35.9402	0.253391	0.245676	0.270959	0.11313	0.0646822	0.0529096	0.217677
84	0.12551	0.689788	50.1532	0.129464	1.16082	4.73545	0.0151733	5.13007	0.416331	36.2312	0.252065	0.244557	0.269725	0.112521	0.0643877	0.0526629	0.217103
85	0.124939	0.68665	49.9252	0.128875	1.15553	4.71393	0.0151042	5.10676	0.414436	36.5209	0.250755	0.243444	0.268497	0.111919	0.0640945	0.0524179	0.216524
86	0.124371	0.683525	49.6982	0.128289	1.15027	4.6925	0.0150355	5.08354	0.41255	36.8094	0.249461	0.242337	0.267275	0.111324	0.0638027	0.0521744	0.215939
87	0.123805	0.680416	49.4723	0.127706	1.14504	4.67117	0.014967	5.06043	0.410672	37.0965	0.248181	0.241234	0.266059	0.110736	0.0635122	0.0519326	0.215349
88	0.123242	0.67732	49.2474	0.127125	1.13983	4.64994	0.0148989	5.03743	0.408804	37.3823	0.246916	0.240136	0.264848	0.110155	0.0632231	0.0516923	0.214753
89	0.122681	0.674239	49.0236	0.126547	1.13464	4.6288	0.0148311	5.01453	0.406944	37.6667	0.245664	0.239044	0.263642	0.10958	0.0629354	0.0514535	0.214153
90	0.122123	0.671172	48.8007	0.125972	1.12948	4.60776	0.0147636	4.99173	0.405092	37.9499	0.244426	0.237956	0.262443	0.109011	0.062649	0.0512161	0.213548
91	0.121568	0.668119	48.5789	0.125399	1.12434	4.58681	0.0146964	4.96904	0.403249	38.2319	0.2432	0.236874	0.261249	0.108448	0.0623639	0.0509801	0.212938
92	0.121015	0.665081	48.358	0.124829	1.11922	4.56596	0.0146295	4.94645	0.401415	38.5125	0.241987	0.235796	0.26006	0.107892	0.0620801	0.0507454	0.212325
93	0.120464	0.662056	48.1382	0.124262	1.11413	4.5452	0.0145629	4.92397	0.399589	38.7918	0.240785	0.234724	0.258877	0.10734	0.0617977	0.0505121	0.211706
94	0.119916	0.659045	47.9193	0.123697	1.10907	4.52454	0.0144967	4.90158	0.397771	39.0699	0.239594	0.233656	0.257699	0.106795	0.0615165	0.0502801	0.211084
95	0.119371	0.656048	47.7015	0.123134	1.10402	4.50397	0.0144307	4.8793	0.395962	39.3468	0.238415	0.232594	0.256527	0.106254	0.0612367	0.0500494	0.210458
96	0.118828	0.653064	47.4846	0.122574	1.099	4.48349	0.0143651	4.85711	0.394161	39.6223	0.237246	0.231536	0.25536	0.105719	0.0609581	0.0498199	0.209828
97	0.118288	0.650095	47.2687	0.122017	1.094	4.46311	0.0142997	4.83503	0.392369	39.8966	0.236088	0.230483	0.254199	0.105188	0.0606808	0.0495917	0.209195
98	0.11775	0.647139	47.0538	0.121462	1.08903	4.44282	0.0142347	4.81305	0.390584	40.1697	0.234939	0.229435	0.253042	0.104663	0.0604048	0.0493646	0.208558
99	0.117215	0.644196	46.8399	0.12091	1.08407	4.42262	0.0141699	4.79117	0.388808	40.4415	0.2338	0.228391	0.251892	0.104142	0.0601301	0.0491388	0.207917
100	0.116682	0.641267	46.627	0.120361	1.07914	4.40251	0.0141055	4.76939	0.38704	40.7121	0.23267	0.227353	0.250746	0.103626	0.0598566	0.048914	0.207274
