Time	[Fungal pathogen]	[Bacterial pathogen]	[LysM]	[PRRs]	[FLS2]	[LRR]	[MAPKKK]	[MAPKKK]	[MAPKKK1]	[MAPKKK18]	[MAPKKK19]	[MAPKKK20]	[EDR1]	[MAPKK]	[MAPKK]	[MAPKK2]	[MAPKK4]	[MAPKK5]	[MAPKK9]	[MAPK]	[MAPK]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1]	[MYB2]	[MYB2]	[WRKY33]	[WRKY33]	[WRKY6]	[WRKY6]	[MYB4]	[MYB4]	[WRKY25]	[WRKY25]	[WRKY12]	[WRKY12]	[WRKY22]	[WRKY22]	[WRKY28]	[WRKY28]	[WRKY29]	[WRKY29]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	[SIMK]	[SAMK]
21	1.13849	1.14088	1.13833	1.13922	1.14109	1.14518	1.14137	1.14137	1.15554	1.14329	1.14542	1.14329	1.14211	1.15179	1.15179	1.16214	1.16305	1.16237	1.15158	1.1641	1.1641	1.16568	1.16735	1.16812	1.16735	1.16822	1.16822	1.1706	1.1706	1.16846	1.16846	1.17014	1.17014	1.16956	1.16956	1.17014	1.17014	1.16956	1.16956	1.16861	1.16861	1.16861	1.16861	1.16861	1.16861	1.17022	1.17022	1.17022	1.17022	1.1705	1.16989	1.16989
22	1.14146	1.14354	1.14132	1.1421	1.14372	1.14729	1.14397	1.14397	1.15631	1.14564	1.1475	1.14564	1.14461	1.15305	1.15305	1.16206	1.16285	1.16226	1.15286	1.16377	1.16377	1.16515	1.1666	1.16728	1.1666	1.16736	1.16736	1.16944	1.16944	1.16757	1.16757	1.16903	1.16903	1.16852	1.16852	1.16903	1.16903	1.16852	1.16852	1.1677	1.1677	1.1677	1.1677	1.1677	1.1677	1.1691	1.1691	1.1691	1.1691	1.16935	1.16881	1.16881
23	1.14404	1.14586	1.14392	1.1446	1.14602	1.14912	1.14623	1.14623	1.15699	1.14769	1.1493	1.14769	1.14679	1.15414	1.15414	1.16199	1.16268	1.16217	1.15398	1.16349	1.16349	1.16468	1.16595	1.16654	1.16595	1.16661	1.16661	1.16842	1.16842	1.16679	1.16679	1.16807	1.16807	1.16762	1.16762	1.16807	1.16807	1.16762	1.16762	1.1669	1.1669	1.1669	1.1669	1.1669	1.1669	1.16813	1.16813	1.16813	1.16813	1.16834	1.16788	1.16788
24	1.1463	1.14788	1.14619	1.14678	1.14802	1.15072	1.1482	1.1482	1.15757	1.14947	1.15088	1.14947	1.14869	1.15509	1.15509	1.16193	1.16254	1.16209	1.15495	1.16323	1.16323	1.16428	1.16538	1.16589	1.16538	1.16596	1.16596	1.16753	1.16753	1.16612	1.16612	1.16723	1.16723	1.16684	1.16684	1.16723	1.16723	1.16684	1.16684	1.16621	1.16621	1.16621	1.16621	1.16621	1.16621	1.16728	1.16728	1.16728	1.16728	1.16747	1.16706	1.16706
25	1.14826	1.14964	1.14817	1.14868	1.14976	1.15211	1.14992	1.14992	1.15808	1.15103	1.15225	1.15103	1.15034	1.15592	1.15592	1.16188	1.16241	1.16202	1.1558	1.16302	1.16302	1.16392	1.16489	1.16533	1.16489	1.16539	1.16539	1.16676	1.16676	1.16553	1.16553	1.1665	1.1665	1.16616	1.16616	1.1665	1.1665	1.16616	1.16616	1.16561	1.16561	1.16561	1.16561	1.16561	1.16561	1.16654	1.16654	1.16654	1.16654	1.1667	1.16635	1.16635
26	1.14997	1.15117	1.14989	1.15034	1.15127	1.15333	1.15141	1.15141	1.15853	1.15238	1.15345	1.15238	1.15179	1.15664	1.15664	1.16184	1.1623	1.16195	1.15654	1.16283	1.16283	1.16362	1.16446	1.16484	1.16446	1.16489	1.16489	1.16609	1.16609	1.16501	1.16501	1.16586	1.16586	1.16556	1.16556	1.16586	1.16586	1.16556	1.16556	1.16509	1.16509	1.16509	1.16509	1.16509	1.16509	1.1659	1.1659	1.1659	1.1659	1.16604	1.16573	1.16573
27	1.15146	1.1525	1.15139	1.15178	1.15259	1.15438	1.15272	1.15272	1.15892	1.15356	1.15449	1.15356	1.15304	1.15727	1.15727	1.1618	1.1622	1.1619	1.15718	1.16266	1.16266	1.16335	1.16408	1.16442	1.16408	1.16446	1.16446	1.1655	1.1655	1.16457	1.16457	1.1653	1.1653	1.16505	1.16505	1.1653	1.1653	1.16505	1.16505	1.16463	1.16463	1.16463	1.16463	1.16463	1.16463	1.16533	1.16533	1.16533	1.16533	1.16546	1.16519	1.16519
28	1.15275	1.15367	1.15269	1.15303	1.15375	1.1553	1.15385	1.15385	1.15925	1.15459	1.1554	1.15459	1.15413	1.15782	1.15782	1.16177	1.16211	1.16185	1.15774	1.16252	1.16252	1.16312	1.16375	1.16405	1.16375	1.16409	1.16409	1.16499	1.16499	1.16418	1.16418	1.16482	1.16482	1.16459	1.16459	1.16482	1.16482	1.16459	1.16459	1.16423	1.16423	1.16423	1.16423	1.16423	1.16423	1.16485	1.16485	1.16485	1.16485	1.16495	1.16472	1.16472
29	1.15388	1.15468	1.15383	1.15413	1.15475	1.15611	1.15484	1.15484	1.15955	1.15548	1.15619	1.15548	1.15509	1.1583	1.1583	1.16174	1.16204	1.16181	1.15823	1.16239	1.16239	1.16291	1.16347	1.16373	1.16347	1.16376	1.16376	1.16455	1.16455	1.16384	1.16384	1.16439	1.16439	1.1642	1.1642	1.16439	1.16439	1.1642	1.1642	1.16389	1.16389	1.16389	1.16389	1.16389	1.16389	1.16442	1.16442	1.16442	1.16442	1.16452	1.16431	1.16431
30	1.15487	1.15556	1.15482	1.15508	1.15562	1.15681	1.1557	1.1557	1.1598	1.15626	1.15688	1.15626	1.15592	1.15872	1.15872	1.16171	1.16198	1.16178	1.15866	1.16228	1.16228	1.16274	1.16322	1.16344	1.16322	1.16347	1.16347	1.16416	1.16416	1.16354	1.16354	1.16403	1.16403	1.16386	1.16386	1.16403	1.16403	1.16386	1.16386	1.16358	1.16358	1.16358	1.16358	1.16358	1.16358	1.16405	1.16405	1.16405	1.16405	1.16413	1.16395	1.16395
