Time	[_2PGA_c]	[ATP_g]	[ATP_c]	[Pyr_c]	[DHAP_c]	[Pyr_e]	[Gly3P_c]	[DHAP_g]	[NAD_g]	[Glc6P_g]	[Fru16BP_g]	[ADP_c]	[_3PGA_c]	[Gly_g]	[Fru6P_g]	[Gly_e]	[_3PGA_g]	[Gly_c]	[Pi_g]	[AMP_c]	[O2_c]	[GA3P_g]	[Gly3P_g]	[ADP_g]	[PEP_c]	[AMP_g]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[NADH_g]
10	0.0043484	5.99887	0.00175829	0.00685037	4.99639	0	0.00360529	2.97354	3.99913	0.00109754	4.31727	0.122733	0.0240557	2.18083e-07	0.000297371	0	6.70936	2.2935e-11	0	3.77551	1	0.133724	1.44314	0.00113317	0.0286292	9.46112e-08	19.8148	4.90515	5	1.82405e-05	0.000871994
11	0.00434117	5.99888	0.00168867	0.00681057	4.99649	0	0.00351158	2.94216	3.99915	0.00108728	4.22618	0.120232	0.0240137	2.08707e-07	0.000294287	0	6.69555	2.19488e-11	0	3.77808	1	0.132315	1.3924	0.00112396	0.0285834	9.30801e-08	20.0805	4.90614	5	1.82442e-05	0.000850856
12	0.00433883	5.99888	0.00165584	0.00679528	4.99656	0	0.00344036	2.91749	3.99917	0.00107927	4.15524	0.119031	0.0239999	2.01779e-07	0.00029188	0	6.69086	2.12201e-11	0	3.77931	1	0.131207	1.35398	0.0011175	0.0285688	9.20118e-08	20.2866	4.90663	5	1.8246e-05	0.000834771
13	0.00433825	5.99889	0.00164096	0.00679005	4.99661	0	0.00338578	2.89809	3.99918	0.001073	4.09989	0.11848	0.0239964	1.96564e-07	0.00029	0	6.68954	2.06716e-11	0	3.77988	1	0.130336	1.32461	0.00111275	0.0285653	9.12312e-08	20.4469	4.90687	5	1.82469e-05	0.000822435
14	0.00433821	5.99889	0.00163452	0.00678859	4.99666	0	0.00334371	2.88283	3.99919	0.0010681	4.05663	0.118241	0.0239961	1.9259e-07	0.00028853	0	6.68934	2.02536e-11	0	3.78012	1	0.129651	1.30203	0.00110916	0.0285651	9.06437e-08	20.572	4.90699	5	1.82473e-05	0.00081292
15	0.00433829	5.99889	0.00163188	0.00678835	4.99669	0	0.00331114	2.87083	3.99919	0.00106427	4.02277	0.118142	0.0239965	1.89536e-07	0.000287381	0	6.68943	1.99325e-11	0	3.78023	1	0.129112	1.28458	0.0011064	0.0285656	9.01939e-08	20.6697	4.90705	5	1.82475e-05	0.000805549
16	0.00433836	5.9989	0.00163086	0.00678845	4.99671	0	0.00328583	2.8614	3.9992	0.00106127	3.99625	0.118103	0.0239969	1.87176e-07	0.000286481	0	6.68954	1.96843e-11	0	3.78027	1	0.128688	1.27104	0.00110427	0.0285661	8.9846e-08	20.7461	4.90707	5	1.82476e-05	0.00079982
17	0.00433841	5.9989	0.0016305	0.00678858	4.99673	0	0.00326612	2.85398	3.9992	0.00105892	3.97547	0.11809	0.0239972	1.85346e-07	0.000285776	0	6.68963	1.94918e-11	0	3.78028	1	0.128355	1.26051	0.0011026	0.0285665	8.95756e-08	20.806	4.90709	5	1.82477e-05	0.000795357
18	0.00433844	5.9989	0.00163039	0.00678867	4.99675	0	0.00325074	2.84815	3.99921	0.00105708	3.95916	0.118086	0.0239974	1.83922e-07	0.000285223	0	6.68968	1.9342e-11	0	3.78028	1	0.128093	1.2523	0.00110131	0.0285666	8.93648e-08	20.8529	4.9071	5	1.82477e-05	0.000791873
19	0.00433846	5.9989	0.00163037	0.00678872	4.99676	0	0.00323871	2.84357	3.99921	0.00105563	3.94637	0.118085	0.0239975	1.82811e-07	0.00028479	0	6.6897	1.92251e-11	0	3.78028	1	0.127887	1.24589	0.00110029	0.0285667	8.92001e-08	20.8897	4.9071	5	1.82477e-05	0.000789149
20	0.00433847	5.9989	0.00163037	0.00678876	4.99677	0	0.0032293	2.83996	3.99921	0.0010545	3.93633	0.118085	0.0239975	1.81944e-07	0.00028445	0	6.68972	1.91339e-11	0	3.78028	1	0.127725	1.24087	0.0010995	0.0285668	8.90713e-08	20.9185	4.9071	5	1.82477e-05	0.000787017
21	0.00433847	5.9989	0.00163037	0.00678877	4.99678	0	0.00322193	2.83713	3.99921	0.00105361	3.92845	0.118085	0.0239975	1.81265e-07	0.000284183	0	6.68972	1.90625e-11	0	3.78028	1	0.127598	1.23694	0.00109887	0.0285668	8.89704e-08	20.9412	4.9071	5	1.82477e-05	0.000785348
22	0.00433847	5.9989	0.00163038	0.00678878	4.99678	0	0.00321616	2.8349	3.99922	0.00105291	3.92226	0.118085	0.0239975	1.80734e-07	0.000283974	0	6.68973	1.90066e-11	0	3.78028	1	0.127498	1.23387	0.00109839	0.0285668	8.88914e-08	20.959	4.9071	5	1.82477e-05	0.000784039
23	0.00433847	5.9989	0.00163038	0.00678878	4.99679	0	0.00321163	2.83316	3.99922	0.00105236	3.91739	0.118085	0.0239975	1.80318e-07	0.00028381	0	6.68973	1.89629e-11	0	3.78028	1	0.127419	1.23145	0.001098	0.0285668	8.88295e-08	20.9729	4.9071	5	1.82477e-05	0.000783012
24	0.00433847	5.9989	0.00163039	0.00678878	4.99679	0	0.00320807	2.83178	3.99922	0.00105193	3.91357	0.118085	0.0239975	1.79991e-07	0.000283681	0	6.68973	1.89285e-11	0	3.78028	1	0.127358	1.22956	0.0010977	0.0285668	8.87809e-08	20.9839	4.9071	5	1.82477e-05	0.000782206
25	0.00433847	5.9989	0.00163039	0.00678878	4.99679	0	0.00320528	2.8307	3.99922	0.00105159	3.91058	0.118085	0.0239975	1.79735e-07	0.000283579	0	6.68973	1.89016e-11	0	3.78028	1	0.127309	1.22808	0.00109747	0.0285668	8.87428e-08	20.9925	4.9071	5	1.82477e-05	0.000781574
26	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00320309	2.82985	3.99922	0.00105133	3.90822	0.118085	0.0239975	1.79534e-07	0.000283499	0	6.68973	1.88805e-11	0	3.78028	1	0.127271	1.22691	0.00109728	0.0285668	8.87128e-08	20.9993	4.9071	5	1.82477e-05	0.000781078
27	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00320137	2.82918	3.99922	0.00105112	3.90637	0.118085	0.0239975	1.79377e-07	0.000283437	0	6.68973	1.88639e-11	0	3.78028	1	0.127241	1.22599	0.00109714	0.0285668	8.86894e-08	21.0046	4.9071	5	1.82477e-05	0.000780688
28	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00320002	2.82866	3.99922	0.00105095	3.90491	0.118085	0.0239975	1.79253e-07	0.000283388	0	6.68973	1.88509e-11	0	3.78028	1	0.127217	1.22528	0.00109702	0.0285668	8.86709e-08	21.0088	4.9071	5	1.82477e-05	0.000780382
29	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319896	2.82825	3.99922	0.00105082	3.90377	0.118085	0.0239975	1.79156e-07	0.000283349	0	6.68973	1.88407e-11	0	3.78028	1	0.127199	1.22471	0.00109693	0.0285668	8.86564e-08	21.0121	4.9071	5	1.82477e-05	0.000780141
30	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319813	2.82792	3.99922	0.00105072	3.90287	0.118085	0.0239975	1.79079e-07	0.000283319	0	6.68973	1.88326e-11	0	3.78028	1	0.127184	1.22427	0.00109686	0.0285668	8.86451e-08	21.0146	4.9071	5	1.82477e-05	0.000779953
31	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319747	2.82767	3.99922	0.00105064	3.90217	0.118085	0.0239975	1.7902e-07	0.000283295	0	6.68973	1.88263e-11	0	3.78028	1	0.127173	1.22392	0.00109681	0.0285668	8.86361e-08	21.0167	4.9071	5	1.82477e-05	0.000779804
32	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319696	2.82747	3.99922	0.00105058	3.90161	0.118085	0.0239975	1.78972e-07	0.000283276	0	6.68973	1.88214e-11	0	3.78028	1	0.127164	1.22365	0.00109676	0.0285668	8.86291e-08	21.0183	4.9071	5	1.82477e-05	0.000779688
33	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319655	2.82731	3.99922	0.00105053	3.90118	0.118085	0.0239975	1.78935e-07	0.000283262	0	6.68973	1.88175e-11	0	3.78028	1	0.127157	1.22343	0.00109673	0.0285668	8.86236e-08	21.0195	4.9071	5	1.82477e-05	0.000779596
34	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319624	2.82719	3.99922	0.00105049	3.90083	0.118085	0.0239975	1.78906e-07	0.00028325	0	6.68973	1.88144e-11	0	3.78028	1	0.127151	1.22326	0.0010967	0.0285668	8.86193e-08	21.0205	4.9071	5	1.82477e-05	0.000779524
35	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319599	2.82709	3.99922	0.00105046	3.90057	0.118085	0.0239975	1.78884e-07	0.000283241	0	6.68973	1.8812e-11	0	3.78028	1	0.127147	1.22313	0.00109668	0.0285668	8.86159e-08	21.0213	4.9071	5	1.82477e-05	0.000779468
36	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319579	2.82702	3.99922	0.00105044	3.90036	0.118085	0.0239975	1.78866e-07	0.000283234	0	6.68973	1.88101e-11	0	3.78028	1	0.127144	1.22303	0.00109667	0.0285668	8.86132e-08	21.0219	4.9071	5	1.82477e-05	0.000779424
37	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319564	2.82696	3.99922	0.00105042	3.90019	0.118085	0.0239975	1.78852e-07	0.000283228	0	6.68973	1.88087e-11	0	3.78028	1	0.127141	1.22295	0.00109665	0.0285668	8.86111e-08	21.0223	4.9071	5	1.82477e-05	0.000779389
38	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319552	2.82691	3.99922	0.00105041	3.90006	0.118085	0.0239975	1.78841e-07	0.000283224	0	6.68973	1.88075e-11	0	3.78028	1	0.127139	1.22288	0.00109664	0.0285668	8.86095e-08	21.0227	4.9071	5	1.82477e-05	0.000779361
39	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319542	2.82687	3.99922	0.00105039	3.89996	0.118085	0.0239975	1.78832e-07	0.00028322	0	6.68973	1.88066e-11	0	3.78028	1	0.127137	1.22283	0.00109663	0.0285668	8.86082e-08	21.023	4.9071	5	1.82477e-05	0.00077934
40	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319535	2.82684	3.99922	0.00105039	3.89988	0.118085	0.0239975	1.78825e-07	0.000283218	0	6.68973	1.88059e-11	0	3.78028	1	0.127136	1.22279	0.00109663	0.0285668	8.86071e-08	21.0232	4.9071	5	1.82477e-05	0.000779323
41	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319529	2.82682	3.99922	0.00105038	3.89981	0.118085	0.0239975	1.7882e-07	0.000283216	0	6.68973	1.88053e-11	0	3.78028	1	0.127135	1.22276	0.00109662	0.0285668	8.86064e-08	21.0234	4.9071	5	1.82477e-05	0.00077931
42	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319524	2.8268	3.99922	0.00105037	3.89977	0.118085	0.0239975	1.78816e-07	0.000283214	0	6.68973	1.88049e-11	0	3.78028	1	0.127134	1.22274	0.00109662	0.0285668	8.86057e-08	21.0236	4.9071	5	1.82477e-05	0.0007793
43	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319521	2.82679	3.99922	0.00105037	3.89973	0.118085	0.0239975	1.78812e-07	0.000283213	0	6.68973	1.88045e-11	0	3.78028	1	0.127133	1.22272	0.00109662	0.0285668	8.86052e-08	21.0237	4.9071	5	1.82477e-05	0.000779291
44	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319518	2.82678	3.99922	0.00105037	3.8997	0.118085	0.0239975	1.7881e-07	0.000283212	0	6.68973	1.88043e-11	0	3.78028	1	0.127133	1.2227	0.00109661	0.0285668	8.86049e-08	21.0238	4.9071	5	1.82477e-05	0.000779285
45	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319516	2.82677	3.99922	0.00105036	3.89967	0.118085	0.0239975	1.78808e-07	0.000283211	0	6.68973	1.8804e-11	0	3.78028	1	0.127133	1.22269	0.00109661	0.0285668	8.86046e-08	21.0238	4.9071	5	1.82477e-05	0.00077928
46	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319514	2.82676	3.99922	0.00105036	3.89965	0.118085	0.0239975	1.78806e-07	0.00028321	0	6.68973	1.88039e-11	0	3.78028	1	0.127132	1.22268	0.00109661	0.0285668	8.86043e-08	21.0239	4.9071	5	1.82477e-05	0.000779276
47	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319513	2.82676	3.99922	0.00105036	3.89964	0.118085	0.0239975	1.78805e-07	0.00028321	0	6.68973	1.88037e-11	0	3.78028	1	0.127132	1.22267	0.00109661	0.0285668	8.86041e-08	21.0239	4.9071	5	1.82477e-05	0.000779273
48	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319511	2.82675	3.99922	0.00105036	3.89963	0.118085	0.0239975	1.78804e-07	0.000283209	0	6.68973	1.88036e-11	0	3.78028	1	0.127132	1.22267	0.00109661	0.0285668	8.8604e-08	21.024	4.9071	5	1.82477e-05	0.00077927
49	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319511	2.82675	3.99922	0.00105036	3.89962	0.118085	0.0239975	1.78803e-07	0.000283209	0	6.68973	1.88035e-11	0	3.78028	1	0.127132	1.22266	0.00109661	0.0285668	8.86039e-08	21.024	4.9071	5	1.82477e-05	0.000779268
50	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.0031951	2.82675	3.99922	0.00105036	3.89961	0.118085	0.0239975	1.78802e-07	0.000283209	0	6.68973	1.88035e-11	0	3.78028	1	0.127131	1.22266	0.00109661	0.0285668	8.86038e-08	21.024	4.9071	5	1.82477e-05	0.000779267
51	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319509	2.82674	3.99922	0.00105036	3.8996	0.118085	0.0239975	1.78802e-07	0.000283208	0	6.68973	1.88034e-11	0	3.78028	1	0.127131	1.22266	0.00109661	0.0285668	8.86037e-08	21.024	4.9071	5	1.82477e-05	0.000779265
52	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319509	2.82674	3.99922	0.00105035	3.8996	0.118085	0.0239975	1.78801e-07	0.000283208	0	6.68973	1.88034e-11	0	3.78028	1	0.127131	1.22265	0.00109661	0.0285668	8.86036e-08	21.024	4.9071	5	1.82477e-05	0.000779265
53	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319509	2.82674	3.99922	0.00105035	3.8996	0.118085	0.0239975	1.78801e-07	0.000283208	0	6.68973	1.88034e-11	0	3.78028	1	0.127131	1.22265	0.00109661	0.0285668	8.86036e-08	21.024	4.9071	5	1.82477e-05	0.000779264
54	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89959	0.118085	0.0239975	1.78801e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.00109661	0.0285668	8.86035e-08	21.0241	4.9071	5	1.82477e-05	0.000779263
55	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89959	0.118085	0.0239975	1.78801e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.00109661	0.0285668	8.86035e-08	21.0241	4.9071	5	1.82477e-05	0.000779263
56	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89959	0.118085	0.0239975	1.78801e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.00109661	0.0285668	8.86035e-08	21.0241	4.9071	5	1.82477e-05	0.000779262
57	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89959	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86035e-08	21.0241	4.9071	5	1.82477e-05	0.000779262
58	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89959	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86035e-08	21.0241	4.9071	5	1.82477e-05	0.000779262
59	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89959	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86035e-08	21.0241	4.9071	5	1.82477e-05	0.000779262
60	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
61	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
62	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88033e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
63	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319508	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
64	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
65	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
66	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
67	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
68	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
69	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
70	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
71	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
72	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
73	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
74	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
75	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
76	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
77	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
78	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
79	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
80	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
81	0.00433847	5.9989	0.00163039	0.00678878	4.9968	0	0.00319507	2.82674	3.99922	0.00105035	3.89958	0.118085	0.0239975	1.788e-07	0.000283208	0	6.68973	1.88032e-11	0	3.78028	1	0.127131	1.22265	0.0010966	0.0285668	8.86034e-08	21.0241	4.9071	5	1.82477e-05	0.000779261
