Time	[EGF]	[HRG]	[A1]	[A1_2]	[A2]	[A2_2]	[A3]	[A3_2]	[DUSPmRNA]	[ERK_c]	[pERK_c]	[ppERK_c]	[F]	[c_FOS_c]	[pc_FOS_c]	[c_FOSmRNA]	[FmRNA]	[Kin]	[Kin_2]	[pMEK]	[MEK]	[DUSP_c]	[pDUSP_c]	[RSK_c]	[pRSK_c]	[RsD]	[RsT]	[CREB_n]	[pCREB_n]	[ERK_n]	[pERK_n]	[ppERK_n]	[Elk1_n]	[pElk1_n]	[FOSn]	[FOSn_2]	[Fn]	[DUSP_n]	[pDUSP_n]	[pDUSP_n_ERK_n]	[pDUSP_n_pERK_n]	[pDUSP_n_ppERK_n]	[DUSP_n_ERK_n]	[DUSP_n_pERK_n]	[DUSP_n_ppERK_n]	[PreDUSPmRNA]	[PreFOSmRNA]	[PreFmRNA]	[pRSK_n]
20	0	10	182.352	0	24.101	1.28604	13.0444	0.0482	6.33002e-27	567.018	3.39878	0.00591045	2.64406e-94	4.73096e-33	1.06953e-39	1.22882e-28	2.35702e-91	82.2298	0.43596	3.27313	634.048	-1.34483e-20	3.97519e-22	353	3.38719e-06	241.245	6.15896	1000	1.38035e-05	1624.67	0.212985	0.000287581	1510	7.97193e-06	6.61009e-33	8.42828e-40	8.16323e-96	2.06831e-20	-4.61009e-22	8.29094e-22	4.71159e-23	5.40636e-28	5.60869e-20	-1.4259e-25	4.24203e-29	2.84625e-22	2.30829e-25	7.08541e-87	8.18989e-07
21	0	10	182.352	0	24.0392	1.34786	13.042	0.0506004	2.30648e-26	566.508	3.90738	0.00783054	3.82364e-93	2.03629e-32	6.16532e-39	5.0692e-28	3.65937e-90	82.208	0.4577	3.59689	633.724	-1.18974e-20	-5.5293e-22	353	4.49341e-06	240.95	6.45371	1000	1.94617e-05	1624.63	0.247544	0.000387567	1510	1.08917e-05	2.99422e-32	5.0631e-39	1.18356e-94	1.77479e-20	1.77209e-21	-1.31897e-21	-4.18681e-23	1.42686e-28	5.62085e-20	9.38159e-23	6.12321e-28	9.83384e-22	9.00576e-25	1.31328e-85	1.12765e-06
22	0	10	182.352	0	23.9776	1.40945	13.0396	0.0529999	7.86338e-26	565.951	4.46129	0.0102335	3.56744e-92	8.09964e-32	3.18218e-38	1.93725e-27	3.06058e-89	82.1863	0.479434	3.93466	633.387	-1.18356e-20	-3.42614e-24	353	5.87929e-06	240.657	6.74695	1000	2.69589e-05	1624.59	0.28553	0.00051461	1510	1.46446e-05	1.24974e-31	2.71723e-38	1.20981e-93	1.88066e-20	1.68245e-23	3.7817e-22	5.52854e-24	-2.11324e-28	5.2587e-20	5.27311e-23	1.17721e-27	3.18729e-21	3.26452e-24	1.06161e-84	1.52807e-06
23	0	10	182.352	0	23.9162	1.47081	13.0372	0.0553985	2.52567e-25	565.348	5.06186	0.0132084	3.10917e-91	3.00301e-31	1.52473e-37	6.91979e-27	2.529e-88	82.1646	0.501163	4.28629	633.035	-1.12389e-20	-2.80337e-24	353	7.59662e-06	240.365	7.03864	1000	3.67498e-05	1624.55	0.327081	0.000674136	1510	1.9407e-05	4.84924e-31	1.34192e-37	1.09173e-92	1.79084e-20	2.5858e-22	1.31042e-22	4.20343e-24	5.44674e-28	5.09792e-20	6.01746e-23	6.82055e-28	9.76334e-21	1.11023e-23	7.40882e-84	2.04083e-06
24	0	10	182.352	0	23.8551	1.53194	13.0348	0.0577962	7.7015e-25	564.696	5.71037	0.0168547	1.90248e-90	1.04879e-30	6.85072e-37	2.33314e-26	1.26375e-87	82.1429	0.522885	4.65161	632.67	-1.06868e-20	1.54282e-24	353	9.70345e-06	240.075	7.32878	1000	4.93679e-05	1624.5	0.372334	0.000872306	1510	2.53806e-05	1.76866e-30	6.22528e-37	7.58473e-92	1.77198e-20	-1.85136e-22	5.89614e-22	-1.89747e-23	-1.12894e-27	4.87487e-20	8.96278e-23	2.65165e-27	2.84533e-20	3.57151e-23	2.81114e-83	2.68971e-06
25	0	10	182.352	0	23.7942	1.59285	13.0324	0.060193	2.2457e-24	563.994	6.40801	0.0212836	7.35364e-90	3.4856e-30	2.90793e-36	7.48976e-26	3.56895e-87	82.1211	0.544603	5.03043	632.291	-1.0154e-20	-4.31101e-25	353	1.22645e-05	239.786	7.61733	1000	6.54343e-05	1624.45	0.421426	0.00111608	1510	3.27946e-05	6.13347e-30	2.73344e-36	3.55477e-91	1.67216e-20	2.11731e-22	1.54441e-22	1.28761e-23	3.492e-28	4.74803e-20	6.45301e-23	1.54348e-27	7.93153e-20	1.09332e-22	4.60735e-83	3.50198e-06
26	0	10	182.352	0	23.7335	1.65353	13.03	0.0625889	6.24676e-24	563.241	7.15589	0.0266181	3.37141e-89	1.09533e-29	1.13399e-35	2.27747e-25	2.23468e-86	82.0994	0.566314	5.4226	631.899	-9.63641e-21	1.10106e-25	353	1.53515e-05	239.499	7.9043	1000	8.56655e-05	1624.4	0.47449	0.00141325	1510	4.19077e-05	2.00674e-29	1.10227e-35	1.54875e-90	1.62427e-20	1.11227e-22	2.64942e-22	-4.25347e-24	5.23161e-29	4.57392e-20	8.83334e-23	2.26151e-27	2.11348e-19	3.17794e-22	7.08646e-82	4.50867e-06
27	0	10	182.352	0	23.673	1.71398	13.0276	0.0649839	1.66294e-23	562.436	7.95506	0.0329937	2.67202e-88	3.26618e-29	4.15949e-35	6.58645e-25	2.07596e-85	82.0777	0.58802	5.82795	631.493	-9.13754e-21	-6.19077e-27	353	1.90436e-05	239.214	8.18965	1000	0.000110882	1624.34	0.531657	0.00177255	1510	5.30104e-05	6.21562e-29	4.1487e-35	1.02947e-89	1.57348e-20	6.43352e-23	3.04279e-22	-3.57011e-24	-3.03131e-28	4.41372e-20	9.46114e-23	3.1062e-27	5.40432e-19	8.81459e-22	6.15955e-81	5.7449e-06
28	0	10	182.352	0	23.6128	1.7742	13.0252	0.067378	4.25731e-23	561.577	8.80646	0.040559	1.64801e-87	9.30169e-29	1.45607e-34	1.82296e-24	1.08791e-84	82.056	0.60972	6.2463	631.075	-8.66324e-21	6.79418e-28	353	2.34276e-05	238.93	8.47338	1000	0.000142018	1624.28	0.593061	0.00220365	1510	6.64268e-05	1.83461e-28	1.48711e-34	6.74152e-89	1.51699e-20	9.82502e-23	2.56585e-22	3.5933e-24	2.09521e-28	4.26876e-20	9.46019e-23	3.16309e-27	1.33199e-18	2.34577e-21	2.46431e-80	7.25011e-06
29	0	10	182.352	0	23.5528	1.83421	13.0228	0.0697712	1.05513e-22	560.664	9.71098	0.0494766	7.22889e-87	2.55557e-28	4.92382e-34	4.87139e-24	3.96281e-84	82.0343	0.631414	6.67749	630.644	-8.21068e-21	1.20699e-27	353	2.85983e-05	238.648	8.75548	1000	0.000180128	1624.21	0.658831	0.00271728	1510	8.25171e-05	5.21959e-28	5.16174e-34	3.36356e-88	1.46716e-20	8.75261e-23	2.68295e-22	-4.00837e-24	-1.42499e-28	4.12416e-20	1.09423e-22	4.16199e-27	3.18088e-18	6.03044e-21	7.35675e-80	9.0684e-06
