Time	[IL6]	[IFN]	[(IL6-gp80-gp130-JAK)2*-STAT1C-STAT3C]	[(IL6-gp80-gp130-JAK)2*-STAT1C]	[(IFN-R-JAK)2*-STAT3C]	[(IFN-R-JAK)2*-STAT3C*]	[STAT1C*-STAT3C*]	[STAT1N*-STAT3N*]	[PP2-STAT1N*-STAT3N*]	[PP1-STAT1C*-STAT3C*]	[gp80]	[IL6-gp80]	[gp130]	[JAK(IFN)]	[gp130-JAK]	[IL6-gp80-gp130-JAK]	[(IL6-gp80-gp130-JAK)2]	[(IL6-gp80-gp130-JAK)2*]	[(IL6-gp80-gp130-JAK)2*-STAT3C]	[STAT3C]	[STAT3C*]	[(IL6-gp80-gp130-JAK)2*-STAT3C*]	[(STAT3C*)2]	[(IL6-gp80-gp130-JAK)2*-SOCS3]	[(IL6-gp80-gp130-JAK)2*-SHP2]	[STAT3C-STAT3C*]	[SOCS3]	[PP1]	[PP1-STAT3C*]	[PP1-(STAT3C*)2]	[mRNA-SOCS3C]	[Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2]	[SOS]	[SHP2*-Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS]	[Ras-GDP]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GDP]	[Ras-GTP]	[Raf]	[Raf-Ras-GTP]	[Ras-GTP*]	[Raf*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GTP]	[SHP2*-Grb2-SOS]	[Grb2-SOS]	[SHP2*]	[Phosp1]	[Raf*-Phosp1]	[MEK]	[MEK-Raf*]	[MEK-P]	[MEK-P-Raf*]	[MEK-PP]	[MEK-PP-Phosp2]	[Phosp2]	[MEK-P-Phosp2]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-P-MEK-PP]	[ERK-PP]	[Phosp3]	[ERK-PP-Phosp3]	[ERK-P-Phosp3]	[CEBPi]	[CEBP]	[CEBPn]	[R-JAK]	[IFN-R-JAK]	[(IFN-R-JAK)2]	[(IFN-R-JAK)2*]	[(IFN-R-JAK)2*-STAT1C]	[STAT1C]	[STAT1C*]	[(IFN-R-JAK)2*-STAT1C*]	[(STAT1C*)2]	[(IFN-R-JAK)2*-SHP2]	[PP1-STAT1C*]	[STAT1C-STAT1C*]	[mRNA-SOCS1C]	[SOCS1]	[(IFN-R-JAK)2*-SOCS1]	[PP1-(STAT1C*)2]	[(IFN-R-JAK)2*-STAT1C-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2]	[R]	[SHP2]	[STAT3*]	[STAT1*]	[(IL6-gp80-gp130-JAK)2*-STAT1]	[(IL6-gp80-gp130-JAK)2*-STAT1*]	[JAK(IL-6)]	[(IFN-R-JAK)2*-STAT1C-STAT3C]	[(STAT1N*)2]	[PP2-STAT1N*]	[STAT1N*]	[STAT1N]	[mRNA-SOCS1N]	[PP2-(STAT1N*)2]	[STAT1N-STAT1N*]	[(STAT3N*)2]	[PP2]	[PP2-(STAT3N*)2]	[STAT3N*]	[PP2-STAT3N*]	[STAT3N]	[STAT3N-STAT3N*]	[mRNA-SOCS3N]
10	0	0.1	0	0	1.54988e-06	3.58527e-14	9.57302e-13	3.47864e-15	1.36598e-16	3.36382e-14	8	0	0.8	2.22371	5.37207	0	0	0	0	1000	3.95437e-06	0	2.4506e-13	0	0	9.87179e-10	1.65872e-25	50	2.45968e-07	8.56479e-15	2.56783e-23	53.2887	0	0	2.28871	0	0	19000	0	0	67	0	0	0	0	0	31.7113	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.61837	0.153888	0.00198974	2.61076e-06	1.15355e-05	1000	1.53597e-05	1.3997e-13	3.73974e-12	4.12231e-07	9.64637e-07	3.87164e-09	1.43968e-22	9.39625e-25	6.27499e-33	1.32124e-13	1.73397e-32	7.51934e-34	1.70105e-37	2.22371	100	4.20133e-06	1.63283e-05	0	0	6.62793	9.32723e-06	1.07112e-14	3.03585e-16	8.14499e-15	1.37421e-18	2.04581e-19	4.28867e-16	1.34522e-18	8.8553e-16	60	3.45883e-17	3.782e-16	1.38331e-17	2.871e-19	1.06004e-19	3.69041e-20
11	0	0.1	0	0	2.24088e-06	8.71328e-14	2.7642e-12	1.1077e-14	4.77946e-16	1.06694e-13	8	0	0.8	2.21266	5.61741	0	0	0	0	1000	6.41836e-06	0	7.12273e-13	0	0	1.742e-09	7.20089e-25	50	4.3391e-07	2.73573e-14	1.00232e-22	52.8452	0	0	1.84524	0	0	19000	0	0	67	0	0	0	0	0	32.1548	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.61341	0.168719	0.00256601	3.63705e-06	1.666e-05	1000	2.47789e-05	3.37914e-13	1.07277e-11	6.1908e-07	1.6898e-06	6.78418e-09	5.53245e-22	4.01722e-24	3.91842e-32	4.16132e-13	1.16475e-31	5.56072e-33	1.39731e-36	2.21266	100	6.85402e-06	2.64755e-05	0	0	6.38259	1.36359e-05	3.31254e-14	1.14828e-15	2.80254e-14	5.69044e-18	7.05771e-19	1.45828e-15	5.03347e-18	2.83964e-15	60	1.21928e-16	1.34092e-15	5.3895e-17	1.13996e-18	4.11137e-19	1.29373e-19
12	0	0.1	0	0	3.11764e-06	1.93338e-13	7.17326e-12	3.1412e-14	1.47573e-15	3.01354e-13	8	0	0.8	2.20528	5.83284	0	0	0	0	1000	9.9168e-06	0	1.85858e-12	0	0	2.89981e-09	2.71099e-24	50	7.22093e-07	7.77268e-14	3.42375e-22	52.4991	0	0	1.49909	0	0	19000	0	0	67	0	0	0	0	0	32.5009	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.60509	0.183094	0.00321372	4.90116e-06	2.31552e-05	1000	3.80905e-05	7.4564e-13	2.76863e-11	8.91769e-07	2.79558e-06	1.1227e-08	1.86238e-21	1.49101e-23	2.04763e-31	1.16844e-12	6.49279e-31	3.38274e-32	9.35966e-36	2.20528	100	1.06418e-05	4.08974e-05	0	0	6.16716	1.91453e-05	9.13844e-14	3.80458e-15	8.52425e-14	2.04932e-17	2.15226e-18	4.383e-15	1.64969e-17	8.10017e-15	60	3.78835e-16	4.19412e-15	1.8356e-16	3.95674e-18	1.39267e-18	4.00501e-19
13	0	0.1	0	0	4.2011e-06	3.97759e-13	1.70352e-11	8.08961e-14	4.1064e-15	7.72939e-13	8	0	0.8	2.20015	6.02201	0	0	0	0	1000	1.47085e-05	0	4.43442e-12	0	0	4.59892e-09	9.06498e-24	50	1.14487e-06	2.00361e-13	1.04659e-21	52.228	0	0	1.22805	0	0	19000	0	0	67	0	0	0	0	0	32.772	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.59482	0.197027	0.00392884	6.42422e-06	3.11742e-05	1000	5.62526e-05	1.52681e-12	6.5444e-11	1.24073e-06	4.41025e-06	1.77165e-08	5.61524e-21	4.91934e-23	9.22545e-31	2.98193e-12	3.09955e-30	1.7492e-31	5.28984e-35	2.20015	100	1.5858e-05	6.06808e-05	0	0	5.97799	2.59969e-05	2.29273e-13	1.12905e-14	2.34002e-13	6.56996e-17	5.92344e-18	1.18886e-14	4.84234e-17	2.09651e-14	60	1.05979e-15	1.18196e-14	5.59011e-16	1.22788e-17	4.21509e-18	1.11802e-18
14	0	0.1	0	0	5.51086e-06	7.67788e-13	3.75413e-11	1.9207e-13	1.0466e-14	1.82764e-12	8	0	0.8	2.19641	6.18812	0	0	0	0	1000	2.10778e-05	0	9.81148e-12	0	0	7.0019e-09	2.74215e-23	50	1.74258e-06	4.75804e-13	2.91293e-21	52.0153	0	0	1.01529	0	0	19000	0	0	67	0	0	0	0	0	32.9847	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.58347	0.21053	0.00470692	8.22568e-06	4.08603e-05	1000	8.0315e-05	2.93532e-12	1.43646e-10	1.6763e-06	6.68402e-06	2.6858e-08	1.5426e-20	1.46936e-22	3.66698e-30	7.02054e-12	1.29797e-29	7.88461e-31	2.58998e-34	2.19641	100	2.28274e-05	8.70262e-05	0	0	5.81188	3.43238e-05	5.30962e-13	3.05284e-14	5.89102e-13	1.90902e-16	1.49502e-17	2.95717e-14	1.29498e-16	4.99913e-14	60	2.71354e-15	3.05038e-14	1.54893e-15	3.46641e-17	1.16005e-17	2.86016e-18
15	0	0.1	0	0	7.06512e-06	1.40358e-12	7.76159e-11	4.25438e-13	2.47464e-14	4.03143e-12	8	0	0.8	2.19352	6.33398	0	0	0	0	1000	2.93321e-05	0	2.03555e-11	0	0	1.02956e-08	7.61419e-23	50	2.5616e-06	1.05346e-12	7.48304e-21	51.848	0	0	0.847967	0	0	19000	0	0	67	0	0	0	0	0	33.152	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.57154	0.223619	0.00554325	1.03233e-05	5.23464e-05	1000	0.000111411	5.34731e-12	2.95957e-10	2.20861e-06	9.78902e-06	3.93452e-08	3.91374e-20	4.03104e-22	1.30992e-29	1.54282e-11	4.86184e-29	3.16245e-30	1.12273e-33	2.19352	100	3.19041e-05	0.00012124	0	0	5.66602	4.42498e-05	1.14838e-12	7.6235e-14	1.37736e-12	5.09951e-16	3.50422e-17	6.83092e-14	3.19818e-16	1.11146e-13	60	6.44172e-15	7.3022e-14	3.95892e-15	9.02513e-17	2.94351e-17	6.7911e-18
16	0	0.1	0	0	8.8806e-06	2.44824e-12	1.51869e-10	8.87497e-13	5.48361e-14	8.37454e-12	8	0	0.8	2.19117	6.46205	0	0	0	0	1000	3.98003e-05	0	3.99499e-11	0	0	1.46907e-08	1.96304e-22	50	3.65417e-06	2.19554e-12	1.79352e-20	51.7162	0	0	0.716172	0	0	19000	0	0	67	0	0	0	0	0	33.2838	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.55936	0.23631	0.00643304	1.27333e-05	6.57547e-05	1000	0.000150752	9.29886e-12	5.77339e-10	2.84747e-06	1.39189e-05	5.59591e-08	9.26909e-20	1.02732e-21	4.26316e-29	3.19444e-11	1.65231e-28	1.14543e-29	4.37437e-33	2.19117	100	4.34694e-05	0.000164728	0	0	5.53795	5.5889e-05	2.3414e-12	1.77715e-13	3.021e-12	1.26646e-15	7.70484e-17	1.48015e-13	7.37284e-16	2.32617e-13	60	1.43244e-14	1.63805e-13	9.43575e-15	2.19069e-16	6.96197e-17	1.51179e-17
17	0	0.1	0	0	1.09726e-05	4.09951e-12	2.83239e-10	1.75709e-12	1.14827e-13	1.65098e-11	8	0	0.8	2.18916	6.57452	0	0	0	0	1000	5.28302e-05	0	7.47063e-11	0	0	2.04212e-08	4.74337e-22	50	5.07829e-06	4.34084e-12	4.04618e-20	51.6122	0	0	0.612238	0	0	19000	0	0	67	0	0	0	0	0	33.3878	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.54711	0.248621	0.00737156	1.54702e-05	8.11966e-05	1000	0.000199616	1.5529e-11	1.07387e-09	3.60226e-06	1.9288e-05	7.75647e-08	2.06726e-19	2.455e-21	1.27953e-28	6.27942e-11	5.1587e-28	3.79464e-29	1.55228e-32	2.18916	100	5.79293e-05	0.000218984	0	0	5.42548	6.93459e-05	4.53463e-12	3.90144e-13	6.26694e-12	2.95124e-15	1.60221e-16	3.03332e-13	1.60057e-15	4.61868e-13	60	3.0088e-14	3.47201e-13	2.11589e-14	5.00162e-16	1.5487e-16	3.18147e-17
18	0	0.1	0	0	1.3355e-05	6.62282e-12	5.06452e-10	3.32252e-12	2.28774e-13	3.10852e-11	8	0	0.8	2.18737	6.67327	0	0	0	0	1000	6.87868e-05	0	1.33897e-10	0	0	2.77433e-08	1.0826e-21	50	6.89745e-06	8.19406e-12	8.65479e-20	51.5302	0	0	0.530197	0	0	19000	0	0	67	0	0	0	0	0	33.4698	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.53492	0.260567	0.00835419	1.85471e-05	9.87733e-05	1000	0.000259344	2.50279e-11	1.91563e-09	4.48188e-06	2.61309e-05	1.05108e-07	4.37323e-19	5.54368e-21	3.57599e-28	1.17928e-10	1.49494e-27	1.16231e-28	5.07338e-32	2.18737	100	7.57128e-05	0.000285585	0	0	5.32673	8.47152e-05	8.39464e-12	8.12454e-13	1.23793e-11	6.50239e-15	3.1724e-16	5.919e-13	3.29583e-15	8.75596e-13	60	6.01107e-14	7.00145e-13	4.49689e-14	1.08199e-15	3.26424e-16	6.37232e-17
19	0	0.1	0	0	1.60402e-05	1.03656e-11	8.72451e-10	6.03233e-12	4.36149e-13	5.61947e-11	8	0	0.8	2.18572	6.75999	0	0	0	0	1000	8.80502e-05	0	2.31148e-10	0	0	3.69345e-08	2.3491e-21	50	9.18034e-06	1.48469e-11	1.76597e-19	51.4654	0	0	0.46539	0	0	19000	0	0	67	0	0	0	0	0	33.5346	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	40493	0	0	9.52284	0.272163	0.00937652	2.19756e-05	0.000118576	999.999	0.000331331	3.90894e-11	3.29304e-09	5.49473e-06	3.47007e-05	1.39613e-07	8.8285e-19	1.19056e-20	9.38279e-28	2.12699e-10	4.05596e-27	3.3221e-28	1.54213e-31	2.18572	100	9.72689e-05	0.00036618	0	0	5.24001	0.000102082	1.49322e-11	1.61463e-12	2.3416e-11	1.36322e-14	6.01474e-16	1.10597e-12	6.47644e-15	1.59336e-12	60	1.14881e-13	1.35092e-12	9.11375e-14	2.23142e-15	6.55924e-16	1.2217e-16
