Time	[VIIa_TF]	[X]	[VIIa_TF_X]	[VIIa_TF_Xa]	[Xa]	[TFPI]	[Xa_TFPI]	[Xa_TFPI_VIIa_TF]	[VIIa_TF_Xa_TFPI]
24	0.0012771	127.339	0.000667797	0.000723264	40.2813	0.0216086	1.38106	0.0314122	0.96592
25	0.00127865	127.059	0.000667131	0.000725611	40.5614	0.0214528	1.38122	0.0321888	0.96514
26	0.0012802	126.779	0.000666466	0.000727964	40.8413	0.0212993	1.38138	0.0329664	0.964359
27	0.00128175	126.499	0.000665801	0.000730321	41.121	0.0211479	1.38153	0.033745	0.963577
28	0.00128331	126.219	0.000665136	0.000732682	41.4003	0.0209988	1.38168	0.0345247	0.962794
29	0.00128487	125.94	0.000664471	0.000735048	41.6794	0.0208518	1.38183	0.0353054	0.96201
30	0.00128644	125.661	0.000663807	0.000737419	41.9582	0.0207069	1.38198	0.0360871	0.961225
31	0.00128801	125.382	0.000663142	0.000739794	42.2367	0.020564	1.38213	0.0368698	0.960439
32	0.00128959	125.104	0.000662478	0.000742173	42.5149	0.0204231	1.38227	0.0376537	0.959652
33	0.00129117	124.826	0.000661813	0.000744558	42.7929	0.0202841	1.38241	0.0384385	0.958864
34	0.00129275	124.548	0.000661149	0.000746946	43.0706	0.0201471	1.38255	0.0392244	0.958075
35	0.00129434	124.271	0.000660485	0.00074934	43.348	0.020012	1.38269	0.0400113	0.957285
36	0.00129593	123.993	0.00065982	0.000751737	43.6251	0.0198786	1.38283	0.0407993	0.956493
37	0.00129753	123.716	0.000659156	0.00075414	43.9019	0.0197471	1.38296	0.0415883	0.955701
38	0.00129913	123.44	0.000658492	0.000756547	44.1785	0.0196173	1.3831	0.0423784	0.954907
39	0.00130073	123.163	0.000657827	0.000758958	44.4548	0.0194893	1.38323	0.0431695	0.954113
40	0.00130234	122.887	0.000657163	0.000761374	44.7308	0.019363	1.38336	0.0439617	0.953317
41	0.00130395	122.611	0.000656498	0.000763794	45.0066	0.0192383	1.38349	0.0447549	0.952521
42	0.00130557	122.336	0.000655833	0.000766219	45.282	0.0191152	1.38361	0.0455492	0.951723
43	0.00130719	122.06	0.000655169	0.000768649	45.5572	0.0189937	1.38374	0.0463446	0.950924
44	0.00130882	121.785	0.000654504	0.000771083	45.8321	0.0188738	1.38386	0.047141	0.950125
45	0.00131045	121.511	0.000653839	0.000773521	46.1068	0.0187555	1.38398	0.0479384	0.949324
46	0.00131208	121.236	0.000653173	0.000775964	46.3811	0.0186386	1.3841	0.048737	0.948522
47	0.00131372	120.962	0.000652508	0.000778412	46.6552	0.0185232	1.38422	0.0495366	0.947719
48	0.00131536	120.688	0.000651842	0.000780864	46.929	0.0184092	1.38434	0.0503372	0.946915
49	0.001317	120.414	0.000651177	0.000783321	47.2025	0.0182967	1.38445	0.051139	0.94611
50	0.00131865	120.141	0.000650511	0.000785782	47.4758	0.0181856	1.38457	0.0519418	0.945303
51	0.0013203	119.868	0.000649844	0.000788248	47.7487	0.0180758	1.38468	0.0527456	0.944496
52	0.00132196	119.595	0.000649178	0.000790718	48.0214	0.0179674	1.38479	0.0535506	0.943688
53	0.00132362	119.323	0.000648511	0.000793193	48.2938	0.0178603	1.38491	0.0543566	0.942878
54	0.00132529	119.05	0.000647844	0.000795672	48.5659	0.0177544	1.38501	0.0551637	0.942067
55	0.00132696	118.778	0.000647177	0.000798156	48.8378	0.0176499	1.38512	0.0559719	0.941256
56	0.00132863	118.507	0.000646509	0.000800644	49.1093	0.0175466	1.38523	0.0567811	0.940443
57	0.0013303	118.235	0.000645842	0.000803137	49.3806	0.0174445	1.38533	0.0575915	0.939629
58	0.00133198	117.964	0.000645173	0.000805635	49.6516	0.0173436	1.38544	0.0584029	0.938814
59	0.00133367	117.693	0.000644505	0.000808137	49.9224	0.0172439	1.38554	0.0592154	0.937998
60	0.00133536	117.423	0.000643836	0.000810643	50.1928	0.0171454	1.38564	0.060029	0.937181
61	0.00133705	117.153	0.000643167	0.000813154	50.463	0.017048	1.38575	0.0608437	0.936363
62	0.00133874	116.883	0.000642497	0.00081567	50.7329	0.0169517	1.38585	0.0616595	0.935544
63	0.00134044	116.613	0.000641827	0.00081819	51.0025	0.0168566	1.38594	0.0624764	0.934723
64	0.00134215	116.343	0.000641157	0.000820715	51.2718	0.0167625	1.38604	0.0632943	0.933902
65	0.00134385	116.074	0.000640486	0.000823244	51.5409	0.0166694	1.38614	0.0641134	0.933079
66	0.00134556	115.805	0.000639815	0.000825778	51.8096	0.0165775	1.38623	0.0649336	0.932255
67	0.00134728	115.537	0.000639144	0.000828316	52.0781	0.0164865	1.38633	0.0657548	0.93143
68	0.001349	115.269	0.000638472	0.000830859	52.3463	0.0163966	1.38642	0.0665772	0.930604
69	0.00135072	115.001	0.0006378	0.000833406	52.6143	0.0163076	1.38651	0.0674007	0.929777
70	0.00135245	114.733	0.000637127	0.000835958	52.8819	0.0162197	1.38661	0.0682253	0.928949
71	0.00135418	114.465	0.000636454	0.000838515	53.1493	0.0161327	1.3867	0.069051	0.92812
72	0.00135591	114.198	0.00063578	0.000841076	53.4164	0.0160466	1.38679	0.0698778	0.927289
73	0.00135765	113.931	0.000635106	0.000843642	53.6832	0.0159615	1.38687	0.0707057	0.926458
74	0.00135939	113.665	0.000634432	0.000846212	53.9497	0.0158772	1.38696	0.0715347	0.925625
75	0.00136113	113.398	0.000633757	0.000848787	54.2159	0.0157939	1.38705	0.0723648	0.924791
76	0.00136288	113.132	0.000633081	0.000851366	54.4819	0.0157115	1.38714	0.0731961	0.923957
77	0.00136463	112.867	0.000632405	0.00085395	54.7475	0.01563	1.38722	0.0740285	0.923121
78	0.00136639	112.601	0.000631729	0.000856538	55.0129	0.0155493	1.38731	0.074862	0.922283
79	0.00136815	112.336	0.000631052	0.000859131	55.278	0.0154694	1.38739	0.0756966	0.921445
80	0.00136991	112.071	0.000630375	0.000861729	55.5428	0.0153904	1.38747	0.0765324	0.920606
81	0.00137168	111.806	0.000629697	0.000864331	55.8074	0.0153122	1.38755	0.0773692	0.919765
82	0.00137345	111.542	0.000629018	0.000866938	56.0716	0.0152348	1.38763	0.0782073	0.918923
83	0.00137522	111.278	0.000628339	0.000869549	56.3356	0.0151582	1.38771	0.0790464	0.91808
84	0.001377	111.014	0.000627659	0.000872165	56.5993	0.0150824	1.38779	0.0798867	0.917237
85	0.00137879	110.751	0.000626979	0.000874785	56.8627	0.0150073	1.38787	0.0807281	0.916391
86	0.00138057	110.488	0.000626299	0.00087741	57.1258	0.014933	1.38795	0.0815706	0.915545
87	0.00138236	110.225	0.000625617	0.00088004	57.3886	0.0148595	1.38803	0.0824143	0.914698
88	0.00138415	109.962	0.000624936	0.000882674	57.6511	0.0147866	1.38811	0.0832591	0.913849
89	0.00138595	109.7	0.000624253	0.000885313	57.9134	0.0147146	1.38818	0.0841051	0.912999
90	0.00138775	109.438	0.00062357	0.000887956	58.1754	0.0146432	1.38826	0.0849522	0.912149
91	0.00138955	109.176	0.000622887	0.000890604	58.437	0.0145725	1.38833	0.0858005	0.911297
92	0.00139136	108.915	0.000622203	0.000893257	58.6984	0.0145025	1.3884	0.0866499	0.910443
93	0.00139317	108.653	0.000621518	0.000895914	58.9595	0.0144332	1.38848	0.0875004	0.909589
94	0.00139499	108.392	0.000620833	0.000898575	59.2204	0.0143646	1.38855	0.0883521	0.908733
95	0.00139681	108.132	0.000620147	0.000901242	59.4809	0.0142966	1.38862	0.089205	0.907877
96	0.00139863	107.872	0.00061946	0.000903913	59.7412	0.0142293	1.38869	0.090059	0.907019
97	0.00140046	107.612	0.000618773	0.000906588	60.0011	0.0141626	1.38876	0.0909142	0.90616
98	0.00140229	107.352	0.000618085	0.000909268	60.2608	0.0140966	1.38883	0.0917705	0.9053
99	0.00140412	107.092	0.000617397	0.000911953	60.5202	0.0140312	1.3889	0.092628	0.904439
100	0.00140596	106.833	0.000616708	0.000914642	60.7793	0.0139664	1.38897	0.0934867	0.903576
