Time	[FA]	[HETE]	[PGH2]	[PGE2]	[PGF2a]	[PGD2]	[PGJ2]	[dPGJ2]	[Arachidonic acid]	[LPS]	[DG]	[GPCho]	[dPGD2]
70	1	0.000565823	2.22723e-05	21.9594	6.5663	2.26321	42.7602	16.4444	0.000259494	0.5	-2.5017e-13	0.749838	58.0224
71	1	0.000470761	1.70511e-05	21.9594	6.5663	2.08301	41.4461	15.9944	0.000197032	0.5	-2.56727e-13	0.749838	57.2783
72	1	0.000391564	1.30266e-05	21.9594	6.5663	1.91714	40.1667	15.5521	0.000149301	0.5	-2.63369e-13	0.749838	56.5395
73	1	0.000325608	9.93127e-06	21.9594	6.5663	1.76448	38.9217	15.1177	0.000112904	0.5	-2.70095e-13	0.749838	55.8064
74	1	0.000270699	7.55567e-06	21.9594	6.5663	1.62396	37.7105	14.6915	8.52064e-05	0.5	-2.76906e-13	0.749838	55.0794
75	1	0.000225001	5.73635e-06	21.9594	6.5663	1.49464	36.5326	14.2737	6.41733e-05	0.5	-2.83801e-13	0.749838	54.3585
76	1	0.000186981	4.34603e-06	21.9594	6.5663	1.37561	35.3875	13.8643	4.82341e-05	0.5	-2.90781e-13	0.749838	53.6441
77	1	0.000155357	3.28584e-06	21.9594	6.5663	1.26605	34.2746	13.4635	3.61804e-05	0.5	-2.97846e-13	0.749838	52.9363
78	1	0.000129059	2.4791e-06	21.9594	6.5663	1.16522	33.1933	13.0715	2.70838e-05	0.5	-3.04995e-13	0.749838	52.2353
79	1	0.000107197	1.86655e-06	21.9594	6.5663	1.07242	32.1431	12.6881	2.02332e-05	0.5	-3.12229e-13	0.749838	51.5413
80	1	8.90251e-05	1.40243e-06	21.9594	6.5663	0.987007	31.1232	12.3135	1.50847e-05	0.5	-3.19547e-13	0.749838	50.8544
81	1	7.39243e-05	1.05152e-06	21.9594	6.5663	0.908397	30.1331	11.9478	1.12235e-05	0.5	-3.2695e-13	0.749838	50.1747
82	1	6.13778e-05	7.86781e-07	21.9594	6.5663	0.836047	29.1721	11.5907	8.3337e-06	0.5	-3.34438e-13	0.749838	49.5022
83	1	5.09552e-05	5.87471e-07	21.9594	6.5663	0.769459	28.2395	11.2424	6.17541e-06	0.5	-3.4201e-13	0.749838	48.8371
84	1	4.22983e-05	4.37739e-07	21.9594	6.5663	0.708174	27.3347	10.9027	4.56679e-06	0.5	-3.49667e-13	0.749838	48.1795
85	1	3.51091e-05	3.25494e-07	21.9594	6.5663	0.651769	26.457	10.5717	3.37035e-06	0.5	-3.57408e-13	0.749838	47.5292
