Time	[RanGDP_nuc]	[RCC1_RanGDP]	[GDP]	[RCC1]	[RCC1_RanGTP]	[RCC1_Ran]	[GTP]	[RanGTP_nuc]	[RanGAP]	[RanBP1]	[RanGTP_cy]	[RanGTP_RanBP1]	[RanGDP_cy]
73	0.398412	0.0360019	1.6	0.0714996	0.556808	0.0356908	500	4.26528	0.7	1.99994	0.00768175	6.10013e-05	1.46413
74	0.398416	0.0360014	1.6	0.0714975	0.55681	0.0356909	500	4.26542	0.7	1.99994	0.00768202	6.10034e-05	1.46403
75	0.39842	0.036001	1.6	0.0714957	0.556812	0.035691	500	4.26555	0.7	1.99994	0.00768225	6.10053e-05	1.46394
76	0.398423	0.0360006	1.6	0.071494	0.556814	0.0356911	500	4.26566	0.7	1.99994	0.00768247	6.10069e-05	1.46386
77	0.398427	0.0360003	1.6	0.0714925	0.556816	0.0356912	500	4.26577	0.7	1.99994	0.00768265	6.10084e-05	1.46379
78	0.398429	0.0359999	1.6	0.0714912	0.556818	0.0356912	500	4.26586	0.7	1.99994	0.00768282	6.10098e-05	1.46373
79	0.398432	0.0359997	1.6	0.07149	0.556819	0.0356913	500	4.26594	0.7	1.99994	0.00768297	6.1011e-05	1.46367
80	0.398434	0.0359994	1.6	0.071489	0.55682	0.0356913	500	4.26601	0.7	1.99994	0.00768311	6.10121e-05	1.46362
81	0.398436	0.0359992	1.6	0.071488	0.556821	0.0356914	500	4.26608	0.7	1.99994	0.00768323	6.1013e-05	1.46357
82	0.398437	0.035999	1.6	0.0714872	0.556822	0.0356914	500	4.26614	0.7	1.99994	0.00768334	6.10139e-05	1.46353
83	0.398439	0.0359988	1.6	0.0714865	0.556823	0.0356915	500	4.26619	0.7	1.99994	0.00768343	6.10146e-05	1.46349
84	0.39844	0.0359987	1.6	0.0714858	0.556824	0.0356915	500	4.26624	0.7	1.99994	0.00768352	6.10153e-05	1.46346
85	0.398442	0.0359985	1.6	0.0714852	0.556825	0.0356916	500	4.26628	0.7	1.99994	0.0076836	6.10159e-05	1.46343
86	0.398443	0.0359984	1.6	0.0714846	0.556825	0.0356916	500	4.26632	0.7	1.99994	0.00768366	6.10165e-05	1.46341
87	0.398444	0.0359983	1.6	0.0714842	0.556826	0.0356916	500	4.26635	0.7	1.99994	0.00768373	6.1017e-05	1.46338
88	0.398445	0.0359982	1.6	0.0714837	0.556826	0.0356916	500	4.26638	0.7	1.99994	0.00768378	6.10174e-05	1.46336
89	0.398445	0.0359981	1.6	0.0714833	0.556827	0.0356917	500	4.26641	0.7	1.99994	0.00768383	6.10178e-05	1.46334
90	0.398446	0.035998	1.6	0.071483	0.556827	0.0356917	500	4.26643	0.7	1.99994	0.00768387	6.10181e-05	1.46333
91	0.398447	0.035998	1.6	0.0714827	0.556828	0.0356917	500	4.26645	0.7	1.99994	0.00768391	6.10185e-05	1.46331
92	0.398447	0.0359979	1.6	0.0714824	0.556828	0.0356917	500	4.26647	0.7	1.99994	0.00768395	6.10187e-05	1.4633
93	0.398448	0.0359978	1.6	0.0714822	0.556828	0.0356917	500	4.26649	0.7	1.99994	0.00768398	6.1019e-05	1.46329
94	0.398448	0.0359978	1.6	0.071482	0.556829	0.0356917	500	4.2665	0.7	1.99994	0.00768401	6.10192e-05	1.46328
95	0.398449	0.0359977	1.6	0.0714818	0.556829	0.0356917	500	4.26651	0.7	1.99994	0.00768403	6.10194e-05	1.46327
96	0.398449	0.0359977	1.6	0.0714816	0.556829	0.0356918	500	4.26653	0.7	1.99994	0.00768405	6.10196e-05	1.46326
97	0.398449	0.0359977	1.6	0.0714814	0.556829	0.0356918	500	4.26654	0.7	1.99994	0.00768407	6.10197e-05	1.46325
98	0.39845	0.0359976	1.6	0.0714813	0.556829	0.0356918	500	4.26655	0.7	1.99994	0.00768409	6.10199e-05	1.46324
99	0.39845	0.0359976	1.6	0.0714812	0.556829	0.0356918	500	4.26656	0.7	1.99994	0.00768411	6.102e-05	1.46324
100	0.39845	0.0359976	1.6	0.0714811	0.55683	0.0356918	500	4.26656	0.7	1.99994	0.00768412	6.10201e-05	1.46323
