Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[Xa_Va_l]	[V_Xa_l]	[IIa_f]	[V_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[APC_PS_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]
10	335.505	838.995	4.51608e-08	2.83264e-06	0.00867913	1.74048	5.03829e-07	9.9188e-05	0.168538	7.42529	0.000742602	0.095129	35.1751	107.665	0.00101059	0.00528268	4.92877e-09	4.2055e-08	0.792408	115.208	1.59438e-15	3.23572e-13	18.7048	47.2952	0.00793261	0.00331563	0.00443371	0.0010481	0.00146988	1.94412e-08	2.57295e-07	0.000741416	3.33722e-07	7.42883e-09	1.90095e-07	3.02998e-08	3.56135e-07	12.2993	4721	1.4191e-08	0.000680235	4.8394e-08	1.09521e-12	3.75659e-05	3.25923e-05	5.68947e-08	1	2.16303e-07	9.53433e-08	1.81613e-09	58155.7	364	4.00498e-10	1.76304e-06
11	335.505	838.995	8.60446e-08	5.38339e-06	0.00867821	1.74029	6.80621e-07	0.000133853	0.16852	7.4245	0.000744072	0.0953213	35.1747	107.663	0.00119385	0.00623332	1.03484e-08	8.80449e-08	0.792408	115.208	5.70646e-15	1.1531e-12	18.7048	47.2952	0.00732641	0.00350406	0.00469362	0.0011079	0.00156791	2.42959e-08	4.34928e-07	0.000891877	6.09045e-07	1.3684e-08	3.21515e-07	5.12874e-08	8.01582e-07	12.2991	4721	2.90351e-08	0.000896715	7.51546e-08	3.47432e-12	4.95266e-05	3.8466e-05	1.09078e-07	0.999999	4.26629e-07	1.89512e-07	3.87384e-09	58155.7	364	8.19425e-10	2.32437e-06
12	335.505	838.995	1.53162e-07	9.56276e-06	0.00867722	1.7401	8.90843e-07	0.000175046	0.1685	7.42365	0.000746462	0.0956315	35.1743	107.662	0.00138478	0.00722325	2.01083e-08	1.70681e-07	0.792408	115.208	1.78506e-14	3.59429e-12	18.7048	47.2952	0.00677069	0.00367756	0.00493064	0.00116296	0.00165802	2.95877e-08	6.9404e-07	0.00105009	1.04237e-06	2.35985e-08	5.13296e-07	8.19326e-08	1.65559e-06	12.2988	4721	5.5162e-08	0.00114994	1.11735e-07	9.73686e-12	6.352e-05	4.4582e-05	1.95158e-07	0.999999	7.81989e-07	3.4958e-07	7.64611e-09	58155.7	364	1.55678e-09	2.98111e-06
13	335.505	838.995	2.57743e-07	1.60645e-05	0.00867616	1.73988	1.13608e-06	0.000223076	0.168479	7.42272	0.000749778	0.0960603	35.1738	107.661	0.00158212	0.00824598	3.66572e-08	3.1054e-07	0.792408	115.208	4.99748e-14	1.00329e-11	18.7048	47.2952	0.00626094	0.00383753	0.00514664	0.00121372	0.00174097	3.52683e-08	1.0562e-06	0.00121483	1.69217e-06	3.85519e-08	7.81442e-07	1.24801e-07	3.1855e-06	12.2986	4721	9.85789e-08	0.00144128	1.60201e-07	2.46437e-11	7.96225e-05	5.08996e-05	3.29817e-07	0.999998	1.3493e-06	6.06399e-07	1.41528e-08	58155.7	364	2.78209e-09	3.73683e-06
14	335.505	838.995	4.13784e-07	2.57525e-05	0.00867504	1.73966	1.41774e-06	0.000278215	0.168457	7.42172	0.000754023	0.0966083	35.1733	107.659	0.00178475	0.00929572	6.33498e-08	5.35778e-07	0.792408	115.208	1.27502e-13	2.55334e-11	18.7048	47.2952	0.00579309	0.00398526	0.00534337	0.00126059	0.00181744	4.12888e-08	1.54486e-06	0.00138501	2.62841e-06	6.02002e-08	1.14334e-06	1.8268e-07	5.7761e-06	12.2982	4721	1.67363e-07	0.00177187	2.22759e-07	5.72805e-11	9.78974e-05	5.73826e-05	5.31401e-07	0.999997	2.21339e-06	9.99213e-07	2.48197e-08	58155.7	364	4.7233e-09	4.59451e-06
15	335.505	838.995	6.3826e-07	3.96736e-05	0.00867385	1.73942	1.73708e-06	0.00034071	0.168432	7.42063	0.0007592	0.0972756	35.1728	107.658	0.00199165	0.0103673	1.04629e-07	8.83647e-07	0.792408	115.208	3.00691e-13	6.00874e-11	18.7048	47.2952	0.00536346	0.00412185	0.00552239	0.00130392	0.00188804	4.76027e-08	2.18499e-06	0.00155966	3.9329e-06	9.04846e-08	1.61755e-06	2.58547e-07	9.95952e-06	12.2979	4721	2.72036e-07	0.00214262	3.01732e-07	1.23887e-10	0.000118397	6.39985e-05	8.22198e-07	0.999995	3.47859e-06	1.57641e-06	4.15716e-08	58155.7	364	7.67738e-09	5.55657e-06
16	335.505	838.995	9.51304e-07	5.90682e-05	0.00867261	1.73917	2.0953e-06	0.000410792	0.168406	7.41947	0.000765308	0.098062	35.1723	107.656	0.00220192	0.011456	1.6622e-07	1.40209e-06	0.792408	115.208	6.62909e-13	1.32226e-10	18.7048	47.2952	0.00496874	0.00424833	0.00568514	0.00134404	0.0019533	5.41631e-08	3.00292e-06	0.0017379	5.69954e-06	1.31638e-07	2.22358e-06	3.5553e-07	1.64475e-05	12.2974	4721	4.25954e-07	0.00255427	3.99552e-07	2.5193e-10	0.000141161	7.07186e-05	1.22868e-06	0.999992	5.26997e-06	2.39615e-06	6.69311e-08	58155.7	364	1.20212e-08	6.62497e-06
17	335.505	838.995	1.37635e-06	8.53796e-05	0.00867131	1.73891	2.49354e-06	0.000488685	0.168377	7.41821	0.000772343	0.0989674	35.1718	107.655	0.00241477	0.0125578	2.55321e-07	2.15139e-06	0.792408	115.208	1.3787e-12	2.74559e-10	18.7048	47.2952	0.00460594	0.00436559	0.00583295	0.00138123	0.00201371	6.09268e-08	4.02599e-06	0.00191895	8.0345e-06	1.86187e-07	2.98175e-06	4.7689e-07	2.61658e-05	12.297	4721	6.45697e-07	0.00300738	5.18733e-07	4.8576e-10	0.000166224	7.75167e-05	1.7817e-06	0.999989	7.73442e-06	3.52684e-06	1.04123e-07	58155.7	364	1.82228e-08	7.80121e-06
18	335.505	838.995	1.94024e-06	0.000120261	0.00866996	1.73864	2.93295e-06	0.000574612	0.168347	7.41687	0.000780304	0.0999911	35.1713	107.653	0.00262946	0.013669	3.80813e-07	3.20581e-06	0.792407	115.208	2.72503e-12	5.41909e-10	18.7048	47.2952	0.00427235	0.00447445	0.00596701	0.00141575	0.0020697	6.78528e-08	5.28247e-06	0.00210213	1.10563e-05	2.56959e-07	3.91303e-06	6.25991e-07	4.02895e-05	12.2965	4721	9.51468e-07	0.00350236	6.61863e-07	8.94191e-10	0.000193609	8.43699e-05	2.51663e-06	0.999984	1.10414e-05	5.04758e-06	1.57181e-07	58155.7	364	2.68523e-08	9.08641e-06
19	335.505	838.995	2.67337e-06	0.000165581	0.00866855	1.73836	3.41473e-06	0.00066881	0.168314	7.41544	0.000789184	0.101133	35.1708	107.651	0.00284537	0.0147863	5.53458e-07	4.65534e-06	0.792407	115.208	5.15055e-12	1.02299e-09	18.7048	47.2952	0.00396551	0.00457564	0.00608843	0.00144784	0.00212168	7.49028e-08	6.80143e-06	0.00228681	1.48962e-05	3.47081e-07	5.03899e-06	8.06296e-07	6.02808e-05	12.296	4721	1.3675e-06	0.00403949	8.31589e-07	1.58048e-09	0.000223332	9.12575e-05	3.47353e-06	0.999978	1.53838e-05	7.04843e-06	2.31064e-07	58155.7	364	3.85934e-08	1.04814e-05
20	335.504	838.995	3.60973e-06	0.000223431	0.00866709	1.73806	3.94019e-06	0.00077153	0.16828	7.41392	0.000798976	0.102391	35.1702	107.65	0.00306193	0.0159067	7.86112e-07	6.60742e-06	0.792407	115.208	9.35754e-12	1.85651e-09	18.7047	47.2952	0.00368318	0.00466982	0.00619822	0.0014777	0.00216997	8.20417e-08	8.61268e-06	0.00247244	1.96978e-05	4.59984e-07	6.38178e-06	1.02135e-06	8.79267e-05	12.2954	4721	1.92244e-06	0.00461893	1.0306e-06	2.69505e-09	0.000255403	9.8161e-05	4.69724e-06	0.999969	2.09781e-05	9.63068e-06	3.31767e-07	58155.8	364	5.42549e-08	1.19865e-05
21	335.504	838.995	4.78702e-06	0.000296131	0.00866559	1.73776	4.51073e-06	0.000883052	0.168243	7.4123	0.000809674	0.103765	35.1696	107.648	0.00327861	0.0170277	1.09393e-06	9.18865e-06	0.792406	115.207	1.64127e-11	3.25304e-09	18.7047	47.2951	0.00342335	0.00475757	0.0062973	0.00150551	0.00221491	8.92371e-08	1.07468e-05	0.00265853	2.56178e-05	5.99407e-07	7.96407e-06	1.27481e-06	0.000125378	12.2948	4721	2.6498e-06	0.00524074	1.26163e-06	4.45157e-09	0.000289827	0.000105064	6.23751e-06	0.999959	2.80653e-05	1.29071e-05	4.6644e-07	58155.8	364	7.47825e-08	1.36021e-05
22	335.504	838.995	6.24676e-06	0.000386232	0.00866403	1.73745	5.12796e-06	0.00100369	0.168204	7.41059	0.000821269	0.105255	35.1691	107.646	0.00349498	0.0181469	1.49459e-06	1.25467e-05	0.792405	115.207	2.78954e-11	5.52404e-09	18.7047	47.2951	0.00318417	0.00483943	0.00638654	0.00153146	0.00225678	9.64596e-08	1.32352e-05	0.00284464	3.2826e-05	7.69404e-07	9.8092e-06	1.5704e-06	0.000175188	12.2941	4721	3.58834e-06	0.00590486	1.52741e-06	7.147e-09	0.000326602	0.000111952	8.14909e-06	0.999946	3.6911e-05	1.70022e-05	6.43511e-07	58155.8	364	1.0127e-07	1.5328e-05
23	335.504	838.995	8.03438e-06	0.000496526	0.00866242	1.73713	5.79366e-06	0.00113379	0.168164	7.40879	0.000833751	0.106858	35.1685	107.645	0.00371063	0.0192623	2.00852e-06	1.68519e-05	0.792405	115.207	4.60908e-11	9.11994e-09	18.7047	47.295	0.00296396	0.00491589	0.00646671	0.00155569	0.00229582	1.03683e-07	1.61102e-05	0.00303037	4.15057e-05	9.74351e-07	1.19412e-05	1.91198e-06	0.000240355	12.2934	4721	4.78252e-06	0.00661118	1.83071e-06	1.11862e-08	0.000365723	0.000118811	1.04919e-05	0.99993	4.78062e-05	2.20524e-05	8.72809e-07	58155.8	364	1.34972e-07	1.71641e-05
24	335.504	838.995	1.01994e-05	0.000630055	0.00866075	1.73679	6.50988e-06	0.00127375	0.168121	7.4069	0.00084711	0.108573	35.1679	107.643	0.0039252	0.0203719	2.65908e-06	2.22994e-05	0.792404	115.207	7.42355e-11	1.46783e-08	18.7046	47.295	0.00276119	0.00498738	0.00653853	0.00157834	0.00233228	1.10882e-07	1.94056e-05	0.00321538	5.18543e-05	1.21896e-06	1.4385e-05	2.30356e-06	0.000324361	12.2926	4721	6.28293e-06	0.00735949	2.1743e-06	1.71121e-08	0.00040718	0.000125631	1.33313e-05	0.999911	6.10679e-05	2.82062e-05	1.16569e-06	58155.8	364	1.77316e-07	1.91097e-05
25	335.504	838.995	1.27953e-05	0.000790116	0.00865903	1.73645	7.27894e-06	0.00142403	0.168075	7.40491	0.000861336	0.110399	35.1673	107.641	0.00413837	0.0214743	3.47286e-06	2.9111e-05	0.792403	115.207	1.16835e-10	2.30863e-08	18.7046	47.2949	0.00257447	0.00505429	0.00660267	0.00159954	0.00236636	1.18037e-07	2.31561e-05	0.00339936	6.40839e-05	1.50828e-06	1.71666e-05	2.7493e-06	0.000431219	12.2918	4721	8.14676e-06	0.00814953	2.56094e-06	2.5642e-08	0.00045096	0.0001324	1.67379e-05	0.999887	7.70398e-05	3.56251e-05	1.53519e-06	58155.9	364	2.29917e-07	2.11644e-05
26	335.504	838.995	1.58804e-05	0.000980278	0.00865726	1.73609	8.10344e-06	0.00158514	0.168028	7.40282	0.000876415	0.112334	35.1667	107.639	0.00434987	0.0225679	4.47988e-06	3.75372e-05	0.792401	115.207	1.80061e-10	3.55584e-08	18.7046	47.2948	0.0024025	0.005117	0.00665973	0.0016194	0.00239825	1.25129e-07	2.73985e-05	0.00358203	7.84221e-05	1.84775e-06	2.03131e-05	3.25356e-06	0.00056551	12.291	4721	1.04383e-05	0.00898096	2.99338e-06	3.77121e-08	0.000497046	0.00013911	2.07882e-05	0.999859	9.60933e-05	4.44832e-05	1.99611e-06	58155.9	364	2.94588e-07	2.33273e-05
27	335.503	838.995	1.95172e-05	0.00120439	0.00865543	1.73573	8.98637e-06	0.00175765	0.167979	7.40065	0.000892337	0.114377	35.1661	107.637	0.00455944	0.0236514	5.71387e-06	4.78592e-05	0.7924	115.207	2.72246e-10	5.37339e-08	18.7045	47.2947	0.00224412	0.00517583	0.00671028	0.00163803	0.00242813	1.3214e-07	3.21716e-05	0.00376315	9.51131e-05	2.24318e-06	2.38534e-05	3.82095e-06	0.000732432	12.2901	4721	1.32294e-05	0.00985341	3.47438e-06	5.45305e-08	0.000545417	0.000145753	2.55649e-05	0.999826	0.000118629	5.49685e-05	2.56522e-06	58155.9	364	3.73359e-07	2.55974e-05
28	335.503	838.995	2.37734e-05	0.00146661	0.00865354	1.73535	9.93108e-06	0.00194224	0.167927	7.39838	0.000909088	0.116527	35.1654	107.635	0.00476687	0.0247238	7.21252e-06	6.03914e-05	0.792398	115.207	4.04501e-10	7.97977e-08	18.7044	47.2945	0.00209826	0.00523107	0.00675484	0.00165553	0.00245615	1.39057e-07	3.75163e-05	0.00394251	0.000114419	2.7008e-06	2.78178e-05	4.45637e-06	0.000937851	12.2892	4721	1.66001e-05	0.0107665	4.00663e-06	7.76415e-08	0.000596053	0.000152321	3.11569e-05	0.999788	0.000145077	6.72832e-05	3.26141e-06	58156	364	4.68487e-07	2.79739e-05
29	335.503	838.995	2.87215e-05	0.00177139	0.00865158	1.73496	1.09413e-05	0.00213963	0.167874	7.39602	0.000926656	0.118781	35.1648	107.634	0.00497196	0.0257841	9.01779e-06	7.54837e-05	0.792396	115.206	5.91469e-10	1.16628e-07	18.7043	47.2943	0.00196393	0.00528302	0.00679388	0.00167197	0.00248246	1.45866e-07	4.34766e-05	0.0041199	0.00013662	3.22729e-06	3.2239e-05	5.16503e-06	0.00118834	12.2883	4721	2.06392e-05	0.0117196	4.59286e-06	1.09002e-07	0.000648929	0.000158809	3.76598e-05	0.999742	0.0001759	8.16445e-05	4.10578e-06	58156	364	5.82479e-07	3.04554e-05
30	335.503	838.994	3.44401e-05	0.00212356	0.00864955	1.73455	1.20213e-05	0.00235065	0.167818	7.39357	0.000945027	0.121138	35.1642	107.632	0.00517455	0.0268313	1.11762e-05	9.35239e-05	0.792394	115.206	8.52248e-10	1.67979e-07	18.7042	47.2941	0.00184021	0.00533191	0.00682785	0.00168745	0.00250719	1.52556e-07	5.00998e-05	0.00429517	0.000162019	3.82983e-06	3.7152e-05	5.95256e-06	0.00149126	12.2873	4721	2.54449e-05	0.0127124	5.23571e-06	1.51074e-07	0.000704018	0.00016521	4.51765e-05	0.99969	0.000211596	9.82859e-05	5.1219e-06	58156	364	7.18105e-07	3.30409e-05
31	335.503	838.994	4.10134e-05	0.0025283	0.00864745	1.73413	1.31758e-05	0.00257622	0.16776	7.39103	0.000964187	0.123596	35.1635	107.63	0.00537449	0.0278648	1.37392e-05	0.000114941	0.792391	115.206	1.21154e-09	2.38704e-07	18.7041	47.2938	0.00172628	0.00537799	0.00685714	0.00170203	0.00253046	1.59119e-07	5.74366e-05	0.00446817	0.000190939	4.51609e-06	4.25945e-05	6.82501e-06	0.00185476	12.2862	4721	3.11255e-05	0.0137443	5.93784e-06	2.06934e-07	0.000761293	0.00017152	5.38178e-05	0.99963	0.000252698	0.000117458	6.33597e-06	58156	364	8.78421e-07	3.57289e-05
32	335.502	838.994	4.85321e-05	0.00299117	0.00864527	1.73369	1.441e-05	0.00281738	0.167701	7.38841	0.000984122	0.126153	35.1629	107.628	0.00557165	0.0288839	1.67636e-05	0.000140208	0.792387	115.205	1.70102e-09	3.35024e-07	18.704	47.2934	0.00162137	0.00542146	0.00688214	0.00171578	0.00255239	1.65546e-07	6.55423e-05	0.00463876	0.000223729	5.29436e-06	4.86075e-05	7.78895e-06	0.00228791	12.2852	4721	3.78e-05	0.0148147	6.70185e-06	2.80409e-07	0.000820724	0.000177735	6.37027e-05	0.999561	0.000299781	0.00013943	7.77697e-06	58156.1	364	1.06679e-06	3.85181e-05
33	335.502	838.994	5.70942e-05	0.0035182	0.00864301	1.73324	1.57298e-05	0.00307524	0.167639	7.38569	0.00100482	0.128807	35.1622	107.626	0.00576593	0.029888	2.03116e-05	0.000169844	0.792383	115.205	2.361e-09	4.64858e-07	18.7038	47.293	0.00152476	0.00546252	0.00690318	0.00172877	0.00257307	1.71831e-07	7.44768e-05	0.00480683	0.000260766	6.17354e-06	5.52354e-05	8.85151e-06	0.00280072	12.2841	4721	4.55991e-05	0.0159231	7.5303e-06	3.76228e-07	0.00088228	0.000183852	7.49594e-05	0.999482	0.000353459	0.000164491	9.47696e-06	58156.1	364	1.2869e-06	4.1407e-05
34	335.502	838.993	6.6805e-05	0.00411587	0.00864065	1.73277	1.71416e-05	0.00335109	0.167575	7.38289	0.00102626	0.131557	35.1616	107.624	0.00595721	0.0308766	2.44519e-05	0.000204421	0.792379	115.204	3.24248e-09	6.38219e-07	18.7036	47.2926	0.0014358	0.00550136	0.00692058	0.00174105	0.0025926	1.77969e-07	8.43056e-05	0.00497228	0.000302455	7.1632e-06	6.25269e-05	1.00205e-05	0.00340421	12.2829	4721	5.46665e-05	0.0170688	8.42572e-06	5.00221e-07	0.00094593	0.000189866	8.77259e-05	0.999393	0.000414398	0.000192952	1.14713e-05	58156.1	364	1.54279e-06	4.43942e-05
35	335.501	838.993	7.77785e-05	0.00479117	0.00863819	1.73227	1.86524e-05	0.0036463	0.16751	7.38	0.00104843	0.134401	35.1609	107.622	0.00614544	0.0318493	2.92594e-05	0.000244565	0.792374	115.204	4.40956e-09	8.67692e-07	18.7034	47.292	0.00135389	0.00553814	0.00693465	0.00175268	0.00261106	1.83955e-07	9.51001e-05	0.00513501	0.000349235	8.27371e-06	7.05349e-05	1.13044e-05	0.00411051	12.2817	4721	6.51589e-05	0.0182513	9.39062e-06	6.59536e-07	0.00101164	0.000195776	0.000102151	0.999292	0.00048331	0.000225149	1.37987e-05	58156.2	364	1.83891e-06	4.74781e-05
36	335.501	838.992	9.01377e-05	0.00555165	0.00863562	1.73176	2.02702e-05	0.00396242	0.167442	7.37703	0.00107133	0.137337	35.1602	107.62	0.00633053	0.0328058	3.48164e-05	0.000290959	0.792368	115.203	5.94243e-09	1.16902e-06	18.7031	47.2914	0.00127847	0.00557302	0.00694564	0.00176371	0.00262855	1.89785e-07	0.000106938	0.00529496	0.000401579	9.51623e-06	7.93173e-05	1.27125e-05	0.00493293	12.2805	4721	7.7248e-05	0.0194698	1.04274e-05	8.62919e-07	0.00107938	0.000201579	0.000118395	0.999178	0.000560965	0.000261441	1.6502e-05	58156.2	364	2.18009e-06	5.06571e-05
37	335.5	838.991	0.000104016	0.0064055	0.00863293	1.73122	2.20035e-05	0.00430111	0.167373	7.37397	0.00109492	0.140362	35.1596	107.618	0.00651243	0.0337458	4.12127e-05	0.000344353	0.792361	115.202	7.94091e-09	1.56179e-06	18.7028	47.2906	0.00120902	0.00560615	0.0069538	0.00177418	0.00264512	1.95458e-07	0.000119906	0.00545205	0.000460002	1.09028e-05	8.89377e-05	1.4255e-05	0.00588606	12.2793	4721	9.11216e-05	0.0207238	1.15386e-05	1.12104e-06	0.00114911	0.000207273	0.000136632	0.99905	0.000648195	0.000302219	1.96279e-05	58156.2	364	2.57163e-06	5.39296e-05
