Time	[ubiquitinProtease1]	[ubiquitinProtease2]	[Wee1]	[Cdc25]	[Cdc13_Cdc2]	[FreeRum1]	[Cig2_Cdc2]	[IntermediaryEnzyme]	[Cdc13_P-Cdc2]	[Cig2_Cdc2_Rum1]	[Cdc13_Cdc2_Rum1]	[Cdc13_P-Cdc2_Rum1]	[S-phasePromotingFactor]	[M-phasePromotingFactor]	[BoundIntermediaryEnzyme]	[BoundUbiquitinProtease1]	[BoundUbiquitinProtease2]	[BoundWee1]	[BoundCdc25]	[TotalRum1]	[TotalCdc13]	[TotalCig2]	Values[Mass]
13	1.27351e-06	0.000257923	0.999417	0.000582658	0.0016311	0.322053	0.00223527	6.47045e-05	4.60179e-05	0.0198981	0.132909	0.00319499	0.00219222	0.0016334	0.999935	0.999999	0.999742	0.000582598	0.999417	0.478056	0.137781	0.0221334	0.261284
14	1.35315e-06	0.000274	0.999381	0.000619454	0.00173119	0.313968	0.00242272	6.87292e-05	5.18322e-05	0.0213687	0.139379	0.00358088	0.00233946	0.00173378	0.999931	0.999999	0.999726	0.0006195	0.999381	0.478297	0.144743	0.0237914	0.262581
15	1.43357e-06	0.000290232	0.999343	0.000656605	0.00183216	0.305994	0.00261755	7.27933e-05	5.80546e-05	0.0228241	0.145452	0.00397877	0.00248945	0.00183506	0.999927	0.999999	0.99971	0.000656648	0.999343	0.478249	0.151321	0.0254417	0.263884
16	1.5148e-06	0.000306623	0.999306	0.000694123	0.00193404	0.298152	0.00281988	7.68981e-05	6.47028e-05	0.0242638	0.15115	0.00438827	0.00264225	0.00193728	0.999923	0.999998	0.999693	0.000694104	0.999306	0.477955	0.157537	0.0270837	0.265193
17	1.59686e-06	0.000323179	0.999268	0.000732019	0.00203687	0.290459	0.00302982	8.10449e-05	7.17948e-05	0.0256873	0.156493	0.004809	0.00279791	0.00204046	0.999919	0.999998	0.999677	0.000732013	0.999268	0.477448	0.163411	0.0287171	0.266509
18	1.67977e-06	0.000339905	0.99923	0.000770306	0.00214067	0.282924	0.00324751	8.5235e-05	7.93498e-05	0.0270942	0.161501	0.00524064	0.00295651	0.00214463	0.999915	0.999998	0.99966	0.000770314	0.99923	0.47676	0.168962	0.0303417	0.267832
19	1.76357e-06	0.000356808	0.999191	0.000808998	0.00224548	0.275554	0.00347305	8.94703e-05	8.73879e-05	0.0284839	0.166192	0.00568285	0.00311811	0.00224985	0.999911	0.999998	0.999643	0.000809006	0.999191	0.475913	0.174208	0.031957	0.269161
20	1.84831e-06	0.000373896	0.999152	0.000848113	0.00235135	0.268352	0.00370658	9.37527e-05	9.59302e-05	0.029856	0.170584	0.00613538	0.00328279	0.00235614	0.999906	0.999998	0.999626	0.000848106	0.999152	0.474927	0.179167	0.0335626	0.270496
21	1.93402e-06	0.000391178	0.999112	0.000887672	0.00245834	0.261319	0.00394824	9.80846e-05	0.000105	0.0312099	0.174692	0.00659797	0.00345065	0.00246359	0.999902	0.999998	0.999609	0.000887658	0.999112	0.473819	0.183854	0.0351582	0.271839
22	2.02077e-06	0.000408665	0.999072	0.0009277	0.00256651	0.254453	0.00419817	0.000102469	0.000114622	0.0325451	0.178533	0.00707041	0.00362179	0.00257224	0.999898	0.999998	0.999591	0.000927698	0.999072	0.472601	0.188285	0.0367433	0.273187
23	2.10862e-06	0.000426371	0.999032	0.000968226	0.00267595	0.247751	0.00445654	0.000106909	0.000124823	0.033861	0.18212	0.00755251	0.00379633	0.00268219	0.999893	0.999998	0.999574	0.000968226	0.999032	0.471284	0.192474	0.0383176	0.274543
24	2.19764e-06	0.000444311	0.998991	0.00100928	0.00278675	0.241208	0.00472352	0.000111409	0.000135632	0.035157	0.185468	0.00804412	0.00397441	0.00279353	0.999889	0.999998	0.999556	0.00100928	0.998991	0.469877	0.196434	0.0398806	0.275905
25	2.28793e-06	0.000462502	0.998949	0.00105092	0.00289901	0.23482	0.00499931	0.000115973	0.000147083	0.0364325	0.188589	0.00854515	0.00415619	0.00290636	0.999884	0.999998	0.999537	0.00105092	0.998949	0.468386	0.20018	0.0414318	0.277275
26	2.37958e-06	0.000480967	0.998907	0.00109316	0.00301287	0.228579	0.00528413	0.000120607	0.000159209	0.0376868	0.191494	0.00905553	0.00434186	0.00302083	0.999879	0.999998	0.999519	0.00109316	0.998907	0.466816	0.203722	0.0429709	0.27865
27	2.47273e-06	0.000499727	0.998864	0.00113608	0.00312846	0.22248	0.00557823	0.000125316	0.000172052	0.0389192	0.194197	0.00957522	0.00453162	0.00313707	0.999875	0.999998	0.9995	0.00113608	0.998864	0.465171	0.207072	0.0444974	0.280033
28	2.56749e-06	0.000518812	0.99882	0.00117974	0.00324596	0.216515	0.00588189	0.000130108	0.000185655	0.0401289	0.196706	0.0101043	0.00472572	0.00325525	0.99987	0.999997	0.999481	0.00117974	0.99882	0.463454	0.210242	0.0460108	0.281423
29	2.66403e-06	0.000538251	0.998776	0.00122419	0.00336556	0.210676	0.00619543	0.00013499	0.000200069	0.0413151	0.199032	0.0106427	0.00492442	0.00337556	0.999865	0.999997	0.999462	0.00122419	0.998776	0.461667	0.213241	0.0475106	0.282819
30	2.76253e-06	0.00055808	0.99873	0.00126953	0.00348746	0.204957	0.00651919	0.000139972	0.000215348	0.042477	0.201185	0.0111908	0.00512802	0.00349822	0.99986	0.999997	0.999442	0.00126953	0.99873	0.45981	0.216079	0.0489962	0.284223
31	2.86318e-06	0.000578338	0.998684	0.00131583	0.0036119	0.199348	0.00685358	0.000145063	0.000231556	0.0436136	0.203173	0.0117486	0.00533688	0.00362348	0.999855	0.999997	0.999422	0.00131583	0.998684	0.457883	0.218765	0.0504671	0.285633
32	2.96621e-06	0.000599073	0.998637	0.00136321	0.00373918	0.193842	0.00719905	0.000150276	0.000248764	0.0447238	0.205003	0.0123164	0.00555138	0.00375162	0.99985	0.999997	0.999401	0.00136321	0.998637	0.455885	0.221308	0.0519228	0.287051
33	3.07187e-06	0.000620334	0.998588	0.00141177	0.00386959	0.18843	0.00755611	0.000155623	0.000267054	0.0458065	0.206684	0.0128945	0.00577197	0.00388295	0.999844	0.999997	0.99938	0.00141177	0.998588	0.453816	0.223715	0.0533626	0.288475
34	3.18047e-06	0.000642181	0.998538	0.00146166	0.0040035	0.183105	0.00792535	0.000161119	0.000286518	0.0468606	0.208223	0.0134835	0.00599917	0.00401783	0.999839	0.999997	0.999358	0.00146166	0.998538	0.451672	0.225996	0.0547859	0.289906
35	3.29233e-06	0.000664681	0.998487	0.00151301	0.00414132	0.177858	0.00830741	0.000166782	0.000307263	0.0478846	0.209625	0.0140837	0.00623353	0.00415668	0.999833	0.999997	0.999335	0.00151301	0.998487	0.449451	0.228157	0.056192	0.291345
36	3.40783e-06	0.000687911	0.998434	0.001566	0.0042835	0.17268	0.00870306	0.00017263	0.000329412	0.0488772	0.210896	0.0146958	0.00647573	0.00429997	0.999827	0.999997	0.999312	0.001566	0.998434	0.447149	0.230205	0.0575802	0.292791
37	3.52743e-06	0.000711959	0.998379	0.00162083	0.00443058	0.167562	0.00911315	0.000178687	0.00035311	0.0498365	0.212042	0.0153204	0.00672652	0.00444823	0.999821	0.999996	0.999288	0.00162083	0.998379	0.444762	0.232146	0.0589497	0.294244
38	3.65161e-06	0.000736926	0.998322	0.00167772	0.00458318	0.162497	0.00953867	0.000184979	0.000378521	0.0507609	0.213068	0.0159585	0.00698677	0.0046021	0.999815	0.999996	0.999263	0.00167772	0.998322	0.442284	0.233988	0.0602996	0.295704
39	3.78099e-06	0.000762931	0.998263	0.00173693	0.00474201	0.157473	0.00998075	0.000191535	0.000405841	0.0516483	0.213977	0.016611	0.00725749	0.0047623	0.999808	0.999996	0.999237	0.00173693	0.998263	0.439709	0.235736	0.0616291	0.297171
40	3.91623e-06	0.000790112	0.998201	0.00179878	0.0049079	0.152482	0.0104407	0.000198391	0.000435303	0.0524963	0.214772	0.0172791	0.00753985	0.00492967	0.999802	0.999996	0.99921	0.00179878	0.998201	0.43703	0.237395	0.0629371	0.298646
41	4.05816e-06	0.00081863	0.998136	0.00186363	0.00508184	0.147514	0.0109201	0.000205589	0.00046718	0.0533024	0.215458	0.0179641	0.00783522	0.0051052	0.999794	0.999996	0.999181	0.00186363	0.998136	0.434238	0.238971	0.0642225	0.300128
42	4.20772e-06	0.000848677	0.998068	0.00193189	0.00526498	0.142557	0.0114206	0.000213177	0.000501804	0.0540636	0.216035	0.0186675	0.00814523	0.00529007	0.999787	0.999996	0.999151	0.00193189	0.998068	0.431323	0.240469	0.0654842	0.301617
43	4.36606e-06	0.000880482	0.997996	0.00200407	0.00545871	0.1376	0.0119445	0.000221214	0.000539575	0.0547764	0.216505	0.0193912	0.0084718	0.00548569	0.999779	0.999996	0.99912	0.00200407	0.997996	0.428272	0.241895	0.0667208	0.303114
44	4.53456e-06	0.000914321	0.997919	0.00208079	0.00566469	0.13263	0.0124941	0.000229771	0.00058098	0.0554368	0.216869	0.0201374	0.00881725	0.00569374	0.99977	0.999995	0.999086	0.00208079	0.997919	0.425073	0.243252	0.0679309	0.304618
45	4.7149e-06	0.000950531	0.997837	0.00216278	0.00588497	0.127634	0.0130724	0.000238934	0.000626628	0.0560403	0.217126	0.0209084	0.0091844	0.0059163	0.999761	0.999995	0.999049	0.00216278	0.997837	0.421709	0.244546	0.0691127	0.306129
46	4.90915e-06	0.000989528	0.997749	0.00225096	0.00612205	0.122595	0.0136831	0.000248811	0.000677274	0.0565812	0.217275	0.0217074	0.00957668	0.00615591	0.999751	0.999995	0.99901	0.00225096	0.997749	0.418158	0.245781	0.0702643	0.307649
47	5.11992e-06	0.00103183	0.997654	0.00234646	0.00637909	0.117497	0.0143304	0.000259535	0.000733885	0.0570532	0.217312	0.0225377	0.00999838	0.00641579	0.99974	0.999995	0.998968	0.00234646	0.997654	0.414399	0.246962	0.0713836	0.309175
48	5.35051e-06	0.0010781	0.997549	0.00245074	0.00666009	0.112318	0.0150197	0.000271277	0.000797706	0.0574482	0.217231	0.0234036	0.0104549	0.00669997	0.999729	0.999995	0.998922	0.00245074	0.997549	0.410401	0.248093	0.0724679	0.310709
49	5.60518e-06	0.00112919	0.997434	0.00256564	0.00697022	0.107034	0.0157578	0.000284259	0.000870378	0.0577565	0.217027	0.0243103	0.0109532	0.00701374	0.999716	0.999994	0.998871	0.00256564	0.997434	0.406128	0.249178	0.0735143	0.312251
50	5.88957e-06	0.00118624	0.997306	0.00269362	0.00731632	0.101617	0.016553	0.000298771	0.00095411	0.0579662	0.216688	0.0252638	0.0115023	0.00736403	0.999701	0.999994	0.998814	0.00269362	0.997306	0.401536	0.250222	0.0745192	0.313801
51	6.21129e-06	0.00125075	0.997162	0.00283794	0.00770765	0.0960325	0.0174163	0.000315211	0.00105195	0.0580618	0.216199	0.0262719	0.0121143	0.00776025	0.999685	0.999994	0.998749	0.00283794	0.997162	0.396565	0.251231	0.0754782	0.315358
52	6.58091e-06	0.00132486	0.996997	0.00300315	0.00815706	0.0902357	0.018362	0.000334128	0.00116823	0.0580239	0.215539	0.027344	0.012806	0.00821547	0.999666	0.999993	0.998675	0.00300315	0.996997	0.391142	0.252208	0.0763858	0.316923
53	7.01356e-06	0.00141158	0.996804	0.00319568	0.008683	0.0841716	0.0194091	0.000356315	0.00130933	0.0578263	0.214676	0.0284922	0.0136007	0.00874847	0.999644	0.999993	0.998588	0.00319568	0.996804	0.385166	0.253161	0.0772354	0.318495
54	7.53182e-06	0.00151544	0.996575	0.00342507	0.00931304	0.0777679	0.0205839	0.000382956	0.00148507	0.057434	0.213566	0.0297318	0.0145333	0.00938729	0.999617	0.999992	0.998485	0.00342507	0.996575	0.378499	0.254095	0.0780179	0.320076
55	8.17091e-06	0.00164348	0.996294	0.00370603	0.0100903	0.070928	0.0219236	0.000415911	0.00171134	0.0567978	0.212137	0.0310827	0.0156568	0.0101759	0.999584	0.999992	0.998357	0.00370603	0.996294	0.370946	0.255022	0.0787214	0.321664
56	8.9891e-06	0.00180737	0.995937	0.00406264	0.0110863	0.063519	0.0234825	0.000458272	0.00201564	0.0558468	0.210279	0.0325705	0.0170577	0.0111871	0.999542	0.999991	0.998193	0.00406264	0.995937	0.362216	0.255952	0.0793292	0.32326
57	1.00902e-05	0.00202786	0.995463	0.00453708	0.012429	0.0553537	0.0253429	0.000515593	0.00244973	0.0544739	0.207798	0.0342267	0.0188872	0.0125515	0.999484	0.99999	0.997972	0.00453708	0.995463	0.351853	0.256904	0.0798168	0.324865
58	1.16774e-05	0.00234558	0.99479	0.00521033	0.0143694	0.0461643	0.0276349	0.000598849	0.00312224	0.0525103	0.204332	0.0360839	0.0214343	0.0145255	0.999401	0.999988	0.997654	0.00521033	0.99479	0.33909	0.257907	0.0801452	0.326477
59	1.4201e-05	0.00285034	0.993743	0.00625702	0.0174633	0.0355831	0.0305702	0.000732669	0.00429672	0.0496769	0.199114	0.0381429	0.0253207	0.0176781	0.999267	0.999986	0.99715	0.00625702	0.993743	0.322517	0.259017	0.0802471	0.328097
60	1.88276e-05	0.00377322	0.991887	0.00811275	0.0231264	0.0232587	0.0344858	0.000981788	0.00674239	0.0455042	0.190285	0.040198	0.0320849	0.0234635	0.999018	0.999981	0.996227	0.00811275	0.991887	0.299246	0.260352	0.07999	0.329725
61	2.90561e-05	0.00578931	0.987986	0.0120138	0.0352114	0.00997621	0.0397405	0.00154134	0.0131204	0.0393247	0.172923	0.0409629	0.0458025	0.0358674	0.998459	0.999971	0.994211	0.0120138	0.987986	0.263187	0.262218	0.0790652	0.331361
62	5.25258e-05	0.0101803	0.979479	0.0205211	0.0575202	0.0022969	0.0453734	0.00279155	0.0297858	0.0313522	0.141044	0.0370188	0.0703528	0.0590095	0.997208	0.999947	0.98982	0.0205211	0.979479	0.211712	0.265369	0.0767256	0.333005
63	8.23783e-05	0.015335	0.968099	0.0319007	0.0759988	0.0011032	0.0480628	0.00426217	0.0545969	0.0241337	0.108405	0.0314407	0.0907444	0.0787287	0.995738	0.999918	0.984665	0.0319007	0.968099	0.165083	0.270442	0.0721966	0.334658
64	0.000104501	0.0189628	0.958602	0.0413979	0.0855483	0.000809107	0.0474659	0.00530945	0.0809264	0.0184888	0.0831232	0.0275598	0.101461	0.0895946	0.994691	0.999895	0.981037	0.0413979	0.958602	0.129981	0.277158	0.0659546	0.336318
65	0.000117153	0.0209707	0.952263	0.0477371	0.0892805	0.000695675	0.0448681	0.00589085	0.105992	0.0141673	0.0643748	0.0254135	0.105797	0.0945801	0.994109	0.999883	0.979029	0.0477371	0.952263	0.104651	0.285061	0.0590354	0.337987
66	0.000122529	0.0218091	0.948757	0.0512425	0.0897718	0.000645096	0.0413774	0.0061264	0.128719	0.0108768	0.0506417	0.0246456	0.106552	0.0962077	0.993874	0.999877	0.978191	0.0512425	0.948757	0.0868092	0.293779	0.0522542	0.339664
67	0.000123383	0.0219408	0.947331	0.0526694	0.0886289	0.000622398	0.0376815	0.00615184	0.148861	0.00837568	0.0406318	0.024906	0.105492	0.096072	0.993848	0.999877	0.978059	0.0526694	0.947331	0.0745359	0.303028	0.0460571	0.34135
68	0.000121903	0.02171	0.947221	0.0527794	0.0867913	0.000613399	0.0341357	0.0060713	0.16656	0.00647488	0.0333502	0.0259015	0.103653	0.0951193	0.993929	0.999878	0.97829	0.0527794	0.947221	0.0663399	0.312603	0.0406106	0.343044
69	0.000119514	0.0213365	0.947816	0.0521843	0.0847909	0.000611108	0.0308931	0.00595141	0.182112	0.00502938	0.0280547	0.0273956	0.10162	0.0938966	0.994049	0.99988	0.978664	0.0521843	0.947816	0.0610908	0.322354	0.0359225	0.344746
70	0.000117038	0.0209478	0.948687	0.051313	0.082919	0.000611619	0.0279993	0.0058302	0.195857	0.00392862	0.0241996	0.0291988	0.0997117	0.0927118	0.99417	0.999883	0.979052	0.051313	0.948687	0.0579386	0.332175	0.0319279	0.346457
71	0.000114908	0.0206121	0.949565	0.0504346	0.0813248	0.000612598	0.025449	0.00572744	0.208121	0.00308871	0.021386	0.0311601	0.0980931	0.0917308	0.994273	0.999885	0.979388	0.0504346	0.949565	0.0562475	0.341992	0.0285377	0.348176
72	0.000113322	0.0203617	0.9503	0.0497003	0.0800741	0.000612643	0.023215	0.00565219	0.219199	0.00244611	0.0193241	0.0331608	0.0968378	0.0910341	0.994348	0.999887	0.979638	0.0497003	0.9503	0.0555436	0.351758	0.0256611	0.349904
73	0.000112355	0.0202091	0.950817	0.0491835	0.0791841	0.000610966	0.0212631	0.00560759	0.229343	0.00195282	0.0178035	0.0351094	0.0959671	0.0906513	0.994392	0.999888	0.979791	0.0491835	0.950817	0.0554766	0.36144	0.023216	0.35164
74	0.00011201	0.0201557	0.951089	0.0489106	0.0786446	0.000607197	0.0195586	0.00559367	0.238766	0.00157263	0.0166717	0.0369389	0.0954725	0.0905829	0.994406	0.999888	0.979844	0.0489106	0.951089	0.0557904	0.371021	0.0211312	0.353385
75	0.000112261	0.0201973	0.951117	0.0488826	0.078431	0.000601261	0.018069	0.00560897	0.24764	0.00127822	0.0158187	0.0386029	0.0953303	0.090813	0.994391	0.999888	0.979803	0.0488826	0.951117	0.0563011	0.380492	0.0193472	0.355139
76	0.000113067	0.0203274	0.950913	0.0490873	0.0785131	0.00059327	0.0167652	0.00565146	0.2561	0.00104902	0.0151651	0.040073	0.0955094	0.0913181	0.994349	0.999887	0.979673	0.0490873	0.950913	0.0568805	0.389851	0.0178142	0.356901
77	0.000114385	0.0205386	0.950492	0.0495079	0.0788592	0.000583453	0.0156216	0.00571899	0.264253	0.000869504	0.0146538	0.041335	0.0959772	0.0920719	0.994281	0.999886	0.979461	0.0495079	0.950492	0.0574418	0.399101	0.0164911	0.358672
78	0.000116174	0.020824	0.949874	0.0501264	0.0794394	0.000572094	0.0146157	0.00580956	0.272177	0.000727976	0.0142439	0.042386	0.0967021	0.0930482	0.99419	0.999884	0.979176	0.0501264	0.949874	0.0579299	0.408246	0.0153437	0.360452
79	0.000118399	0.0211773	0.949074	0.0509262	0.0802266	0.000559496	0.0137282	0.00592148	0.279929	0.000615601	0.013906	0.0432313	0.0976551	0.0942231	0.994079	0.999882	0.978823	0.0509262	0.949074	0.0583124	0.417293	0.0143438	0.36224
80	0.000121033	0.0215932	0.948107	0.0518929	0.0811976	0.000545949	0.0129421	0.00605337	0.287552	0.000525692	0.0136195	0.0438821	0.0988108	0.0955752	0.993947	0.999879	0.978407	0.0518929	0.948107	0.0585732	0.426251	0.0134678	0.364038
81	0.000124055	0.0220675	0.946985	0.0530148	0.0823329	0.00053172	0.012243	0.00620421	0.295071	0.000453178	0.0133697	0.0443531	0.100147	0.0970864	0.993796	0.999876	0.977933	0.0530148	0.946985	0.0587076	0.435127	0.0126962	0.365844
82	0.00012745	0.022597	0.945717	0.054283	0.0836164	0.000517038	0.0116181	0.00637331	0.302505	0.000394196	0.0131464	0.0446605	0.101646	0.0987416	0.993627	0.999873	0.977403	0.054283	0.945717	0.0587181	0.443928	0.0120123	0.36766
83	0.000131212	0.0231796	0.944309	0.0556912	0.0850356	0.000502097	0.0110565	0.00656034	0.309863	0.0003458	0.0129425	0.0448215	0.103293	0.100529	0.99344	0.999869	0.97682	0.0556912	0.944309	0.0586119	0.452662	0.0114023	0.369484
84	0.000135342	0.0238141	0.942764	0.0572355	0.086581	0.000487055	0.0105487	0.00676529	0.317149	0.000305732	0.0127531	0.0448525	0.105076	0.102438	0.993235	0.999865	0.976186	0.0572355	0.942764	0.0583984	0.461335	0.0108544	0.371318
85	0.000139844	0.0245003	0.941085	0.0589147	0.0882457	0.000472037	0.0100865	0.00698845	0.324363	0.000272253	0.012575	0.0447691	0.106986	0.104464	0.993012	0.99986	0.9755	0.0589147	0.941085	0.0580884	0.469953	0.0103588	0.37316
86	0.000144734	0.0252387	0.93927	0.0607299	0.0900256	0.000457138	0.009663	0.00723049	0.331504	0.000244018	0.012406	0.0445856	0.109017	0.106601	0.99277	0.999855	0.974761	0.0607299	0.93927	0.0576927	0.478521	0.00990702	0.375012
87	0.00015003	0.026031	0.937316	0.0626842	0.0919185	0.00044243	0.00927196	0.00749237	0.338566	0.000219983	0.0122445	0.0443145	0.111165	0.108847	0.992508	0.99985	0.973969	0.0626842	0.937316	0.0572214	0.487044	0.00949194	0.376873
88	0.000155762	0.0268795	0.935217	0.0647835	0.0939245	0.000427962	0.00890816	0.00777545	0.345544	0.000199332	0.0120896	0.0439671	0.113429	0.111202	0.992225	0.999844	0.97312	0.0647835	0.935217	0.0566841	0.495526	0.00910749	0.378743
89	0.000161965	0.0277878	0.932964	0.0670356	0.0960456	0.000413769	0.00856707	0.00808149	0.35243	0.000181425	0.0119408	0.0435528	0.115809	0.113667	0.991919	0.999838	0.972212	0.0670356	0.932964	0.0560888	0.503969	0.0087485	0.380623
90	0.000168686	0.0287603	0.930549	0.0694511	0.0982856	0.00039987	0.0082448	0.0084127	0.359215	0.000165759	0.0117976	0.0430796	0.118308	0.116246	0.991587	0.999831	0.97124	0.0694511	0.930549	0.0554428	0.512378	0.00841056	0.382511
91	0.000175982	0.0298026	0.927956	0.0720436	0.100651	0.000386276	0.00793799	0.00877182	0.36589	0.000151933	0.0116597	0.0425542	0.12093	0.118945	0.991228	0.999824	0.970197	0.0720436	0.927956	0.0547522	0.520755	0.00808992	0.384409
92	0.000183923	0.0309217	0.925171	0.0748294	0.103148	0.000372985	0.00764375	0.00916226	0.372444	0.000139628	0.0115271	0.0419821	0.123681	0.12177	0.990838	0.999816	0.969078	0.0748294	0.925171	0.0540218	0.529102	0.00778337	0.386317
93	0.000192597	0.0321263	0.922171	0.0778288	0.105789	0.000359993	0.00735956	0.00958818	0.378865	0.000128591	0.0113995	0.0413674	0.126572	0.124732	0.990412	0.999807	0.967874	0.0778288	0.922171	0.0532555	0.537421	0.00748815	0.388234
94	0.000202109	0.0334267	0.918934	0.0810664	0.108585	0.000347289	0.00708326	0.0100547	0.385139	0.000118615	0.011277	0.0407134	0.129612	0.127842	0.989945	0.999798	0.966573	0.0810664	0.918934	0.0524563	0.545714	0.00720187	0.390161
95	0.000212594	0.0348357	0.915428	0.0845715	0.111551	0.000334856	0.00681294	0.0105682	0.39125	0.000109536	0.0111593	0.0400226	0.132817	0.131114	0.989432	0.999787	0.965164	0.0845715	0.915428	0.0516264	0.553983	0.00692247	0.392097
96	0.000224217	0.036369	0.91162	0.0883802	0.114707	0.000322676	0.00654691	0.0111365	0.397179	0.000101218	0.0110466	0.0392966	0.136203	0.134566	0.988863	0.999776	0.963631	0.0883802	0.91162	0.050767	0.562229	0.00664813	0.394042
97	0.000237185	0.0380458	0.907464	0.0925358	0.118074	0.000310727	0.00628368	0.0117697	0.402906	9.35528e-05	0.0109386	0.038536	0.13979	0.138219	0.98823	0.999763	0.961954	0.0925358	0.907464	0.0498789	0.570455	0.00637723	0.395998
98	0.000251763	0.0398899	0.902909	0.0970914	0.12168	0.000298985	0.00602186	0.0124801	0.408404	8.64485e-05	0.0108354	0.037741	0.143606	0.1421	0.98752	0.999748	0.96011	0.0970914	0.902909	0.0489619	0.57866	0.00610831	0.397963
99	0.000268293	0.0419311	0.897888	0.102112	0.125557	0.000287423	0.00576017	0.0132839	0.413641	7.98312e-05	0.0107369	0.0369111	0.147679	0.146239	0.986716	0.999732	0.958069	0.102112	0.897888	0.0480153	0.586847	0.00584	0.399937
100	0.000287216	0.0442072	0.892322	0.107678	0.129746	0.000276012	0.00549739	0.014202	0.418582	7.36389e-05	0.0106431	0.0360451	0.15205	0.150675	0.985798	0.999713	0.955793	0.107678	0.892322	0.0470378	0.595016	0.00557103	0.401922
