Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
54	0	3.247e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
55	0	3.247e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
56	0	3.24701e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
57	0	3.24701e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
58	0	3.24701e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
59	0	3.24701e-19	0	0.000467983	9.99001e-06	9.58792e-12	4.01004e-16	0.00440001	0.000149007	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
60	0	3.24701e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149008	4.37796e-13	9.87776e-09	0	0	1.12215e-10	0	0	0
61	0	3.24701e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149008	4.37796e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
62	0	3.24701e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149008	4.37796e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
63	0	3.24701e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149008	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
64	0	3.24701e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149008	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
65	0	3.24701e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149008	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
66	0	3.24701e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149008	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
67	0	3.24702e-19	0	0.000467982	9.99001e-06	9.58792e-12	4.01005e-16	0.00440001	0.000149009	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
68	0	3.24702e-19	0	0.000467981	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.000149009	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
69	0	3.24702e-19	0	0.000467981	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.000149009	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
70	0	3.24702e-19	0	0.000467981	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.000149009	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
71	0	3.24702e-19	0	0.000467981	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.000149009	4.37797e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
72	0	3.24702e-19	0	0.000467981	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.000149009	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
73	0	3.24702e-19	0	0.000467981	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.000149009	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
74	0	3.24702e-19	0	0.000467981	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.000149009	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
75	0	3.24702e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01006e-16	0.00440001	0.00014901	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
76	0	3.24702e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.00014901	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
77	0	3.24702e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.00014901	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
78	0	3.24702e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.00014901	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
79	0	3.24703e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.00014901	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
80	0	3.24703e-19	0	0.00046798	9.99001e-06	9.58792e-12	4.01007e-16	0.00440001	0.00014901	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
