Time	[Glucose in]	[MgATP]	[Glucose 6-phosphate]	[MgADP]	[Fructose 6-phosphate]	[Glyceraldehyde 3-phosphate]	[Dihydroxyacetone phosphate]	[Phosphate]	[NAD]	[NADH]	[3-Phospho-D-glycerate]	[2-Phospho-D-glycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Lactate]	[NADPH]	[NADP]	[AMP]	[ADP]	[Ribulose 5-phosphate]	[Oxidized Glutathione]	[Reduced Glutathione]	[Xylulose 5-phosphate]	[Ribose 5-phosphate]	[Sedoheptulose 7-phosphate]	[Erythrose 4-phosphate]	[MgAMP]	[ATP]	[Mg]	[MgGri23P2]	[Protein1 bound NADP]	[Protein1]	[Protein1 bound NADPH]	[Protein2 bound NADP]	[Protein2]	[Protein2 bound NADPH]	[PRPP]	[External Lactate]	[External Pyruvate]	[Glucose outside]	[Phosphate external]
20	4.5665	1.41786	0.0394747	0.136937	0.0153385	0.0060609	0.149185	0.999207	0.0653436	0.00015638	0.0657852	0.00844475	0.0109428	0.0839899	1.68031	0.00488918	2.34361e-05	0.072263	0.187046	0.00472066	0.000186743	3.11403	0.0127403	0.0140015	0.0154047	0.00626902	0.00241629	0.183477	0.556398	0.686388	5.73906e-06	4.89761e-05	0.0239453	0.00202403	0.000863636	0.0211123	1	1.68	0.084	5	1
21	4.56655	1.41784	0.0394774	0.136924	0.0153396	0.00606106	0.149189	0.99921	0.0653436	0.000156379	0.0657829	0.00844449	0.0109426	0.0839899	1.68031	0.00488918	2.34361e-05	0.0722625	0.187059	0.00472083	0.000186743	3.11403	0.0127408	0.014002	0.0154063	0.00626938	0.00241588	0.183503	0.556309	0.686515	5.73904e-06	4.89761e-05	0.0239453	0.00202402	0.000863636	0.0211123	1	1.68	0.084	5	1
22	4.56659	1.41782	0.0394796	0.136913	0.0153405	0.00606119	0.149192	0.999212	0.0653436	0.000156378	0.065781	0.00844427	0.0109424	0.0839899	1.68031	0.00488918	2.3436e-05	0.072262	0.187069	0.00472098	0.000186743	3.11403	0.0127411	0.0140025	0.0154076	0.00626969	0.00241554	0.183525	0.556234	0.686622	5.73902e-06	4.89761e-05	0.0239453	0.00202402	0.000863636	0.0211123	1	1.68	0.084	5	1
23	4.56662	1.4178	0.0394815	0.136905	0.0153412	0.0060613	0.149194	0.999214	0.0653436	0.000156377	0.0657794	0.00844408	0.0109422	0.08399	1.68031	0.00488918	2.3436e-05	0.0722616	0.187078	0.0047211	0.000186743	3.11403	0.0127415	0.0140028	0.0154087	0.00626994	0.00241526	0.183543	0.556172	0.686711	5.73901e-06	4.89761e-05	0.0239453	0.00202401	0.000863636	0.0211123	1	1.68	0.084	5	1
24	4.56665	1.41778	0.0394831	0.136897	0.0153419	0.00606139	0.149197	0.999216	0.0653436	0.000156376	0.0657781	0.00844393	0.0109421	0.08399	1.68031	0.00488918	2.34359e-05	0.0722613	0.187085	0.0047212	0.000186743	3.11403	0.0127417	0.0140031	0.0154096	0.00627016	0.00241502	0.183558	0.556119	0.686786	5.739e-06	4.89761e-05	0.0239453	0.00202401	0.000863636	0.0211124	1	1.68	0.084	5	1
25	4.56668	1.41777	0.0394844	0.136891	0.0153424	0.00606146	0.149199	0.999217	0.0653436	0.000156375	0.065777	0.0084438	0.010942	0.08399	1.68031	0.00488918	2.34359e-05	0.0722611	0.187092	0.00472128	0.000186743	3.11403	0.012742	0.0140034	0.0154104	0.00627034	0.00241482	0.183571	0.556075	0.686849	5.73899e-06	4.89761e-05	0.0239453	0.00202401	0.000863636	0.0211124	1	1.68	0.084	5	1
26	4.5667	1.41776	0.0394856	0.136886	0.0153428	0.00606153	0.1492	0.999219	0.0653436	0.000156375	0.065776	0.00844369	0.0109419	0.08399	1.68031	0.00488918	2.34359e-05	0.0722608	0.187097	0.00472135	0.000186743	3.11403	0.0127422	0.0140036	0.015411	0.00627049	0.00241465	0.183582	0.556039	0.686901	5.73899e-06	4.89761e-05	0.0239453	0.00202401	0.000863636	0.0211124	1	1.68	0.084	5	1
27	4.56671	1.41775	0.0394865	0.136881	0.0153432	0.00606158	0.149201	0.99922	0.0653436	0.000156374	0.0657752	0.0084436	0.0109418	0.08399	1.68031	0.00488918	2.34358e-05	0.0722607	0.187101	0.00472141	0.000186743	3.11403	0.0127423	0.0140038	0.0154116	0.00627062	0.00241451	0.183591	0.556008	0.686946	5.73898e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
28	4.56673	1.41774	0.0394873	0.136878	0.0153435	0.00606163	0.149203	0.999221	0.0653436	0.000156374	0.0657746	0.00844352	0.0109417	0.08399	1.68031	0.00488918	2.34358e-05	0.0722605	0.187105	0.00472146	0.000186743	3.11403	0.0127425	0.0140039	0.015412	0.00627072	0.0024144	0.183599	0.555981	0.686983	5.73898e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
29	4.56674	1.41774	0.0394879	0.136874	0.0153438	0.00606167	0.149204	0.999221	0.0653436	0.000156373	0.065774	0.00844346	0.0109417	0.08399	1.68031	0.00488918	2.34358e-05	0.0722604	0.187108	0.0047215	0.000186743	3.11403	0.0127426	0.014004	0.0154124	0.00627081	0.0024143	0.183605	0.55596	0.687014	5.73897e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
30	4.56675	1.41773	0.0394885	0.136872	0.015344	0.0060617	0.149204	0.999222	0.0653436	0.000156373	0.0657735	0.00844341	0.0109416	0.08399	1.68031	0.00488918	2.34358e-05	0.0722602	0.187111	0.00472154	0.000186743	3.11403	0.0127427	0.0140041	0.0154127	0.00627089	0.00241422	0.183611	0.555942	0.687039	5.73897e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
31	4.56676	1.41773	0.0394889	0.13687	0.0153442	0.00606172	0.149205	0.999222	0.0653436	0.000156373	0.0657732	0.00844336	0.0109416	0.08399	1.68031	0.00488918	2.34358e-05	0.0722602	0.187113	0.00472157	0.000186743	3.11403	0.0127427	0.0140042	0.015413	0.00627095	0.00241415	0.183615	0.555926	0.687062	5.73897e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
32	4.56676	1.41772	0.0394893	0.136868	0.0153443	0.00606175	0.149206	0.999223	0.0653436	0.000156373	0.0657728	0.00844332	0.0109416	0.08399	1.68031	0.00488918	2.34358e-05	0.0722601	0.187115	0.00472159	0.000186743	3.11403	0.0127428	0.0140043	0.0154132	0.006271	0.00241409	0.183619	0.555914	0.68708	5.73896e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
33	4.56677	1.41772	0.0394897	0.136866	0.0153445	0.00606177	0.149206	0.999223	0.0653436	0.000156372	0.0657726	0.00844329	0.0109415	0.08399	1.68031	0.00488918	2.34358e-05	0.07226	0.187116	0.00472161	0.000186743	3.11403	0.0127429	0.0140044	0.0154134	0.00627105	0.00241404	0.183622	0.555903	0.687095	5.73896e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
34	4.56677	1.41772	0.0394899	0.136865	0.0153446	0.00606178	0.149206	0.999223	0.0653436	0.000156372	0.0657723	0.00844326	0.0109415	0.08399	1.68031	0.00488918	2.34358e-05	0.07226	0.187117	0.00472163	0.000186743	3.11403	0.0127429	0.0140044	0.0154136	0.00627108	0.002414	0.183625	0.555894	0.687108	5.73896e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
35	4.56678	1.41772	0.0394902	0.136864	0.0153447	0.0060618	0.149207	0.999224	0.0653436	0.000156372	0.0657721	0.00844324	0.0109415	0.08399	1.68031	0.00488918	2.34357e-05	0.0722599	0.187119	0.00472164	0.000186743	3.11403	0.0127429	0.0140045	0.0154137	0.00627111	0.00241396	0.183627	0.555886	0.687119	5.73896e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
36	4.56678	1.41771	0.0394904	0.136863	0.0153447	0.00606181	0.149207	0.999224	0.0653436	0.000156372	0.065772	0.00844322	0.0109415	0.08399	1.68031	0.00488918	2.34357e-05	0.0722599	0.187119	0.00472166	0.000186743	3.11403	0.012743	0.0140045	0.0154138	0.00627114	0.00241393	0.183629	0.55588	0.687128	5.73896e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
37	4.56678	1.41771	0.0394905	0.136862	0.0153448	0.00606182	0.149207	0.999224	0.0653436	0.000156372	0.0657718	0.00844321	0.0109415	0.08399	1.68031	0.00488918	2.34357e-05	0.0722599	0.18712	0.00472167	0.000186743	3.11403	0.012743	0.0140045	0.0154139	0.00627116	0.00241391	0.18363	0.555874	0.687136	5.73896e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
38	4.56679	1.41771	0.0394906	0.136862	0.0153449	0.00606182	0.149207	0.999224	0.0653436	0.000156372	0.0657717	0.00844319	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722598	0.187121	0.00472168	0.000186743	3.11403	0.012743	0.0140045	0.015414	0.00627118	0.00241389	0.183632	0.55587	0.687142	5.73896e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
39	4.56679	1.41771	0.0394908	0.136861	0.0153449	0.00606183	0.149208	0.999224	0.0653436	0.000156372	0.0657716	0.00844318	0.0109414	0.08399	1.68031	0.00488918	2.34357e-05	0.0722598	0.187121	0.00472168	0.000186743	3.11403	0.012743	0.0140046	0.0154141	0.00627119	0.00241387	0.183633	0.555866	0.687147	5.73895e-06	4.89761e-05	0.0239453	0.002024	0.000863637	0.0211124	1	1.68	0.084	5	1
