Time	[AcanmRNA]	[ADAMTS5]	[AGEprod]	[Alk1]	[Alk1_Alk5]	[Alk5]	[Alk5_dimer]	[Bax]	[Bax_Bcl2]	[Bax_Bcl2_Beclin]	[Bax_Bcl2_Beclin_I]	[Bcl2]	[Bcl2_Beclin]	[Bcl2_Beclin_I]	[Beclin]	[Beclin_I]	[Caspase_A]	[Caspase_I]	[Col2mRNA]	[DamP]	[IkB]	[IkB_NFkB]	[IL1]	[Lys_A]	[Lys_I]	[MMP13]	[MMP2]	[NatP]	[NFkB]	[NFkB_P]	[p38]	[p38_P]	[proMMP13]	[proMMP2]	[RAGE]	[ROS]	[Runx2_A]	[Runx2_I]	[Smad1]	[Smad1_P]	[Smad1_P_Smad4]	[Smad2]	[Smad2_P]	[Smad2_P_Smad4]	[Smad4]	[Smad7]	[SOD]	[Sox9]	[Sox9_A]	[Sox9mRNA]	[Tgfb_A]	[Tgfb_Alk1_Alk5]	[Tgfb_Alk1_Alk5_Smad7]	[Tgfb_Alk5_dimer]	[Tgfb_Alk5_dimer_Smad7]	[AggFrag]	[Aggrecan]	[Aggrecan_Collagen2]	[ColFrag]	[Collagen2]	[Integrin]	[Tgfb_I]	[Sink]	[Source]	[IntegrinCount]
10	8.0799e-19	1.58182e-11	1e-05	429.988	70.0117	214.257	107.865	0.00365037	90.6478	9.3486	2.62297e-09	27.3854	26.6343	3.91551e-09	74.0171	3.6616e-07	7.3451e-05	99.9999	2.63667e-16	0.0198136	3.16149e-09	99.998	1.56546e-08	39.9995	360	1.69985e-16	2.65639e-20	1500	0.00199545	1.2484e-06	99.8102	0.189821	1.01229e-12	1.58196e-13	5.01494e-08	1.99349	2.68867e-12	100	600	3.37078e-10	1.77173e-11	600	1.56664e-09	1.69631e-10	600	2.61746e-15	1.9801	100	1.31484e-13	9.9901	3.36187e-06	1.34917e-08	1.60883e-23	3.2414e-08	1.5656e-27	2.65622e-17	9.47857e-25	1000	3.51289e-41	2.65623e-17	3.99002e-06	200	0	1	4e-06
11	1.64633e-18	2.53427e-11	1.1e-05	426.253	73.7467	202.122	112.065	0.00368354	90.7069	9.28944	3.15156e-09	27.1387	26.7877	4.70333e-09	73.9228	4.01888e-07	8.80607e-05	99.9999	4.8612e-16	0.0217747	4.60415e-09	99.9978	2.27766e-08	39.9995	360	2.99792e-16	4.68496e-20	1500	0.00219436	1.6507e-06	99.7923	0.207726	1.62179e-12	2.5345e-13	6.07384e-08	1.99285	5.03098e-12	100	600	5.17049e-10	2.99926e-11	600	2.36057e-09	2.82531e-10	600	4.82207e-15	1.97812	100	2.42348e-13	9.98912	3.99842e-06	1.87829e-08	4.56702e-23	4.45538e-08	4.38977e-27	4.68464e-17	2.13299e-24	1000	1.20186e-40	4.68465e-17	4.38792e-06	200	0	1	4.4e-06
12	3.14291e-18	3.89518e-11	1.2e-05	422.835	77.1647	191.24	115.797	0.00371696	90.765	9.23129	3.72443e-09	26.8946	26.9394	5.55684e-09	73.8293	4.37471e-07	0.000103848	99.9999	8.46876e-16	0.023732	6.48615e-09	99.9976	3.20569e-08	39.9995	360.001	5.03042e-16	7.86134e-20	1500	0.00239313	2.12899e-06	99.7746	0.225442	2.49268e-12	3.89557e-13	7.23602e-08	1.99222	8.88965e-12	100	600	7.61731e-10	4.83514e-11	600	3.41904e-09	4.48456e-10	600	8.39409e-15	1.97614	100	4.22079e-13	9.98813	4.67767e-06	2.53303e-08	1.17637e-22	5.93801e-08	1.11786e-26	7.86075e-17	4.45925e-24	1000	3.68945e-40	7.86076e-17	4.78563e-06	200	0	1	4.8e-06
13	5.68127e-18	5.78189e-11	1.3e-05	419.7	80.3002	181.437	119.131	0.00375063	90.8221	9.17413	4.34063e-09	26.6531	27.0894	6.47457e-09	73.7364	4.72911e-07	0.000120778	99.9999	1.40698e-15	0.0256858	8.88622e-09	99.9974	4.3878e-08	39.9994	360.001	8.09526e-16	1.26511e-19	1500	0.00259176	2.68905e-06	99.757	0.242972	3.70004e-12	5.78252e-13	8.50218e-08	1.99159	1.49713e-11	100	600	1.08492e-09	7.4821e-11	600	4.79136e-09	6.83726e-10	600	1.39349e-14	1.97417	100	7.01033e-13	9.98714	5.39716e-06	3.32633e-08	2.79459e-22	7.71306e-08	2.62749e-26	1.26501e-16	8.7653e-24	1000	1.03555e-39	1.26501e-16	5.18314e-06	200	0	1	5.2e-06
14	9.80424e-18	8.33155e-11	1.4e-05	416.817	83.1827	172.569	122.123	0.00378454	90.8783	9.11794	4.99921e-09	26.4142	27.2378	7.45507e-09	73.6443	5.08213e-07	0.00013882	99.9999	2.24519e-15	0.0276358	1.18887e-08	99.9972	5.86494e-08	39.9994	360.001	1.25717e-15	1.96471e-19	1500	0.00279023	3.3365e-06	99.7397	0.260318	5.33163e-12	8.33253e-13	9.87306e-08	1.99096	2.42046e-11	100	600	1.50152e-09	1.11823e-10	600	6.52934e-09	1.0074e-09	600	2.22191e-14	1.9722	100	1.11835e-12	9.98615	6.15454e-06	4.27068e-08	6.19672e-22	9.80314e-08	5.76877e-26	1.96453e-16	1.63495e-23	1000	2.69101e-39	1.96454e-16	5.58045e-06	200	0	1	5.6e-06
15	1.62575e-17	1.17024e-10	1.5e-05	414.163	85.8374	164.517	124.822	0.00381871	90.9335	9.0627	5.69926e-09	26.1777	27.3844	8.49694e-09	73.5529	5.43379e-07	0.000157942	99.9998	3.46077e-15	0.0295822	1.55834e-08	99.997	7.68057e-08	39.9993	360.001	1.89334e-15	2.95895e-19	1500	0.00298855	4.0768e-06	99.7225	0.277482	7.48869e-12	1.17039e-12	1.13494e-07	1.99033	3.77812e-11	100	600	2.0275e-09	1.62196e-10	600	8.68694e-09	1.44138e-09	600	3.42219e-14	1.97022	99.9999	1.72336e-12	9.98516	6.94759e-06	5.37803e-08	1.29488e-21	1.22297e-07	1.19439e-25	2.95867e-16	2.91502e-23	1000	6.54165e-39	2.95868e-16	5.97756e-06	200	0	1	6e-06
16	2.60397e-17	1.6075e-10	1.6e-05	411.714	88.2864	157.18	127.266	0.00385314	90.9878	9.00839	6.43987e-09	25.9438	27.5294	9.5988e-09	73.4622	5.78414e-07	0.000178113	99.9998	5.1764e-15	0.031525	2.00656e-08	99.9968	9.88065e-08	39.9993	360.001	2.77624e-15	4.33882e-19	1500	0.00318671	4.91524e-06	99.7055	0.294465	1.02868e-11	1.60772e-12	1.29322e-07	1.98971	5.71987e-11	100	600	2.67978e-09	2.29225e-10	600	1.13199e-08	2.01045e-09	600	5.11463e-14	1.96825	99.9999	2.57694e-12	9.98417	7.77424e-06	6.65984e-08	2.56985e-21	1.5013e-07	2.35014e-25	4.33838e-16	4.99733e-23	1000	1.50038e-38	4.3384e-16	6.37447e-06	200	0	1	6.4e-06
17	4.04591e-17	2.16535e-10	1.7e-05	409.451	90.549	150.475	129.487	0.00388781	91.0411	8.95501	7.22017e-09	25.7123	27.6728	1.07593e-08	73.3722	6.1332e-07	0.000199302	99.9998	7.54106e-15	0.0334642	2.54354e-08	99.9966	1.25135e-07	39.9992	360.001	3.97637e-15	6.21451e-19	1500	0.0033847	5.85693e-06	99.6887	0.31127	1.38565e-11	2.16566e-12	1.46222e-07	1.98909	8.43058e-11	100	600	3.47612e-09	3.16654e-10	600	1.44854e-08	2.74236e-09	600	7.44512e-14	1.96629	99.9999	3.75303e-12	9.98318	8.6325e-06	8.127e-08	4.87575e-21	1.81722e-07	4.42322e-25	6.21385e-16	8.27747e-23	1000	3.27203e-38	6.21387e-16	6.77118e-06	200	0	1	6.8e-06
18	6.11968e-17	2.86668e-10	1.8e-05	407.358	92.6419	144.329	131.514	0.00392275	91.0936	8.90253	8.0393e-09	25.4832	27.8146	1.19772e-08	73.2829	6.48101e-07	0.000221481	99.9998	1.07331e-14	0.0353998	3.17981e-08	99.9964	1.56297e-07	39.9992	360.001	5.57809e-15	8.71788e-19	1500	0.00358252	6.90684e-06	99.6721	0.327898	1.83444e-11	2.86712e-12	1.64204e-07	1.98847	1.2135e-10	100	600	4.4351e-09	4.28705e-10	600	1.82417e-08	3.66783e-09	600	1.0588e-13	1.96432	99.9999	5.34007e-12	9.9822	9.52053e-06	9.78984e-08	8.88995e-21	2.17256e-07	8.00448e-25	8.7169e-16	1.32999e-22	1000	6.82273e-38	8.71692e-16	7.1677e-06	200	0	1	7.2e-06
19	9.03769e-17	3.73696e-10	1.9e-05	405.42	94.5802	138.681	133.369	0.00395794	91.1451	8.85093	8.89641e-09	25.2566	27.9548	1.32511e-08	73.1942	6.8276e-07	0.000244619	99.9998	1.49631e-14	0.0373317	3.92637e-08	99.9962	1.9282e-07	39.9991	360.001	7.68121e-15	1.2005e-18	1500	0.00378017	8.06977e-06	99.6556	0.344352	2.39134e-11	3.73756e-12	1.83278e-07	1.98786	1.71025e-10	100	600	5.57599e-09	5.70096e-10	600	2.26481e-08	4.82059e-09	600	1.47489e-13	1.96236	99.9999	7.44245e-12	9.98121	1.04366e-05	1.16582e-07	1.56441e-20	2.56902e-07	1.39873e-24	1.20035e-15	2.07986e-22	1000	1.36635e-37	1.20036e-15	7.56401e-06	200	0	1	7.6e-06
20	1.30643e-16	4.80435e-10	2e-05	403.623	96.3769	133.478	135.072	0.00399339	91.1958	8.8002	9.79068e-09	25.0323	28.0935	1.45798e-08	73.1063	7.173e-07	0.00026869	99.9997	2.0477e-14	0.03926	4.79469e-08	99.996	2.35253e-07	39.9991	360.001	1.04027e-14	1.62586e-18	1500	0.00397763	9.35038e-06	99.6394	0.360632	3.07436e-11	4.80516e-12	2.03455e-07	1.98725	2.36521e-10	100	600	6.91869e-09	7.46049e-10	600	2.77645e-08	6.23733e-09	600	2.01676e-13	1.9604	99.9999	1.0182e-11	9.98022	1.13789e-05	1.37412e-07	2.66695e-20	3.00822e-07	2.36888e-24	1.62565e-15	3.17452e-22	1000	2.63897e-37	1.62566e-15	7.96013e-06	200	0	1	8e-06
21	1.85241e-16	6.0998e-10	2.1e-05	401.956	98.0438	128.674	136.64	0.00402909	91.2457	8.75032	1.07213e-08	24.8103	28.2306	1.59622e-08	73.0191	7.51723e-07	0.000293666	99.9997	2.75591e-14	0.0411848	5.79668e-08	99.9958	2.84164e-07	39.999	360.001	1.38784e-14	2.16911e-18	1500	0.00417492	1.07532e-05	99.6233	0.376741	3.90332e-11	6.10088e-12	2.24745e-07	1.98664	3.21577e-10	100	600	8.48366e-09	9.62298e-10	600	3.36512e-08	7.95772e-09	600	2.71205e-13	1.95844	99.9999	1.36994e-11	9.97923	1.23461e-05	1.60476e-07	4.41861e-20	3.49169e-07	3.90069e-24	2.16882e-15	4.74053e-22	1000	4.93402e-37	2.16883e-15	8.35605e-06	200	0	1	8.4e-06
22	2.58114e-16	7.65715e-10	2.2e-05	400.409	99.5914	124.229	138.089	0.00406507	91.2947	8.70127	1.16875e-08	24.5907	28.3662	1.73969e-08	72.9325	7.86034e-07	0.000319519	99.9997	3.65349e-14	0.043106	6.94467e-08	99.9956	3.40142e-07	39.999	360.001	1.8265e-14	2.85473e-18	1500	0.00437201	1.22825e-05	99.6073	0.392681	4.89986e-11	7.65857e-12	2.4716e-07	1.98603	4.30532e-10	100	600	1.02918e-08	1.2251e-09	600	4.03687e-08	1.00244e-08	600	3.59241e-13	1.95648	99.9999	1.81558e-11	9.97824	1.33366e-05	1.85856e-07	7.13438e-20	4.02087e-07	6.26187e-24	2.85434e-15	6.94032e-22	1000	8.95782e-37	2.85435e-15	8.75178e-06	200	0	1	8.8e-06
23	3.53991e-16	9.51323e-10	2.3e-05	398.971	101.029	120.11	139.43	0.0041013	91.3428	8.65305	1.26885e-08	24.3733	28.5003	1.88828e-08	72.8467	8.20234e-07	0.000346223	99.9997	4.77743e-14	0.0450236	8.25142e-08	99.9954	4.03792e-07	39.9989	360.001	2.37416e-14	3.71075e-18	1500	0.00456892	1.39425e-05	99.5915	0.408453	6.08755e-11	9.51508e-12	2.70711e-07	1.98543	5.68374e-10	100	600	1.23645e-08	1.54124e-09	600	4.79777e-08	1.24828e-08	600	4.69369e-13	1.95453	99.9999	2.3734e-11	9.97726	1.43491e-05	2.13629e-07	1.12526e-19	4.59711e-07	9.8231e-24	3.71021e-15	9.97961e-22	1000	1.5834e-36	3.71022e-15	9.1473e-06	200	0	1	9.2e-06
24	4.78497e-16	1.17079e-09	2.4e-05	397.634	102.366	116.284	140.674	0.0041378	91.3902	8.60564	1.37235e-08	24.1583	28.6329	2.04187e-08	72.7615	8.54327e-07	0.000373753	99.9996	6.16941e-14	0.0469376	9.73007e-08	99.9952	4.75739e-07	39.9989	360.001	3.0512e-14	4.76899e-18	1500	0.00476562	1.57373e-05	99.5759	0.424059	7.49192e-11	1.17103e-11	2.95411e-07	1.98482	7.408e-10	100	600	1.47234e-08	1.91802e-09	600	5.65389e-08	1.53814e-08	600	6.05626e-13	1.95257	99.9999	3.06401e-11	9.97627	1.53822e-05	2.43866e-07	1.7372e-19	5.22169e-07	1.50883e-23	4.76827e-15	1.41158e-21	1000	2.73073e-36	4.76829e-15	9.54263e-06	200	0	1	9.6e-06
25	6.38261e-16	1.42843e-09	2.5e-05	396.392	103.608	112.725	141.832	0.00417457	91.4368	8.55902	1.47918e-08	23.9454	28.764	2.20036e-08	72.6769	8.88316e-07	0.000402084	99.9996	7.87612e-14	0.048848	1.13942e-07	99.995	5.56624e-07	39.9988	360.001	3.88065e-14	6.06548e-18	1500	0.00496213	1.76708e-05	99.5605	0.4395	9.14053e-11	1.42874e-11	3.21272e-07	1.98423	9.5426e-10	100	600	1.73906e-08	2.36328e-09	600	6.61125e-08	1.87712e-08	600	7.72526e-13	1.95062	99.9999	3.91045e-11	9.97528	1.64347e-05	2.76634e-07	2.62982e-19	5.89582e-07	2.27327e-23	6.06452e-15	1.96673e-21	1000	4.60389e-36	6.06455e-15	9.93776e-06	200	0	1	1e-05
26	8.41031e-16	1.72887e-09	2.6e-05	395.236	104.764	109.41	142.912	0.0042116	91.4826	8.51317	1.58928e-08	23.7348	28.8937	2.36364e-08	72.5931	9.22202e-07	0.000431191	99.9996	9.94953e-14	0.0507549	1.32576e-07	99.9948	6.47103e-07	39.9988	360.001	4.88839e-14	7.64066e-18	1500	0.00515844	1.97469e-05	99.5452	0.454779	1.1063e-10	1.72925e-11	3.48307e-07	1.98363	1.21602e-09	100	600	2.03882e-08	2.88539e-09	600	7.67589e-08	2.27063e-08	600	9.75083e-13	1.94867	99.9998	4.93839e-11	9.97429	1.75055e-05	3.11996e-07	3.90995e-19	6.62063e-07	3.36478e-23	7.63941e-15	2.70246e-21	1000	7.60176e-36	7.63944e-15	1.03327e-05	200	0	1	1.04e-05
27	1.0958e-15	2.07707e-09	2.7e-05	394.161	105.839	106.317	143.921	0.0042489	91.5277	8.46809	1.70256e-08	23.5263	29.022	2.53159e-08	72.5099	9.55989e-07	0.00046105	99.9995	1.24472e-13	0.0526583	1.53347e-07	99.9946	7.47848e-07	39.9987	360.001	6.10337e-14	9.53981e-18	1500	0.00535454	2.1969e-05	99.5301	0.469898	1.32911e-10	2.07755e-11	3.76529e-07	1.98303	1.5342e-09	100	600	2.37387e-08	3.49325e-09	600	8.85376e-08	2.72432e-08	600	1.21884e-12	1.94672	99.9998	6.17619e-11	9.97331	1.85934e-05	3.5001e-07	5.7174e-19	7.3972e-07	4.89964e-23	9.53819e-15	3.66615e-21	1000	1.23125e-35	9.53823e-15	1.07274e-05	200	0	1	1.08e-05
28	1.41292e-15	2.47834e-09	2.8e-05	393.161	106.839	103.427	144.866	0.00428647	91.572	8.42376	1.81895e-08	23.32	29.1488	2.70412e-08	72.4274	9.89679e-07	0.000491639	99.9995	1.54324e-13	0.0545581	1.76399e-07	99.9944	8.59546e-07	39.9987	360.001	7.55784e-14	1.18133e-17	1500	0.00555043	2.43408e-05	99.5151	0.484856	1.58587e-10	2.47893e-11	4.05952e-07	1.98244	1.91784e-09	100	600	2.74646e-08	4.19627e-09	600	1.01508e-07	3.24411e-08	600	1.50988e-12	1.94478	99.9998	7.65507e-11	9.97232	1.96975e-05	3.90729e-07	8.23287e-19	8.22653e-07	7.02763e-23	1.18112e-14	4.91486e-21	1000	1.95898e-35	1.18113e-14	1.1122e-05	200	0	1	1.12e-05
29	1.80426e-15	2.93831e-09	2.9e-05	392.23	107.77	100.724	145.752	0.00432432	91.6155	8.38016	1.9384e-08	23.1159	29.2743	2.88112e-08	72.3456	1.02328e-06	0.000522933	99.9995	1.89745e-13	0.0564544	2.01883e-07	99.9942	9.82896e-07	39.9986	360.001	9.28754e-14	1.45171e-17	1500	0.00574611	2.68656e-05	99.5003	0.499658	1.8802e-10	2.93904e-11	4.3659e-07	1.98185	2.37695e-09	100	600	3.15886e-08	5.00437e-09	600	1.15729e-07	3.83616e-08	600	1.85488e-12	1.94283	99.9998	9.40923e-11	9.97133	2.08168e-05	4.34204e-07	1.16873e-18	9.10959e-07	9.9396e-23	1.45144e-14	6.51675e-21	1000	3.06561e-35	1.45145e-14	1.15163e-05	200	0	1	1.16e-05
30	2.28333e-15	3.463e-09	3e-05	391.364	108.636	98.1919	146.585	0.00436243	91.6584	8.33728	2.06084e-08	22.9138	29.3984	3.06248e-08	72.2644	1.05678e-06	0.000554911	99.9994	2.31494e-13	0.0583472	2.2995e-07	99.994	1.11861e-06	39.9986	360.001	1.13319e-13	1.77128e-17	1500	0.00594157	2.95467e-05	99.4857	0.514303	2.21594e-10	3.46388e-11	4.68457e-07	1.98126	2.92256e-09	100	600	3.61333e-08	5.928e-09	600	1.31258e-07	4.50691e-08	600	2.26109e-12	1.94089	99.9998	1.1476e-10	9.97034	2.19503e-05	4.8048e-07	1.63726e-18	1.00473e-06	1.38762e-22	1.77094e-14	8.55265e-21	1000	4.7238e-35	1.77095e-14	1.19104e-05	200	0	1	1.2e-05
31	2.86542e-15	4.05876e-09	3.1e-05	390.558	109.442	95.8181	147.369	0.00440083	91.7005	8.29511	2.18619e-08	22.7138	29.5211	3.24812e-08	72.1838	1.09019e-06	0.000587551	99.9994	2.80394e-13	0.0602364	2.60755e-07	99.9938	1.26742e-06	39.9985	360.002	1.37344e-13	2.14683e-17	1500	0.00613682	3.23872e-05	99.4712	0.528793	2.59715e-10	4.05983e-11	5.01568e-07	1.98068	3.56677e-09	100	600	4.11215e-08	6.9781e-09	600	1.48154e-07	5.26299e-08	600	2.73638e-12	1.93895	99.9998	1.38957e-10	9.96936	2.30972e-05	5.29601e-07	2.26546e-18	1.10404e-06	1.91382e-22	2.14641e-14	1.11178e-20	1000	7.17457e-35	2.14642e-14	1.23044e-05	200	0	1	1.24e-05
