Time	[AS_m]	[ASL_m]	[ASoOH_m]	[ASLpOH_m]	[ASpOH_m]	[ASLoOH_m]	[AS_c]	[ASL_c]	[ASpOH_c]	[ASoOH_c]	[ASLpOH_c]	[ASLoOH_c]	[ASpOH_b]	[ASoOH_b]	[ASLpOH_b]	[ASLoOH_b]	[AS_b]	[ASL_b]
22	7482.07	34.9878	23.8667	1.74003	5.34733	3.02112	34125.1	520.924	1441.27	3023.16	266.874	182.945	5109.46	10717.6	946.162	648.608	120984	1846.86
23	7443.69	35.7583	26.3447	1.85757	5.92979	3.21824	34942.2	529.351	1521.89	3170.86	271.539	185.427	5395.31	11241.3	962.703	657.411	123881	1876.74
24	7406.55	36.5124	28.9399	1.97538	6.54339	3.41549	35719.3	537.51	1602.37	3316.49	275.891	187.73	5680.66	11757.6	978.133	665.574	126637	1905.67
25	7370.61	37.2496	31.6507	2.09329	7.188	3.61263	36458.5	545.412	1682.65	3459.97	279.959	189.875	5965.3	12266.3	992.56	673.18	129258	1933.69
26	7335.81	37.9695	34.4752	2.21115	7.86347	3.80947	37161.5	553.068	1762.69	3601.24	283.773	191.883	6249.06	12767.2	1006.08	680.301	131750	1960.83
27	7302.1	38.672	37.4116	2.32882	8.56964	4.00585	37829.9	560.486	1842.42	3740.26	287.357	193.772	6531.76	13260.1	1018.79	686.998	134120	1987.14
28	7269.44	39.3568	40.4581	2.44618	9.30631	4.20162	38465.3	567.676	1921.82	3876.99	290.734	195.557	6813.26	13744.9	1030.76	693.328	136373	2012.63
29	7237.77	40.0242	43.6128	2.56313	10.0733	4.39668	39069.3	574.646	2000.84	4011.4	293.923	197.252	7093.43	14221.5	1042.07	699.337	138515	2037.34
30	7207.07	40.674	46.8739	2.67958	10.8703	4.59091	39643.1	581.402	2079.46	4143.48	296.943	198.868	7372.16	14689.7	1052.78	705.068	140550	2061.3
31	7177.28	41.3066	50.2395	2.79544	11.6972	4.78423	40188.2	587.953	2157.64	4273.21	299.811	200.416	7649.35	15149.7	1062.95	710.557	142482	2084.52
32	7148.36	41.9221	53.7075	2.91065	12.5538	4.97658	40705.9	594.303	2235.36	4400.58	302.54	201.905	7924.91	15601.3	1072.63	715.836	144318	2107.04
33	7120.28	42.5206	57.2763	3.02514	13.4397	5.1679	41197.4	600.461	2312.6	4525.61	305.144	203.342	8198.76	16044.6	1081.86	720.932	146061	2128.87
34	7093	43.1026	60.9437	3.13886	14.3547	5.35813	41663.9	606.432	2389.34	4648.28	307.635	204.735	8470.83	16479.6	1090.69	725.869	147715	2150.04
35	7066.49	43.6683	64.7081	3.25177	15.2986	5.54724	42106.4	612.221	2465.56	4768.62	310.024	206.088	8741.08	16906.2	1099.16	730.669	149284	2170.57
36	7040.72	44.218	68.5674	3.36383	16.271	5.7352	42526.1	617.834	2541.25	4886.63	312.321	207.409	9009.43	17324.6	1107.31	735.35	150772	2190.47
37	7015.64	44.7521	72.5198	3.475	17.2718	5.92198	42924	623.277	2616.39	5002.33	314.533	208.699	9275.86	17734.9	1115.15	739.927	152183	2209.77
38	6991.24	45.2708	76.5634	3.58526	18.3006	6.10758	43301	628.555	2690.98	5115.74	316.668	209.965	9540.32	18137	1122.72	744.413	153520	2228.48
39	6967.48	45.7746	80.6964	3.69458	19.3572	6.29196	43658	633.673	2765.01	5226.88	318.735	211.208	9802.78	18531	1130.05	748.821	154785	2246.63
40	6944.34	46.2638	84.917	3.80294	20.4412	6.47513	43996	638.635	2838.46	5335.78	320.738	212.432	10063.2	18917.1	1137.15	753.16	155984	2264.22
41	6921.79	46.7387	89.2234	3.91033	21.5524	6.65708	44315.7	643.447	2911.34	5442.45	322.684	213.639	10321.6	19295.3	1144.05	757.44	157118	2281.28
42	6899.8	47.1997	93.6137	4.01674	22.6905	6.83781	44618	648.112	2983.63	5546.92	324.577	214.831	10577.9	19665.8	1150.76	761.667	158189	2297.82
43	6878.35	47.6471	98.0862	4.12215	23.8553	7.01732	44903.7	652.635	3055.34	5649.23	326.422	216.011	10832.1	20028.5	1157.3	765.849	159202	2313.86
44	6857.42	48.0813	102.639	4.22657	25.0463	7.19561	45173.4	657.02	3126.45	5749.4	328.224	217.178	11084.3	20383.7	1163.69	769.99	160159	2329.41
45	6836.98	48.5027	107.271	4.32998	26.2634	7.37268	45427.8	661.272	3196.97	5847.46	329.985	218.336	11334.3	20731.3	1169.94	774.094	161061	2344.49
46	6817.02	48.9116	111.98	4.43238	27.5063	7.54855	45667.7	665.395	3266.89	5943.44	331.71	219.485	11582.2	21071.6	1176.05	778.167	161911	2359.1
47	6797.51	49.3083	116.764	4.53378	28.7746	7.72321	45893.7	669.391	3336.22	6037.38	333.4	220.626	11828	21404.7	1182.05	782.211	162713	2373.27
48	6778.44	49.6931	121.622	4.63417	30.068	7.89668	46106.4	673.266	3404.95	6129.3	335.06	221.759	12071.7	21730.6	1187.93	786.229	163467	2387.01
49	6759.78	50.0664	126.552	4.73356	31.3863	8.06897	46306.3	677.022	3473.09	6219.23	336.69	222.885	12313.3	22049.5	1193.71	790.224	164176	2400.33
50	6741.52	50.4285	131.553	4.83195	32.7293	8.24009	46494	680.663	3540.63	6307.22	338.294	224.006	12552.7	22361.4	1199.4	794.196	164841	2413.24
51	6723.65	50.7798	136.623	4.92934	34.0965	8.41004	46670.1	684.192	3607.58	6393.28	339.872	225.12	12790.1	22666.6	1204.99	798.148	165466	2425.75
52	6706.13	51.1204	141.76	5.02574	35.4877	8.57884	46835	687.614	3673.93	6477.47	341.428	226.23	13025.4	22965.1	1210.51	802.081	166050	2437.88
53	6688.97	51.4508	146.963	5.12116	36.9027	8.7465	46989.2	690.93	3739.7	6559.79	342.962	227.334	13258.5	23257	1215.95	805.996	166597	2449.64
54	6672.14	51.7712	152.23	5.2156	38.3411	8.91303	47133.3	694.144	3804.87	6640.3	344.475	228.433	13489.6	23542.4	1221.31	809.893	167108	2461.04
55	6655.64	52.0819	157.561	5.30908	39.8026	9.07844	47267.6	697.26	3869.47	6719.02	345.97	229.528	13718.6	23821.5	1226.61	813.774	167584	2472.08
56	6639.44	52.3831	162.953	5.4016	41.2871	9.24274	47392.6	700.279	3933.48	6795.99	347.447	230.618	13945.6	24094.4	1231.85	817.638	168028	2482.79
57	6623.54	52.6752	168.405	5.49316	42.7941	9.40594	47508.7	703.205	3996.91	6871.23	348.906	231.703	14170.5	24361.2	1237.02	821.487	168439	2493.16
58	6607.91	52.9584	173.916	5.58378	44.3235	9.56806	47616.2	706.041	4059.77	6944.79	350.349	232.784	14393.4	24622	1242.14	825.319	168820	2503.22
59	6592.56	53.233	179.485	5.67347	45.8749	9.7291	47715.5	708.789	4122.06	7016.69	351.777	233.861	14614.2	24876.9	1247.2	829.137	169173	2512.96
60	6577.47	53.4992	185.11	5.76223	47.4482	9.88907	47807.1	711.451	4183.78	7086.96	353.191	234.933	14833	25126.1	1252.21	832.938	169497	2522.4
61	6562.62	53.7572	190.789	5.85008	49.0429	10.048	47891.1	714.031	4244.94	7155.63	354.59	236.001	15049.9	25369.6	1257.17	836.724	169795	2531.55
62	6548.01	54.0073	196.522	5.93703	50.6589	10.2059	47968.1	716.531	4305.54	7222.74	355.976	237.064	15264.7	25607.5	1262.09	840.494	170068	2540.41
63	6533.63	54.2498	202.307	6.02308	52.2958	10.3627	48038.1	718.953	4365.59	7288.32	357.349	238.123	15477.6	25840	1266.95	844.248	170317	2549
64	6519.47	54.4847	208.144	6.10825	53.9535	10.5185	48101.7	721.299	4425.08	7352.4	358.709	239.177	15688.6	26067.2	1271.78	847.986	170542	2557.32
65	6505.52	54.7125	214.03	6.19254	55.6317	10.6733	48158.9	723.571	4484.04	7415	360.057	240.227	15897.6	26289.2	1276.56	851.707	170745	2565.38
66	6491.77	54.9332	219.965	6.27597	57.33	10.8271	48210.2	725.773	4542.45	7476.17	361.393	241.272	16104.7	26506	1281.29	855.413	170927	2573.18
67	6478.2	55.1471	225.947	6.35854	59.0483	10.9799	48255.7	727.905	4600.32	7535.91	362.717	242.312	16309.9	26717.9	1285.99	859.101	171088	2580.74
68	6464.83	55.3544	231.976	6.44027	60.7862	11.1318	48295.8	729.97	4657.67	7594.28	364.031	243.348	16513.2	26924.8	1290.65	862.773	171230	2588.06
69	6451.62	55.5552	238.05	6.52117	62.5436	11.2826	48330.6	731.97	4714.49	7651.29	365.333	244.379	16714.7	27127	1295.26	866.428	171354	2595.16
70	6438.59	55.7498	244.169	6.60124	64.3202	11.4325	48360.4	733.907	4770.79	7706.97	366.625	245.405	16914.3	27324.4	1299.84	870.065	171460	2602.02
71	6425.72	55.9383	250.33	6.6805	66.1158	11.5814	48385.4	735.782	4826.58	7761.35	367.906	246.426	17112.1	27517.2	1304.39	873.686	171548	2608.67
72	6413.01	56.121	256.534	6.75895	67.93	11.7294	48405.8	737.597	4881.85	7814.45	369.176	247.442	17308	27705.5	1308.89	877.288	171621	2615.11
73	6400.44	56.2979	262.779	6.8366	69.7627	11.8764	48421.8	739.355	4936.62	7866.31	370.437	248.453	17502.2	27889.3	1313.36	880.873	171677	2621.34
74	6388.01	56.4693	269.064	6.91347	71.6137	12.0225	48433.6	741.056	4990.89	7916.95	371.687	249.459	17694.6	28068.9	1317.79	884.439	171719	2627.37
75	6375.73	56.6353	275.388	6.98957	73.4826	12.1676	48441.4	742.703	5044.66	7966.4	372.928	250.46	17885.3	28244.2	1322.19	887.987	171747	2633.21
76	6363.57	56.7961	281.75	7.06489	75.3693	12.3119	48445.3	744.297	5097.94	8014.67	374.158	251.455	18074.2	28415.4	1326.55	891.517	171761	2638.86
77	6351.54	56.9518	288.149	7.13946	77.2735	12.4552	48445.6	745.839	5150.74	8061.8	375.379	252.446	18261.4	28582.5	1330.88	895.028	171762	2644.33
78	6339.63	57.1026	294.585	7.21328	79.195	12.5976	48442.3	747.331	5203.05	8107.82	376.591	253.431	18446.9	28745.6	1335.18	898.521	171750	2649.62
79	6327.83	57.2485	301.056	7.28637	81.1335	12.7391	48435.6	748.775	5254.9	8152.73	377.793	254.41	18630.7	28904.9	1339.44	901.995	171726	2654.74
80	6316.15	57.3899	307.562	7.35872	83.0889	12.8798	48425.8	750.172	5306.27	8196.58	378.985	255.385	18812.8	29060.3	1343.67	905.45	171691	2659.69
81	6304.57	57.5267	314.101	7.43035	85.0609	13.0195	48412.8	751.523	5357.18	8239.37	380.169	256.354	18993.3	29212.1	1347.86	908.885	171645	2664.48
82	6293.09	57.6592	320.674	7.50126	87.0494	13.1584	48396.9	752.829	5407.62	8281.14	381.343	257.318	19172.2	29360.2	1352.03	912.302	171589	2669.11
83	6281.71	57.7874	327.278	7.57148	89.054	13.2964	48378.1	754.092	5457.62	8321.91	382.508	258.276	19349.4	29504.7	1356.16	915.699	171523	2673.59
84	6270.43	57.9114	333.913	7.64099	91.0746	13.4335	48356.7	755.314	5507.16	8361.69	383.663	259.229	19525.1	29645.8	1360.25	919.078	171446	2677.92
85	6259.23	58.0315	340.579	7.70982	93.111	13.5698	48332.6	756.494	5556.26	8400.52	384.81	260.176	19699.2	29783.4	1364.32	922.436	171361	2682.11
86	6248.12	58.1477	347.275	7.77797	95.1629	13.7052	48306.1	757.636	5604.92	8438.41	385.948	261.118	19871.7	29917.8	1368.36	925.776	171267	2686.16
87	6237.1	58.26	354	7.84544	97.2302	13.8397	48277.2	758.738	5653.15	8475.37	387.077	262.054	20042.7	30048.8	1372.36	929.096	171165	2690.07
88	6226.15	58.3688	360.753	7.91226	99.3126	13.9735	48246.1	759.804	5700.94	8511.44	388.198	262.985	20212.1	30176.7	1376.33	932.397	171054	2693.84
89	6215.28	58.4739	367.533	7.97841	101.41	14.1063	48212.8	760.833	5748.31	8546.63	389.31	263.911	20380.1	30301.5	1380.27	935.678	170936	2697.49
90	6204.48	58.5756	374.34	8.04392	103.522	14.2384	48177.4	761.827	5795.26	8580.97	390.413	264.831	20546.6	30423.2	1384.18	938.94	170811	2701.02
91	6193.76	58.6739	381.173	8.10879	105.649	14.3696	48140	762.787	5841.8	8614.46	391.507	265.745	20711.6	30542	1388.06	942.183	170678	2704.42
92	6183.1	58.769	388.032	8.17303	107.79	14.5	48100.7	763.714	5887.92	8647.13	392.593	266.655	20875.1	30657.8	1391.91	945.406	170539	2707.71
93	6172.5	58.8609	394.916	8.23664	109.945	14.6296	48059.6	764.608	5933.64	8679	393.671	267.558	21037.2	30770.8	1395.74	948.61	170393	2710.88
94	6161.97	58.9497	401.823	8.29963	112.114	14.7584	48016.8	765.472	5978.96	8710.08	394.74	268.457	21197.9	30881	1399.53	951.795	170242	2713.94
95	6151.5	59.0356	408.754	8.36201	114.297	14.8864	47972.3	766.304	6023.88	8740.4	395.801	269.349	21357.1	30988.5	1403.29	954.961	170084	2716.89
96	6141.08	59.1185	415.708	8.42379	116.494	15.0136	47926.2	767.107	6068.41	8769.97	396.854	270.237	21515	31093.3	1407.02	958.107	169921	2719.74
97	6130.72	59.1986	422.685	8.48497	118.704	15.14	47878.6	767.882	6112.56	8798.8	397.898	271.119	21671.5	31195.6	1410.72	961.235	169752	2722.49
98	6120.41	59.2759	429.683	8.54556	120.927	15.2656	47829.6	768.628	6156.32	8826.92	398.935	271.996	21826.7	31295.3	1414.4	964.343	169578	2725.13
99	6110.16	59.3506	436.702	8.60556	123.163	15.3904	47779.2	769.348	6199.7	8854.33	399.963	272.867	21980.5	31392.5	1418.05	967.432	169399	2727.68
100	6099.95	59.4227	443.742	8.66499	125.412	15.5145	47727.4	770.041	6242.71	8881.06	400.984	273.733	22133	31487.3	1421.66	970.503	169216	2730.14
