Time	[X]	[Xa]	[Xa_ATIII]	[PL]	[PT]	[Va]	[IIa]	[V]	[II]	[IIa_alpha2M]	[IIa_ATIII]	[RVV]
27	5.55302e-37	1.10964e-05	81.2499	9.99988	0.000114273	6.71188	1.01462e-08	6.31154e-12	-4.89604e-40	93.2737	416.026	0.335
28	-3.15341e-38	7.43038e-06	81.2499	9.99992	7.65199e-05	6.71192	3.87752e-09	6.31154e-12	-4.88669e-40	93.2737	416.026	0.335
29	1.58976e-37	4.97556e-06	81.2499	9.99995	5.12399e-05	6.71195	1.48237e-09	6.31154e-12	-4.88045e-40	93.2737	416.026	0.335
30	4.62372e-39	3.33177e-06	81.2499	9.99996	3.43118e-05	6.71196	5.66709e-10	6.31154e-12	-4.87627e-40	93.2737	416.026	0.335
31	3.70483e-39	2.23105e-06	81.25	9.99997	2.29762e-05	6.71198	2.16635e-10	6.31154e-12	-4.87347e-40	93.2737	416.026	0.335
32	1.22637e-40	1.49397e-06	81.25	9.99998	1.53855e-05	6.71198	8.27711e-11	6.31154e-12	-4.8716e-40	93.2737	416.026	0.335
33	5.98237e-42	1.00041e-06	81.25	9.99999	1.03026e-05	6.71199	3.16241e-11	6.31154e-12	-4.87035e-40	93.2737	416.026	0.335
34	3.73556e-43	6.69904e-07	81.25	9.99999	6.89895e-06	6.71199	1.20859e-11	6.31154e-12	-4.86951e-40	93.2737	416.026	0.335
35	5.5716e-43	4.48589e-07	81.25	9.99999	4.61976e-06	6.71199	4.62181e-12	6.31154e-12	-4.86895e-40	93.2737	416.026	0.335
36	1.76378e-43	3.00389e-07	81.25	9.99999	3.09354e-06	6.71199	1.76695e-12	6.31154e-12	-4.86857e-40	93.2737	416.026	0.335
37	-1.36862e-43	2.0115e-07	81.25	9.99999	2.07153e-06	6.712	6.75617e-13	6.31154e-12	-4.86832e-40	93.2737	416.026	0.335
38	-6.08097e-45	1.34696e-07	81.25	10	1.38716e-06	6.712	2.58158e-13	6.31154e-12	-4.86815e-40	93.2737	416.026	0.335
39	-3.05858e-46	9.01969e-08	81.25	10	9.28888e-07	6.712	9.86454e-14	6.31154e-12	-4.86804e-40	93.2737	416.026	0.335
40	-1.4973e-47	6.03987e-08	81.25	10	6.22012e-07	6.712	3.76986e-14	6.31154e-12	-4.86796e-40	93.2737	416.026	0.335
41	4.9877e-47	4.0445e-08	81.25	10	4.16521e-07	6.712	1.44201e-14	6.31154e-12	-4.86791e-40	93.2737	416.026	0.335
42	-3.33625e-47	2.70833e-08	81.25	10	2.78916e-07	6.712	5.51317e-15	6.31154e-12	-4.86788e-40	93.2737	416.026	0.335
43	-5.76733e-47	1.81358e-08	81.25	10	1.86771e-07	6.712	2.10525e-15	6.31154e-12	-4.86786e-40	93.2737	416.026	0.335
44	6.58619e-47	1.21444e-08	81.25	10	1.25068e-07	6.712	8.0697e-16	6.31154e-12	-4.86784e-40	93.2737	416.026	0.335
45	-3.41363e-48	8.1323e-09	81.25	10	8.375e-08	6.712	3.08485e-16	6.31154e-12	-4.86783e-40	93.2737	416.026	0.335
46	-4.55795e-48	5.44568e-09	81.25	10	5.60821e-08	6.712	1.18239e-16	6.31154e-12	-4.86782e-40	93.2737	416.026	0.335
47	2.1151e-49	3.64665e-09	81.25	10	3.75548e-08	6.712	4.52886e-17	6.31154e-12	-4.86782e-40	93.2737	416.026	0.335
48	-3.78949e-48	2.44194e-09	81.25	10	2.51481e-08	6.712	1.73944e-17	6.31154e-12	-4.86782e-40	93.2737	416.026	0.335
49	-9.34414e-49	1.63524e-09	81.25	10	1.68404e-08	6.712	6.64123e-18	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
50	3.00363e-48	1.09505e-09	81.25	10	1.12773e-08	6.712	2.6231e-18	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
51	-2.46028e-48	7.33305e-10	81.25	10	7.55185e-09	6.712	9.96349e-19	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
52	1.70104e-48	4.91076e-10	81.25	10	5.05735e-09	6.712	3.99442e-19	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
53	-8.72594e-49	3.28869e-10	81.25	10	3.38685e-09	6.712	1.64007e-19	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
54	1.15585e-49	2.20236e-10	81.25	10	2.26809e-09	6.712	5.65362e-20	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
55	5.42749e-49	1.47498e-10	81.25	10	1.519e-09	6.712	3.0249e-20	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
56	-3.92389e-49	9.88e-11	81.25	10	1.01749e-09	6.712	2.19893e-20	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
57	-9.41082e-49	6.6187e-11	81.25	10	6.81623e-10	6.712	7.99763e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
58	8.732e-50	4.43339e-11	81.25	10	4.56576e-10	6.712	1.40629e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
59	7.17652e-49	2.97024e-11	81.25	10	3.05858e-10	6.712	1.84538e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
60	-1.25012e-49	1.99071e-11	81.25	10	2.05028e-10	6.712	3.93848e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
61	-2.57319e-49	1.33538e-11	81.25	10	1.37514e-10	6.712	1.4563e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
62	1.74971e-49	8.95406e-12	81.25	10	9.22164e-11	6.712	-1.1616e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
63	1.1715e-49	6.00134e-12	81.25	10	6.18039e-11	6.712	-6.18399e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
64	-1.36948e-49	4.02249e-12	81.25	10	4.14254e-11	6.712	7.64275e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
65	-1.64328e-49	2.70294e-12	81.25	10	2.78361e-11	6.712	7.38337e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
66	-3.64913e-50	1.82361e-12	81.25	10	1.87804e-11	6.712	-1.26179e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
67	1.10403e-49	1.23929e-12	81.25	10	1.27628e-11	6.712	-1.27394e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
68	8.06e-50	8.41794e-13	81.25	10	8.66917e-12	6.712	-1.18524e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
69	-2.63711e-50	5.68373e-13	81.25	10	5.85336e-12	6.712	-3.28883e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
70	-4.58912e-50	3.8166e-13	81.25	10	3.9305e-12	6.712	3.28774e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
71	-1.62369e-50	2.55929e-13	81.25	10	2.63567e-12	6.712	5.10502e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
72	3.74889e-50	1.73339e-13	81.25	10	1.78512e-12	6.712	4.55087e-23	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
73	5.86584e-50	1.21335e-13	81.25	10	1.24956e-12	6.712	-6.16702e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
74	1.01215e-49	9.36754e-14	81.25	10	9.6471e-13	6.712	-1.63815e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
75	3.67975e-50	7.21949e-14	81.25	10	7.43495e-13	6.712	-1.49567e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
76	-6.57578e-51	6.26066e-14	81.25	10	6.44751e-13	6.712	-1.38282e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
77	-1.64407e-50	4.9121e-14	81.25	10	5.0587e-13	6.712	-7.26511e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
78	-3.48914e-50	3.8564e-14	81.25	10	3.97149e-13	6.712	1.07573e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
79	-1.40917e-50	2.73828e-14	81.25	10	2.82e-13	6.712	3.89597e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
80	1.05273e-50	1.66568e-14	81.25	10	1.71539e-13	6.712	5.96207e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
81	1.36626e-50	9.29647e-15	81.25	10	9.57392e-14	6.712	4.22944e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
82	1.30794e-50	4.77789e-15	81.25	10	4.92048e-14	6.712	1.86714e-24	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
83	6.30394e-51	2.81228e-15	81.25	10	2.89621e-14	6.712	-2.73228e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
84	-6.43484e-51	3.22511e-15	81.25	10	3.32136e-14	6.712	-3.69095e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
85	-1.13362e-50	4.246e-15	81.25	10	4.37272e-14	6.712	-3.31363e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
86	-1.89647e-50	6.90961e-15	81.25	10	7.11583e-14	6.712	-5.02083e-23	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
87	-3.62348e-50	1.1789e-14	81.25	10	1.21408e-13	6.712	3.73319e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
88	-3.67557e-50	1.4516e-14	81.25	10	1.49493e-13	6.712	6.64322e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
89	-1.29489e-50	1.33585e-14	81.25	10	1.37572e-13	6.712	6.26577e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
90	-5.18961e-51	1.38576e-14	81.25	10	1.42712e-13	6.712	9.21598e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
91	2.30076e-51	1.26791e-14	81.25	10	1.30575e-13	6.712	1.01886e-21	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
92	2.76079e-51	9.78259e-15	81.25	10	1.00745e-13	6.712	7.14618e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
93	7.21833e-51	5.91326e-15	81.25	10	6.08974e-14	6.712	4.48257e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
94	9.78446e-51	1.92716e-15	81.25	10	1.98468e-14	6.712	1.64958e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
95	6.86698e-51	-7.15813e-16	81.25	10	-7.37176e-15	6.712	-3.62194e-23	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
96	6.68003e-52	-2.30322e-15	81.25	10	-2.37196e-14	6.712	-1.7997e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
97	-3.84677e-51	-3.91665e-15	81.25	10	-4.03354e-14	6.712	-3.50704e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
98	-5.76921e-51	-4.28294e-15	81.25	10	-4.41076e-14	6.712	-3.85363e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
99	-2.56883e-51	-3.34614e-15	81.25	10	-3.446e-14	6.712	-2.44382e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
100	-2.51782e-51	-1.78218e-15	81.25	10	-1.83537e-14	6.712	-1.10268e-22	6.31154e-12	-4.86781e-40	93.2737	416.026	0.335
