Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[ssa]	[suc]	[sca]	[fa]	[mal]	[gly]	[biosyn]
16	0.5	0.0003	0.0001	0.0558248	0.00207135	0.00160941	0.0206142	5.74067	0.084835	0.00397963	0.0102541	5.65669e-06	0.1
17	0.5	0.0003	0.0001	0.0558248	0.00207132	0.00160869	0.0204582	5.69783	0.0845063	0.00397908	0.0102534	5.69214e-06	0.1
18	0.5	0.0003	0.0001	0.0558248	0.00207129	0.00160797	0.020303	5.65515	0.0841788	0.00397853	0.0102527	5.72792e-06	0.1
19	0.5	0.0003	0.0001	0.0558248	0.00207126	0.00160726	0.0201483	5.61263	0.0838523	0.00397796	0.0102519	5.76403e-06	0.1
20	0.5	0.0003	0.0001	0.0558248	0.00207123	0.00160655	0.0199944	5.57028	0.083527	0.0039774	0.0102512	5.80047e-06	0.1
21	0.5	0.0003	0.0001	0.0558248	0.0020712	0.00160584	0.0198411	5.5281	0.0832029	0.00397682	0.0102505	5.83724e-06	0.1
22	0.5	0.0003	0.0001	0.0558248	0.00207117	0.00160513	0.0196885	5.48608	0.0828799	0.00397624	0.0102498	5.87436e-06	0.1
23	0.5	0.0003	0.0001	0.0558248	0.00207113	0.00160443	0.0195365	5.44424	0.0825582	0.00397565	0.010249	5.91181e-06	0.1
24	0.5	0.0003	0.0001	0.0558248	0.0020711	0.00160373	0.0193853	5.40256	0.0822376	0.00397506	0.0102483	5.9496e-06	0.1
25	0.5	0.0003	0.0001	0.0558247	0.00207107	0.00160303	0.0192347	5.36106	0.0819182	0.00397446	0.0102475	5.98774e-06	0.1
26	0.5	0.0003	0.0001	0.0558247	0.00207104	0.00160233	0.0190849	5.31974	0.0816001	0.00397385	0.0102467	6.02622e-06	0.1
27	0.5	0.0003	0.0001	0.0558247	0.002071	0.00160163	0.0189357	5.27859	0.0812832	0.00397324	0.010246	6.06505e-06	0.1
28	0.5	0.0003	0.0001	0.0558247	0.00207097	0.00160094	0.0187873	5.23763	0.0809676	0.00397262	0.0102452	6.10423e-06	0.1
29	0.5	0.0003	0.0001	0.0558247	0.00207094	0.00160025	0.0186395	5.19684	0.0806532	0.00397199	0.0102444	6.14376e-06	0.1
30	0.5	0.0003	0.0001	0.0558247	0.0020709	0.00159957	0.0184925	5.15624	0.0803402	0.00397136	0.0102436	6.18364e-06	0.1
31	0.5	0.0003	0.0001	0.0558247	0.00207087	0.00159888	0.0183463	5.11582	0.0800285	0.00397072	0.0102428	6.22388e-06	0.1
32	0.5	0.0003	0.0001	0.0558247	0.00207084	0.0015982	0.0182007	5.07559	0.079718	0.00397007	0.010242	6.26447e-06	0.1
33	0.5	0.0003	0.0001	0.0558247	0.0020708	0.00159752	0.0180559	5.03555	0.079409	0.00396941	0.0102411	6.30543e-06	0.1
34	0.5	0.0003	0.0001	0.0558247	0.00207077	0.00159684	0.0179119	4.99571	0.0791013	0.00396875	0.0102403	6.34674e-06	0.1
35	0.5	0.0003	0.0001	0.0558247	0.00207073	0.00159617	0.0177686	4.95605	0.0787949	0.00396808	0.0102394	6.38842e-06	0.1
36	0.5	0.0003	0.0001	0.0558247	0.0020707	0.0015955	0.0176261	4.9166	0.07849	0.00396741	0.0102386	6.43046e-06	0.1
37	0.5	0.0003	0.0001	0.0558247	0.00207066	0.00159483	0.0174844	4.87734	0.0781865	0.00396673	0.0102377	6.47286e-06	0.1
38	0.5	0.0003	0.0001	0.0558247	0.00207063	0.00159417	0.0173434	4.83827	0.0778844	0.00396604	0.0102368	6.51562e-06	0.1
39	0.5	0.0003	0.0001	0.0558247	0.00207059	0.00159351	0.0172032	4.79942	0.0775837	0.00396534	0.010236	6.55876e-06	0.1
40	0.5	0.0003	0.0001	0.0558247	0.00207056	0.00159285	0.0170638	4.76076	0.0772846	0.00396463	0.0102351	6.60225e-06	0.1
41	0.5	0.0003	0.0001	0.0558247	0.00207052	0.00159219	0.0169252	4.72231	0.0769869	0.00396392	0.0102342	6.64612e-06	0.1
42	0.5	0.0003	0.0001	0.0558247	0.00207048	0.00159154	0.0167874	4.68407	0.0766907	0.0039632	0.0102332	6.69035e-06	0.1
43	0.5	0.0003	0.0001	0.0558247	0.00207045	0.00159089	0.0166504	4.64605	0.076396	0.00396247	0.0102323	6.73495e-06	0.1
44	0.5	0.0003	0.0001	0.0558247	0.00207041	0.00159024	0.0165143	4.60823	0.0761028	0.00396174	0.0102314	6.77992e-06	0.1
45	0.5	0.0003	0.0001	0.0558247	0.00207037	0.00158959	0.0163789	4.57063	0.0758112	0.003961	0.0102304	6.82526e-06	0.1
46	0.5	0.0003	0.0001	0.0558247	0.00207033	0.00158895	0.0162444	4.53324	0.0755212	0.00396025	0.0102295	6.87097e-06	0.1
47	0.5	0.0003	0.0001	0.0558247	0.0020703	0.00158832	0.0161108	4.49608	0.0752328	0.00395949	0.0102285	6.91704e-06	0.1
48	0.5	0.0003	0.0001	0.0558247	0.00207026	0.00158768	0.015978	4.45914	0.074946	0.00395873	0.0102276	6.96349e-06	0.1
49	0.5	0.0003	0.0001	0.0558247	0.00207022	0.00158705	0.015846	4.42242	0.0746608	0.00395795	0.0102266	7.01029e-06	0.1
50	0.5	0.0003	0.0001	0.0558247	0.00207018	0.00158642	0.0157149	4.38592	0.0743772	0.00395717	0.0102256	7.05747e-06	0.1
51	0.5	0.0003	0.0001	0.0558247	0.00207014	0.0015858	0.0155847	4.34966	0.0740954	0.00395638	0.0102246	7.10501e-06	0.1
52	0.5	0.0003	0.0001	0.0558247	0.0020701	0.00158518	0.0154553	4.31362	0.0738152	0.00395559	0.0102236	7.15291e-06	0.1
53	0.5	0.0003	0.0001	0.0558247	0.00207007	0.00158456	0.0153268	4.27782	0.0735367	0.00395478	0.0102226	7.20117e-06	0.1
54	0.5	0.0003	0.0001	0.0558247	0.00207003	0.00158394	0.0151993	4.24225	0.0732599	0.00395397	0.0102215	7.2498e-06	0.1
55	0.5	0.0003	0.0001	0.0558247	0.00206999	0.00158333	0.0150726	4.20693	0.0729849	0.00395315	0.0102205	7.29878e-06	0.1
56	0.5	0.0003	0.0001	0.0558247	0.00206995	0.00158273	0.0149468	4.17184	0.0727116	0.00395233	0.0102194	7.34812e-06	0.1
57	0.5	0.0003	0.0001	0.0558247	0.00206991	0.00158212	0.0148219	4.13699	0.0724402	0.00395149	0.0102184	7.39781e-06	0.1
58	0.5	0.0003	0.0001	0.0558247	0.00206987	0.00158152	0.014698	4.10238	0.0721705	0.00395065	0.0102173	7.44785e-06	0.1
59	0.5	0.0003	0.0001	0.0558247	0.00206983	0.00158093	0.014575	4.06803	0.0719026	0.0039498	0.0102162	7.49824e-06	0.1
60	0.5	0.0003	0.0001	0.0558246	0.00206978	0.00158034	0.0144529	4.03392	0.0716366	0.00394894	0.0102151	7.54897e-06	0.1
61	0.5	0.0003	0.0001	0.0558246	0.00206974	0.00157975	0.0143317	4.00006	0.0713724	0.00394808	0.010214	7.60005e-06	0.1
62	0.5	0.0003	0.0001	0.0558246	0.0020697	0.00157916	0.0142115	3.96645	0.0711101	0.0039472	0.0102129	7.65146e-06	0.1
63	0.5	0.0003	0.0001	0.0558246	0.00206966	0.00157858	0.0140923	3.9331	0.0708497	0.00394632	0.0102118	7.7032e-06	0.1
64	0.5	0.0003	0.0001	0.0558246	0.00206962	0.001578	0.013974	3.90001	0.0705912	0.00394543	0.0102107	7.75527e-06	0.1
65	0.5	0.0003	0.0001	0.0558246	0.00206958	0.00157743	0.0138567	3.86718	0.0703347	0.00394454	0.0102095	7.80767e-06	0.1
66	0.5	0.0003	0.0001	0.0558246	0.00206954	0.00157686	0.0137403	3.83461	0.0700801	0.00394363	0.0102084	7.86038e-06	0.1
67	0.5	0.0003	0.0001	0.0558246	0.00206949	0.0015763	0.013625	3.8023	0.0698274	0.00394272	0.0102072	7.9134e-06	0.1
68	0.5	0.0003	0.0001	0.0558246	0.00206945	0.00157574	0.0135106	3.77026	0.0695768	0.0039418	0.010206	7.96673e-06	0.1
69	0.5	0.0003	0.0001	0.0558246	0.00206941	0.00157518	0.0133972	3.73849	0.0693281	0.00394087	0.0102049	8.02036e-06	0.1
70	0.5	0.0003	0.0001	0.0558246	0.00206936	0.00157463	0.0132849	3.70699	0.0690815	0.00393994	0.0102037	8.07428e-06	0.1
71	0.5	0.0003	0.0001	0.0558246	0.00206932	0.00157408	0.0131735	3.67576	0.0688369	0.003939	0.0102025	8.1285e-06	0.1
72	0.5	0.0003	0.0001	0.0558246	0.00206928	0.00157353	0.0130632	3.6448	0.0685944	0.00393805	0.0102013	8.18299e-06	0.1
73	0.5	0.0003	0.0001	0.0558246	0.00206924	0.00157299	0.0129539	3.61413	0.0683539	0.0039371	0.0102001	8.23775e-06	0.1
74	0.5	0.0003	0.0001	0.0558246	0.00206919	0.00157246	0.0128456	3.58373	0.0681156	0.00393614	0.0101988	8.29277e-06	0.1
75	0.5	0.0003	0.0001	0.0558246	0.00206915	0.00157193	0.0127383	3.55361	0.0678794	0.00393517	0.0101976	8.34806e-06	0.1
76	0.5	0.0003	0.0001	0.0558246	0.0020691	0.0015714	0.0126321	3.52378	0.0676453	0.00393419	0.0101964	8.40358e-06	0.1
77	0.5	0.0003	0.0001	0.0558246	0.00206906	0.00157088	0.0125269	3.49423	0.0674133	0.00393321	0.0101951	8.45935e-06	0.1
78	0.5	0.0003	0.0001	0.0558246	0.00206902	0.00157036	0.0124228	3.46496	0.0671835	0.00393222	0.0101938	8.51534e-06	0.1
79	0.5	0.0003	0.0001	0.0558246	0.00206897	0.00156985	0.0123197	3.43599	0.0669559	0.00393123	0.0101926	8.57155e-06	0.1
80	0.5	0.0003	0.0001	0.0558246	0.00206893	0.00156934	0.0122177	3.4073	0.0667305	0.00393023	0.0101913	8.62797e-06	0.1
81	0.5	0.0003	0.0001	0.0558246	0.00206888	0.00156883	0.0121168	3.37891	0.0665073	0.00392922	0.01019	8.68458e-06	0.1
82	0.5	0.0003	0.0001	0.0558246	0.00206884	0.00156833	0.0120169	3.35081	0.0662863	0.00392821	0.0101887	8.74138e-06	0.1
83	0.5	0.0003	0.0001	0.0558246	0.00206879	0.00156784	0.0119182	3.323	0.0660675	0.00392719	0.0101874	8.79836e-06	0.1
84	0.5	0.0003	0.0001	0.0558246	0.00206875	0.00156735	0.0118205	3.29549	0.065851	0.00392617	0.0101861	8.8555e-06	0.1
85	0.5	0.0003	0.0001	0.0558246	0.0020687	0.00156686	0.0117239	3.26828	0.0656368	0.00392514	0.0101848	8.91278e-06	0.1
86	0.5	0.0003	0.0001	0.0558246	0.00206866	0.00156638	0.0116284	3.24137	0.0654249	0.00392411	0.0101835	8.97021e-06	0.1
87	0.5	0.0003	0.0001	0.0558246	0.00206861	0.00156591	0.011534	3.21477	0.0652152	0.00392307	0.0101822	9.02776e-06	0.1
88	0.5	0.0003	0.0001	0.0558246	0.00206857	0.00156544	0.0114406	3.18846	0.0650079	0.00392203	0.0101808	9.08542e-06	0.1
89	0.5	0.0003	0.0001	0.0558245	0.00206852	0.00156497	0.0113484	3.16246	0.0648029	0.00392098	0.0101795	9.14318e-06	0.1
90	0.5	0.0003	0.0001	0.0558245	0.00206848	0.00156451	0.0112573	3.13676	0.0646002	0.00391993	0.0101781	9.20102e-06	0.1
91	0.5	0.0003	0.0001	0.0558245	0.00206843	0.00156405	0.0111673	3.11137	0.0643999	0.00391887	0.0101768	9.25893e-06	0.1
92	0.5	0.0003	0.0001	0.0558245	0.00206839	0.0015636	0.0110784	3.08629	0.0642019	0.00391781	0.0101754	9.31689e-06	0.1
93	0.5	0.0003	0.0001	0.0558245	0.00206834	0.00156316	0.0109907	3.06151	0.0640063	0.00391675	0.0101741	9.3749e-06	0.1
94	0.5	0.0003	0.0001	0.0558245	0.0020683	0.00156271	0.010904	3.03704	0.063813	0.00391569	0.0101727	9.43293e-06	0.1
95	0.5	0.0003	0.0001	0.0558245	0.00206825	0.00156228	0.0108185	3.01289	0.0636221	0.00391462	0.0101714	9.49096e-06	0.1
96	0.5	0.0003	0.0001	0.0558245	0.00206821	0.00156185	0.0107341	2.98904	0.0634337	0.00391355	0.01017	9.54899e-06	0.1
97	0.5	0.0003	0.0001	0.0558245	0.00206816	0.00156142	0.0106508	2.96551	0.0632476	0.00391247	0.0101686	9.607e-06	0.1
98	0.5	0.0003	0.0001	0.0558245	0.00206812	0.001561	0.0105687	2.94229	0.0630639	0.0039114	0.0101672	9.66496e-06	0.1
99	0.5	0.0003	0.0001	0.0558245	0.00206807	0.00156059	0.0104877	2.91938	0.0628826	0.00391032	0.0101659	9.72287e-06	0.1
100	0.5	0.0003	0.0001	0.0558245	0.00206803	0.00156018	0.0104078	2.89678	0.0627038	0.00390925	0.0101645	9.7807e-06	0.1
