Time	[EGF]	[EGFR]	[EGF-EGFR]	[EGF-EGFR^2]	[EGF-EGFR*^2]	[EGFRi]	[EGF-EGFR*^2-GAP-Grb2-Prot]	[EGF-EGFRi*^2]	[Proti]	[EGF-EGFRi]	[EGF-EGFRi^2]	[Prot]	[EGFideg]	[GAP]	[EGF-EGFR*^2-GAP]	[EGFi]	[EGF-EGFRi*^2-GAP]	[EGF-EGFRi*^2-GAP-Grb2]	[EGF-EGFRi*^2-GAP-Grb2-Sos]	[EGF-EGFRi*^2-GAP-Grb2-Sos-Ras-GDP]	[EGF-EGFRi*^2-GAP-Grb2-Sos-Ras-GTP]	[Grb2]	[EGF-EGFR*^2-GAP-Grb2]	[Sos]	[EGF-EGFR*^2-GAP-Grb2-Sos]	[Ras-GDP]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GDP]	[Ras-GTP]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GTP]	[Grb2-Sos]	[Shc]	[EGF-EGFR*^2-GAP-Shc]	[EGF-EGFR*^2-GAP-Shc*]	[EGF-EGFR*^2-GAP-Shc*-Grb2]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GDP]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GTP]	[Shc*-Grb2-Sos]	[Shc*-Grb2]	[Shc*]	[Raf]	[Raf-Ras-GTP]	[Ras-GTP*]	[Phosphotase1]	[Raf*]	[Raf*-P'ase]	[MEK]	[MEK-Raf*]	[MEK-P]	[MEK-P-Raf*]	[MEK-PP]	[MEK-PP-P'ase2]	[Phosphatase2]	[MEK-P-P'ase2]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-P-MEK-PP]	[ERK-PP]	[Phosphotase3]	[ERK-PP-P'ase3]	[ERK-P-P'ase3]	[EGF-EGFRi*^2-GAP-Shc]	[EGF-EGFRi*^2-GAP-Shc*]	[EGF-EGFRi*^2-GAP-Shc*-Grb2]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos-Ras-GDP]	[EGF-EGFRi*^2-GAP-Shc*-Grb2-Sos-Ras-GTP]	[Rasi-GTP]	[Rafi-Rasi-GTP]	[Rasi-GTP*]	[Rafi*]	[Rafi*-P'ase]	[MEKi-Rafi*]	[MEKi-P]	[MEKi-P-Rafi*]	[MEKi-PP]	[MEKi-PP-P'ase2i]	[MEKi-P-P'ase2i]	[ERKi-MEKi-PP]	[ERKi-P]	[ERKi-P-MEKi-PP]	[ERKi-PP]	[ERKi-PP-P'ase3i]	[ERKi-P-P'ase3i]	[EGFRideg]	[EGF-EGFRi*^2deg]	[EGF-EGFR*^2-GAP-Grb2-Sos-Prot]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GDP-Prot]	[EGF-EGFR*^2-GAP-Grb2-Sos-Ras-GTP-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GDP-Prot]	[EGF-EGFR*^2-GAP-Shc*-Grb2-Sos-Ras-GTP-Prot]	[t_Raf*]	[t_Ras_GTP]	[t_MEK_PP]	[t_ERK_PP]	[t_SHC_P_t]	[t_EGF_EGFR*]
10	4962	3.13357	304.073	19.9564	259.516	3.12456	479.985	10177.2	0.0480375	850.102	710.887	78467.7	92563.3	3363.07	2.28639e+07	12.2808	7.71466	1195.59	3799.99	0.27832	88.7871	5830.7	163.49	25887.4	571.433	5.53506	0.0543759	1648.45	128.776	31711.6	56751.2	2.71635	19.2662	1.35238	15.6861	0.00149192	3.62204	2040.94	2910.84	39167.8	39971.5	0.708247	64948.2	39985.1	1.74365	12.7215	2.06292e+07	7.98012	896343	1.34686	217521	153.852	1543.5	36586.8	205.518	2.75017	240757	175748	1.05865e+07	4203.55	9.96901e+06	26616.3	0.264468	2.76408	0.20405	3.38094	0.00028763	0.952039	288.911	0.121914	4515.09	0.303558	2.20198	1.38922	42331.2	0.0110706	342.915	0.242535	1715.62	0.00433555	910.928	1.04858	64.352	61.5644	106.926	2.58869	4616.27	1616.28	0.207972	356.838	5.23884	60.3202	0.0164896	13.4071	27.698	1938.19	217864	1.05866e+07	44245.8	19784.5
11	4962	2.55009	245.886	6.16914	73.219	2.98897	385.854	10642.8	0.0395263	875.832	744.033	78916.3	111847	4551.36	1.15545e+07	13.2265	6.94741	1082.11	3441.99	0.239828	83.8826	5977.13	122.54	25894.7	448.304	5.28008	0.0374685	1123.29	101.977	32509.9	56108.3	1.35685	9.61213	0.691968	8.05642	0.000672479	1.89534	2111.44	3022.87	39679.4	39979.8	0.482754	65243.9	39989.3	1.188	8.66834	2.0985e+07	5.53085	553461	0.5667	216891	239.936	2414.43	35385.5	206.132	2.7504	241453	175745	1.05861e+07	4203.72	9.96902e+06	26650.7	0.222279	2.14133	0.160577	2.52544	0.00019415	0.636919	265.018	0.111869	4862.85	0.278576	2.02167	1.29688	30934.8	0.0074253	354.879	0.392578	1959.73	0.00450023	667.999	0.79571	48.5846	46.285	77.0188	2.8544	5522.57	1345.46	0.142722	301.491	3.33627	38.5734	0.00749983	8.75963	19.5584	1388.9	217246	1.05861e+07	44890.1	18908.7
12	4962	2.12092	203.382	2.24402	22.7981	2.85504	300.829	10921	0.0315905	892.895	764.061	79334.7	132517	5720.77	6.35533e+06	14.1167	6.0749	946.655	3011.84	0.202615	75.8376	6129.76	93.9155	25891.2	355.086	5.12169	0.0269419	766.077	81.0356	33340.8	55759.2	0.738118	5.17602	0.382046	4.43911	0.000335861	1.03885	2173.73	3117.58	39903.6	39985.6	0.329297	65424.1	39992.3	0.810022	5.91073	2.13355e+07	3.83413	224264	0.156641	213449	521.131	5330.54	31908.3	212.193	2.78634	245331	175734	1.05823e+07	4205.05	9.96868e+06	27017.3	0.1835	1.62698	0.12397	1.83856	0.000131979	0.390646	238.664	0.100769	5155.59	0.250975	1.8221	1.18791	15974	0.00345572	357.269	0.872253	2239.14	0.00466374	545.803	0.65449	39.7911	37.7901	61.9101	3.10841	6461.22	1088.21	0.0992588	246.167	1.96479	22.7714	0.00342928	5.2401	13.976	1005.17	213807	1.05824e+07	45239.9	17987.1
13	4962	1.81197	172.855	1.19892	10.6801	2.72238	236.35	11018.9	0.0253228	901.781	771.417	79665.1	154492	6756.58	4.34578e+06	14.9519	5.21069	807.378	2568.74	0.17044	66.5477	6267.72	75.3622	25884.8	289.275	5.08342	0.0206784	523.228	66.0655	34094.2	55534.2	0.500068	3.4666	0.261507	3.02557	0.00021528	0.696315	2227.49	3196.48	40012.6	39989.5	0.224934	65524.1	39994.3	0.552934	4.03484	2.15915e+07	2.64864	15911.1	0.00759646	199292	2251.48	24664.3	11717	240.244	2.94543	262677	175680	1.05651e+07	4211.21	9.96712e+06	28578.2	0.151438	1.2611	0.0975678	1.37848	9.54247e-05	0.241803	211.733	0.0894149	5398.39	0.222741	1.61759	1.06692	1923.08	0.000369644	335.996	3.79587	1363.43	0.00496584	491.136	0.553881	33.6601	32.0327	54.946	3.35083	7416.09	880.253	0.071598	200.142	1.18346	13.7166	0.00164809	3.16573	10.1516	735.275	199628	1.05651e+07	45465.1	17044.4
14	4962	1.58415	150.362	0.805298	6.67454	2.59189	189.732	10960.5	0.0205936	903.461	767.75	79914.4	177688	7635.83	3.34598e+06	15.7339	4.42886	678.762	2159.41	0.142994	57.4044	6385.45	61.9065	25878.9	238.977	5.10728	0.0165163	358.164	54.6016	34738.5	55364.9	0.382593	2.63191	0.202214	2.33356	0.000160346	0.531083	2272.84	3262.01	40079.8	39992.3	0.153985	65571.3	39995.8	0.378461	2.76163	2.1641e+07	1.81705	4378.66	0.00142798	171027	2584.68	32969.1	3859.64	324.681	3.41609	305922	175584	1.05219e+07	4226.51	9.96253e+06	33160.3	0.125795	1.00745	0.0790661	1.0822	7.37579e-05	0.161654	185.738	0.0784479	5600.34	0.195442	1.41967	0.938312	662.429	0.000111542	288.514	4.36022	582.192	0.00576276	487.874	0.472423	28.5128	27.1646	53.9587	3.5818	8372.47	719.854	0.0540527	164.098	0.777897	9.00259	0.000880744	2.06891	7.51211	544.134	171316	1.05219e+07	45634.6	16099.1
15	4962	1.41021	133.208	0.592413	4.68568	2.46496	154.852	10776.4	0.016932	899.17	755.191	80107.4	202028	8371.61	2.67576e+06	16.4656	3.75356	566.829	1803.16	0.119617	49.0371	6484.06	51.1937	25874.1	198.091	5.14892	0.0134332	245.888	45.273	35279.1	55229.7	0.304569	2.08438	0.1626	1.87421	0.000126282	0.424052	2310.68	3316.38	40127.9	39994.2	0.105719	65586	39996.9	0.259815	1.89581	2.1669e+07	1.24902	3453.74	0.000773213	145403	2271.7	34083.1	3139.33	450.407	4.02889	359597	175469	1.04682e+07	4245.62	9.95655e+06	39119.1	0.10518	0.823378	0.065458	0.879466	5.96059e-05	0.117502	161.479	0.0682091	5769.34	0.169944	1.23467	0.816951	553.743	8.10744e-05	245.285	3.83221	502.016	0.00679646	523.599	0.431027	25.8131	24.6338	57.5816	3.80157	9318.09	593.663	0.0423408	135.517	0.55895	6.45736	0.000537114	1.47435	5.62707	407.54	145648	1.04682e+07	45769.9	15164.7
16	4962	1.27326	119.725	0.456703	3.47843	2.3428	127.538	10496.1	0.0140008	890.129	735.814	80261.9	227437	8984.28	2.17006e+06	17.1499	3.18153	472.047	1501.51	0.0998492	41.6357	6566.19	42.4108	25870.3	164.306	5.1911	0.0110248	169.407	37.5547	35729.7	55119.6	0.246139	1.67808	0.132556	1.52712	0.000101778	0.344395	2342.16	3361.48	40164.7	39995.6	0.0728385	65581.5	39997.6	0.178995	1.30601	2.16931e+07	0.861448	2770.59	0.00042732	123077	1974.76	35002.2	2585.79	630.987	4.77754	424485	175327	1.04032e+07	4268.97	9.94925e+06	46397.6	0.0883966	0.68257	0.0548745	0.729343	4.93601e-05	0.0906929	139.352	0.0588676	5911.17	0.146678	1.06579	0.705892	465.932	5.88786e-05	207.526	3.32973	433.941	0.00805562	589.237	0.410379	24.3991	23.3755	64.7678	4.0105	10243.3	491.683	0.0339843	112.317	0.427472	4.93178	0.000368501	1.11958	4.2653	308.89	123285	1.04032e+07	45880.1	14251.1
17	4962	1.16269	108.864	0.363458	2.67676	2.22619	105.517	10145	0.0116079	877.393	711.415	80388.1	253847	9493.48	1.77399e+06	17.79	2.70023	392.706	1249.02	0.0832424	35.2044	6634.46	35.1676	25867.2	136.34	5.22904	0.0090972	117.208	31.1602	36104.4	55029.2	0.200649	1.36388	0.108855	1.25378	8.30796e-05	0.282181	2368.31	3398.9	40193.9	39996.6	0.0503957	65566.7	39998.2	0.123834	0.903472	2.1714e+07	0.596548	2239.71	0.000238984	103813	1702.91	35784.7	2136.77	891.213	5.69165	502764	175155	1.03248e+07	4297.5	9.94032e+06	55285.4	0.0745893	0.570831	0.0463285	0.611633	4.13995e-05	0.0725739	119.522	0.0504943	6030.25	0.12582	0.914345	0.606096	391.343	4.24209e-05	174.862	2.86839	372.727	0.00958704	680.839	0.399538	23.5771	22.7209	75.0854	4.20906	11140.9	408.001	0.0276868	93.2296	0.339276	3.91093	0.000274728	0.884111	3.2704	236.831	103987	1.03248e+07	45970.5	13365.6
18	4962	1.07158	99.9373	0.296333	2.11503	2.11549	87.5004	9744.15	0.00963676	861.824	683.476	80492	281193	9916.36	1.45858e+06	18.3888	2.29593	326.602	1038.68	0.0693504	29.6763	6691.14	29.1854	25864.8	113.193	5.26188	0.00753337	81.4963	25.8654	36415.6	54954.5	0.164597	1.11617	0.0898449	1.03473	6.83825e-05	0.232557	2390.03	3429.97	40217.6	39997.4	0.0350411	65546.9	39998.6	0.0860965	0.62809	2.17319e+07	0.415096	1821.46	0.000135127	87325.2	1459.09	36450.1	1769.88	1267.25	6.80784	596972	174946	1.02303e+07	4332.38	9.92942e+06	66140.8	0.0631479	0.480185	0.0392814	0.516208	3.4963e-05	0.0592714	101.999	0.0430934	6130.17	0.107383	0.780436	0.517708	328.188	3.03621e-05	146.83	2.45334	318.462	0.0114468	797.828	0.393131	23.0047	22.3413	88.5344	4.39773	12005.7	338.88	0.0227603	77.4395	0.274966	3.1681	0.000215437	0.71413	2.53498	183.573	87472.1	1.02303e+07	46045.3	12513.4
19	4962	0.995232	92.4773	0.24633	1.70607	2.01079	72.6566	9310.37	0.00800671	844.113	653.19	80577.9	309414	10267.4	1.2048e+06	18.9487	1.95618	271.633	863.791	0.0577587	24.9592	6738.2	24.24	25862.8	94.0325	5.28995	0.0062535	56.9939	21.4818	36674	54892.5	0.135703	0.918469	0.0744509	0.857418	5.66196e-05	0.192502	2408.09	3455.78	40237.1	39998	0.0245057	65525.4	39998.9	0.0602052	0.439161	2.17471e+07	0.29047	1488.59	7.72222e-05	73316.7	1244	37014.3	1468.7	1811.56	8.17077	709995	174690	1.01169e+07	4375.01	9.9161e+06	79400	0.0536197	0.405696	0.0334061	0.437455	2.96508e-05	0.0489722	86.6847	0.036625	6213.92	0.0912672	0.663363	0.440321	274.882	2.16141e-05	122.929	2.08579	270.917	0.0136998	941.732	0.388504	22.5112	22.0744	105.415	4.57704	12834.1	281.637	0.0188139	64.3521	0.225529	2.59785	0.000173852	0.584437	1.98489	143.74	73439.7	1.01169e+07	46107.3	11697.8
20	4962	0.930343	86.1548	0.208074	1.39951	1.91199	60.3864	8857.11	0.00665647	824.811	621.505	80649.1	338454	10558.9	999086	19.4722	1.6704	225.961	718.497	0.0481011	20.9559	6777.25	20.1485	25861.3	78.1647	5.31384	0.00519996	40.1244	17.852	36888.5	54840.8	0.112357	0.759271	0.0619032	0.712911	4.70917e-05	0.159921	2423.1	3477.23	40253.5	39998.4	0.0172522	65504	39999.1	0.0423803	0.309099	2.17601e+07	0.204592	1221.77	4.46152e-05	61492.6	1056.81	37490.9	1220.86	2599.6	9.83412	845010	174379	9.98129e+06	4427.11	9.89984e+06	95588.4	0.0456562	0.344002	0.0284794	0.371847	2.52209e-05	0.0407475	73.4206	0.0310218	6284.05	0.0773066	0.561928	0.37319	230.011	1.53194e-05	102.664	1.76438	229.648	0.0164184	1115.32	0.384265	22.006	21.8361	126.248	4.7475	13623.9	234.179	0.0156056	53.4983	0.186337	2.14616	0.000142573	0.482141	1.56856	113.593	61595.3	9.98131e+06	46159.1	10921.1
