Time	[CycBt]	[CycB]	[Cdc20a]	[Trimer]	[Cdh1]	[m]	[Cdc20t]	[IEP]	[Mad]	[CKIt]	[SK]
16	0.0385839	9.11067e-05	1.52356e-06	0.0384928	0.996619	0.539397	0.0401071	0.000779722	1	0.460995	0.0397169
17	0.0385871	9.33014e-05	1.50384e-06	0.0384938	0.99653	0.541955	0.0410485	0.000769214	1	0.451069	0.040678
18	0.0385904	9.56033e-05	1.48467e-06	0.0384948	0.996436	0.544523	0.0419004	0.000759059	1	0.441147	0.041682
19	0.0385939	9.80205e-05	1.46609e-06	0.0384959	0.996338	0.547103	0.0426711	0.000749256	1	0.431229	0.0427317
20	0.0385976	0.000100562	1.4481e-06	0.038497	0.996235	0.549695	0.0433686	0.000739806	1	0.421315	0.0438303
21	0.0386015	0.000103238	1.43074e-06	0.0384982	0.996126	0.552298	0.0439996	0.000730712	1	0.411406	0.0449814
22	0.0386055	0.000106059	1.41401e-06	0.0384995	0.996011	0.554913	0.0445706	0.000721974	1	0.401501	0.0461887
23	0.0386098	0.000109037	1.39793e-06	0.0385008	0.99589	0.557539	0.0450873	0.000713596	1	0.3916	0.0474566
24	0.0386143	0.000112186	1.38251e-06	0.0385022	0.995762	0.560177	0.0455548	0.000705581	1	0.381702	0.0487897
25	0.0386191	0.000115521	1.36778e-06	0.0385036	0.995627	0.562827	0.0459778	0.000697934	1	0.371808	0.0501933
26	0.0386242	0.000119059	1.35374e-06	0.0385052	0.995483	0.565489	0.0463606	0.00069066	1	0.361917	0.0516731
27	0.0386296	0.00012282	1.34042e-06	0.0385068	0.99533	0.568162	0.0467069	0.000683766	1	0.35203	0.0532355
28	0.0386353	0.000126825	1.32783e-06	0.0385085	0.995167	0.570848	0.0470203	0.000677259	1	0.342145	0.0548877
29	0.0386415	0.000131098	1.316e-06	0.0385104	0.994993	0.573545	0.0473038	0.000671149	1	0.332262	0.0566378
30	0.038648	0.000135669	1.30494e-06	0.0385123	0.994807	0.576254	0.0475604	0.000665445	1	0.322382	0.0584947
31	0.038655	0.000140569	1.2947e-06	0.0385144	0.994608	0.578975	0.0477925	0.000660161	1	0.312503	0.0604687
32	0.0386625	0.000145836	1.28529e-06	0.0385166	0.994393	0.581709	0.0480026	0.000655311	1	0.302625	0.0625713
33	0.0386705	0.000151513	1.27675e-06	0.038519	0.994162	0.584454	0.0481927	0.000650911	1	0.292748	0.0648157
34	0.0386792	0.00015765	1.26912e-06	0.0385216	0.993913	0.587212	0.0483647	0.00064698	1	0.282871	0.0672168
35	0.0386886	0.000164305	1.26244e-06	0.0385243	0.993641	0.589982	0.0485203	0.000643542	1	0.272992	0.0697919
36	0.0386988	0.000171549	1.25678e-06	0.0385273	0.993346	0.592764	0.0486611	0.000640623	1	0.263112	0.072561
37	0.03871	0.000179464	1.25219e-06	0.0385305	0.993024	0.595558	0.0487885	0.000638253	1	0.253228	0.0755471
38	0.0387221	0.000188148	1.24874e-06	0.038534	0.99267	0.598364	0.0489038	0.000636468	1	0.24334	0.0787771
39	0.0387355	0.000197722	1.24652e-06	0.0385378	0.99228	0.601183	0.0490081	0.000635312	1	0.233447	0.0822829
40	0.0387503	0.000208331	1.24562e-06	0.038542	0.991848	0.604015	0.0491025	0.000634833	1	0.223545	0.0861019
41	0.0387667	0.000220156	1.24617e-06	0.0385465	0.991366	0.606859	0.0491879	0.000635091	1	0.213634	0.090279
42	0.038785	0.00023342	1.24831e-06	0.0385516	0.990825	0.609715	0.0492652	0.000636159	1	0.203712	0.0948683
43	0.0388056	0.000248409	1.2522e-06	0.0385572	0.990213	0.612584	0.0493351	0.000638122	1	0.193774	0.0999353
44	0.038829	0.000265489	1.25805e-06	0.0385635	0.989516	0.615466	0.0493984	0.000641088	1	0.183818	0.105561
45	0.0388557	0.000285138	1.26613e-06	0.0385705	0.988714	0.61836	0.0494556	0.000645187	1	0.17384	0.111845
46	0.0388865	0.000307994	1.27675e-06	0.0385785	0.987781	0.621267	0.0495074	0.000650583	1	0.163836	0.118914
47	0.0389224	0.000334929	1.29034e-06	0.0385875	0.986681	0.624187	0.0495543	0.000657487	1	0.153799	0.12693
48	0.0389651	0.000367165	1.30742e-06	0.0385979	0.985364	0.627119	0.0495967	0.000666172	1	0.143722	0.136102
49	0.0390164	0.000406469	1.32871e-06	0.0386099	0.983758	0.630065	0.0496351	0.000677001	1	0.133599	0.146709
50	0.0390795	0.000455501	1.35519e-06	0.038624	0.981756	0.633023	0.0496698	0.000690473	1	0.123418	0.159128
51	0.0391589	0.000518444	1.38826e-06	0.0386404	0.979186	0.635994	0.0497013	0.000707292	1	0.113172	0.17388
52	0.0392621	0.000602266	1.42995e-06	0.0386599	0.975768	0.638978	0.0497297	0.000728504	1	0.10285	0.191702
53	0.0394019	0.000719406	1.48349e-06	0.0386825	0.971006	0.641976	0.0497554	0.000755745	1	0.0924524	0.21366
54	0.0396014	0.000894081	1.55427e-06	0.0387073	0.963952	0.644986	0.0497787	0.000791758	1	0.0820002	0.241299
55	0.0399077	0.00117867	1.6522e-06	0.038729	0.952627	0.64801	0.0497997	0.000841588	1	0.0715873	0.276736
56	0.0404244	0.00169967	1.7977e-06	0.0387247	0.932558	0.651046	0.0498188	0.000915618	1	0.0615084	0.322103
57	0.0413975	0.00277544	2.03763e-06	0.038622	0.893604	0.654096	0.049836	0.00103767	1	0.0525377	0.376087
58	0.0433847	0.00499217	2.47795e-06	0.0383925	0.817652	0.657159	0.0498516	0.00126157	1	0.046083	0.425479
59	0.0473481	0.00854101	3.28556e-06	0.0388071	0.692618	0.660236	0.0498658	0.00167164	1	0.0433508	0.446425
60	0.0542671	0.0129427	4.60134e-06	0.0413244	0.538812	0.663326	0.0498786	0.00233815	1	0.0445173	0.42672
61	0.0644771	0.017795	6.506e-06	0.0466821	0.398648	0.666429	0.0498904	0.00329969	1	0.0493055	0.375332
62	0.0773562	0.0229051	9.04208e-06	0.0544511	0.298003	0.669546	0.0499017	0.00457417	1	0.0568284	0.3143
63	0.0919286	0.0284713	1.22517e-05	0.0634573	0.228912	0.672676	0.0499132	0.00617788	1	0.0656861	0.259402
64	0.108217	0.035467	1.62523e-05	0.0727501	0.166734	0.67582	0.0499266	0.00816264	1	0.0748013	0.213016
65	0.128018	0.0462299	2.13843e-05	0.0817878	0.0982034	0.678978	0.0499473	0.0106862	1	0.083557	0.170619
66	0.152567	0.0637955	2.8398e-05	0.0887718	0.0500376	0.682149	0.0499993	0.0140946	1	0.0901633	0.129834
67	0.179676	0.0901408	3.84294e-05	0.0895353	0.0283849	0.685334	0.0501847	0.0188888	1	0.0905286	0.094255
68	0.207605	0.125261	5.29167e-05	0.0823439	0.0177427	0.688533	0.0509009	0.0256457	1	0.0830012	0.0668653
69	0.235452	0.163216	7.30325e-05	0.0722359	0.0125282	0.691745	0.0531959	0.0347025	1	0.0726785	0.0481444
70	0.26273	0.199569	9.93193e-05	0.0631604	0.00973329	0.694972	0.0587668	0.0459832	1	0.0634769	0.0362908
71	0.289224	0.23335	0.000132101	0.0558743	0.00803831	0.698212	0.0695688	0.0592338	1	0.0561138	0.0288849
72	0.314849	0.26472	0.000171727	0.0501295	0.00690508	0.701466	0.087409	0.0741804	1	0.0503189	0.0241248
73	0.339575	0.294018	0.000218637	0.0455572	0.00609244	0.704735	0.113636	0.0905698	1	0.0457121	0.0209148
74	0.363398	0.321542	0.000273444	0.0418563	0.00547952	0.708017	0.14895	0.108173	1	0.0419864	0.018633
75	0.386326	0.347519	0.000336998	0.0388076	0.00499968	0.711314	0.193345	0.126783	1	0.0389193	0.0169305
76	0.408374	0.372119	0.000410438	0.0362555	0.00461325	0.714624	0.246187	0.146213	1	0.0363529	0.0156082
77	0.429559	0.395471	0.000495243	0.0340887	0.00429518	0.717949	0.306364	0.166289	1	0.0341749	0.0145477
78	0.4499	0.417674	0.000593309	0.0322265	0.0040288	0.721288	0.372484	0.186854	1	0.0323036	0.013676
79	0.469414	0.438805	0.000707071	0.0306094	0.00380264	0.724642	0.443045	0.207763	1	0.0306791	0.0129455
80	0.488118	0.458926	0.000839677	0.0291925	0.00360851	0.72801	0.516574	0.228883	1	0.0292562	0.0123243
81	0.506027	0.478085	0.000995246	0.0279418	0.00344045	0.731392	0.591719	0.250095	1	0.0280002	0.0117896
82	0.52315	0.49632	0.00117925	0.0268305	0.00329405	0.734789	0.667299	0.271288	1	0.0268845	0.0113252
83	0.539496	0.513658	0.0013991	0.0258378	0.00316602	0.7382	0.742324	0.292363	1	0.0258881	0.0109187
84	0.555064	0.530116	0.00166505	0.0249473	0.00305391	0.741626	0.815989	0.31323	1	0.0249944	0.0105608
85	0.569848	0.545702	0.00199168	0.0241459	0.00295599	0.745066	0.887662	0.333809	1	0.0241902	0.0102445
86	0.583829	0.560405	0.00240038	0.0234233	0.00287115	0.748521	0.956865	0.354028	1	0.0234651	0.0099643
87	0.596971	0.574199	0.00292364	0.0227717	0.00279895	0.751991	1.02325	0.373821	1	0.0228113	0.00971591
88	0.609212	0.587027	0.00361301	0.0221853	0.00273976	0.755476	1.08656	0.393132	1	0.0222231	0.0094963
89	0.620449	0.598788	0.00455435	0.021661	0.00269514	0.758975	1.14663	0.411906	1	0.0216972	0.00930349
90	0.630505	0.609306	0.00589853	0.0211987	0.00266872	0.762489	1.20337	0.430093	1	0.0212335	0.00913668
91	0.639072	0.61827	0.00792449	0.0208027	0.00266797	0.766019	1.25669	0.447639	1	0.0208363	0.00899672
92	0.645598	0.625113	0.0111624	0.0204853	0.00270789	0.769563	1.30654	0.464485	1	0.0205181	0.00888705
93	0.649076	0.628802	0.0165813	0.0202733	0.00281725	0.773122	1.35279	0.480551	1	0.0203055	0.00881578
94	0.647759	0.627542	0.0256841	0.0202176	0.00304508	0.776696	1.39521	0.49572	1	0.0202498	0.00879931
95	0.639045	0.618642	0.040145	0.0204035	0.00346095	0.780286	1.43332	0.509807	1	0.0204365	0.00886768
96	0.619935	0.598981	0.061014	0.0209538	0.00415195	0.78389	1.46621	0.522551	1	0.0209888	0.00906979
97	0.588137	0.566111	0.0881989	0.0220268	0.00523474	0.78751	1.49223	0.533624	1	0.0220657	0.00947798
98	0.543244	0.519423	0.120545	0.0238218	0.00689614	0.791145	1.50846	0.542679	1	0.0238676	0.010196
99	0.487298	0.460698	0.156193	0.0266001	0.00947774	0.794796	1.50999	0.549419	1	0.0266579	0.011379
100	0.424422	0.393694	0.192931	0.030728	0.0136742	0.798462	1.48935	0.553658	1	0.0308061	0.0132825
