Time	[pRB_E2F]	[E2F]	[pRB_P]	[i_cyclinE_CDK2]	[a_cyclinE_CDK2]	[pRB]	[CycD_CDK4]	[p27]	[cycE_CDK2_p27]	[p16]	[cycD_CDK4_p27]
79	0.660394	0.786937	1.2804	28.9708	0.00172242	1.02983	0.00147248	11.1987	1.00941	1.99665	0.0477605
80	0.644974	0.789752	1.29534	29.5022	0.00174165	1.0383	0.00147313	11.1452	1.01272	1.9965	0.0481039
81	0.629834	0.792245	1.31001	30.0267	0.00176142	1.04669	0.00147377	11.0913	1.01616	1.99636	0.0484403
82	0.614973	0.794421	1.32438	30.544	0.00178172	1.055	0.00147441	11.0372	1.01974	1.99623	0.0487697
83	0.600392	0.796285	1.33848	31.0537	0.00180257	1.06323	0.00147504	10.9827	1.02344	1.9961	0.0490922
84	0.58609	0.797843	1.35228	31.5556	0.00182399	1.07139	0.00147566	10.9279	1.02728	1.99598	0.0494079
85	0.572065	0.799101	1.36581	32.0494	0.001846	1.07947	0.00147628	10.8727	1.03126	1.99587	0.0497167
86	0.558318	0.800064	1.37905	32.5348	0.00186861	1.08748	0.00147689	10.8171	1.03538	1.99576	0.0500186
87	0.544845	0.800738	1.39201	33.0117	0.00189183	1.09542	0.0014775	10.7612	1.03964	1.99566	0.0503139
88	0.531647	0.80113	1.40469	33.4797	0.00191569	1.10328	0.0014781	10.705	1.04404	1.99556	0.0506024
89	0.51872	0.801247	1.41709	33.9386	0.00194021	1.11106	0.0014787	10.6483	1.04859	1.99546	0.0508841
90	0.506064	0.801093	1.42922	34.3883	0.00196541	1.11878	0.0014793	10.5912	1.05328	1.99538	0.0511593
91	0.493674	0.800677	1.44107	34.8285	0.00199129	1.12643	0.00147989	10.5338	1.05812	1.99529	0.0514277
92	0.481551	0.800004	1.45265	35.2591	0.0020179	1.134	0.00148047	10.4759	1.06312	1.99521	0.0516896
93	0.46969	0.799081	1.46397	35.6799	0.00204524	1.14151	0.00148106	10.4176	1.06826	1.99513	0.0519449
94	0.458088	0.797915	1.47501	36.0908	0.00207335	1.14895	0.00148163	10.3589	1.07356	1.99505	0.0521936
95	0.446744	0.796513	1.4858	36.4915	0.00210224	1.15632	0.00148221	10.2998	1.07902	1.99498	0.0524358
96	0.435654	0.79488	1.49632	36.882	0.00213195	1.16363	0.00148278	10.2402	1.08464	1.9949	0.0526715
97	0.424815	0.793025	1.50658	37.2622	0.00216249	1.17087	0.00148335	10.1801	1.09043	1.99484	0.0529008
98	0.414223	0.790954	1.51659	37.6319	0.00219391	1.17804	0.00148392	10.1196	1.09637	1.99477	0.0531236
99	0.403875	0.788673	1.52635	37.9911	0.00222622	1.18515	0.00148448	10.0586	1.10249	1.9947	0.05334
100	0.393769	0.786189	1.53586	38.3396	0.00225945	1.1922	0.00148504	9.9971	1.10877	1.99464	0.05355
