Time	[R1]	[P1]	[P1_prime]	[R2]	[P2]	[P2_prime]	[P3_prime]	[P4_prime]
88	4.25096	8.97731	8.5576	1.02509e-10	1.02291e-08	0.0340768	1.08598e-05	1.34959
89	4.25108	8.97999	8.56205	8.1024e-11	8.21754e-09	0.034069	7.49763e-06	1.3496
90	4.25117	8.98218	8.5657	6.40418e-11	6.60104e-09	0.0340635	5.17639e-06	1.3496
91	4.25124	8.98396	8.56869	5.06189e-11	5.30214e-09	0.0340596	3.57379e-06	1.3496
92	4.2513	8.98542	8.57114	4.00094e-11	4.25851e-09	0.0340569	2.46736e-06	1.3496
93	4.25135	8.9866	8.57314	3.16236e-11	3.42006e-09	0.034055	1.70347e-06	1.3496
94	4.25138	8.98757	8.57478	2.49955e-11	2.7465e-09	0.0340536	1.17608e-06	1.3496
95	4.25141	8.98835	8.57612	1.97566e-11	2.20545e-09	0.0340527	8.1197e-07	1.3496
96	4.25143	8.98899	8.57721	1.56157e-11	1.77086e-09	0.034052	5.60586e-07	1.3496
97	4.25145	8.98951	8.5781	1.23427e-11	1.42181e-09	0.0340515	3.8703e-07	1.3496
98	4.25147	8.98993	8.57883	9.75573e-12	1.14149e-09	0.0340512	2.67207e-07	1.3496
99	4.25148	8.99027	8.57942	7.71098e-12	9.16383e-10	0.034051	1.8448e-07	1.3496
100	4.25148	8.99055	8.57991	6.0948e-12	7.35621e-10	0.0340508	1.27366e-07	1.3496
