Time	[BasalACh2]	[IntermediateACh]	[ActiveACh]	[Active]	[BasalACh]	[Basal]	[DesensitisedACh2]	[Desensitised]	[IntermediateACh2]	[DesensitisedACh]	[Intermediate]	[ActiveACh2]	[ACh]
12	5.02505e-10	3.50349e-09	3.13125e-10	1.10369e-12	6.64832e-09	2.20041e-08	4.13467e-07	4.52904e-12	5.2927e-07	2.73687e-09	5.79768e-12	2.1543e-08	8.05723e-06
13	4.80508e-10	3.35106e-09	2.995e-10	1.05595e-12	6.35902e-09	2.10523e-08	4.38835e-07	4.80953e-12	5.06106e-07	2.90557e-09	5.54696e-12	2.06e-08	8.05504e-06
14	4.59519e-10	3.20555e-09	2.86493e-10	1.01034e-12	6.08283e-09	2.01432e-08	4.63041e-07	5.07746e-12	4.84003e-07	3.06664e-09	5.30746e-12	1.97002e-08	8.05295e-06
15	4.39491e-10	3.06663e-09	2.74074e-10	9.66789e-13	5.81916e-09	1.92748e-08	4.8614e-07	5.3334e-12	4.62913e-07	3.22042e-09	5.07871e-12	1.88416e-08	8.05095e-06
16	4.20381e-10	2.93401e-09	2.62219e-10	9.25188e-13	5.56745e-09	1.84454e-08	5.08181e-07	5.57785e-12	4.42789e-07	3.36723e-09	4.86023e-12	1.80223e-08	8.04904e-06
17	4.02146e-10	2.80741e-09	2.50902e-10	8.85456e-13	5.32715e-09	1.76533e-08	5.29213e-07	5.81134e-12	4.23586e-07	3.50739e-09	4.65157e-12	1.72405e-08	8.04722e-06
18	3.84746e-10	2.68655e-09	2.40098e-10	8.47511e-13	5.09776e-09	1.68968e-08	5.49283e-07	6.03434e-12	4.05264e-07	3.64119e-09	4.45228e-12	1.64946e-08	8.04548e-06
19	3.68143e-10	2.57118e-09	2.29785e-10	8.11273e-13	4.87878e-09	1.61743e-08	5.68434e-07	6.24731e-12	3.8778e-07	3.76892e-09	4.26197e-12	1.57828e-08	8.04382e-06
20	3.52301e-10	2.46105e-09	2.1994e-10	7.76667e-13	4.66975e-09	1.54844e-08	5.86709e-07	6.4507e-12	3.71097e-07	3.89085e-09	4.08022e-12	1.51036e-08	8.04223e-06
21	3.37183e-10	2.35592e-09	2.10542e-10	7.4362e-13	4.47021e-09	1.48255e-08	6.04148e-07	6.64494e-12	3.55179e-07	4.00726e-09	3.90667e-12	1.44555e-08	8.04072e-06
22	3.22759e-10	2.25558e-09	2.01572e-10	7.12063e-13	4.27974e-09	1.41964e-08	6.20788e-07	6.83042e-12	3.39989e-07	4.11837e-09	3.74094e-12	1.38371e-08	8.03927e-06
23	3.08994e-10	2.15979e-09	1.93009e-10	6.8193e-13	4.09793e-09	1.35956e-08	6.36667e-07	7.00754e-12	3.25495e-07	4.22444e-09	3.58269e-12	1.3247e-08	8.03789e-06
24	2.9586e-10	2.06836e-09	1.84835e-10	6.53158e-13	3.92439e-09	1.3022e-08	6.5182e-07	7.17667e-12	3.11664e-07	4.32569e-09	3.43158e-12	1.26839e-08	8.03657e-06
25	2.83327e-10	1.98108e-09	1.77033e-10	6.25685e-13	3.75873e-09	1.24743e-08	6.66279e-07	7.33817e-12	2.98467e-07	4.42234e-09	3.2873e-12	1.21466e-08	8.03531e-06
26	2.71368e-10	1.89778e-09	1.69586e-10	5.99454e-13	3.60061e-09	1.19513e-08	6.80076e-07	7.49237e-12	2.85874e-07	4.51459e-09	3.14954e-12	1.16339e-08	8.03411e-06
27	2.59956e-10	1.81827e-09	1.62478e-10	5.74409e-13	3.44969e-09	1.1452e-08	6.93242e-07	7.63961e-12	2.73857e-07	4.60265e-09	3.01802e-12	1.11447e-08	8.03296e-06
28	2.49067e-10	1.74237e-09	1.55693e-10	5.50497e-13	3.30563e-09	1.09753e-08	7.05806e-07	7.78019e-12	2.6239e-07	4.68671e-09	2.89244e-12	1.06779e-08	8.03186e-06
29	2.38676e-10	1.66993e-09	1.49217e-10	5.27668e-13	3.16813e-09	1.05201e-08	7.17795e-07	7.91441e-12	2.51448e-07	4.76694e-09	2.77254e-12	1.02324e-08	8.03082e-06
30	2.2876e-10	1.60079e-09	1.43036e-10	5.05872e-13	3.03689e-09	1.00856e-08	7.29236e-07	8.04255e-12	2.41007e-07	4.84352e-09	2.65808e-12	9.80729e-09	8.02982e-06
31	2.19299e-10	1.5348e-09	1.37136e-10	4.85064e-13	2.91163e-09	9.67072e-09	7.40153e-07	8.16489e-12	2.31044e-07	4.91661e-09	2.5488e-12	9.40166e-09	8.02886e-06
32	2.1027e-10	1.47181e-09	1.31505e-10	4.65199e-13	2.79207e-09	9.27467e-09	7.5057e-07	8.28169e-12	2.21537e-07	4.98638e-09	2.44448e-12	9.01459e-09	8.02795e-06
33	2.01655e-10	1.41169e-09	1.26131e-10	4.46234e-13	2.67796e-09	8.89658e-09	7.60511e-07	8.3932e-12	2.12465e-07	5.05297e-09	2.34488e-12	8.64524e-09	8.02708e-06
34	1.93433e-10	1.35431e-09	1.21001e-10	4.2813e-13	2.56905e-09	8.53564e-09	7.69997e-07	8.49965e-12	2.03809e-07	5.11652e-09	2.24981e-12	8.29279e-09	8.02625e-06
35	1.85589e-10	1.29955e-09	1.16105e-10	4.10848e-13	2.4651e-09	8.19108e-09	7.7905e-07	8.60127e-12	1.95548e-07	5.17719e-09	2.15905e-12	7.95647e-09	8.02546e-06
36	1.78103e-10	1.24728e-09	1.11433e-10	3.9435e-13	2.36589e-09	7.86215e-09	7.87688e-07	8.69828e-12	1.87665e-07	5.23509e-09	2.07241e-12	7.63555e-09	8.02471e-06
37	1.70959e-10	1.1974e-09	1.06973e-10	3.786e-13	2.2712e-09	7.54816e-09	7.95931e-07	8.79089e-12	1.80144e-07	5.29035e-09	1.9897e-12	7.3293e-09	8.02398e-06
38	1.64143e-10	1.14978e-09	1.02716e-10	3.63567e-13	2.18083e-09	7.24844e-09	8.03797e-07	8.87929e-12	1.72966e-07	5.34309e-09	1.91075e-12	7.03707e-09	8.0233e-06
39	1.57638e-10	1.10435e-09	9.8654e-11	3.49217e-13	2.09457e-09	6.96234e-09	8.11303e-07	8.96368e-12	1.66116e-07	5.39343e-09	1.83538e-12	6.7582e-09	8.02264e-06
40	1.51431e-10	1.06098e-09	9.47769e-11	3.35518e-13	2.01226e-09	6.68923e-09	8.18466e-07	9.04423e-12	1.59581e-07	5.44147e-09	1.76345e-12	6.4921e-09	8.02201e-06
41	1.45508e-10	1.01959e-09	9.10766e-11	3.22443e-13	1.93369e-09	6.42855e-09	8.25301e-07	9.12112e-12	1.53344e-07	5.48732e-09	1.69478e-12	6.23818e-09	8.02141e-06
42	1.39856e-10	9.80086e-10	8.75452e-11	3.09962e-13	1.85871e-09	6.17971e-09	8.31824e-07	9.19452e-12	1.47392e-07	5.53108e-09	1.62924e-12	5.99587e-09	8.02084e-06
43	1.34463e-10	9.42387e-10	8.41748e-11	2.98049e-13	1.78715e-09	5.9422e-09	8.38048e-07	9.26458e-12	1.41713e-07	5.57285e-09	1.56667e-12	5.76464e-09	8.02029e-06
44	1.29316e-10	9.06408e-10	8.09582e-11	2.86678e-13	1.71886e-09	5.7155e-09	8.43987e-07	9.33145e-12	1.36294e-07	5.61271e-09	1.50696e-12	5.544e-09	8.01977e-06
45	1.24405e-10	8.72069e-10	7.78883e-11	2.75824e-13	1.65368e-09	5.4991e-09	8.49655e-07	9.39528e-12	1.31122e-07	5.65075e-09	1.44996e-12	5.33345e-09	8.01927e-06
46	1.19718e-10	8.39298e-10	7.49584e-11	2.65464e-13	1.59147e-09	5.29256e-09	8.55064e-07	9.45621e-12	1.26187e-07	5.68706e-09	1.39555e-12	5.13253e-09	8.0188e-06
47	1.15246e-10	8.08022e-10	7.21623e-11	2.55576e-13	1.5321e-09	5.09541e-09	8.60225e-07	9.51437e-12	1.21478e-07	5.72171e-09	1.34362e-12	4.9408e-09	8.01835e-06
48	1.10978e-10	7.78174e-10	6.94939e-11	2.46138e-13	1.47545e-09	4.90725e-09	8.6515e-07	9.56987e-12	1.16985e-07	5.75478e-09	1.29406e-12	4.75784e-09	8.01791e-06
49	1.06906e-10	7.49689e-10	6.69472e-11	2.3713e-13	1.42138e-09	4.72766e-09	8.6985e-07	9.62285e-12	1.12697e-07	5.78634e-09	1.24676e-12	4.58325e-09	8.0175e-06
50	1.0302e-10	7.22503e-10	6.45168e-11	2.28532e-13	1.36978e-09	4.55625e-09	8.74335e-07	9.67342e-12	1.08605e-07	5.81646e-09	1.2016e-12	4.41665e-09	8.01711e-06
51	9.93114e-11	6.96559e-10	6.21973e-11	2.20326e-13	1.32053e-09	4.39265e-09	8.78615e-07	9.72168e-12	1.047e-07	5.84521e-09	1.15851e-12	4.25767e-09	8.01673e-06
52	9.57727e-11	6.718e-10	5.99837e-11	2.12494e-13	1.27353e-09	4.2365e-09	8.82699e-07	9.76774e-12	1.00974e-07	5.87264e-09	1.11738e-12	4.10596e-09	8.01637e-06
53	9.23959e-11	6.48171e-10	5.78712e-11	2.05019e-13	1.22868e-09	4.08747e-09	8.86596e-07	9.81171e-12	9.74181e-08	5.89882e-09	1.07813e-12	3.9612e-09	8.01603e-06
54	8.91735e-11	6.25621e-10	5.58552e-11	1.97885e-13	1.18587e-09	3.94523e-09	8.90315e-07	9.85367e-12	9.40251e-08	5.92381e-09	1.04066e-12	3.82305e-09	8.0157e-06
55	8.60985e-11	6.04101e-10	5.39312e-11	1.91076e-13	1.14502e-09	3.80948e-09	8.93864e-07	9.89372e-12	9.07872e-08	5.94765e-09	1.0049e-12	3.69122e-09	8.01539e-06
56	8.31642e-11	5.83563e-10	5.20951e-11	1.84577e-13	1.10604e-09	3.67992e-09	8.97251e-07	9.93194e-12	8.76975e-08	5.97041e-09	9.70774e-13	3.56542e-09	8.01509e-06
57	8.03641e-11	5.63963e-10	5.03428e-11	1.78375e-13	1.06884e-09	3.55626e-09	9.00483e-07	9.96842e-12	8.47491e-08	5.99212e-09	9.38203e-13	3.44538e-09	8.01481e-06
58	7.76921e-11	5.45259e-10	4.86706e-11	1.72456e-13	1.03333e-09	3.43825e-09	9.03566e-07	1.00032e-11	8.19356e-08	6.01285e-09	9.07117e-13	3.33083e-09	8.01454e-06
59	7.51423e-11	5.27409e-10	4.70748e-11	1.66806e-13	9.9945e-10	3.32561e-09	9.06509e-07	1.00365e-11	7.92507e-08	6.03263e-09	8.7745e-13	3.22151e-09	8.01428e-06
60	7.27091e-11	5.10375e-10	4.55518e-11	1.61415e-13	9.67115e-10	3.21812e-09	9.09318e-07	1.00682e-11	7.66887e-08	6.0515e-09	8.49136e-13	3.1172e-09	8.01403e-06
61	7.03872e-11	4.94118e-10	4.40984e-11	1.56269e-13	9.36258e-10	3.11553e-09	9.11998e-07	1.00984e-11	7.42438e-08	6.06952e-09	8.22113e-13	3.01766e-09	8.0138e-06
62	6.81715e-11	4.78605e-10	4.27115e-11	1.51358e-13	9.06809e-10	3.01762e-09	9.14555e-07	1.01273e-11	7.19108e-08	6.08671e-09	7.96324e-13	2.92267e-09	8.01357e-06
63	6.60571e-11	4.638e-10	4.13878e-11	1.46671e-13	8.78707e-10	2.92418e-09	9.16995e-07	1.01549e-11	6.96845e-08	6.10311e-09	7.71711e-13	2.83202e-09	8.01336e-06
64	6.40395e-11	4.49671e-10	4.01247e-11	1.42198e-13	8.51888e-10	2.835e-09	9.19324e-07	1.01812e-11	6.756e-08	6.11877e-09	7.48222e-13	2.74553e-09	8.01315e-06
65	6.21141e-11	4.36188e-10	3.89193e-11	1.3793e-13	8.26294e-10	2.7499e-09	9.21546e-07	1.02063e-11	6.55326e-08	6.13371e-09	7.25805e-13	2.66298e-09	8.01296e-06
66	6.02768e-11	4.23321e-10	3.77689e-11	1.33856e-13	8.0187e-10	2.66868e-09	9.23667e-07	1.02303e-11	6.3598e-08	6.14796e-09	7.04411e-13	2.58422e-09	8.01277e-06
67	5.85235e-11	4.11042e-10	3.66711e-11	1.29968e-13	7.78562e-10	2.59116e-09	9.2569e-07	1.02531e-11	6.17519e-08	6.16157e-09	6.83993e-13	2.50905e-09	8.01259e-06
68	5.68504e-11	3.99324e-10	3.56235e-11	1.26257e-13	7.56319e-10	2.51719e-09	9.27622e-07	1.0275e-11	5.99902e-08	6.17456e-09	6.64508e-13	2.43732e-09	8.01242e-06
69	5.52539e-11	3.88142e-10	3.46237e-11	1.22716e-13	7.35093e-10	2.44659e-09	9.29464e-07	1.02958e-11	5.83091e-08	6.18695e-09	6.45913e-13	2.36888e-09	8.01226e-06
70	5.37304e-11	3.7747e-10	3.36697e-11	1.19337e-13	7.14836e-10	2.37922e-09	9.31223e-07	1.03157e-11	5.67049e-08	6.19877e-09	6.28167e-13	2.30356e-09	8.01211e-06
71	5.22765e-11	3.67287e-10	3.27592e-11	1.16112e-13	6.95506e-10	2.31492e-09	9.32901e-07	1.03346e-11	5.5174e-08	6.21006e-09	6.11231e-13	2.24123e-09	8.01196e-06
72	5.08891e-11	3.57568e-10	3.18903e-11	1.13034e-13	6.77058e-10	2.25356e-09	9.34502e-07	1.03528e-11	5.37132e-08	6.22083e-09	5.95068e-13	2.18176e-09	8.01182e-06
73	4.95652e-11	3.48294e-10	3.10612e-11	1.10097e-13	6.59454e-10	2.195e-09	9.3603e-07	1.037e-11	5.23192e-08	6.2311e-09	5.79643e-13	2.125e-09	8.01168e-06
74	4.83018e-11	3.39444e-10	3.02699e-11	1.07294e-13	6.42654e-10	2.13911e-09	9.37489e-07	1.03865e-11	5.09889e-08	6.24091e-09	5.64923e-13	2.07083e-09	8.01155e-06
75	4.70962e-11	3.30998e-10	2.95148e-11	1.04619e-13	6.26622e-10	2.08578e-09	9.3888e-07	1.04023e-11	4.97195e-08	6.25027e-09	5.50876e-13	2.01915e-09	8.01143e-06
76	4.59458e-11	3.22938e-10	2.87942e-11	1.02066e-13	6.11323e-10	2.03489e-09	9.40208e-07	1.04173e-11	4.85081e-08	6.2592e-09	5.37469e-13	1.96983e-09	8.01131e-06
77	4.48479e-11	3.15247e-10	2.81066e-11	9.96302e-14	5.96723e-10	1.98632e-09	9.41475e-07	1.04316e-11	4.73521e-08	6.26772e-09	5.24676e-13	1.92276e-09	8.0112e-06
78	4.38003e-11	3.07907e-10	2.74504e-11	9.73053e-14	5.8279e-10	1.93996e-09	9.42684e-07	1.04453e-11	4.6249e-08	6.27586e-09	5.12467e-13	1.87785e-09	8.0111e-06
79	4.28006e-11	3.00902e-10	2.68242e-11	9.50866e-14	5.69495e-10	1.89573e-09	9.43838e-07	1.04583e-11	4.51964e-08	6.28362e-09	5.00815e-13	1.83499e-09	8.01099e-06
80	4.18466e-11	2.94218e-10	2.62266e-11	9.29693e-14	5.56807e-10	1.85352e-09	9.44939e-07	1.04708e-11	4.41919e-08	6.29103e-09	4.89696e-13	1.79409e-09	8.0109e-06
81	4.09362e-11	2.8784e-10	2.56563e-11	9.09487e-14	5.44699e-10	1.81323e-09	9.4599e-07	1.04827e-11	4.32333e-08	6.29809e-09	4.79085e-13	1.75506e-09	8.0108e-06
82	4.00675e-11	2.81752e-10	2.51121e-11	8.90203e-14	5.33144e-10	1.77479e-09	9.46993e-07	1.0494e-11	4.23185e-08	6.30484e-09	4.68959e-13	1.71782e-09	8.01072e-06
83	3.92384e-11	2.75943e-10	2.45927e-11	8.71801e-14	5.22117e-10	1.7381e-09	9.4795e-07	1.05048e-11	4.14456e-08	6.31128e-09	4.59295e-13	1.68228e-09	8.01063e-06
84	3.84473e-11	2.704e-10	2.40971e-11	8.54239e-14	5.11594e-10	1.70308e-09	9.48863e-07	1.05152e-11	4.06126e-08	6.31742e-09	4.50072e-13	1.64836e-09	8.01055e-06
85	3.76924e-11	2.6511e-10	2.36241e-11	8.3748e-14	5.01553e-10	1.66967e-09	9.49734e-07	1.0525e-11	3.98176e-08	6.32328e-09	4.41271e-13	1.616e-09	8.01048e-06
86	3.6972e-11	2.60062e-10	2.31728e-11	8.21487e-14	4.9197e-10	1.63779e-09	9.50566e-07	1.05344e-11	3.90591e-08	6.32888e-09	4.32873e-13	1.58511e-09	8.0104e-06
87	3.62845e-11	2.55244e-10	2.27421e-11	8.06225e-14	4.82826e-10	1.60736e-09	9.51359e-07	1.05434e-11	3.83352e-08	6.33422e-09	4.24858e-13	1.55564e-09	8.01033e-06
88	3.56285e-11	2.50647e-10	2.23311e-11	7.9166e-14	4.741e-10	1.57832e-09	9.52117e-07	1.0552e-11	3.76445e-08	6.33931e-09	4.17209e-13	1.52751e-09	8.01027e-06
89	3.50025e-11	2.4626e-10	2.19389e-11	7.77761e-14	4.65772e-10	1.55061e-09	9.52839e-07	1.05602e-11	3.69853e-08	6.34417e-09	4.0991e-13	1.50068e-09	8.0102e-06
90	3.44051e-11	2.42074e-10	2.15646e-11	7.64497e-14	4.57825e-10	1.52416e-09	9.53529e-07	1.0568e-11	3.63563e-08	6.34881e-09	4.02945e-13	1.47506e-09	8.01014e-06
91	3.3835e-11	2.38079e-10	2.12074e-11	7.5184e-14	4.50242e-10	1.49893e-09	9.54187e-07	1.05754e-11	3.5756e-08	6.35324e-09	3.96298e-13	1.45062e-09	8.01008e-06
92	3.3291e-11	2.34266e-10	2.08666e-11	7.3976e-14	4.43005e-10	1.47485e-09	9.54815e-07	1.05825e-11	3.51832e-08	6.35746e-09	3.89954e-13	1.4273e-09	8.01003e-06
93	3.27718e-11	2.30628e-10	2.05413e-11	7.28233e-14	4.36099e-10	1.45186e-09	9.55414e-07	1.05893e-11	3.46366e-08	6.36149e-09	3.83901e-13	1.40505e-09	8.00997e-06
94	3.22765e-11	2.27156e-10	2.02309e-11	7.17233e-14	4.29509e-10	1.42993e-09	9.55986e-07	1.05958e-11	3.4115e-08	6.36534e-09	3.78124e-13	1.38381e-09	8.00992e-06
95	3.18037e-11	2.23843e-10	1.99347e-11	7.06736e-14	4.2322e-10	1.409e-09	9.56531e-07	1.06019e-11	3.36172e-08	6.36901e-09	3.72611e-13	1.36354e-09	8.00988e-06
96	3.13526e-11	2.20682e-10	1.9652e-11	6.96718e-14	4.17219e-10	1.38903e-09	9.57052e-07	1.06078e-11	3.31422e-08	6.37252e-09	3.67351e-13	1.3442e-09	8.00983e-06
97	3.09221e-11	2.17665e-10	1.93823e-11	6.87158e-14	4.11492e-10	1.36997e-09	9.57549e-07	1.06135e-11	3.26889e-08	6.37586e-09	3.6233e-13	1.32575e-09	8.00979e-06
98	3.05113e-11	2.14786e-10	1.91249e-11	6.78035e-14	4.06027e-10	1.35178e-09	9.58023e-07	1.06188e-11	3.22564e-08	6.37905e-09	3.5754e-13	1.30814e-09	8.00974e-06
99	3.01193e-11	2.12038e-10	1.88793e-11	6.6933e-14	4.00811e-10	1.33443e-09	9.58476e-07	1.06239e-11	3.18436e-08	6.3821e-09	3.52968e-13	1.29133e-09	8.0097e-06
100	2.97452e-11	2.09416e-10	1.86449e-11	6.61022e-14	3.95835e-10	1.31786e-09	9.58907e-07	1.06288e-11	3.14497e-08	6.385e-09	3.48605e-13	1.27529e-09	8.00967e-06
