Time	[s-Frq_1]	[l-Frq_1]	[WC-1_1]	[s-Frq_2]	[l-Frq_2]	[WC-1_2]	[Frq mRNA]	[WC-1 mRNA]	[s-Frq]	[l-Frq]	[WC-1]	[WC-1*]	[tot s-Frq]	[tot l-Frq]	[tot Frq]	[tot WC-1]
13	1.02154	1.10094	5.3759	0.213769	0.213823	5.34951	1.42258	1.26753	0.0766914	0.0908938	26.4641	0	1.312	1.40566	2.71766	37.1895
14	0.965211	1.03371	5.48047	0.21251	0.210644	5.35913	1.25988	1.26745	0.0798818	0.0944127	26.438	0	1.2576	1.33876	2.59636	37.2776
15	0.890162	0.946787	5.59081	0.206671	0.202783	5.38246	1.08803	1.26737	0.0821557	0.096853	26.415	0	1.17899	1.24642	2.42541	37.3883
16	0.802837	0.847668	5.69826	0.196722	0.190884	5.41779	0.922547	1.26729	0.0833227	0.0980099	26.397	0	1.08288	1.13656	2.21944	37.513
17	0.710994	0.745181	5.79425	0.183507	0.175961	5.46241	0.779002	1.26721	0.0832848	0.097786	26.3853	0	0.977785	1.01893	1.99671	37.6419
18	0.622963	0.648651	5.87117	0.168181	0.159326	5.51289	0.670507	1.26713	0.0820475	0.0962034	26.3809	0	0.873191	0.90418	1.77737	37.765
19	0.546468	0.566539	5.92296	0.152102	0.142456	5.5653	0.604392	1.26706	0.0797217	0.0934041	26.3844	0	0.778292	0.802399	1.58069	37.8726
20	0.487273	0.504911	5.94567	0.136652	0.1268	5.61557	0.580773	1.26699	0.0765132	0.0896364	26.3954	0	0.700439	0.721347	1.42179	37.9566
21	0.448461	0.466702	5.93784	0.123051	0.113569	5.65982	0.595061	1.26692	0.0726982	0.0852248	26.4131	0	0.644211	0.665495	1.30971	38.0108
22	0.430831	0.452282	5.90049	0.112218	0.103609	5.69469	0.642094	1.26685	0.0685897	0.08053	26.4364	0	0.61164	0.636421	1.24806	38.0316
23	0.433889	0.460682	5.83692	0.104748	0.0974025	5.71758	0.71822	1.26679	0.0645037	0.0759101	26.4634	0	0.603141	0.633994	1.23713	38.0179
24	0.45663	0.490498	5.7523	0.100963	0.0951467	5.72687	0.820838	1.26672	0.0607328	0.0716923	26.4922	0	0.618327	0.657337	1.27566	37.9714
25	0.497782	0.540132	5.65312	0.100986	0.0968486	5.72197	0.946822	1.26666	0.0575317	0.0681575	26.5206	0	0.656299	0.705138	1.36144	37.8957
26	0.555572	0.607479	5.5467	0.10478	0.102374	5.70336	1.09095	1.2666	0.0551095	0.0655339	26.5466	0	0.715461	0.775387	1.49085	37.7967
27	0.627298	0.689402	5.44072	0.112155	0.111444	5.67248	1.24498	1.26654	0.0536258	0.0639938	26.5683	0	0.793078	0.86484	1.65792	37.6815
28	0.708941	0.781286	5.34274	0.122734	0.123592	5.63165	1.39763	1.26649	0.0531858	0.0636482	26.5842	0	0.884861	0.968526	1.85339	37.5586
29	0.795054	0.876925	5.25983	0.135914	0.138121	5.58388	1.53565	1.26643	0.0538333	0.0645386	26.5931	0	0.984801	1.07958	2.06439	37.4368
30	0.879032	0.968873	5.19809	0.150845	0.154083	5.53268	1.64571	1.26638	0.0555429	0.0666271	26.5944	0	1.08542	1.18958	2.275	37.3252
31	0.953766	1.04921	5.16226	0.166459	0.170315	5.48183	1.71645	1.26633	0.0582127	0.0697888	26.5881	0	1.17844	1.28932	2.46776	37.2322
32	1.01251	1.11057	5.15529	0.18154	0.185525	5.43511	1.7403	1.26628	0.0616641	0.0738111	26.5746	0	1.25571	1.3699	2.62561	37.165
33	1.04973	1.14706	5.17808	0.194842	0.198426	5.39606	1.71438	1.26623	0.0656485	0.0784025	26.5551	0	1.31022	1.42388	2.73411	37.1293
34	1.06182	1.15504	5.22922	0.205218	0.20788	5.36767	1.64061	1.26618	0.0698642	0.083213	26.531	0	1.3369	1.44613	2.78303	37.1279
35	1.04741	1.13347	5.30509	0.211749	0.213023	5.35217	1.52522	1.26614	0.0739802	0.0878626	26.5043	0	1.33314	1.43435	2.76749	37.1615
36	1.00751	1.08395	5.40001	0.213834	0.213361	5.35081	1.37794	1.26609	0.0776652	0.0919748	26.4768	0	1.29901	1.38929	2.68829	37.2277
37	0.945356	1.01053	5.50667	0.211253	0.208816	5.36378	1.21126	1.26605	0.0806171	0.0952112	26.4509	0	1.23723	1.31455	2.55178	37.3214
38	0.866165	0.919388	5.61672	0.204189	0.199734	5.39012	1.03975	1.26601	0.0825908	0.0973018	26.4286	0	1.15294	1.21642	2.36937	37.4354
39	0.776798	0.818454	5.72145	0.19322	0.186869	5.42781	0.879078	1.26597	0.0834207	0.0980709	26.4115	0	1.05344	1.10339	2.15683	37.5607
40	0.685262	0.716797	5.81252	0.179288	0.171328	5.47394	0.744437	1.26593	0.0830375	0.0974541	26.4011	0	0.947588	0.98558	1.93317	37.6875
41	0.599846	0.623646	5.88268	0.163618	0.154487	5.52489	0.647602	1.26589	0.0814767	0.0955081	26.3981	0	0.84494	0.873641	1.71858	37.8057
42	0.527838	0.546918	5.92642	0.147593	0.137833	5.57667	0.59384	1.26585	0.0788778	0.0924071	26.4029	0	0.754308	0.777158	1.53147	37.906
43	0.474262	0.491803	5.94049	0.132566	0.122768	5.62522	0.581533	1.26582	0.0754694	0.0884242	26.415	0	0.682298	0.702994	1.38529	37.9807
44	0.441474	0.460405	5.92413	0.119681	0.110404	5.66679	0.605563	1.26578	0.0715415	0.0838983	26.4336	0	0.632697	0.654707	1.2874	38.0245
45	0.429803	0.452593	5.87904	0.109762	0.101481	5.69821	0.661125	1.26575	0.0674109	0.0791926	26.4571	0	0.606976	0.633266	1.24024	38.0344
46	0.438556	0.467212	5.80908	0.103319	0.0963882	5.71715	0.744985	1.26571	0.0633888	0.0746586	26.4839	0	0.605264	0.638259	1.24352	38.0101
47	0.466654	0.502812	5.71983	0.100611	0.0952624	5.72228	0.854567	1.26568	0.0597582	0.0706111	26.5118	0	0.627023	0.668685	1.29571	37.9539
48	0.512717	0.557695	5.61806	0.101714	0.0980679	5.7133	0.986289	1.26565	0.0567611	0.0673164	26.5388	0	0.671192	0.723079	1.39427	37.8702
49	0.574758	0.62952	5.51123	0.106549	0.104632	5.69096	1.13413	1.26562	0.054593	0.0649872	26.5628	0	0.7359	0.799139	1.53504	37.765
50	0.64973	0.714764	5.40701	0.114877	0.114627	5.65698	1.28893	1.26559	0.0533984	0.0637787	26.5821	0	0.818006	0.89317	1.71118	37.6461
51	0.733207	0.808355	5.31287	0.126261	0.127526	5.61387	1.43872	1.26556	0.0532659	0.0637834	26.5951	0	0.912733	0.999664	1.9124	37.5219
52	0.819369	0.903682	5.23561	0.140027	0.14256	5.56481	1.57002	1.26554	0.0542205	0.065021	26.601	0	1.01362	1.11126	2.12488	37.4015
53	0.901394	0.993077	5.181	0.15526	0.158715	5.51339	1.66986	1.26551	0.0562154	0.0674296	26.5993	0	1.11287	1.21922	2.33209	37.2937
54	0.972187	1.06868	5.1533	0.17084	0.17478	5.46342	1.72782	1.26548	0.059127	0.0708591	26.5901	0	1.20215	1.31432	2.51647	37.2068
55	1.02527	1.12344	5.15489	0.185531	0.189452	5.41863	1.7376	1.26546	0.0627556	0.0750732	26.574	0	1.27356	1.38797	2.66152	37.1475
56	1.0556	1.15207	5.18604	0.198102	0.201472	5.38242	1.69771	1.26543	0.0668358	0.0797615	26.5523	0	1.32054	1.43331	2.75385	37.1207
57	1.06019	1.15165	5.24471	0.207462	0.209769	5.35759	1.61136	1.26541	0.0710548	0.0845625	26.5265	0	1.33871	1.44598	2.78469	37.1288
58	1.03835	1.12188	5.32665	0.212771	0.213577	5.3461	1.48586	1.26539	0.0750788	0.0890938	26.4986	0	1.3262	1.42455	2.75075	37.1714
59	0.991737	1.06509	5.42569	0.213534	0.212517	5.34891	1.33179	1.26536	0.0785819	0.0929867	26.4707	0	1.28385	1.37059	2.65445	37.2453
60	0.924174	0.985968	5.53416	0.209645	0.206633	5.36587	1.16229	1.26534	0.081276	0.0959194	26.445	0	1.2151	1.28852	2.50361	37.345
61	0.841381	0.891234	5.64356	0.201401	0.196389	5.39572	0.992343	1.26532	0.0829366	0.0976467	26.4233	0	1.12572	1.18527	2.31099	37.4626
62	0.750606	0.789203	5.7452	0.189488	0.182645	5.43618	0.837699	1.2653	0.083424	0.098023	26.4074	0	1.02352	1.06987	2.09339	37.5888
63	0.660035	0.689109	5.831	0.174936	0.166597	5.48409	0.712905	1.26528	0.0826983	0.0970181	26.3985	0	0.917669	0.952724	1.87039	37.7136
64	0.577812	0.599966	5.89414	0.159031	0.149667	5.53571	0.628138	1.26526	0.0808252	0.0947227	26.3971	0	0.817668	0.844356	1.66202	37.827
65	0.510683	0.529025	5.92973	0.143167	0.133341	5.587	0.586563	1.26524	0.0779713	0.0913416	26.4035	0	0.731821	0.753707	1.48553	37.9202
66	0.462902	0.480576	5.9352	0.128653	0.118953	5.63397	0.585131	1.26522	0.074386	0.0871705	26.4171	0	0.665942	0.686699	1.35264	37.9862
67	0.436153	0.455966	5.91052	0.116547	0.107514	5.67298	0.61852	1.26521	0.0703702	0.082559	26.4367	0	0.62307	0.646039	1.26911	38.0202
68	0.43038	0.454664	5.85802	0.107581	0.0996556	5.7011	0.682369	1.26519	0.0662419	0.0778701	26.4609	0	0.604203	0.63219	1.23639	38.02
69	0.444744	0.47539	5.7821	0.102184	0.0956869	5.71627	0.77378	1.26517	0.062306	0.0734466	26.4877	0	0.609234	0.644524	1.25376	37.9861
70	0.478093	0.516644	5.68874	0.10056	0.095688	5.71745	0.89006	1.26516	0.0588346	0.0695902	26.5151	0	0.637487	0.681922	1.31941	37.9213
71	0.528917	0.576599	5.58494	0.102737	0.0995837	5.70465	1.02705	1.26514	0.0560568	0.0665523	26.541	0	0.687711	0.742735	1.43045	37.8306
72	0.594972	0.652628	5.47825	0.108595	0.107161	5.6789	1.17788	1.26513	0.054154	0.0645295	26.5634	0	0.757721	0.824319	1.58204	37.7206
73	0.672842	0.740795	5.37633	0.117842	0.11804	5.64215	1.3325	1.26511	0.0532554	0.06366	26.5807	0	0.843939	0.922495	1.76643	37.5992
74	0.757691	0.835567	5.28648	0.129976	0.131629	5.59712	1.47835	1.2651	0.0534324	0.0640165	26.5914	0	0.9411	1.03121	1.97231	37.475
75	0.843359	0.929971	5.21527	0.144256	0.147089	5.54713	1.60189	1.26508	0.0546903	0.0655965	26.5948	0	1.04231	1.14266	2.18496	37.3573
76	0.922864	1.01619	5.16806	0.159702	0.16334	5.49586	1.69067	1.26507	0.0569609	0.0683133	26.5906	0	1.13953	1.24784	2.38737	37.2546
77	0.989199	1.08648	5.14863	0.17515	0.179135	5.44712	1.73535	1.26506	0.0600983	0.0719918	26.5791	0	1.22445	1.33761	2.56206	37.1748
78	1.03622	1.13424	5.15876	0.189353	0.193169	5.40456	1.73094	1.26504	0.0638831	0.076373	26.561	0	1.28946	1.40378	2.69324	37.1243
79	1.05943	1.15478	5.19808	0.201108	0.204222	5.37144	1.67735	1.26503	0.068034	0.0811295	26.5377	0	1.32857	1.44013	2.76871	37.1072
80	1.05647	1.14593	5.2639	0.209383	0.211302	5.35034	1.57902	1.26502	0.0722298	0.0858905	26.5109	0	1.33808	1.44312	2.7812	37.1252
81	1.02733	1.10815	5.3514	0.213432	0.213745	5.34295	1.44425	1.26501	0.0761359	0.0902743	26.4826	0	1.3169	1.41217	2.72907	37.177
82	0.974308	1.04447	5.45393	0.212866	0.211291	5.34991	1.28443	1.26499	0.0794345	0.0939224	26.455	0	1.26661	1.34968	2.61629	37.2588
83	0.901791	0.96018	5.56353	0.207693	0.204105	5.37077	1.1133	1.26498	0.081853	0.0965321	26.43	0	1.19134	1.26082	2.45215	37.3643
84	0.815975	0.862513	5.67156	0.198324	0.192767	5.40395	0.946182	1.26497	0.0831894	0.0978845	26.4097	0	1.09749	1.15316	2.25065	37.4852
85	0.724445	0.760123	5.76946	0.185548	0.178241	5.44692	0.798733	1.26496	0.0833313	0.0978659	26.3955	0	0.993324	1.03623	2.02955	37.6119
86	0.635492	0.662314	5.84943	0.170479	0.161798	5.49631	0.684604	1.26495	0.0822685	0.0964801	26.3886	0	0.888239	0.920592	1.80883	37.7343
87	0.557001	0.577759	5.90515	0.154451	0.144898	5.54828	0.612141	1.26494	0.0800964	0.0938518	26.3893	0	0.791548	0.816509	1.60806	37.8428
88	0.495085	0.512941	5.93236	0.138852	0.129006	5.59876	0.582475	1.26493	0.0770076	0.0902144	26.3977	0	0.710945	0.732161	1.44311	37.9288
89	0.453222	0.471252	5.9292	0.124935	0.115375	5.64384	0.591472	1.26492	0.0732694	0.085883	26.413	0	0.651427	0.67251	1.32394	37.986
90	0.432498	0.453378	5.89634	0.113666	0.10491	5.68005	0.633875	1.26492	0.069191	0.0812148	26.434	0	0.615354	0.639502	1.25486	38.0104
91	0.432553	0.458481	5.83674	0.105685	0.0981407	5.70469	0.705796	1.26491	0.0650892	0.0765699	26.459	0	0.603328	0.633191	1.23652	38.0004
92	0.452438	0.485197	5.7553	0.101351	0.0953013	5.71599	0.804561	1.2649	0.061261	0.0722808	26.4861	0	0.615049	0.652779	1.26783	37.9574
93	0.490923	0.531966	5.65832	0.100811	0.0964233	5.7132	0.92722	1.26489	0.0579668	0.0686353	26.5132	0	0.6497	0.697024	1.34672	37.8848
94	0.546335	0.596789	5.55302	0.104053	0.101393	5.69662	1.06894	1.26488	0.0554227	0.0658696	26.5383	0	0.70581	0.764051	1.46986	37.7879
95	0.616136	0.676714	5.44702	0.110911	0.109953	5.66758	1.22195	1.26487	0.0537954	0.0641642	26.5593	0	0.780842	0.850831	1.63167	37.6739
96	0.69652	0.767362	5.34791	0.121037	0.121671	5.62824	1.37538	1.26487	0.0531985	0.0636394	26.5748	0	0.870756	0.952672	1.82343	37.5509
97	0.782248	0.862759	5.26284	0.133864	0.135883	5.58152	1.5162	1.26486	0.0536854	0.0643476	26.5835	0	0.969797	1.06299	2.03279	37.4278
98	0.866861	0.955611	5.19805	0.14858	0.151682	5.53085	1.63097	1.26485	0.0552413	0.066263	26.5847	0	1.07068	1.17356	2.24424	37.3136
99	0.943284	1.03802	5.1585	0.164145	0.16793	5.47999	1.70796	1.26485	0.0577758	0.0692741	26.5783	0	1.1652	1.27523	2.44043	37.2168
100	1.00467	1.10249	5.14742	0.179361	0.18335	5.43272	1.73895	1.26484	0.0611216	0.073181	26.5648	0	1.24515	1.35902	2.60417	37.145
