Time	[Total cdc13]	[preMPF]	[ste9]	[slp1T]	[slp1]	[IEP]	[rum1T]	[SK]	[Cell Mass]	[M-phase promoting factor]
16	0.185636	0.156237	0.0109765	0.0408426	8.21105e-07	0.000210621	0.12869	0.784236	1.08329	0.00935781
17	0.210285	0.179698	0.00930743	0.0417146	1.1923e-06	0.000305331	0.123271	0.803208	1.08872	0.0128571
18	0.234415	0.202661	0.00823501	0.0425046	1.51249e-06	0.000386893	0.118686	0.820369	1.09417	0.0158135
19	0.258006	0.225103	0.00748491	0.043221	1.79116e-06	0.000457782	0.114862	0.835895	1.09966	0.0183561
20	0.281053	0.247018	0.00692656	0.0438712	2.03831e-06	0.000520582	0.111667	0.849946	1.10517	0.0205916
21	0.303562	0.268411	0.0064914	0.0444622	2.26172e-06	0.000577292	0.108971	0.862664	1.11071	0.0225971
22	0.325545	0.289293	0.00614027	0.045	2.46702e-06	0.000629365	0.106671	0.874177	1.11628	0.0244273
23	0.347013	0.309675	0.00584925	0.0454903	2.65829e-06	0.000677844	0.104683	0.884601	1.12187	0.0261209
24	0.367982	0.32957	0.0056029	0.045938	2.83847e-06	0.000723484	0.102948	0.89404	1.1275	0.0277056
25	0.388465	0.348994	0.00539079	0.0463478	3.00973e-06	0.000766839	0.101419	0.90259	1.13315	0.0292019
26	0.408479	0.367961	0.00520558	0.0467237	3.17367e-06	0.000808325	0.10006	0.910335	1.13883	0.030625
27	0.428038	0.386485	0.00504194	0.0470694	3.33154e-06	0.000848256	0.098846	0.917353	1.14454	0.0319865
28	0.447157	0.404581	0.00489593	0.0473884	3.4843e-06	0.00088688	0.0977534	0.923712	1.15027	0.0332956
29	0.465851	0.422262	0.00476449	0.0476837	3.63271e-06	0.00092439	0.0967652	0.929476	1.15604	0.0345594
30	0.484134	0.439543	0.00464529	0.0479582	3.77739e-06	0.000960943	0.095867	0.934702	1.16183	0.0357837
31	0.502019	0.456437	0.00453647	0.0482143	3.91882e-06	0.000996665	0.0950471	0.939441	1.16766	0.0369732
32	0.519521	0.472958	0.00443653	0.0484544	4.05742e-06	0.00103166	0.0942955	0.943739	1.17351	0.0381319
33	0.536653	0.489117	0.00434426	0.0486807	4.19355e-06	0.00106602	0.0936038	0.94764	1.17939	0.039263
34	0.553427	0.504928	0.00425866	0.0488949	4.32749e-06	0.00109982	0.0929649	0.951179	1.1853	0.0403693
35	0.569856	0.520403	0.00417891	0.0490989	4.45949e-06	0.00113312	0.0923725	0.954393	1.19125	0.0414533
36	0.585951	0.535552	0.0041043	0.0492943	4.58978e-06	0.00116598	0.0918216	0.957311	1.19722	0.0425169
37	0.601725	0.550388	0.00403425	0.0494825	4.71855e-06	0.00119844	0.0913073	0.959963	1.20322	0.043562
38	0.617189	0.564922	0.00396826	0.0496648	4.84596e-06	0.00123055	0.0908258	0.962373	1.20925	0.0445901
39	0.632353	0.579163	0.00390592	0.0498426	4.97216e-06	0.00126234	0.0903736	0.964564	1.21531	0.0456027
40	0.647229	0.593122	0.00384684	0.0500169	5.09729e-06	0.00129386	0.0899475	0.966558	1.2214	0.0466011
41	0.661827	0.60681	0.0037907	0.0501887	5.22148e-06	0.00132513	0.089545	0.968372	1.22753	0.0475863
42	0.676156	0.620235	0.00373724	0.050359	5.34484e-06	0.00135617	0.0891635	0.970025	1.23368	0.0485595
43	0.690227	0.633407	0.0036862	0.0505288	5.46746e-06	0.00138702	0.088801	0.97153	1.23986	0.0495215
44	0.704048	0.646336	0.00363737	0.0506987	5.58945e-06	0.0014177	0.0884557	0.972903	1.24608	0.0504732
45	0.717629	0.659029	0.00359057	0.0508696	5.71089e-06	0.00144823	0.0881258	0.974156	1.25232	0.0514155
46	0.730978	0.671495	0.00354561	0.0510422	5.83187e-06	0.00147863	0.0878099	0.9753	1.2586	0.052349
47	0.744105	0.683742	0.00350237	0.0512171	5.95248e-06	0.00150893	0.0875066	0.976346	1.26491	0.0532745
48	0.757016	0.695779	0.00346069	0.0513951	6.07278e-06	0.00153914	0.0872148	0.977302	1.27125	0.0541927
49	0.769721	0.707612	0.00342046	0.0515765	6.19285e-06	0.00156927	0.0869333	0.978177	1.27762	0.0551041
50	0.782226	0.71925	0.00338158	0.0517621	6.31276e-06	0.00159936	0.0866612	0.97898	1.28403	0.0560093
51	0.79454	0.730699	0.00334394	0.0519524	6.43257e-06	0.0016294	0.0863977	0.979715	1.29046	0.056909
52	0.806669	0.741966	0.00330746	0.0521478	6.55237e-06	0.00165943	0.0861419	0.980391	1.29693	0.0578035
53	0.818621	0.753057	0.00327206	0.0523488	6.6722e-06	0.00168945	0.0858932	0.981013	1.30343	0.0586935
54	0.830402	0.76398	0.00323766	0.052556	6.79213e-06	0.00171949	0.0856509	0.981585	1.30996	0.0595795
55	0.842019	0.774741	0.0032042	0.0527697	6.91223e-06	0.00174955	0.0854145	0.982112	1.31653	0.0604619
56	0.853478	0.785346	0.00317162	0.0529905	7.03256e-06	0.00177965	0.0851834	0.982598	1.32313	0.0613411
57	0.864785	0.795799	0.00313986	0.0532187	7.15318e-06	0.00180981	0.0849571	0.983048	1.32976	0.0622177
58	0.875947	0.806107	0.00310888	0.0534548	7.27414e-06	0.00184005	0.0847352	0.983464	1.33643	0.063092
59	0.886968	0.816276	0.00307862	0.0536993	7.39552e-06	0.00187037	0.0845174	0.98385	1.34313	0.0639646
60	0.897855	0.82631	0.00304904	0.0539526	7.51737e-06	0.00190079	0.0843032	0.984208	1.34986	0.0648357
61	0.908614	0.836215	0.0030201	0.0542151	7.63975e-06	0.00193133	0.0840923	0.984542	1.35663	0.0657059
62	0.919248	0.845996	0.00299176	0.0544872	7.76273e-06	0.001962	0.0838844	0.984852	1.36343	0.0665755
63	0.929764	0.855657	0.00296399	0.0547695	7.88637e-06	0.00199282	0.0836792	0.985142	1.37026	0.067445
64	0.940166	0.865203	0.00293676	0.0550623	8.01073e-06	0.0020238	0.0834765	0.985413	1.37713	0.0683148
65	0.95046	0.874639	0.00291003	0.0553662	8.13588e-06	0.00205496	0.083276	0.985667	1.38403	0.0691852
66	0.960649	0.883968	0.00288378	0.0556816	8.26188e-06	0.00208631	0.0830774	0.985905	1.39097	0.0700567
67	0.970738	0.893195	0.00285798	0.056009	8.38881e-06	0.00211788	0.0828806	0.986129	1.39794	0.0709297
68	0.980732	0.902324	0.0028326	0.056349	8.51672e-06	0.00214967	0.0826855	0.986341	1.40495	0.0718045
69	0.990635	0.911359	0.00280763	0.0567021	8.6457e-06	0.00218171	0.0824917	0.98654	1.41199	0.0726817
70	1.00045	0.920303	0.00278304	0.0570688	8.77581e-06	0.00221401	0.0822991	0.986728	1.41907	0.0735615
71	1.01018	0.92916	0.0027588	0.0574498	8.90713e-06	0.00224659	0.0821076	0.986907	1.42618	0.0744444
72	1.01984	0.937933	0.0027349	0.0578455	9.03974e-06	0.00227947	0.081917	0.987077	1.43333	0.0753309
73	1.02941	0.946627	0.00271133	0.0582568	9.17371e-06	0.00231267	0.0817272	0.987238	1.44051	0.0762213
74	1.03892	0.955243	0.00268805	0.0586842	9.30913e-06	0.0023462	0.0815379	0.987392	1.44773	0.0771161
75	1.04836	0.963785	0.00266507	0.0591285	9.44609e-06	0.0023801	0.0813492	0.987539	1.45499	0.0780158
76	1.05773	0.972256	0.00264234	0.0595904	9.58467e-06	0.00241437	0.0811608	0.987679	1.46228	0.0789208
77	1.06704	0.980659	0.00261988	0.0600706	9.72497e-06	0.00244905	0.0809726	0.987814	1.46961	0.0798315
78	1.07629	0.988997	0.00259764	0.0605701	9.86709e-06	0.00248415	0.0807845	0.987943	1.47698	0.0807485
79	1.08549	0.997272	0.00257563	0.0610897	1.00111e-05	0.00251971	0.0805964	0.988067	1.48438	0.0816723
80	1.09463	1.00549	0.00255383	0.0616303	1.01572e-05	0.00255574	0.0804082	0.988187	1.49182	0.0826034
81	1.10373	1.01364	0.00253222	0.062193	1.03054e-05	0.00259228	0.0802197	0.988302	1.4993	0.0835423
82	1.11278	1.02175	0.0025108	0.0627787	1.04559e-05	0.00262935	0.0800308	0.988413	1.50682	0.0844896
83	1.12178	1.02979	0.00248954	0.0633887	1.06087e-05	0.00266698	0.0798414	0.988521	1.51437	0.0854458
84	1.13074	1.03779	0.00246844	0.0640241	1.07641e-05	0.00270521	0.0796514	0.988625	1.52196	0.0864117
85	1.13967	1.04574	0.00244747	0.0646861	1.09221e-05	0.00274406	0.0794607	0.988726	1.52959	0.0873878
86	1.14856	1.05364	0.00242664	0.0653763	1.1083e-05	0.00278358	0.0792691	0.988824	1.53726	0.0883748
87	1.15742	1.06149	0.00240593	0.066096	1.12468e-05	0.00282381	0.0790765	0.988919	1.54496	0.0893734
88	1.16624	1.06931	0.00238531	0.0668468	1.14137e-05	0.00286478	0.0788829	0.989012	1.55271	0.0903845
89	1.17504	1.07707	0.0023648	0.0676304	1.1584e-05	0.00290654	0.078688	0.989102	1.56049	0.0914088
90	1.18381	1.0848	0.00234435	0.0684487	1.17579e-05	0.00294913	0.0784917	0.989189	1.56831	0.0924472
91	1.19256	1.09249	0.00232398	0.0693036	1.19354e-05	0.00299261	0.0782938	0.989275	1.57617	0.0935006
92	1.20128	1.10014	0.00230366	0.0701972	1.2117e-05	0.00303704	0.0780944	0.989358	1.58407	0.0945701
93	1.20999	1.10775	0.00228338	0.0711319	1.23027e-05	0.00308246	0.077893	0.989439	1.59201	0.0956566
94	1.21867	1.11533	0.00226312	0.0721102	1.2493e-05	0.00312896	0.0776897	0.989518	1.59999	0.0967614
95	1.22735	1.12287	0.00224287	0.0731348	1.2688e-05	0.00317659	0.0774842	0.989596	1.60801	0.0978858
96	1.23601	1.13038	0.00222262	0.0742087	1.28882e-05	0.00322544	0.0772763	0.989672	1.61607	0.0990311
97	1.24465	1.13785	0.00220235	0.0753352	1.30939e-05	0.00327559	0.0770658	0.989745	1.62418	0.100199
98	1.25329	1.14528	0.00218205	0.0765177	1.33054e-05	0.00332714	0.0768525	0.989818	1.63232	0.101391
99	1.26192	1.15269	0.00216168	0.0777603	1.35232e-05	0.00338019	0.0766361	0.989888	1.6405	0.102608
100	1.27055	1.16005	0.00214124	0.0790674	1.37479e-05	0.00343486	0.0764163	0.989957	1.64872	0.103854
