Time	[Akt]	[Akt]	[MEK1_minus_2]	[MEK1_minus_2]	[ERK1_minus_2]	[ERK1_minus_2]	[RKIP]	[RKIP]	[PP2A]	[14_minus_3_minus_3]	[Mitogenesis_br_Differentiation]	[Raf_minus_1]	[Raf_minus_1]	[EGF]	[EGFR]	[Ras]	[GDP]	[GTP]	[PKC]	[EGFR]	[erlotinib]	[Complex_br_(EGFR/../_br_GAP)]	[Complex(Grb2/../PLC)]
30	2.5	2.5	1.65773	1.65773	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.44999	4.44999	5	0.108216	5	0.25	0.25	2	0.108216	0.5	2.4388	2.5612
31	2.5	2.5	1.64433	1.64433	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.43397	4.43397	5	0.103101	5	0.25	0.25	2	0.103101	0.5	2.44202	2.55798
32	2.5	2.5	1.63354	1.63354	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.41804	4.41804	5	0.098405	5	0.25	0.25	2	0.098405	0.5	2.44494	2.55506
33	2.5	2.5	1.62492	1.62492	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.4022	4.4022	5	0.0940829	5	0.25	0.25	2	0.0940829	0.5	2.44761	2.55239
34	2.5	2.5	1.61808	1.61808	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.38644	4.38644	5	0.0900941	5	0.25	0.25	2	0.0900941	0.5	2.45005	2.54995
35	2.5	2.5	1.61269	1.61269	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.37078	4.37078	5	0.0864035	5	0.25	0.25	2	0.0864035	0.5	2.45229	2.54771
36	2.5	2.5	1.60848	1.60848	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.35519	4.35519	5	0.0829808	5	0.25	0.25	2	0.0829808	0.5	2.45435	2.54565
37	2.5	2.5	1.60521	1.60521	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.3397	4.3397	5	0.0797993	5	0.25	0.25	2	0.0797993	0.5	2.45626	2.54374
38	2.5	2.5	1.60269	1.60269	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.32429	4.32429	5	0.0768357	5	0.25	0.25	2	0.0768357	0.5	2.45802	2.54198
39	2.5	2.5	1.60076	1.60076	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.30897	4.30897	5	0.0740693	5	0.25	0.25	2	0.0740693	0.5	2.45966	2.54034
40	2.5	2.5	1.5993	1.5993	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.29373	4.29373	5	0.0714822	5	0.25	0.25	2	0.0714822	0.5	2.46118	2.53882
41	2.5	2.5	1.5982	1.5982	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.27859	4.27859	5	0.0690581	5	0.25	0.25	2	0.0690581	0.5	2.4626	2.5374
42	2.5	2.5	1.59737	1.59737	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.26352	4.26352	5	0.0667828	5	0.25	0.25	2	0.0667828	0.5	2.46392	2.53608
43	2.5	2.5	1.59676	1.59676	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.24854	4.24854	5	0.0646437	5	0.25	0.25	2	0.0646437	0.5	2.46516	2.53484
44	2.5	2.5	1.59631	1.59631	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.23365	4.23365	5	0.0626293	5	0.25	0.25	2	0.0626293	0.5	2.46632	2.53368
45	2.5	2.5	1.59597	1.59597	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.21884	4.21884	5	0.0607294	5	0.25	0.25	2	0.0607294	0.5	2.46742	2.53258
46	2.5	2.5	1.59573	1.59573	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.20412	4.20412	5	0.0589351	5	0.25	0.25	2	0.0589351	0.5	2.46844	2.53156
47	2.5	2.5	1.59556	1.59556	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.18948	4.18948	5	0.0572379	5	0.25	0.25	2	0.0572379	0.5	2.46941	2.53059
48	2.5	2.5	1.59543	1.59543	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.17492	4.17492	5	0.0556307	5	0.25	0.25	2	0.0556307	0.5	2.47032	2.52968
49	2.5	2.5	1.59534	1.59534	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.16045	4.16045	5	0.0541065	5	0.25	0.25	2	0.0541065	0.5	2.47119	2.52881
50	2.5	2.5	1.59528	1.59528	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.14606	4.14606	5	0.0526595	5	0.25	0.25	2	0.0526595	0.5	2.472	2.528
51	2.5	2.5	1.59523	1.59523	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.13175	4.13175	5	0.051284	5	0.25	0.25	2	0.051284	0.5	2.47278	2.52722
52	2.5	2.5	1.5952	1.5952	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.11753	4.11753	5	0.0499751	5	0.25	0.25	2	0.0499751	0.5	2.47351	2.52649
53	2.5	2.5	1.59518	1.59518	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.10339	4.10339	5	0.0487283	5	0.25	0.25	2	0.0487283	0.5	2.47421	2.52579
54	2.5	2.5	1.59516	1.59516	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.08933	4.08933	5	0.0475393	5	0.25	0.25	2	0.0475393	0.5	2.47487	2.52513
55	2.5	2.5	1.59515	1.59515	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.07536	4.07536	5	0.0464043	5	0.25	0.25	2	0.0464043	0.5	2.4755	2.5245
56	2.5	2.5	1.59515	1.59515	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.06147	4.06147	5	0.0453198	5	0.25	0.25	2	0.0453198	0.5	2.47611	2.52389
57	2.5	2.5	1.59514	1.59514	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.04765	4.04765	5	0.0442828	5	0.25	0.25	2	0.0442828	0.5	2.47668	2.52332
58	2.5	2.5	1.59514	1.59514	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.03392	4.03392	5	0.0432901	5	0.25	0.25	2	0.0432901	0.5	2.47723	2.52277
59	2.5	2.5	1.59514	1.59514	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.02027	4.02027	5	0.0423391	5	0.25	0.25	2	0.0423391	0.5	2.47775	2.52225
60	2.5	2.5	1.59514	1.59514	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	4.0067	4.0067	5	0.0414273	5	0.25	0.25	2	0.0414273	0.5	2.47826	2.52174
61	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.99322	3.99322	5	0.0405524	5	0.25	0.25	2	0.0405524	0.5	2.47874	2.52126
62	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.97981	3.97981	5	0.0397122	5	0.25	0.25	2	0.0397122	0.5	2.4792	2.5208
63	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.96648	3.96648	5	0.0389048	5	0.25	0.25	2	0.0389048	0.5	2.47964	2.52036
64	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.95323	3.95323	5	0.0381284	5	0.25	0.25	2	0.0381284	0.5	2.48006	2.51994
65	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.94006	3.94006	5	0.0373812	5	0.25	0.25	2	0.0373812	0.5	2.48047	2.51953
66	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.92697	3.92697	5	0.0366616	5	0.25	0.25	2	0.0366616	0.5	2.48086	2.51914
67	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.91396	3.91396	5	0.0359683	5	0.25	0.25	2	0.0359683	0.5	2.48124	2.51876
68	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.90103	3.90103	5	0.0352997	5	0.25	0.25	2	0.0352997	0.5	2.4816	2.5184
69	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.88817	3.88817	5	0.0346548	5	0.25	0.25	2	0.0346548	0.5	2.48195	2.51805
70	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.8754	3.8754	5	0.0340321	5	0.25	0.25	2	0.0340321	0.5	2.48229	2.51771
71	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.8627	3.8627	5	0.0334307	5	0.25	0.25	2	0.0334307	0.5	2.48261	2.51739
72	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.85008	3.85008	5	0.0328495	5	0.25	0.25	2	0.0328495	0.5	2.48293	2.51707
73	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.83753	3.83753	5	0.0322875	5	0.25	0.25	2	0.0322875	0.5	2.48323	2.51677
74	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.82507	3.82507	5	0.0317438	5	0.25	0.25	2	0.0317438	0.5	2.48352	2.51648
75	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.81267	3.81267	5	0.0312176	5	0.25	0.25	2	0.0312176	0.5	2.48381	2.51619
76	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.80036	3.80036	5	0.0307079	5	0.25	0.25	2	0.0307079	0.5	2.48408	2.51592
77	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.78812	3.78812	5	0.0302142	5	0.25	0.25	2	0.0302142	0.5	2.48435	2.51565
78	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.77596	3.77596	5	0.0297356	5	0.25	0.25	2	0.0297356	0.5	2.4846	2.5154
79	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.76387	3.76387	5	0.0292714	5	0.25	0.25	2	0.0292714	0.5	2.48485	2.51515
80	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.75185	3.75185	5	0.0288212	5	0.25	0.25	2	0.0288212	0.5	2.48509	2.51491
81	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.73992	3.73992	5	0.0283841	5	0.25	0.25	2	0.0283841	0.5	2.48533	2.51467
82	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.72805	3.72805	5	0.0279598	5	0.25	0.25	2	0.0279598	0.5	2.48555	2.51445
83	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.71626	3.71626	5	0.0275476	5	0.25	0.25	2	0.0275476	0.5	2.48577	2.51423
84	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.70455	3.70455	5	0.027147	5	0.25	0.25	2	0.027147	0.5	2.48599	2.51401
85	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.6929	3.6929	5	0.0267576	5	0.25	0.25	2	0.0267576	0.5	2.48619	2.51381
86	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.68133	3.68133	5	0.026379	5	0.25	0.25	2	0.026379	0.5	2.48639	2.51361
87	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.66984	3.66984	5	0.0260106	5	0.25	0.25	2	0.0260106	0.5	2.48659	2.51341
88	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.65841	3.65841	5	0.0256521	5	0.25	0.25	2	0.0256521	0.5	2.48678	2.51322
89	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.64706	3.64706	5	0.025303	5	0.25	0.25	2	0.025303	0.5	2.48697	2.51303
90	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.63578	3.63578	5	0.0249632	5	0.25	0.25	2	0.0249632	0.5	2.48715	2.51285
91	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.62457	3.62457	5	0.0246321	5	0.25	0.25	2	0.0246321	0.5	2.48732	2.51268
92	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.61343	3.61343	5	0.0243094	5	0.25	0.25	2	0.0243094	0.5	2.48749	2.51251
93	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.60237	3.60237	5	0.0239949	5	0.25	0.25	2	0.0239949	0.5	2.48766	2.51234
94	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.59137	3.59137	5	0.0236882	5	0.25	0.25	2	0.0236882	0.5	2.48782	2.51218
95	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.58045	3.58045	5	0.0233891	5	0.25	0.25	2	0.0233891	0.5	2.48798	2.51202
96	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.56959	3.56959	5	0.0230973	5	0.25	0.25	2	0.0230973	0.5	2.48813	2.51187
97	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.55881	3.55881	5	0.0228125	5	0.25	0.25	2	0.0228125	0.5	2.48828	2.51172
98	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.5481	3.5481	5	0.0225344	5	0.25	0.25	2	0.0225344	0.5	2.48843	2.51157
99	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.53745	3.53745	5	0.0222629	5	0.25	0.25	2	0.0222629	0.5	2.48857	2.51143
100	2.5	2.5	1.59513	1.59513	0.00639903	0.00639903	2.53417	2.53417	5	5	5.77975	3.52687	3.52687	5	0.0219978	5	0.25	0.25	2	0.0219978	0.5	2.48871	2.51129
