Time	[Glucose in Cytosol]	[Glucose 6 Phosphate]	[Fructose 6 Phosphate]	[Triose-phosphate]	[3-phosphoglycerate]	[2-phosphoglycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Acetaldehyde]	[High energy phosphates]	[NAD]	[NADH]	[Glycogen]	[Trehalose]	[CO2]	[Succinate]	[Extracellular Glucose]	[Ethanol]	[Glycerol]	[ATP concentration]	[ADP concentration]	[AMP concentration]	[sum of AXP conc]
41	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
42	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
43	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
44	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
45	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
46	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
47	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
48	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
49	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
50	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
51	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
52	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
53	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
54	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
55	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
56	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
57	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
58	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
59	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
60	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
61	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
62	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
63	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
64	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
65	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
66	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
67	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
68	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
69	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
70	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
71	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
72	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
73	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
74	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
75	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
76	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
77	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
78	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
79	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
80	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
81	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
82	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
83	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
84	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
85	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
86	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
87	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
88	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
89	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
90	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
91	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
92	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
93	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
94	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
95	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
96	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
97	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
98	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
99	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
100	0.0987587	1.03325	0.112813	0.777524	0.356484	0.0448437	0.0736168	8.52315	0.170114	6.30888	1.54556	0.0444402	0	0	1	0	50	50	0.15	2.50839	1.2921	0.299509	4.1
