Time	[b_Methionine]	[b_Serine]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[H2O2]	[c_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathionine]	[Homocysteine]	[c_Serine]	[SAH]	[SAM]	[c_Methionine]	[c_Formate]	[dcSAM]	[Putrescine]	[Spermine]	[Spermidine]	[Acetylspermine]	[Acetylspermidine]	[Ornithine]	[Acetyl-CoA]	[CoA]	[CO2]	[m_THF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[m_Serine]	[m_Glycine]	[m_Formate]	[Folate]	[Formaldehyde]	[Sarcosine]	[Dimethylglycine]
20	30	150	220.883	58.1683	190.948	0.825291	12.5723	10	50	50	20	0.015	2.07295	8.06353	0.332171	0.195942	2.71043	0.0249823	0.952136	3037.2	120.038	10.5322	888.776	105.243	6321.48	27.8322	0.921343	582.722	10.717	41.503	61.1983	20.9726	0.0118626	137.101	65.1346	91.6742	0.0311376	1.11174	300	37.6002	161.9	0	20.5374	1.66355	1.54953	16.4495	2151.73	1967.32	78.5913	20.1	500	5.80897	0.528202
21	30	150	220.914	58.1367	190.966	0.825442	12.5733	10	50	50	20	0.015	2.0738	8.06233	0.332229	0.195972	2.71068	0.0249868	0.952132	3035.02	120.173	10.5329	888.825	105.262	6323.44	27.8383	0.921404	582.711	10.7191	41.515	61.1991	20.9658	0.0118595	136.85	65.1244	91.7542	0.0312281	1.11618	300	37.5549	161.945	0	20.5379	1.66354	1.54953	16.4491	2151.7	1967.4	78.5715	20.1	500	5.80962	0.528211
22	30	150	220.945	58.1078	190.983	0.825589	12.5742	10	50	50	20	0.015	2.07442	8.06148	0.332268	0.195992	2.71086	0.0249898	0.95213	3033.02	120.298	10.5335	888.874	105.281	6325.34	27.8427	0.921448	582.704	10.7205	41.5232	61.1997	20.9609	0.011858	136.651	65.1037	91.809	0.0313064	1.12008	300	37.5132	161.987	0	20.5383	1.66353	1.54952	16.4487	2151.7	1967.49	78.557	20.1	500	5.81007	0.528216
23	30	150	220.975	58.0815	190.999	0.825732	12.5752	10	50	50	20	0.015	2.07483	8.06093	0.332292	0.196003	2.71096	0.0249916	0.952128	3031.2	120.414	10.5341	888.923	105.3	6327.2	27.8457	0.921475	582.702	10.7214	41.5282	61.2001	20.9576	0.0118579	136.497	65.0739	91.8423	0.0313734	1.12349	300	37.4751	162.025	0	20.5385	1.66352	1.54951	16.4484	2151.71	1967.58	78.5472	20.1	500	5.81035	0.528219
24	30	150	221.004	58.0576	191.015	0.825872	12.5761	10	50	50	20	0.015	2.07506	8.06065	0.332301	0.196008	2.71099	0.0249924	0.952127	3029.53	120.521	10.5347	888.971	105.318	6329.02	27.8473	0.921489	582.703	10.7219	41.5304	61.2002	20.9556	0.011859	136.382	65.0367	91.8573	0.03143	1.12643	300	37.4403	162.06	0	20.5387	1.66351	1.54951	16.4483	2151.76	1967.67	78.5413	20.1	500	5.81049	0.52822
25	30	150	221.033	58.036	191.031	0.826009	12.577	10	50	50	20	0.015	2.07514	8.06058	0.332299	0.196007	2.71098	0.0249922	0.952128	3028.01	120.621	10.5352	889.019	105.336	6330.78	27.8479	0.92149	582.708	10.7219	41.5302	61.2002	20.9548	0.0118611	136.301	64.9933	91.8568	0.0314769	1.12895	300	37.4087	162.091	0	20.5388	1.6635	1.5495	16.4481	2151.82	1967.76	78.5389	20.1	500	5.8105	0.528219
26	30	150	221.061	58.0164	191.046	0.826141	12.5778	10	50	50	20	0.015	2.07508	8.06071	0.332288	0.196001	2.71092	0.0249913	0.952128	3026.63	120.713	10.5357	889.066	105.353	6332.5	27.8475	0.921482	582.715	10.7216	41.528	61.2001	20.955	0.0118641	136.247	64.945	91.8434	0.0315151	1.1311	300	37.3802	162.12	0	20.5389	1.6635	1.5495	16.4481	2151.89	1967.84	78.5394	20.1	500	5.81041	0.528216
27	30	150	221.088	57.9987	191.061	0.82627	12.5787	10	50	50	20	0.015	2.07492	8.061	0.332267	0.195991	2.71083	0.0249897	0.95213	3025.39	120.799	10.5362	889.112	105.37	6334.18	27.8464	0.921465	582.725	10.7211	41.5242	61.1998	20.956	0.0118677	136.217	64.8931	91.8194	0.0315455	1.1329	300	37.3546	162.145	0	20.5389	1.66349	1.54949	16.4481	2151.98	1967.93	78.5424	20.1	500	5.81024	0.528212
28	30	150	221.115	57.9829	191.076	0.826396	12.5795	10	50	50	20	0.015	2.07467	8.06141	0.332241	0.195977	2.71071	0.0249877	0.952132	3024.26	120.877	10.5367	889.157	105.386	6335.81	27.8447	0.921441	582.736	10.7203	41.519	61.1994	20.9578	0.0118719	136.207	64.8384	91.7868	0.0315688	1.13439	300	37.3316	162.168	0	20.5389	1.66348	1.54949	16.4482	2152.09	1968.01	78.5474	20.1	500	5.80998	0.528206
29	30	150	221.141	57.9687	191.09	0.826518	12.5803	10	50	50	20	0.015	2.07435	8.06193	0.332208	0.195961	2.71056	0.0249852	0.952134	3023.24	120.95	10.5371	889.2	105.402	6337.39	27.8424	0.921411	582.749	10.7194	41.5127	61.1989	20.9601	0.0118766	136.214	64.7821	91.7472	0.0315858	1.1356	300	37.3112	162.189	0	20.5388	1.66347	1.54949	16.4482	2152.2	1968.09	78.5541	20.1	500	5.80967	0.5282
