Time	[HCO3-{plasma}]	[CL-{plasma}]	[Na+{plasma}]	[HCO3-{cell}]	[CL-{cell}]	[Na+{cell}]	[HCO3-{lumen}]	[CL-{lumen}]
35	22	130	140	14.9961	59.8728	13.0714	31.9899	128.01
36	22	130	140	14.9961	59.8694	13.0714	31.9913	128.009
37	22	130	140	14.9961	59.866	13.0714	31.9928	128.007
38	22	130	140	14.9961	59.8626	13.0714	31.9942	128.006
39	22	130	140	14.9961	59.8592	13.0714	31.9956	128.004
40	22	130	140	14.9961	59.8558	13.0714	31.997	128.003
41	22	130	140	14.9961	59.8524	13.0714	31.9985	128.002
42	22	130	140	14.9961	59.849	13.0714	31.9999	128
43	22	130	140	14.9961	59.8456	13.0714	32.0013	127.999
44	22	130	140	14.9961	59.8422	13.0714	32.0027	127.997
45	22	130	140	14.9961	59.8388	13.0713	32.0041	127.996
46	22	130	140	14.9961	59.8355	13.0713	32.0055	127.994
47	22	130	140	14.9961	59.8321	13.0713	32.007	127.993
48	22	130	140	14.9961	59.8287	13.0713	32.0084	127.992
49	22	130	140	14.9961	59.8254	13.0713	32.0098	127.99
50	22	130	140	14.9961	59.822	13.0713	32.0112	127.989
51	22	130	140	14.9961	59.8186	13.0713	32.0126	127.987
52	22	130	140	14.9961	59.8153	13.0713	32.014	127.986
53	22	130	140	14.9961	59.8119	13.0713	32.0154	127.985
54	22	130	140	14.9961	59.8086	13.0713	32.0168	127.983
55	22	130	140	14.9961	59.8052	13.0713	32.0182	127.982
56	22	130	140	14.9961	59.8019	13.0713	32.0196	127.98
57	22	130	140	14.9961	59.7986	13.0713	32.021	127.979
58	22	130	140	14.9961	59.7952	13.0713	32.0224	127.978
59	22	130	140	14.9961	59.7919	13.0713	32.0238	127.976
60	22	130	140	14.9961	59.7886	13.0713	32.0252	127.975
61	22	130	140	14.6074	53.0525	11.4948	29.6075	130.392
62	22	130	140	14.5399	46.9803	10.7798	31.9317	128.068
63	22	130	140	14.5141	41.3605	10.4731	34.975	125.025
64	22	130	140	14.4942	36.227	10.3767	38.445	121.555
65	22	130	140	14.4773	31.6041	10.3962	42.3114	117.689
66	22	130	140	14.4632	27.4968	10.4813	46.5551	113.445
67	22	130	140	14.4523	23.8935	10.6035	51.1408	108.859
68	22	130	140	14.4449	20.7687	10.7452	56.0119	103.988
69	22	130	140	14.4411	18.0863	10.8947	61.0912	98.9088
70	22	130	140	14.4409	15.8021	11.0442	66.2863	93.7137
71	22	130	140	14.444	13.8678	11.1884	71.4991	88.5009
72	22	130	140	14.4499	12.2346	11.3237	76.636	83.364
73	22	130	140	14.458	10.8558	11.4479	81.6165	78.3835
74	22	130	140	14.4676	9.6898	11.56	86.3791	73.6209
75	22	130	140	14.4782	8.70005	11.66	90.882	69.118
76	22	130	140	14.4891	7.85595	11.7484	95.1017	64.8983
77	22	130	140	14.5	7.13222	11.8261	99.0296	60.9704
78	22	130	140	14.5106	6.50819	11.8943	102.668	57.3322
79	22	130	140	14.5208	5.96712	11.954	106.026	53.9739
80	22	130	140	14.5305	5.49541	12.0062	109.119	50.8813
81	22	130	140	14.5396	5.08206	12.0521	111.962	48.0377
82	22	130	140	14.548	4.71809	12.0925	114.575	45.4253
83	22	130	140	14.5559	4.39618	12.1282	116.974	43.0264
84	22	130	140	14.5632	4.1103	12.1597	119.176	40.8236
85	22	130	140	14.5699	3.85544	12.1877	121.199	38.8007
86	22	130	140	14.5762	3.62745	12.2127	123.058	36.9423
87	22	130	140	14.5819	3.42286	12.235	124.766	35.2343
88	22	130	140	14.5872	3.23871	12.255	126.336	33.6638
89	22	130	140	14.5921	3.07253	12.273	127.781	32.2188
90	22	130	140	14.5966	2.9222	12.2892	129.111	30.8886
91	22	130	140	14.6008	2.7859	12.3039	130.337	29.6633
92	22	130	140	14.6046	2.66207	12.3171	131.466	28.5339
93	22	130	140	14.6081	2.54936	12.3292	132.508	27.4923
94	22	130	140	14.6114	2.44658	12.3401	133.469	26.5313
95	22	130	140	14.6144	2.35273	12.3501	134.356	25.644
96	22	130	140	14.6172	2.26688	12.3592	135.176	24.8244
97	22	130	140	14.6198	2.18827	12.3675	135.933	24.0669
98	22	130	140	14.6222	2.11618	12.3751	136.633	23.3666
99	22	130	140	14.6244	2.05001	12.382	137.281	22.7188
100	22	130	140	14.6264	1.98921	12.3884	137.881	22.1192
