Time	[APC]	[Va]	[Va_APC]	[Va3]	[Va3_APC]	[Va5]	[Va5_APC]	[Va53]	[Va53_APC]	[Va56]	[Va56_APC]	[Va36]	[Va36_APC]	[Va536]	[Va536_APC]	[HC]	[LC]	[HC5]	[HC3]	[HC56]	[HC36]	[HC536]	[LC_APC]	[HC53]	[VaA3]	[VaA53]	[VaA36]	[VaA536]	[VaLCA1]	[VaLCA1_APC]
35	3.54691e-10	9.1703e-08	1.86636e-09	1.09595e-09	9.25041e-11	8.1043e-08	6.17964e-09	9.67165e-09	1.12933e-09	8.25571e-11	7.86678e-12	3.9851e-13	3.62885e-14	1.75805e-11	2.34552e-12	8.18977e-11	1.07881e-10	2.75117e-11	5.10258e-13	2.31874e-14	1.69263e-16	4.87671e-15	5.24827e-12	3.18169e-12	9.49677e-10	6.03526e-09	3.16426e-13	9.36089e-12	6.63263e-09	3.6198e-10
36	3.54691e-10	8.97758e-08	1.82714e-09	1.09076e-09	9.09371e-11	8.2473e-08	6.19568e-09	9.84559e-09	1.13749e-09	8.51344e-11	7.99799e-12	3.98454e-13	3.58176e-14	1.81048e-11	2.38837e-12	8.34584e-11	1.10884e-10	2.8918e-11	5.29064e-13	2.46296e-14	1.76117e-16	5.18361e-15	5.40081e-12	3.34954e-12	9.82842e-10	6.34013e-09	3.28588e-13	9.9266e-12	6.95499e-09	3.78239e-10
37	3.54691e-10	8.78891e-08	1.78874e-09	1.08483e-09	8.93851e-11	8.38639e-08	6.21097e-09	1.00143e-08	1.14533e-09	8.7712e-11	8.12868e-12	3.98081e-13	3.53445e-14	1.86257e-11	2.43077e-12	8.49862e-11	1.13882e-10	3.03485e-11	5.47774e-13	2.6116e-14	1.82967e-16	5.4995e-15	5.55307e-12	3.52034e-12	1.01581e-09	6.65002e-09	3.4073e-13	1.05081e-11	7.28194e-09	3.94731e-10
38	3.54691e-10	8.6042e-08	1.75115e-09	1.07822e-09	8.78487e-11	8.52166e-08	6.22552e-09	1.01778e-08	1.15287e-09	9.02893e-11	8.25886e-12	3.97409e-13	3.48695e-14	1.91433e-11	2.47273e-12	8.64819e-11	1.16874e-10	3.18027e-11	5.66376e-13	2.76468e-14	1.89809e-16	5.82432e-15	5.70507e-12	3.694e-12	1.04855e-09	6.96476e-09	3.52843e-13	1.11053e-11	7.61332e-09	4.11447e-10
39	3.54691e-10	8.42338e-08	1.71435e-09	1.07098e-09	8.63281e-11	8.65319e-08	6.23934e-09	1.03363e-08	1.16011e-09	9.28663e-11	8.38855e-12	3.96457e-13	3.43931e-14	1.96573e-11	2.51426e-12	8.79462e-11	1.1986e-10	3.32797e-11	5.84858e-13	2.9222e-14	1.96636e-16	6.15801e-15	5.85679e-12	3.87043e-12	1.08105e-09	7.2842e-09	3.64919e-13	1.17182e-11	7.94895e-09	4.28379e-10
40	3.54691e-10	8.24636e-08	1.67832e-09	1.06316e-09	8.48238e-11	8.78106e-08	6.25246e-09	1.04899e-08	1.16707e-09	9.54423e-11	8.51774e-12	3.9524e-13	3.39156e-14	2.01678e-11	2.55539e-12	8.93798e-11	1.22841e-10	3.47791e-11	6.03212e-13	3.08414e-14	2.03445e-16	6.50051e-15	6.00823e-12	4.04954e-12	1.1133e-09	7.60819e-09	3.76951e-13	1.23464e-11	8.2887e-09	4.4552e-10
41	3.54691e-10	8.07305e-08	1.64305e-09	1.0548e-09	8.33362e-11	8.90534e-08	6.26488e-09	1.06387e-08	1.17375e-09	9.80172e-11	8.64643e-12	3.93775e-13	3.34376e-14	2.06747e-11	2.59609e-12	9.07831e-11	1.25816e-10	3.63002e-11	6.21426e-13	3.25052e-14	2.1023e-16	6.85175e-15	6.15939e-12	4.23125e-12	1.14528e-09	7.9366e-09	3.88932e-13	1.29901e-11	8.63239e-09	4.62863e-10
42	3.54691e-10	7.90339e-08	1.60852e-09	1.04597e-09	8.1866e-11	9.02613e-08	6.27662e-09	1.07827e-08	1.18015e-09	1.00591e-10	8.7746e-12	3.92077e-13	3.29598e-14	2.11778e-11	2.63638e-12	9.2157e-11	1.28786e-10	3.78423e-11	6.39492e-13	3.42132e-14	2.16989e-16	7.21169e-15	6.31027e-12	4.41548e-12	1.17698e-09	8.26927e-09	4.00854e-13	1.3649e-11	8.9799e-09	4.80398e-10
43	3.54691e-10	7.73729e-08	1.57471e-09	1.03668e-09	8.04134e-11	9.14349e-08	6.2877e-09	1.09222e-08	1.18629e-09	1.03162e-10	8.90225e-12	3.90161e-13	3.24827e-14	2.16772e-11	2.67625e-12	9.35021e-11	1.31749e-10	3.94049e-11	6.57402e-13	3.59655e-14	2.23716e-16	7.58025e-15	6.46085e-12	4.60214e-12	1.20838e-09	8.60607e-09	4.12712e-13	1.4323e-11	9.33106e-09	4.98119e-10
44	3.54691e-10	7.57469e-08	1.54162e-09	1.02699e-09	7.89787e-11	9.25749e-08	6.29814e-09	1.10571e-08	1.19217e-09	1.05732e-10	9.02937e-12	3.88039e-13	3.20065e-14	2.21728e-11	2.71571e-12	9.48188e-11	1.34707e-10	4.09874e-11	6.7515e-13	3.77619e-14	2.30409e-16	7.95736e-15	6.61115e-12	4.79117e-12	1.23947e-09	8.94686e-09	4.24499e-13	1.50121e-11	9.68574e-09	5.1602e-10
45	3.54691e-10	7.4155e-08	1.50922e-09	1.01693e-09	7.75623e-11	9.36822e-08	6.30794e-09	1.11877e-08	1.19779e-09	1.08299e-10	9.15595e-12	3.85727e-13	3.15319e-14	2.26645e-11	2.75474e-12	9.61079e-11	1.37659e-10	4.25893e-11	6.92727e-13	3.96026e-14	2.37063e-16	8.34297e-15	6.76115e-12	4.98248e-12	1.27024e-09	9.29151e-09	4.3621e-13	1.5716e-11	1.00438e-08	5.34092e-10
46	3.54691e-10	7.25966e-08	1.4775e-09	1.00654e-09	7.61644e-11	9.47574e-08	6.31713e-09	1.1314e-08	1.20316e-09	1.10864e-10	9.28198e-12	3.83236e-13	3.10593e-14	2.31524e-11	2.79335e-12	9.73699e-11	1.40606e-10	4.42099e-11	7.10128e-13	4.14874e-14	2.43676e-16	8.737e-15	6.91085e-12	5.176e-12	1.30069e-09	9.6399e-09	4.47839e-13	1.64347e-11	1.04051e-08	5.52328e-10
47	3.54691e-10	7.10709e-08	1.44645e-09	9.95842e-10	7.4785e-11	9.58013e-08	6.32573e-09	1.14361e-08	1.20829e-09	1.13426e-10	9.40746e-12	3.80578e-13	3.05887e-14	2.36363e-11	2.83155e-12	9.86053e-11	1.43546e-10	4.58487e-11	7.27348e-13	4.34163e-14	2.50245e-16	9.13939e-15	7.06026e-12	5.37165e-12	1.33079e-09	9.99189e-09	4.59383e-13	1.7168e-11	1.07696e-08	5.70723e-10
48	3.54691e-10	6.95773e-08	1.41606e-09	9.84878e-10	7.34241e-11	9.68144e-08	6.33373e-09	1.15541e-08	1.21319e-09	1.15984e-10	9.53239e-12	3.77767e-13	3.01203e-14	2.41163e-11	2.86933e-12	9.98148e-11	1.4648e-10	4.75052e-11	7.44382e-13	4.53892e-14	2.56766e-16	9.55006e-15	7.20936e-12	5.56937e-12	1.36056e-09	1.03474e-08	4.70836e-13	1.79159e-11	1.1137e-08	5.8927e-10
49	3.54691e-10	6.8115e-08	1.3863e-09	9.73673e-10	7.20817e-11	9.77976e-08	6.34116e-09	1.16681e-08	1.21786e-09	1.18539e-10	9.65677e-12	3.74811e-13	2.96543e-14	2.45923e-11	2.9067e-12	1.00999e-10	1.49408e-10	4.91789e-11	7.61225e-13	4.74061e-14	2.63239e-16	9.96896e-15	7.35816e-12	5.76909e-12	1.38997e-09	1.07062e-08	4.82194e-13	1.86782e-11	1.15074e-08	6.07963e-10
50	3.54691e-10	6.66835e-08	1.35716e-09	9.62255e-10	7.07576e-11	9.87513e-08	6.34803e-09	1.17783e-08	1.22231e-09	1.2109e-10	9.78061e-12	3.71724e-13	2.91908e-14	2.50642e-11	2.94367e-12	1.02158e-10	1.52329e-10	5.08693e-11	7.77874e-13	4.94669e-14	2.69659e-16	1.0396e-14	7.50665e-12	5.97073e-12	1.41903e-09	1.10683e-08	4.93454e-13	1.94547e-11	1.18805e-08	6.26796e-10
51	3.54691e-10	6.52821e-08	1.32864e-09	9.50648e-10	6.94526e-11	9.96764e-08	6.35435e-09	1.18846e-08	1.22654e-09	1.23638e-10	9.90388e-12	3.68513e-13	2.87305e-14	2.55321e-11	2.98023e-12	1.03293e-10	1.55245e-10	5.25758e-11	7.94325e-13	5.15715e-14	2.76025e-16	1.08311e-14	7.65483e-12	6.17423e-12	1.44773e-09	1.14335e-08	5.04613e-13	2.02454e-11	1.22562e-08	6.45763e-10
52	3.54691e-10	6.39102e-08	1.30072e-09	9.38879e-10	6.81664e-11	1.00573e-07	6.36013e-09	1.19871e-08	1.23056e-09	1.26181e-10	1.00266e-11	3.65189e-13	2.82734e-14	2.59959e-11	3.0164e-12	1.04404e-10	1.58154e-10	5.42979e-11	8.10575e-13	5.372e-14	2.82335e-16	1.12743e-14	7.8027e-12	6.37953e-12	1.47606e-09	1.18017e-08	5.15666e-13	2.10501e-11	1.26345e-08	6.64859e-10
53	3.54691e-10	6.25671e-08	1.27338e-09	9.26969e-10	6.6899e-11	1.01443e-07	6.36539e-09	1.20861e-08	1.23438e-09	1.2872e-10	1.01488e-11	3.61762e-13	2.78196e-14	2.64557e-11	3.05218e-12	1.05491e-10	1.61058e-10	5.60353e-11	8.26622e-13	5.59121e-14	2.88587e-16	1.17254e-14	7.95026e-12	6.58656e-12	1.50402e-09	1.21728e-08	5.26611e-13	2.18687e-11	1.30152e-08	6.84079e-10
54	3.54691e-10	6.12522e-08	1.24662e-09	9.14942e-10	6.56504e-11	1.02285e-07	6.37014e-09	1.21815e-08	1.238e-09	1.31254e-10	1.02704e-11	3.5824e-13	2.73693e-14	2.69113e-11	3.08757e-12	1.06556e-10	1.63954e-10	5.77874e-11	8.42463e-13	5.81478e-14	2.94779e-16	1.21843e-14	8.09749e-12	6.79527e-12	1.53161e-09	1.25468e-08	5.37445e-13	2.2701e-11	1.33982e-08	7.03416e-10
55	3.54691e-10	5.99649e-08	1.22042e-09	9.02814e-10	6.44206e-11	1.03102e-07	6.37439e-09	1.22735e-08	1.24142e-09	1.33783e-10	1.03914e-11	3.54631e-13	2.69228e-14	2.73629e-11	3.12257e-12	1.07599e-10	1.66845e-10	5.95537e-11	8.58096e-13	6.04271e-14	3.0091e-16	1.26511e-14	8.24441e-12	7.00558e-12	1.55883e-09	1.29234e-08	5.48166e-13	2.3547e-11	1.37834e-08	7.22866e-10
