Time	[TNFR_E]	[TNF_E]	[TNF:TNFR_E]	[TNFR]	[RIP]	[TRADD]	[TRAF2]	[FADD]	[TNF:TNFR:TRADD]	[TNFRC1]	[TNFRCint1]	[TNFRCint2]	[TNFRCint3]	[TNFRC2]	[FLIP]	[TNFRC2:FLIP]	[TNFRC2:pCasp8]	[TNFRC2:FLIP:FLIP]	[TNFRC2:pCasp8:pCasp8]	[TNFRC2:FLIP:pCasp8]	[TNFRC2:FLIP:pCasp8:RIP:TRAF2]	[IKK]	[IKKa]	[A20]	[NFkB]	[IkBa]	[IkBa:NFkB]	[PIkBa]	[NFkB_N]	[IkBa_N]	[IkBa:NFkB_N]	[A20_mRNA]	[IkBa_mRNA]	[XIAP_mRNA]	[FLIP_mRNA]	[BAR]	[XIAP]	[pCasp8]	[pCasp3]	[pCasp6]	[Casp8]	[Casp3]	[Casp6]	[BAR:Casp8]	[XIAP:Casp3]	[PARP]	[cPARP]
26	3.48093e-06	0.000199761	2.35402e-07	8.75e-05	0.0632999	0.0916984	0.1033	0.0967	1.28363e-06	7.70099e-08	5.90162e-10	3.57291e-12	1.24158e-14	4.20866e-15	0.0100147	3.33351e-17	1.09093e-15	1.1289e-18	1.46889e-16	7.61808e-17	1.54468e-19	0.19998	1.99129e-05	0.0326356	3.62209e-05	0.000317243	0.00471957	1.71036e-07	0.000654794	0.00131051	8.52453e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.89799e-16	-8.9849e-16	1.10891e-19	7.84758e-17	9.05057e-16	0.520834	5.77551e-17
27	3.47206e-06	0.000199752	2.43971e-07	8.75e-05	0.0632999	0.0916982	0.1033	0.0967	1.37018e-06	8.55356e-08	6.81634e-10	4.28929e-12	1.52996e-14	5.3556e-15	0.0100147	4.27661e-17	1.42924e-15	1.50827e-18	1.95625e-16	1.00238e-16	2.11836e-19	0.199977	2.26573e-05	0.0326356	3.62518e-05	0.000317243	0.00471954	2.02338e-07	0.000654801	0.00131051	8.52454e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	2.59386e-16	2.10239e-16	-2.46109e-20	1.11823e-16	-2.00896e-16	0.520834	-1.2818e-17
28	3.46321e-06	0.000199743	2.52505e-07	8.75e-05	0.0632999	0.0916981	0.1033	0.0967	1.45862e-06	9.46172e-08	7.82986e-10	5.11416e-12	1.87008e-14	6.75181e-15	0.0100147	5.43261e-17	1.85257e-15	1.99238e-18	2.5751e-16	1.30431e-16	2.86865e-19	0.199974	2.56431e-05	0.0326356	3.62867e-05	0.000317242	0.0047195	2.3776e-07	0.000654809	0.00131051	8.52454e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	3.49947e-16	8.73542e-16	-1.05415e-19	1.57068e-16	-8.60423e-16	0.520834	-5.49033e-17
29	3.45439e-06	0.000199734	2.61005e-07	8.75e-05	0.0632999	0.091698	0.1033	0.0967	1.54886e-06	1.04266e-07	8.94847e-10	6.05897e-12	2.26867e-14	8.43882e-15	0.0100147	6.83839e-17	2.3777e-15	2.60447e-18	3.35346e-16	1.67984e-16	3.83977e-19	0.199971	2.88792e-05	0.0326356	3.6326e-05	0.000317242	0.00471946	2.7764e-07	0.000654819	0.00131051	8.52455e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	4.66556e-16	2.76736e-16	-3.16699e-20	2.17731e-16	-2.58539e-16	0.520834	-1.64944e-17
30	3.44559e-06	0.000199725	2.6947e-07	8.75e-05	0.0632999	0.0916978	0.1033	0.0967	1.64085e-06	1.14492e-07	1.01785e-09	7.13587e-12	2.73299e-14	1.04629e-14	0.0100147	8.5352e-17	3.02374e-15	3.37158e-18	4.32361e-16	2.14293e-16	5.08436e-19	0.199968	3.23744e-05	0.0326356	3.63701e-05	0.000317242	0.00471941	3.22326e-07	0.00065483	0.00131051	8.52456e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	6.15194e-16	-4.32545e-16	5.60593e-20	2.98141e-16	4.57472e-16	0.520834	2.91975e-17
31	3.43682e-06	0.000199716	2.779e-07	8.75e-05	0.0632999	0.0916977	0.1033	0.0967	1.73451e-06	1.25305e-07	1.15265e-09	8.35772e-12	3.27084e-14	1.28753e-14	0.0100147	1.0569e-16	3.81245e-15	4.32512e-18	5.52265e-16	2.70944e-16	6.66475e-19	0.199964	3.61374e-05	0.0326356	3.64192e-05	0.000317241	0.00471936	3.72173e-07	0.000654843	0.00131051	8.52458e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	8.02873e-16	-7.63181e-17	1.34978e-20	4.03595e-16	1.10061e-16	0.520834	7.0304e-18
32	3.42807e-06	0.000199708	2.86296e-07	8.75e-05	0.0632999	0.0916975	0.1033	0.0967	1.82977e-06	1.36716e-07	1.2999e-09	9.73809e-12	3.89063e-14	1.57331e-14	0.0100147	1.29911e-16	4.76842e-15	5.50134e-18	6.99293e-16	3.39733e-16	8.65432e-19	0.19996	4.01764e-05	0.0326356	3.64737e-05	0.000317241	0.0047193	4.27548e-07	0.000654857	0.00131051	8.52459e-05	5.27137e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.03777e-15	1.61286e-16	-1.42058e-20	5.40517e-16	-1.16094e-16	0.520834	-7.39833e-18
33	3.41935e-06	0.000199699	2.94657e-07	8.75e-05	0.0632998	0.0916974	0.1033	0.0967	1.92657e-06	1.48734e-07	1.46027e-09	1.12913e-11	4.60133e-14	1.9099e-14	0.0100147	1.5858e-16	5.91935e-15	6.94187e-18	8.78259e-16	4.22683e-16	1.11388e-18	0.199956	4.44994e-05	0.0326356	3.6534e-05	0.00031724	0.00471923	4.88824e-07	0.000654874	0.00131051	8.52461e-05	5.27138e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.32933e-15	9.54601e-17	-4.32901e-21	7.16634e-16	-3.55353e-17	0.520834	-2.25403e-18
34	3.41064e-06	0.00019969	3.02985e-07	8.75e-05	0.0632998	0.0916972	0.1033	0.0967	2.02484e-06	1.61366e-07	1.63444e-09	1.30324e-11	5.41257e-14	2.30421e-14	0.0100147	1.92323e-16	7.2963e-15	8.69427e-18	1.0946e-15	5.2206e-16	1.42179e-18	0.199951	4.91142e-05	0.0326356	3.66005e-05	0.00031724	0.00471916	5.56385e-07	0.000654894	0.00131051	8.52463e-05	5.27138e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.68845e-15	-5.76205e-17	1.67372e-20	9.41179e-16	1.36332e-16	0.520834	8.71808e-18
35	3.40196e-06	0.000199681	3.11278e-07	8.75e-05	0.0632998	0.0916971	0.1033	0.0967	2.12453e-06	1.74622e-07	1.82309e-09	1.49773e-11	6.33457e-14	2.76381e-14	0.0100147	2.31826e-16	8.93397e-15	1.08127e-17	1.35446e-15	6.40398e-16	1.80072e-18	0.199946	5.40283e-05	0.0326356	3.66734e-05	0.000317239	0.00471908	6.3062e-07	0.000654915	0.00131051	8.52466e-05	5.27138e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	2.12761e-15	-3.2244e-17	1.65504e-20	1.22514e-15	1.34713e-16	0.520834	8.62112e-18
36	3.39331e-06	0.000199673	3.19538e-07	8.75e-05	0.0632998	0.0916969	0.1033	0.0967	2.22558e-06	1.88509e-07	2.02692e-09	1.71425e-11	7.37821e-14	3.29697e-14	0.0100147	2.77844e-16	1.0871e-14	1.33587e-17	1.6647e-15	7.80512e-16	2.26398e-18	0.199941	5.9249e-05	0.0326356	3.67533e-05	0.000317238	0.00471899	7.11925e-07	0.00065494	0.00131051	8.52469e-05	5.27138e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	2.66105e-15	2.25197e-17	1.35094e-20	1.58152e-15	1.09769e-16	0.520834	7.03764e-18
37	3.38468e-06	0.000199664	3.27763e-07	8.75e-05	0.0632998	0.0916967	0.1033	0.0967	2.32792e-06	2.03034e-07	2.24664e-09	1.95454e-11	8.55504e-14	3.91269e-14	0.0100147	3.31199e-16	1.31501e-14	1.64016e-17	2.033e-15	9.45526e-16	2.82686e-18	0.199935	6.47833e-05	0.0326356	3.68405e-05	0.000317237	0.00471889	8.00704e-07	0.000654968	0.00131051	8.52472e-05	5.27138e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	3.3049e-15	8.60302e-17	1.03008e-20	2.02562e-15	8.34235e-17	0.520834	5.36701e-18
38	3.37607e-06	0.000199655	3.35955e-07	8.75e-05	0.0632998	0.0916966	0.1033	0.0967	2.43151e-06	2.18206e-07	2.48295e-09	2.22042e-11	9.87723e-14	4.62075e-14	0.0100147	3.92784e-16	1.58183e-14	2.00189e-17	2.46784e-15	1.13887e-15	3.50659e-18	0.199929	7.06379e-05	0.0326356	3.69354e-05	0.000317236	0.00471879	8.97367e-07	0.000654999	0.00131051	8.52476e-05	5.27138e-05	5.03331e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	4.07725e-15	1.00635e-16	1.41701e-20	2.57504e-15	1.14803e-16	0.520834	7.3829e-18
