Time	[UFPT]	[BiUFP]	[BiRE1]	[BiATF]	[BiPER]	[IRE1A]	[PERKA]	[mXbp1u]	[mXbp1s]	[Xbp1s]	[mBiPT]	[BiPT]	[ATF6T]	[ATF6GB]	[ATF6p50]	[mWFS1]	[WFS1]	[ATF4]	[mCHOP]	[CHOP]	[mGADD34]	[GADD34]	[BCL2T]	[BAXmT]	[BH3T]	[BAXmBCL2]	[BH3BCL2]
31	124.144	22.2762	0.0757969	0.0979393	0.0757969	0.144396	0.144396	0.320759	0.599353	5.78935	0.927859	22.5477	0.545491	0.0443477	5.54255	0.849826	8.24787	9.54846	0.510046	4.98674	0.199086	1.66963	84.4599	33.4816	13.7236	33.4612	13.7213
32	124.701	22.9673	0.0781772	0.100317	0.0781772	0.143879	0.143879	0.320895	0.597727	5.80799	0.927974	23.2466	0.5444	0.0440017	5.43544	0.847197	8.27042	9.59118	0.507851	4.99649	0.199516	1.70042	84.6993	33.4841	14.2825	33.4635	14.2803
33	125.205	23.6515	0.0805721	0.102728	0.0805721	0.143359	0.143359	0.321056	0.596123	5.82332	0.928059	23.9387	0.543589	0.0436803	5.33534	0.844654	8.28837	9.62981	0.505763	5.00328	0.199835	1.72863	84.914	33.4866	14.837	33.4658	14.8346
34	125.661	24.3288	0.0829811	0.105169	0.0829811	0.142836	0.142836	0.321241	0.594542	5.83568	0.928115	24.624	0.543023	0.0433806	5.24183	0.8422	8.30222	9.66473	0.50378	5.00748	0.200059	1.75441	85.1072	33.4893	15.3865	33.4682	15.3842
35	126.074	24.9992	0.0854034	0.107638	0.0854034	0.14231	0.14231	0.32145	0.592984	5.84537	0.928148	25.3025	0.542672	0.0430997	5.15445	0.839835	8.31247	9.69629	0.501898	5.00945	0.2002	1.77791	85.2813	33.4919	15.931	33.4707	15.9286
36	126.448	25.6629	0.0878385	0.11013	0.0878385	0.141781	0.141781	0.321685	0.59145	5.85266	0.928159	25.9743	0.542511	0.0428354	5.0728	0.837561	8.31954	9.72482	0.500113	5.00949	0.200268	1.79928	85.4386	33.4946	16.4701	33.4731	16.4677
37	126.786	26.3199	0.0902858	0.112644	0.0902858	0.141251	0.141251	0.321944	0.58994	5.85782	0.928151	26.6393	0.542516	0.0425856	4.99647	0.835376	8.32381	9.7506	0.498421	5.00787	0.200274	1.81864	85.5812	33.4974	17.0038	33.4757	17.0013
38	127.092	26.9701	0.0927446	0.115176	0.0927446	0.140717	0.140717	0.322228	0.588454	5.86105	0.928127	27.2978	0.542665	0.0423485	4.92509	0.833279	8.32564	9.77389	0.496817	5.00483	0.200226	1.83614	85.7107	33.5002	17.5319	33.4782	17.5293
39	127.369	27.6138	0.0952142	0.117724	0.0952142	0.140182	0.140182	0.322537	0.586991	5.86258	0.928087	27.9497	0.54294	0.0421224	4.8583	0.831269	8.32534	9.79493	0.495298	5.0006	0.200133	1.85191	85.8287	33.5031	18.0543	33.4809	18.0517
40	127.619	28.2508	0.097694	0.120285	0.097694	0.139645	0.139645	0.322868	0.585551	5.86258	0.928035	28.595	0.543324	0.041906	4.79577	0.829344	8.3232	9.81393	0.493858	4.99537	0.200001	1.86607	85.9364	33.506	18.5709	33.4835	18.5683
41	127.846	28.8814	0.100183	0.122857	0.100183	0.139105	0.139105	0.323223	0.584134	5.86122	0.927971	29.2338	0.543803	0.0416981	4.73717	0.827501	8.31947	9.83109	0.492493	4.9893	0.199836	1.87873	86.0352	33.509	19.0817	33.4862	19.0791
42	128.051	29.5055	0.102682	0.125437	0.102682	0.138564	0.138564	0.323601	0.582738	5.85865	0.927896	29.8663	0.544363	0.0414974	4.6822	0.825737	8.31438	9.84657	0.491199	4.98254	0.199645	1.89003	86.1259	33.5121	19.5867	33.489	19.584
43	128.236	30.1232	0.105188	0.128023	0.105188	0.138022	0.138022	0.324	0.581363	5.85501	0.927813	30.4923	0.544992	0.0413031	4.63059	0.824049	8.30813	9.86054	0.489971	4.97523	0.199431	1.90005	86.2095	33.5152	20.0858	33.4918	20.083
44	128.404	30.7345	0.107703	0.130613	0.107703	0.137478	0.137478	0.324421	0.580008	5.85041	0.927722	31.1121	0.545681	0.0411143	4.58206	0.822434	8.30091	9.87313	0.488805	4.96748	0.199198	1.90891	86.2868	33.5184	20.579	33.4947	20.5762
45	128.556	31.3396	0.110224	0.133205	0.110224	0.136933	0.136933	0.324861	0.578671	5.84498	0.927623	31.7255	0.546419	0.0409303	4.53638	0.820889	8.29287	9.88449	0.487697	4.95938	0.198951	1.9167	86.3584	33.5216	21.0664	33.4976	21.0636
46	128.693	31.9384	0.112752	0.135797	0.112752	0.136386	0.136386	0.325321	0.577352	5.83879	0.927519	32.3328	0.547198	0.0407505	4.49332	0.819409	8.28416	9.89473	0.486643	4.95102	0.198693	1.9235	86.4251	33.5249	21.548	33.5006	21.5451
47	128.818	32.5311	0.115286	0.138387	0.115286	0.135839	0.135839	0.3258	0.57605	5.83195	0.927409	32.9339	0.548012	0.0405742	4.45266	0.817991	8.2749	9.90395	0.485639	4.94248	0.198426	1.92941	86.4872	33.5283	22.0237	33.5036	22.0208
48	128.93	33.1177	0.117826	0.140974	0.117826	0.13529	0.13529	0.326296	0.574762	5.82453	0.927294	33.529	0.548853	0.0404011	4.41421	0.816632	8.2652	9.91224	0.484682	4.93383	0.198153	1.9345	86.5452	33.5317	22.4937	33.5067	22.4907
49	129.032	33.6983	0.12037	0.143556	0.12037	0.134741	0.134741	0.326809	0.573489	5.81659	0.927175	34.118	0.549717	0.0402306	4.37778	0.815328	8.25516	9.91971	0.483767	4.9251	0.197875	1.93884	86.5996	33.5352	22.958	33.5098	22.9549
50	129.124	34.2728	0.122918	0.146133	0.122918	0.134191	0.134191	0.327339	0.572229	5.80821	0.927052	34.701	0.550597	0.0400625	4.34321	0.814075	8.24485	9.92641	0.482893	4.91635	0.197595	1.9425	86.6508	33.5387	23.4166	33.5131	23.4135
51	129.207	34.8415	0.12547	0.148701	0.12547	0.13364	0.13364	0.327883	0.570981	5.79943	0.926926	35.2781	0.55149	0.0398964	4.31034	0.81287	8.23436	9.93244	0.482055	4.90763	0.197314	1.94555	86.6989	33.5424	23.8696	33.5163	23.8664
52	129.283	35.4042	0.128026	0.151261	0.128026	0.133089	0.133089	0.328442	0.569744	5.7903	0.926797	35.8493	0.552392	0.0397321	4.27902	0.81171	8.22374	9.93784	0.481252	4.89895	0.197033	1.94804	86.7444	33.5461	24.317	33.5197	24.3138
53	129.351	35.9612	0.130584	0.153811	0.130584	0.132538	0.132538	0.329015	0.568517	5.78087	0.926666	36.4147	0.553299	0.0395693	4.24913	0.810591	8.21304	9.94268	0.480479	4.89035	0.196754	1.95003	86.7874	33.5498	24.759	33.5231	24.7557
54	129.413	36.5123	0.133145	0.156351	0.133145	0.131986	0.131986	0.3296	0.567299	5.77117	0.926532	36.9744	0.55421	0.0394079	4.22054	0.809511	8.20232	9.94701	0.479735	4.88184	0.196477	1.95156	86.8282	33.5537	25.1956	33.5265	25.1922
55	129.469	37.0578	0.135708	0.158878	0.135708	0.131434	0.131434	0.330198	0.566089	5.76124	0.926396	37.5283	0.555121	0.0392477	4.19315	0.808466	8.19161	9.95088	0.479018	4.87345	0.196203	1.95268	86.8669	33.5576	25.6268	33.53	25.6234
56	129.519	37.5977	0.138272	0.161394	0.138272	0.130882	0.130882	0.330808	0.564886	5.75111	0.926259	38.0766	0.55603	0.0390886	4.16684	0.807454	8.18094	9.95434	0.478325	4.86519	0.195932	1.95344	86.9037	33.5616	26.0527	33.5336	26.0492
57	129.565	38.132	0.140837	0.163896	0.140837	0.13033	0.13033	0.331428	0.563689	5.7408	0.92612	38.6193	0.556937	0.0389305	4.14152	0.806473	8.17034	9.95741	0.477654	4.85707	0.195665	1.95387	86.9389	33.5657	26.4734	33.5373	26.4699
58	129.606	38.6607	0.143402	0.166384	0.143402	0.129778	0.129778	0.332059	0.562497	5.73033	0.92598	39.1565	0.557838	0.0387734	4.11712	0.805519	8.15983	9.96013	0.477004	4.84909	0.195402	1.95401	86.9724	33.5698	26.8889	33.541	26.8854
59	129.644	39.184	0.145968	0.168858	0.145968	0.129227	0.129227	0.332699	0.561311	5.71973	0.925838	39.6881	0.558734	0.038617	4.09354	0.80459	8.14942	9.96254	0.476372	4.84126	0.195144	1.95388	87.0045	33.5741	27.2994	33.5449	27.2958
60	129.678	39.7018	0.148534	0.171317	0.148534	0.128675	0.128675	0.333349	0.560128	5.70901	0.925695	40.2144	0.559623	0.0384615	4.07073	0.803684	8.13913	9.96467	0.475757	4.83358	0.19489	1.95353	87.0352	33.5784	27.7049	33.5487	27.7012
61	129.708	40.2143	0.151099	0.173761	0.151099	0.128124	0.128124	0.334007	0.558949	5.69819	0.925551	40.7353	0.560505	0.0383068	4.04861	0.8028	8.12896	9.96654	0.475158	4.82606	0.194641	1.95297	87.0646	33.5828	28.1054	33.5527	28.1016
62	129.736	40.7215	0.153663	0.176189	0.153663	0.127574	0.127574	0.334673	0.557773	5.68728	0.925407	41.2508	0.561379	0.0381528	4.02712	0.801935	8.11894	9.96816	0.474573	4.81868	0.194397	1.95222	87.0929	33.5873	28.501	33.5567	28.4972
63	129.761	41.2234	0.156226	0.178601	0.156226	0.127024	0.127024	0.335347	0.556599	5.67629	0.925261	41.7611	0.562245	0.0379997	4.00622	0.801088	8.10905	9.96957	0.474001	4.81146	0.194158	1.95132	87.12	33.5919	28.8919	33.5609	28.888
64	129.784	41.7201	0.158787	0.180997	0.158787	0.126474	0.126474	0.336029	0.555427	5.66522	0.925115	42.2661	0.563102	0.0378472	3.98585	0.800256	8.0993	9.97078	0.473441	4.80439	0.193923	1.95028	87.1461	33.5965	29.278	33.5651	29.274
65	129.805	42.2117	0.161347	0.183377	0.161347	0.125926	0.125926	0.336717	0.554256	5.6541	0.924967	42.766	0.56395	0.0376955	3.96598	0.79944	8.0897	9.9718	0.472892	4.79747	0.193694	1.94912	87.1713	33.6013	29.6594	33.5693	29.6553
66	129.823	42.6982	0.163904	0.18574	0.163904	0.125378	0.125378	0.337411	0.553087	5.64292	0.92482	43.2608	0.564789	0.0375446	3.94656	0.798636	8.08024	9.97266	0.472353	4.79068	0.193468	1.94785	87.1956	33.6061	30.0362	33.5737	30.0321
67	129.84	43.1796	0.166458	0.188086	0.166458	0.12483	0.12483	0.338112	0.551918	5.63169	0.924671	43.7504	0.56562	0.0373945	3.92755	0.797845	8.07093	9.97336	0.471823	4.78403	0.193248	1.94649	87.219	33.6111	30.4085	33.5782	30.4042
68	129.855	43.656	0.16901	0.190415	0.16901	0.124284	0.124284	0.338818	0.55075	5.62042	0.924522	44.2351	0.566442	0.0372451	3.90892	0.797065	8.06175	9.97391	0.471302	4.77752	0.193031	1.94505	87.2416	33.6161	30.7762	33.5827	30.7719
69	129.869	44.1274	0.171559	0.192727	0.171559	0.123739	0.123739	0.33953	0.549581	5.60911	0.924372	44.7148	0.567255	0.0370966	3.89065	0.796294	8.05271	9.97433	0.470788	4.77113	0.192819	1.94355	87.2635	33.6213	31.1396	33.5874	31.1352
70	129.881	44.594	0.174104	0.195023	0.174104	0.123194	0.123194	0.340247	0.548413	5.59776	0.924221	45.1896	0.56806	0.0369489	3.87272	0.795533	8.04379	9.97462	0.470281	4.76487	0.192611	1.94198	87.2847	33.6266	31.4985	33.5921	31.4941
71	129.893	45.0557	0.176645	0.197302	0.176645	0.122651	0.122651	0.340969	0.547244	5.58638	0.92407	45.6595	0.568856	0.0368021	3.85508	0.79478	8.03501	9.97479	0.469781	4.75872	0.192406	1.94037	87.3052	33.6319	31.8532	33.5969	31.8486
72	129.903	45.5126	0.179183	0.199563	0.179183	0.122109	0.122109	0.341696	0.546075	5.57497	0.923918	46.1245	0.569645	0.0366562	3.83773	0.794034	8.02635	9.97484	0.469287	4.75268	0.192206	1.93872	87.3251	33.6374	32.2036	33.6018	32.199
73	129.912	45.9648	0.181716	0.201808	0.181716	0.121567	0.121567	0.342427	0.544905	5.56354	0.923766	46.5848	0.570426	0.0365111	3.82065	0.793295	8.01781	9.97479	0.468799	4.74676	0.192009	1.93704	87.3445	33.643	32.5498	33.6069	32.5451
74	129.921	46.4122	0.184245	0.204036	0.184245	0.121028	0.121028	0.343162	0.543734	5.55208	0.923613	47.0404	0.571199	0.036367	3.80382	0.792562	8.00938	9.97463	0.468315	4.74093	0.191815	1.93534	87.3632	33.6487	32.8918	33.612	32.887
75	129.928	46.855	0.18677	0.206247	0.18677	0.120489	0.120489	0.343902	0.542562	5.54059	0.923459	47.4913	0.571965	0.0362239	3.78722	0.791835	8.00105	9.97437	0.467836	4.7352	0.191625	1.93361	87.3815	33.6545	33.2298	33.6172	33.2249
76	129.935	47.2932	0.189289	0.208441	0.189289	0.119952	0.119952	0.344645	0.541389	5.52908	0.923304	47.9375	0.572724	0.0360817	3.77085	0.791113	7.99283	9.974	0.467362	4.72956	0.191437	1.93186	87.3992	33.6604	33.5637	33.6226	33.5587
77	129.941	47.7268	0.191803	0.210619	0.191803	0.119416	0.119416	0.345392	0.540215	5.51755	0.92315	48.3791	0.573477	0.0359405	3.75468	0.790396	7.98471	9.97354	0.466892	4.72401	0.191253	1.93011	87.4165	33.6665	33.8936	33.628	33.8885
78	129.947	48.1559	0.194312	0.21278	0.194312	0.118881	0.118881	0.346142	0.53904	5.506	0.922994	48.8162	0.574223	0.0358003	3.73872	0.789683	7.97668	9.97297	0.466425	4.71854	0.191071	1.92835	87.4333	33.6727	34.2196	33.6336	34.2144
79	129.952	48.5805	0.196815	0.214924	0.196815	0.118348	0.118348	0.346896	0.537864	5.49443	0.922838	49.2488	0.574963	0.0356611	3.72294	0.788974	7.96874	9.97231	0.465962	4.71315	0.190892	1.92658	87.4498	33.679	34.5417	33.6393	34.5364
80	129.956	49.0007	0.199312	0.217052	0.199312	0.117816	0.117816	0.347653	0.536686	5.48284	0.922681	49.6769	0.575697	0.035523	3.70735	0.788269	7.96088	9.97154	0.465502	4.70783	0.190715	1.92482	87.4658	33.6855	34.8599	33.6451	34.8546
81	129.961	49.4165	0.201804	0.219165	0.201804	0.117286	0.117286	0.348413	0.535507	5.47124	0.922523	50.1007	0.576426	0.0353859	3.69193	0.787568	7.9531	9.97067	0.465045	4.70259	0.190541	1.92305	87.4815	33.6921	35.1744	33.651	35.1689
82	129.964	49.8279	0.204289	0.22126	0.204289	0.116758	0.116758	0.349176	0.534327	5.45961	0.922365	50.52	0.577149	0.0352499	3.67668	0.78687	7.94539	9.96969	0.464591	4.6974	0.190369	1.92129	87.4968	33.6988	35.4851	33.657	35.4795
83	129.968	50.2351	0.206768	0.22334	0.206768	0.116231	0.116231	0.349942	0.533146	5.44797	0.922206	50.935	0.577867	0.035115	3.66159	0.786175	7.93776	9.96859	0.464139	4.69229	0.190199	1.91953	87.5118	33.7057	35.7921	33.6632	35.7864
84	129.971	50.638	0.20924	0.225404	0.20924	0.115706	0.115706	0.350711	0.531963	5.43631	0.922047	51.3457	0.578581	0.0349811	3.64666	0.785482	7.93019	9.96737	0.46369	4.68723	0.190031	1.91778	87.5265	33.7127	36.0954	33.6695	36.0896
85	129.974	51.0366	0.211705	0.227453	0.211705	0.115182	0.115182	0.351482	0.530779	5.42463	0.921887	51.7522	0.579289	0.0348484	3.63188	0.784793	7.92269	9.96603	0.463242	4.68222	0.189865	1.91604	87.5409	33.7199	36.3951	33.676	36.3892
86	129.976	51.4311	0.214164	0.229485	0.214164	0.114661	0.114661	0.352256	0.529594	5.41294	0.921726	52.1545	0.579994	0.0347168	3.61725	0.784106	7.91524	9.96454	0.462797	4.67726	0.189701	1.91431	87.555	33.7272	36.6912	33.6826	36.6853
87	129.978	51.8215	0.216615	0.231502	0.216615	0.114141	0.114141	0.353032	0.528408	5.40123	0.921564	52.5526	0.580694	0.0345863	3.60277	0.783422	7.90785	9.96291	0.462352	4.67236	0.189538	1.91258	87.5689	33.7347	36.9838	33.6893	36.9777
88	129.98	52.2078	0.219059	0.233504	0.219059	0.113623	0.113623	0.35381	0.527221	5.38951	0.921402	52.9466	0.58139	0.0344569	3.58842	0.782741	7.90051	9.96111	0.46191	4.6675	0.189377	1.91087	87.5825	33.7424	37.2729	33.6962	37.2667
89	129.982	52.59	0.221495	0.23549	0.221495	0.113106	0.113106	0.354591	0.526033	5.37777	0.921239	53.3365	0.582083	0.0343287	3.57422	0.782061	7.89323	9.95913	0.461468	4.66268	0.189217	1.90916	87.5959	33.7503	37.5586	33.7033	37.5523
90	129.984	52.9682	0.223924	0.237462	0.223924	0.112592	0.112592	0.355374	0.524844	5.36602	0.921075	53.7223	0.582771	0.0342016	3.56015	0.781385	7.88599	9.95696	0.461027	4.6579	0.189059	1.90747	87.609	33.7583	37.8408	33.7105	37.8344
91	129.985	53.3424	0.226345	0.239418	0.226345	0.11208	0.11208	0.356158	0.523654	5.35426	0.920911	54.1042	0.583456	0.0340756	3.54622	0.78071	7.8788	9.95457	0.460586	4.65315	0.188901	1.90578	87.622	33.7665	38.1197	33.7179	38.1131
92	129.987	53.7127	0.228758	0.241359	0.228758	0.111569	0.111569	0.356945	0.522464	5.34248	0.920746	54.4821	0.584138	0.0339508	3.53242	0.780038	7.87165	9.95194	0.460145	4.64844	0.188745	1.90411	87.6347	33.7749	38.3952	33.7254	38.3885
93	129.988	54.0791	0.231163	0.243286	0.231163	0.111061	0.111061	0.357734	0.521272	5.33069	0.920581	54.856	0.584816	0.0338271	3.51875	0.779368	7.86454	9.94904	0.459704	4.64375	0.18859	1.90245	87.6473	33.7835	38.6674	33.7331	38.6606
94	129.989	54.4417	0.23356	0.245197	0.23356	0.110554	0.110554	0.358524	0.52008	5.31889	0.920414	55.2261	0.585491	0.0337045	3.50521	0.778701	7.85748	9.94583	0.459262	4.63909	0.188436	1.9008	87.6597	33.7923	38.9364	33.741	38.9294
95	129.99	54.8004	0.235948	0.247095	0.235948	0.11005	0.11005	0.359317	0.518887	5.30707	0.920247	55.5924	0.586163	0.0335831	3.4918	0.778036	7.85045	9.94228	0.458819	4.63446	0.188282	1.89916	87.672	33.8013	39.2021	33.7491	39.195
96	129.991	55.1554	0.238328	0.248977	0.238328	0.109547	0.109547	0.360111	0.517694	5.29525	0.92008	55.9548	0.586832	0.0334628	3.47851	0.777373	7.84346	9.93834	0.458373	4.62984	0.188129	1.89753	87.6841	33.8105	39.4646	33.7574	39.4573
97	129.992	55.5066	0.240699	0.250846	0.240699	0.109047	0.109047	0.360906	0.516501	5.28341	0.919911	56.3134	0.587498	0.0333437	3.46535	0.776713	7.8365	9.93395	0.457925	4.62523	0.187977	1.89592	87.696	33.82	39.724	33.7658	39.7166
98	129.993	55.8541	0.243061	0.2527	0.243061	0.108549	0.108549	0.361703	0.515307	5.27157	0.919742	56.6683	0.588162	0.0332257	3.45232	0.776055	7.82958	9.92905	0.457473	4.62064	0.187825	1.89431	87.7079	33.8296	39.9802	33.7745	39.9726
