Time	[NAg]	[GLCg]	[G6Pg]	[F6Pg]	[GAPg]	[PEPg]	[PYRg]	[LACg]	[NADHg]	[ATPg]	[PCrg]	[O2g]	[GLYg]	[GLUg]	[NADg]	[ADPg]	[CRg]	[NADH_g_tot]	[PCrg_tot]	[AMPg]	[O2c]	[GLCc]	[LACc]	[CO2c]	[GLCe]	[LACe]	[GLUe]	[NAe]	[O2a]	[CO2a]	[GLCa]	[LACa]	[NAn]	[GLCn]	[G6Pn]	[F6Pn]	[GAPn]	[PEPn]	[PYRn]	[LACn]	[NADHn]	[ATPn]	[PCrn]	[O2n]	[GLUn]	[ADPn]	[CRn]	[NADn]	[NADH_n_tot]	[PCrn_tot]	[AMPn]	Values[Vv]	Values[dHb]
20	13.3602	0.165587	0.732584	0.111616	0.0697574	0.0253565	0.171108	0.465137	0.0444649	2.24077	4.68143	0.158959	2.50111	0	0.175535	0.130033	0.318567	0.22	5	0.00820201	7.42018	4.64012	0.325152	2.11982	0.333805	0.398613	0	150	8.34	1.2	4.8	0.313	15.5331	0.263239	0.727515	0.109107	0.0418166	0.00369208	0.038837	0.385631	0.0319291	2.25918	4.25243	0.0975441	3	0.113612	0.747569	0.188071	0.22	5	0.00621022	0.0236338	0.0217388
21	13.3602	0.165586	0.732585	0.111616	0.0697599	0.0253575	0.171107	0.465133	0.0444648	2.24077	4.68144	0.158959	2.50117	0	0.175535	0.130028	0.318562	0.22	5	0.00820144	7.42018	4.64012	0.325152	2.11983	0.333802	0.398614	0	150	8.34	1.2	4.8	0.313	15.5331	0.263236	0.727516	0.109107	0.041817	0.00369209	0.0388372	0.385633	0.0319292	2.25918	4.25242	0.0975438	3	0.113612	0.747584	0.188071	0.22	5	0.00621022	0.023632	0.0217372
22	13.3602	0.165586	0.732586	0.111616	0.0697623	0.0253585	0.171106	0.465129	0.0444648	2.24077	4.68144	0.158959	2.50122	0	0.175535	0.130024	0.318556	0.22	5	0.00820091	7.42018	4.64012	0.325152	2.11983	0.333799	0.398614	0	150	8.34	1.2	4.8	0.313	15.5331	0.263233	0.727516	0.109107	0.0418173	0.0036921	0.0388373	0.385635	0.0319294	2.25918	4.2524	0.0975435	3	0.113612	0.747598	0.188071	0.22	5	0.00621022	0.0236303	0.0217356
23	13.3602	0.165585	0.732586	0.111616	0.0697646	0.0253595	0.171105	0.465125	0.0444648	2.24078	4.68145	0.158959	2.50128	0	0.175535	0.13002	0.31855	0.22	5	0.00820039	7.42018	4.64012	0.325152	2.11983	0.333796	0.398615	0	150	8.34	1.2	4.8	0.313	15.5331	0.26323	0.727516	0.109107	0.0418176	0.00369211	0.0388374	0.385636	0.0319295	2.25918	4.25239	0.0975433	3	0.113612	0.747612	0.188071	0.22	5	0.00621022	0.0236287	0.0217342
24	13.3602	0.165584	0.732587	0.111616	0.0697668	0.0253604	0.171104	0.465122	0.0444647	2.24078	4.68146	0.158959	2.50134	0	0.175535	0.130016	0.318544	0.22	5	0.0081999	7.42018	4.64012	0.325152	2.11983	0.333794	0.398615	0	150	8.34	1.2	4.8	0.313	15.5331	0.263228	0.727516	0.109107	0.0418179	0.00369212	0.0388375	0.385638	0.0319296	2.25918	4.25237	0.097543	3	0.113612	0.747625	0.18807	0.22	5	0.00621022	0.0236272	0.0217328
25	13.3602	0.165584	0.732587	0.111616	0.069769	0.0253613	0.171103	0.465118	0.0444647	2.24079	4.68146	0.158959	2.50139	0	0.175535	0.130013	0.318537	0.22	5	0.00819942	7.42017	4.64012	0.325152	2.11983	0.333791	0.398616	0	150	8.34	1.2	4.8	0.313	15.5331	0.263225	0.727516	0.109107	0.0418181	0.00369213	0.0388376	0.385639	0.0319297	2.25918	4.25236	0.0975427	3	0.113612	0.747638	0.18807	0.22	5	0.00621022	0.0236258	0.0217315
26	13.3602	0.165583	0.732588	0.111616	0.0697711	0.0253622	0.171103	0.465115	0.0444647	2.24079	4.68147	0.158959	2.50145	0	0.175535	0.130009	0.318531	0.22	5	0.00819896	7.42017	4.64012	0.325152	2.11983	0.333788	0.398616	0	150	8.34	1.2	4.8	0.313	15.5331	0.263222	0.727516	0.109107	0.0418183	0.00369214	0.0388376	0.385641	0.0319298	2.25918	4.25235	0.0975424	3	0.113612	0.747651	0.18807	0.22	5	0.00621022	0.0236244	0.0217303
27	13.3602	0.165583	0.732588	0.111616	0.0697731	0.025363	0.171102	0.465112	0.0444647	2.2408	4.68148	0.158959	2.5015	0	0.175535	0.130006	0.318525	0.22	5	0.00819852	7.42017	4.64012	0.325152	2.11983	0.333786	0.398617	0	150	8.34	1.2	4.8	0.313	15.5331	0.26322	0.727516	0.109107	0.0418185	0.00369214	0.0388377	0.385642	0.0319298	2.25918	4.25234	0.0975422	3	0.113612	0.747662	0.18807	0.22	5	0.00621022	0.0236231	0.0217292
28	13.3602	0.165582	0.732589	0.111617	0.069775	0.0253638	0.171101	0.465109	0.0444647	2.2408	4.68148	0.158959	2.50156	0	0.175535	0.130002	0.318518	0.22	5	0.00819808	7.42017	4.64012	0.325152	2.11984	0.333783	0.398617	0	150	8.34	1.2	4.8	0.313	15.5331	0.263217	0.727516	0.109107	0.0418187	0.00369215	0.0388378	0.385643	0.0319299	2.25918	4.25233	0.0975419	3	0.113612	0.747674	0.18807	0.22	5	0.00621022	0.0236219	0.0217281
29	13.3602	0.165581	0.732589	0.111617	0.0697769	0.0253646	0.1711	0.465107	0.0444647	2.2408	4.68149	0.158959	2.50161	0	0.175535	0.129999	0.318511	0.22	5	0.00819766	7.42017	4.64012	0.325152	2.11984	0.33378	0.398618	0	150	8.34	1.2	4.8	0.313	15.5331	0.263215	0.727516	0.109107	0.0418188	0.00369216	0.0388378	0.385644	0.03193	2.25918	4.25232	0.0975417	3	0.113612	0.747685	0.18807	0.22	5	0.00621023	0.0236208	0.0217271
