Time	[GP]	[pGP]	[mRNA]	[PEPCK]	[IRS]	[p1IRS]	[p2IRS]	[p1p2IRS]	[Akt]	[pAkt]	[mTOR]	[pmTOR]	[Foxo]	[pFoxo]	[PYRout]	[GLCex]	[F16P]	[PYRin]	[LAC]	[OAA]	[GLY]	[G1P]	[G6P]
26	0.643646	0.00125351	2.63048	0.740048	20.5756	39429.2	8362.06	60116.4	0.18522	0.93298	879.711	0.538675	1.0572e-06	9.6328e-06	34375.3	29214.5	279766	37166.9	3.79167e+07	1522.72	182878	197978	29771.5
27	0.643647	0.0012526	2.61888	0.738961	20.4455	38127.4	8644.11	63804.8	0.190307	0.927893	879.691	0.559099	9.85562e-07	9.70444e-06	34375.3	29235.7	276592	37158.3	3.79167e+07	1578.39	182882	197869	29793
28	0.643648	0.0012517	2.60729	0.737874	20.3162	36835.1	8916.45	67376	0.195671	0.922529	879.671	0.579183	9.22498e-07	9.7675e-06	34375.3	29256.8	273418	37149.6	3.79167e+07	1634.1	182887	197760	29814.5
29	0.643649	0.0012508	2.59573	0.736789	20.1887	35566.6	9179.6	70819.6	0.201266	0.916934	879.651	0.598924	8.67002e-07	9.823e-06	34375.3	29278	270244	37141	3.79167e+07	1689.86	182891	197651	29835.9
30	0.64365	0.00124991	2.5842	0.735703	20.0639	34333.3	9434.1	74127.6	0.207049	0.911151	879.632	0.61832	8.18189e-07	9.87181e-06	34375.3	29299.2	267072	37132.3	3.79167e+07	1745.66	182896	197542	29857.4
31	0.643651	0.00124901	2.5727	0.734619	19.9423	33143.9	9680.48	77295.5	0.212975	0.905225	879.613	0.637369	7.75274e-07	9.91473e-06	34375.3	29320.3	263899	37123.7	3.79167e+07	1801.52	182901	197433	29878.9
32	0.643652	0.00124812	2.56124	0.733536	19.8244	32004.6	9919.26	80320.6	0.219003	0.899197	879.594	0.656071	7.37568e-07	9.95243e-06	34375.4	29341.5	260727	37115	3.79167e+07	1857.42	182905	197325	29900.3
33	0.643653	0.00124722	2.54981	0.732453	19.7107	30919.8	10150.9	83202.7	0.225091	0.893109	879.576	0.674428	7.04459e-07	9.98554e-06	34375.4	29362.6	257555	37106.4	3.79167e+07	1913.38	182910	197216	29921.8
34	0.643654	0.00124633	2.53841	0.731371	19.6014	29892	10376	85943.3	0.231203	0.886997	879.558	0.692442	6.75407e-07	1.00146e-05	34375.4	29383.8	254384	37097.8	3.79167e+07	1969.38	182914	197108	29943.2
35	0.643655	0.00124544	2.52706	0.73029	19.4966	28922.2	10594.8	88545.1	0.237301	0.880899	879.54	0.710115	6.49938e-07	1.00401e-05	34375.4	29404.9	251214	37089.1	3.79167e+07	2025.43	182919	197000	29964.7
36	0.643655	0.00124455	2.51575	0.729209	19.3964	28010.4	10807.9	91012.2	0.243356	0.874844	879.523	0.727452	6.27631e-07	1.00624e-05	34375.4	29426.1	248043	37080.5	3.79167e+07	2081.53	182923	196892	29986.1
37	0.643656	0.00124367	2.50447	0.72813	19.3007	27155.4	11015.5	93349.4	0.249338	0.868862	879.506	0.744457	6.08114e-07	1.00819e-05	34375.4	29447.2	244874	37071.9	3.79167e+07	2137.68	182928	196784	30007.5
38	0.643657	0.00124278	2.49325	0.727051	19.2095	26355.4	11218	95562.2	0.255224	0.862976	879.489	0.761137	5.91065e-07	1.00989e-05	34375.4	29468.3	241704	37063.3	3.79167e+07	2193.88	182933	196676	30028.9
39	0.643658	0.0012419	2.48206	0.725973	19.1227	25607.9	11415.7	97656.3	0.260993	0.857207	879.473	0.777496	5.76191e-07	1.01138e-05	34375.4	29489.5	238536	37054.7	3.79167e+07	2250.13	182937	196568	30050.3
40	0.643659	0.00124102	2.47092	0.724895	19.04	24910.3	11608.8	99637.7	0.26663	0.85157	879.456	0.793543	5.6324e-07	1.01268e-05	34375.4	29510.6	235368	37046.1	3.79167e+07	2306.43	182942	196460	30071.7
41	0.64366	0.00124014	2.45983	0.723819	18.9613	24259.6	11797.6	101513	0.272122	0.846078	879.441	0.809283	5.51985e-07	1.0138e-05	34375.5	29531.7	232200	37037.5	3.79167e+07	2362.78	182946	196353	30093.1
42	0.643661	0.00123926	2.44878	0.722743	18.8864	23652.8	11982.3	103287	0.27746	0.84074	879.425	0.824723	5.4223e-07	1.01478e-05	34375.5	29552.8	229033	37028.9	3.79167e+07	2419.18	182951	196246	30114.5
43	0.643662	0.00123838	2.43778	0.721668	18.815	23086.6	12163	104967	0.282639	0.835561	879.41	0.839872	5.33798e-07	1.01562e-05	34375.5	29573.9	225867	37020.3	3.79167e+07	2475.64	182955	196138	30135.9
44	0.643662	0.00123751	2.42682	0.720594	18.7471	22558.1	12340	106558	0.287656	0.830544	879.395	0.854735	5.26536e-07	1.01635e-05	34375.5	29595	222701	37011.8	3.79167e+07	2532.14	182960	196031	30157.2
45	0.643663	0.00123663	2.41591	0.71952	18.6823	22064.4	12513.3	108066	0.29251	0.82569	879.381	0.86932	5.20306e-07	1.01697e-05	34375.5	29616.1	219536	37003.2	3.79167e+07	2588.69	182964	195924	30178.6
46	0.643664	0.00123576	2.40505	0.718448	18.6204	21602.6	12683.1	109496	0.297204	0.820996	879.366	0.883635	5.14988e-07	1.0175e-05	34375.5	29637.2	216371	36994.6	3.79167e+07	2645.3	182969	195817	30199.9
47	0.643665	0.00123489	2.39424	0.717376	18.5613	21170.1	12849.5	110852	0.301739	0.816461	879.352	0.897685	5.10476e-07	1.01795e-05	34375.5	29658.3	213208	36986.1	3.79167e+07	2701.95	182973	195711	30221.2
