Time	[RuBP]	[E]	[ER]	[EPP]	[EPG]	[EP]	[EOP]	[PGA]	[TP]	[GAP]	[DHAP]	[FBP]	[HeP]	[F6P]	[G6P]	[G1P]	[E4P]	[SBP]	[S7P]	[PeP]	[X5P]	[R5P]	[Ru5P]	[ADPG]	[ATP]	[ADP]	[Pi]	[PiPi]	[H]	[CO2]	[O2]	[NADPH]	[NADP]	[PGAc]	[TPc]	[GAPc]	[DHAPc]	[FBPc]	[F26BPc]	[HePc]	[F6Pc]	[G6Pc]	[G1Pc]	[UDPGc]	[UTPc]	[UDPc]	[ATPc]	[ADPc]	[SucPc]	[Succ]	[Pic]	[PiPic]	[Hc]
10	0.00368762	1.62468e-05	0.000945233	0.000231874	0.00024754	0.000742527	0.000619609	0.00204672	0.00785541	0.00392627	0.00392914	1.75869e-05	0.000403468	0.000134506	0.000134528	0.000134435	0.00187489	8.08901e-06	2.98215e-05	0.000809997	0.000269967	0.00027005	0.00026998	0.000110438	0.00139488	0.000105123	0.00325352	1e-06	0.0891251	4.90973e-06	0.00026	0.00021	0.00029	0.000849951	0.00561058	0.00280427	0.00280631	7.8767e-06	3.47256e-07	0.000938158	0.000312757	0.000312808	0.000312592	0.00463739	0.00036	0.00064	0.00036	0.00064	1.70207e-06	0	0.00219192	4e-05	0.158489
11	0.00369598	1.63101e-05	0.000952961	0.000232856	0.000249602	0.000748798	0.000602503	0.00206095	0.00788155	0.00393934	0.00394221	1.76979e-05	0.000410589	0.00013688	0.000136902	0.000136807	0.00188605	8.16119e-06	3.04313e-05	0.000822517	0.000274139	0.000274224	0.000274153	0.000112328	0.00139359	0.000106407	0.00315169	1e-06	0.0891251	4.89033e-06	0.00026	0.00021	0.00029	0.00086613	0.00569465	0.00284629	0.00284836	8.11355e-06	3.42129e-07	0.000928991	0.000309701	0.000309752	0.000309537	0.00458968	0.00036	0.00064	0.00036	0.00064	1.68996e-06	0	0.00214809	4e-05	0.158489
12	0.00370345	1.6371e-05	0.000960263	0.00023378	0.000251557	0.000754821	0.000586238	0.00207463	0.00790657	0.00395184	0.00395473	1.78041e-05	0.000417395	0.000139149	0.000139171	0.000139075	0.00189617	8.22825e-06	3.10249e-05	0.00083469	0.000278197	0.000278283	0.000278211	0.000114235	0.00139233	0.000107666	0.00305559	1e-06	0.0891251	4.87219e-06	0.00026	0.00021	0.00029	0.000882008	0.00577641	0.00288715	0.00288926	8.34713e-06	3.3619e-07	0.000920044	0.000306719	0.000306769	0.000306556	0.00454276	0.00036	0.00064	0.00036	0.00064	1.6779e-06	0	0.00210587	4e-05	0.158489
13	0.00370991	1.64296e-05	0.000967097	0.000234642	0.000253394	0.000760573	0.000570895	0.00208771	0.00793056	0.00396383	0.00396673	1.7906e-05	0.00042386	0.000141304	0.000141327	0.000141229	0.00190537	8.2908e-06	3.15985e-05	0.000846426	0.000282108	0.000282196	0.000282122	0.000116147	0.00139111	0.000108894	0.00296547	1e-06	0.0891251	4.85537e-06	0.00026	0.00021	0.00029	0.000897484	0.00585563	0.00292675	0.00292888	8.57652e-06	3.29556e-07	0.000911298	0.000303803	0.000303853	0.000303642	0.00449669	0.00036	0.00064	0.00036	0.00064	1.6658e-06	0	0.00206553	4e-05	0.158489
14	0.00371534	1.6486e-05	0.00097344	0.00023544	0.000255103	0.000766036	0.000556525	0.00210012	0.00795351	0.0039753	0.00397821	1.80035e-05	0.000429962	0.000143338	0.000143362	0.000143262	0.00191374	8.34908e-06	3.21484e-05	0.000857653	0.00028585	0.000285939	0.000285864	0.000118054	0.00138992	0.000110083	0.00288148	1e-06	0.0891251	4.83991e-06	0.00026	0.00021	0.00029	0.000912481	0.00593211	0.00296497	0.00296714	8.80077e-06	3.22341e-07	0.000902752	0.000300954	0.000301003	0.000300795	0.00445152	0.00036	0.00064	0.00036	0.00064	1.65363e-06	0	0.00202733	4e-05	0.158489
15	0.00371977	1.65399e-05	0.00097928	0.000236173	0.000256681	0.000771193	0.000543164	0.00211184	0.00797539	0.00398624	0.00398915	1.80965e-05	0.000435677	0.000145243	0.000145267	0.000145167	0.00192132	8.40318e-06	3.26714e-05	0.000868311	0.000289402	0.000289492	0.000289417	0.000119942	0.00138877	0.000111227	0.00280372	1e-06	0.0891251	4.82579e-06	0.00026	0.00021	0.00029	0.000926938	0.00600564	0.00300172	0.00300391	9.01897e-06	3.14653e-07	0.000894409	0.000298173	0.000298221	0.000298015	0.00440728	0.00036	0.00064	0.00036	0.00064	1.64134e-06	0	0.00199151	4e-05	0.158489
16	0.00372327	1.65912e-05	0.000984614	0.000236841	0.000258126	0.00077603	0.000530829	0.00212284	0.00799614	0.00399661	0.00399953	1.81848e-05	0.000440986	0.000147013	0.000147037	0.000146935	0.00192814	8.45312e-06	3.31649e-05	0.000878348	0.000292747	0.000292838	0.000292762	0.000121794	0.00138768	0.00011232	0.00273222	1e-06	0.0891251	4.81299e-06	0.00026	0.00021	0.00029	0.000940806	0.00607605	0.00303692	0.00303913	9.23028e-06	3.06596e-07	0.000886271	0.00029546	0.000295508	0.000295303	0.00436399	0.00036	0.00064	0.00036	0.00064	1.62891e-06	0	0.00195825	4e-05	0.158489
17	0.00372591	1.66396e-05	0.000989445	0.000237445	0.000259438	0.000780537	0.000519525	0.0021331	0.00801573	0.0040064	0.00400932	1.82682e-05	0.000445873	0.000148642	0.000148667	0.000148564	0.00193421	8.49891e-06	3.36264e-05	0.000887725	0.000295873	0.000295965	0.000295888	0.000123597	0.00138665	0.000113355	0.00266692	1e-06	0.0891251	4.80148e-06	0.00026	0.00021	0.00029	0.000954048	0.00614321	0.00307048	0.00307273	9.43399e-06	2.98268e-07	0.000878341	0.000292816	0.000292864	0.000292661	0.00432169	0.00036	0.00064	0.00036	0.00064	1.61634e-06	0	0.00192768	4e-05	0.158489
18	0.0037278	1.6685e-05	0.000993787	0.000237986	0.000260621	0.000784709	0.000509242	0.00214262	0.00803409	0.00401558	0.00401851	1.83464e-05	0.000450331	0.000150129	0.000150153	0.000150049	0.00193958	8.54057e-06	3.40543e-05	0.000896415	0.000298769	0.000298862	0.000298784	0.000125335	0.00138567	0.000114328	0.0026077	1e-06	0.0891251	4.7912e-06	0.00026	0.00021	0.00029	0.000966635	0.00620704	0.00310239	0.00310465	9.62951e-06	2.89758e-07	0.000870621	0.000290242	0.00029029	0.000290089	0.00428039	0.00036	0.00064	0.00036	0.00064	1.60362e-06	0	0.00189991	4e-05	0.158489
19	0.00372903	1.67273e-05	0.000997658	0.000238469	0.000261679	0.000788544	0.000499954	0.00215139	0.00805121	0.00402414	0.00402708	1.84194e-05	0.00045436	0.000151472	0.000151497	0.000151392	0.00194426	8.57819e-06	3.44474e-05	0.000904401	0.000301431	0.000301524	0.000301446	0.000126994	0.00138477	0.000115234	0.00255436	1e-06	0.0891251	4.78209e-06	0.00026	0.00021	0.00029	0.000978551	0.0062675	0.0031326	0.00313489	9.81641e-06	2.8115e-07	0.000863111	0.000287739	0.000287786	0.000287586	0.00424012	0.00036	0.00064	0.00036	0.00064	1.59074e-06	0	0.00187495	4e-05	0.158489
20	0.00372972	1.67663e-05	0.00100108	0.000238895	0.000262616	0.000792045	0.000491627	0.00215942	0.00806706	0.00403206	0.004035	1.84869e-05	0.000457969	0.000152675	0.0001527	0.000152594	0.00194831	8.61188e-06	3.48054e-05	0.00091168	0.000303857	0.000303951	0.000303872	0.000128561	0.00138393	0.000116071	0.00250665	1e-06	0.0891251	4.77407e-06	0.00026	0.00021	0.00029	0.00098979	0.00632458	0.00316114	0.00316345	9.99442e-06	2.72519e-07	0.000855811	0.000285305	0.000285352	0.000285154	0.00420089	0.00036	0.00064	0.00036	0.00064	1.57773e-06	0	0.00185281	4e-05	0.158489
21	0.00372997	1.6802e-05	0.00100409	0.000239269	0.000263442	0.000795218	0.000484214	0.00216674	0.00808162	0.00403933	0.00404228	1.8549e-05	0.000461172	0.000153743	0.000153768	0.000153662	0.00195178	8.64182e-06	3.51286e-05	0.00091826	0.00030605	0.000306145	0.000306065	0.000130025	0.00138316	0.000116838	0.00246426	1e-06	0.0891251	4.76706e-06	0.00026	0.00021	0.00029	0.00100035	0.00637835	0.00318801	0.00319034	1.01634e-05	2.63932e-07	0.00084872	0.000282941	0.000282987	0.000282791	0.00416272	0.00036	0.00064	0.00036	0.00064	1.5646e-06	0	0.00183341	4e-05	0.158489
22	0.00372987	1.68344e-05	0.00100671	0.000239594	0.000264163	0.000798074	0.00047766	0.00217335	0.00809489	0.00404597	0.00404892	1.86057e-05	0.000463993	0.000154683	0.000154708	0.000154601	0.00195471	8.66822e-06	3.54179e-05	0.000924161	0.000308017	0.000308112	0.000308032	0.00013138	0.00138247	0.000117534	0.00242685	1e-06	0.0891251	4.76097e-06	0.00026	0.00021	0.00029	0.00101026	0.00642889	0.00321327	0.00321562	1.03234e-05	2.55446e-07	0.000841836	0.000280646	0.000280692	0.000280498	0.00412562	0.00036	0.00064	0.00036	0.00064	1.55137e-06	0	0.00181666	4e-05	0.158489
23	0.00372952	1.68635e-05	0.00100897	0.000239876	0.000264789	0.000800626	0.000471903	0.00217929	0.00810689	0.00405197	0.00405492	1.86569e-05	0.000466456	0.000155504	0.00015553	0.000155422	0.00195718	8.69133e-06	3.56748e-05	0.000929412	0.000309767	0.000309863	0.000309782	0.000132621	0.00138184	0.000118161	0.00239404	1e-06	0.0891251	4.75572e-06	0.00026	0.00021	0.00029	0.00101952	0.00647632	0.00323698	0.00323934	1.04746e-05	2.47113e-07	0.000835157	0.00027842	0.000278465	0.000278272	0.00408957	0.00036	0.00064	0.00036	0.00064	1.53807e-06	0	0.0018024	4e-05	0.158489
24	0.00372899	1.68896e-05	0.00101092	0.000240118	0.000265329	0.000802891	0.000466878	0.00218459	0.00811766	0.00405735	0.00406031	1.8703e-05	0.000468592	0.000156216	0.000156242	0.000156134	0.00195924	8.71142e-06	3.59011e-05	0.000934049	0.000311312	0.000311409	0.000311328	0.000133745	0.00138128	0.00011872	0.00236544	1e-06	0.0891251	4.75121e-06	0.00026	0.00021	0.00029	0.00102816	0.00652078	0.0032592	0.00326158	1.06172e-05	2.38972e-07	0.00082868	0.00027626	0.000276305	0.000276114	0.00405459	0.00036	0.00064	0.00036	0.00064	1.52474e-06	0	0.00179049	4e-05	0.158489
25	0.00372835	1.69127e-05	0.00101259	0.000240326	0.000265791	0.000804889	0.000462518	0.0021893	0.00812725	0.00406214	0.00406511	1.8744e-05	0.000470432	0.00015683	0.000156855	0.000156747	0.00196094	8.72878e-06	3.60992e-05	0.000938116	0.000312668	0.000312765	0.000312683	0.000134754	0.00138078	0.000119216	0.00234065	1e-06	0.0891251	4.74736e-06	0.00026	0.00021	0.00029	0.00103621	0.00656244	0.00328002	0.00328241	1.07516e-05	2.3106e-07	0.000822401	0.000274167	0.000274212	0.000274022	0.00402066	0.00036	0.00064	0.00036	0.00064	1.51141e-06	0	0.00178073	4e-05	0.158489
26	0.00372766	1.6933e-05	0.00101401	0.000240502	0.000266185	0.00080664	0.000458756	0.00219344	0.00813572	0.00406638	0.00406935	1.87802e-05	0.000472008	0.000157355	0.000157381	0.000157272	0.00196233	8.74368e-06	3.62712e-05	0.000941659	0.000313849	0.000313946	0.000313864	0.000135652	0.00138035	0.000119652	0.00231928	1e-06	0.0891251	4.7441e-06	0.00026	0.00021	0.00029	0.00104372	0.00660146	0.00329953	0.00330194	1.08782e-05	2.23402e-07	0.000816317	0.000272139	0.000272183	0.000271995	0.00398778	0.00036	0.00064	0.00036	0.00064	1.49812e-06	0	0.00177293	4e-05	0.158489
27	0.00372694	1.69507e-05	0.00101522	0.000240651	0.00026652	0.000808164	0.000455528	0.00219708	0.00814315	0.00407009	0.00407306	1.8812e-05	0.00047335	0.000157803	0.000157828	0.000157719	0.00196348	8.7564e-06	3.64198e-05	0.000944725	0.000314871	0.000314968	0.000314886	0.000136444	0.00137997	0.000120032	0.00230095	1e-06	0.0891251	4.74134e-06	0.00026	0.00021	0.00029	0.0010507	0.00663804	0.00331781	0.00332023	1.09974e-05	2.1602e-07	0.000810423	0.000270174	0.000270218	0.000270031	0.00395592	0.00036	0.00064	0.00036	0.00064	1.4849e-06	0	0.00176688	4e-05	0.158489
28	0.00372624	1.6966e-05	0.00101623	0.000240777	0.000266802	0.000809484	0.000452772	0.00220025	0.00814962	0.00407332	0.0040763	1.88396e-05	0.000474487	0.000158182	0.000158207	0.000158098	0.0019644	8.76721e-06	3.65473e-05	0.000947364	0.00031575	0.000315848	0.000315766	0.000137137	0.00137964	0.000120362	0.00228532	1e-06	0.0891251	4.73902e-06	0.00026	0.00021	0.00029	0.00105721	0.00667236	0.00333496	0.0033374	1.11097e-05	2.08928e-07	0.000804716	0.000268272	0.000268315	0.00026813	0.00392508	0.00036	0.00064	0.00036	0.00064	1.4718e-06	0	0.0017624	4e-05	0.158489
29	0.00372557	1.69793e-05	0.00101708	0.000240883	0.000267039	0.000810621	0.000450431	0.00220299	0.00815521	0.00407612	0.00407909	1.88635e-05	0.000475446	0.000158501	0.000158527	0.000158418	0.00196516	8.77634e-06	3.66562e-05	0.000949621	0.000316502	0.000316601	0.000316518	0.000137738	0.00137935	0.000120646	0.00227204	1e-06	0.0891251	4.73707e-06	0.00026	0.00021	0.00029	0.00106328	0.00670457	0.00335106	0.00335351	1.12156e-05	2.02136e-07	0.000799192	0.00026643	0.000266473	0.000266289	0.00389524	0.00036	0.00064	0.00036	0.00064	1.45883e-06	0	0.00175928	4e-05	0.158489
30	0.00372494	1.69906e-05	0.00101779	0.000240971	0.000267237	0.000811594	0.000448451	0.00220536	0.00816	0.00407851	0.00408149	1.88841e-05	0.000476252	0.00015877	0.000158796	0.000158686	0.00196577	8.78401e-06	3.67486e-05	0.000951542	0.000317143	0.000317241	0.000317159	0.000138256	0.00137911	0.00012089	0.00226082	1e-06	0.0891251	4.73545e-06	0.00026	0.00021	0.00029	0.00106893	0.00673486	0.0033662	0.00336866	1.13156e-05	1.95648e-07	0.000793846	0.000264648	0.000264691	0.000264508	0.00386638	0.00036	0.00064	0.00036	0.00064	1.44604e-06	0	0.00175736	4e-05	0.158489
31	0.00372437	1.70002e-05	0.00101838	0.000241044	0.000267402	0.000812423	0.000446784	0.00220739	0.00816409	0.00408055	0.00408353	1.89016e-05	0.000476927	0.000158995	0.000159021	0.000158911	0.00196626	8.79044e-06	3.68267e-05	0.000953168	0.000317685	0.000317783	0.0003177	0.0001387	0.0013789	0.000121097	0.00225138	1e-06	0.0891251	4.7341e-06	0.00026	0.00021	0.00029	0.00107422	0.00676338	0.00338045	0.00338292	1.14101e-05	1.89467e-07	0.000788673	0.000262923	0.000262966	0.000262784	0.00383847	0.00036	0.00064	0.00036	0.00064	1.43345e-06	0	0.00175646	4e-05	0.158489
32	0.00372386	1.70084e-05	0.00101886	0.000241105	0.000267539	0.000813126	0.000445389	0.00220913	0.00816755	0.00408228	0.00408526	1.89164e-05	0.000477488	0.000159182	0.000159208	0.000159098	0.00196665	8.79578e-06	3.68923e-05	0.000954537	0.000318141	0.000318239	0.000318157	0.000139077	0.00137873	0.000121273	0.00224348	1e-06	0.0891251	4.73299e-06	0.00026	0.00021	0.00029	0.00107917	0.00679026	0.00339389	0.00339637	1.14995e-05	1.8359e-07	0.00078367	0.000261255	0.000261298	0.000261117	0.00381149	0.00036	0.00064	0.00036	0.00064	1.42109e-06	0	0.00175644	4e-05	0.158489
33	0.00372341	1.70152e-05	0.00101926	0.000241154	0.000267651	0.000813719	0.000444226	0.00221061	0.00817045	0.00408374	0.00408672	1.89288e-05	0.000477954	0.000159338	0.000159364	0.000159253	0.00196696	8.80021e-06	3.69471e-05	0.000955683	0.000318523	0.000318621	0.000318539	0.000139396	0.00137858	0.000121421	0.0022369	1e-06	0.0891251	4.73208e-06	0.00026	0.00021	0.00029	0.0010838	0.00681566	0.00340659	0.00340907	1.15842e-05	1.78013e-07	0.000778832	0.000259642	0.000259685	0.000259505	0.00378543	0.00036	0.00064	0.00036	0.00064	1.40896e-06	0	0.00175716	4e-05	0.158489
34	0.00372301	1.70209e-05	0.00101959	0.000241195	0.000267744	0.000814217	0.000443262	0.00221186	0.00817288	0.00408495	0.00408793	1.89392e-05	0.000478339	0.000159466	0.000159492	0.000159382	0.00196721	8.80385e-06	3.69927e-05	0.000956637	0.000318841	0.000318939	0.000318857	0.000139663	0.00137846	0.000121544	0.00223146	1e-06	0.0891251	4.73133e-06	0.00026	0.00021	0.00029	0.00108816	0.00683969	0.00341859	0.00342109	1.16645e-05	1.72729e-07	0.000774155	0.000258083	0.000258125	0.000257946	0.00376024	0.00036	0.00064	0.00036	0.00064	1.39709e-06	0	0.00175849	4e-05	0.158489
35	0.00372266	1.70256e-05	0.00101986	0.000241228	0.000267819	0.000814632	0.000442469	0.00221292	0.00817488	0.00408595	0.00408893	1.89478e-05	0.000478656	0.000159571	0.000159597	0.000159487	0.00196741	8.80683e-06	3.70303e-05	0.000957426	0.000319104	0.000319203	0.00031912	0.000139886	0.00137835	0.000121647	0.00222697	1e-06	0.0891251	4.73073e-06	0.00026	0.00021	0.00029	0.00109225	0.00686245	0.00342997	0.00343248	1.17409e-05	1.67729e-07	0.000769633	0.000256576	0.000256618	0.00025644	0.00373592	0.00036	0.00064	0.00036	0.00064	1.3855e-06	0	0.00176034	4e-05	0.158489
36	0.00372236	1.70295e-05	0.00102007	0.000241255	0.000267879	0.000814976	0.00044182	0.00221381	0.00817652	0.00408677	0.00408975	1.89548e-05	0.000478914	0.000159657	0.000159683	0.000159573	0.00196757	8.80925e-06	3.70613e-05	0.000958074	0.00031932	0.000319419	0.000319336	0.000140071	0.00137827	0.000121732	0.00222331	1e-06	0.0891251	4.73024e-06	0.00026	0.00021	0.00029	0.00109611	0.00688405	0.00344077	0.00344328	1.18136e-05	1.63006e-07	0.000765263	0.000255119	0.000255161	0.000254984	0.00371243	0.00036	0.00064	0.00036	0.00064	1.37419e-06	0	0.0017626	4e-05	0.158489
37	0.0037221	1.70327e-05	0.00102024	0.000241276	0.000267927	0.00081526	0.000441294	0.00221455	0.00817786	0.00408744	0.00409042	1.89605e-05	0.000479123	0.000159727	0.000159753	0.000159643	0.00196769	8.81119e-06	3.70864e-05	0.000958603	0.000319496	0.000319595	0.000319512	0.000140222	0.0013782	0.000121802	0.00222035	1e-06	0.0891251	4.72985e-06	0.00026	0.00021	0.00029	0.00109976	0.00690458	0.00345103	0.00345355	1.18828e-05	1.58547e-07	0.000761041	0.000253711	0.000253753	0.000253577	0.00368975	0.00036	0.00064	0.00036	0.00064	1.36316e-06	0	0.0017652	4e-05	0.158489
38	0.00372188	1.70352e-05	0.00102037	0.000241293	0.000267965	0.000815492	0.000440871	0.00221517	0.00817893	0.00408797	0.00409096	1.89651e-05	0.000479291	0.000159783	0.000159809	0.000159699	0.00196778	8.81273e-06	3.71067e-05	0.000959029	0.000319638	0.000319737	0.000319654	0.000140345	0.00137814	0.000121858	0.00221797	1e-06	0.0891251	4.72955e-06	0.00026	0.00021	0.00029	0.0011032	0.00692411	0.00346079	0.00346332	1.19488e-05	1.54343e-07	0.000756962	0.000252352	0.000252393	0.000252218	0.00366786	0.00036	0.00064	0.00036	0.00064	1.35243e-06	0	0.00176806	4e-05	0.158489
39	0.0037217	1.70372e-05	0.00102048	0.000241306	0.000267995	0.000815681	0.000440537	0.00221568	0.00817977	0.00408839	0.00409138	1.89687e-05	0.000479425	0.000159828	0.000159854	0.000159743	0.00196786	8.81393e-06	3.71229e-05	0.00095937	0.000319752	0.000319851	0.000319768	0.000140444	0.0013781	0.000121904	0.00221609	1e-06	0.0891251	4.72932e-06	0.00026	0.00021	0.00029	0.00110647	0.00694272	0.00347009	0.00347263	1.20119e-05	1.50381e-07	0.000753022	0.000251038	0.000251079	0.000250905	0.00364674	0.00036	0.00064	0.00036	0.00064	1.342e-06	0	0.00177114	4e-05	0.158489
40	0.00372154	1.70388e-05	0.00102055	0.000241315	0.000268017	0.000815832	0.000440276	0.0022161	0.00818042	0.00408872	0.0040917	1.89715e-05	0.00047953	0.000159863	0.000159889	0.000159778	0.00196791	8.81485e-06	3.71356e-05	0.000959637	0.000319841	0.00031994	0.000319857	0.000140523	0.00137806	0.00012194	0.00221463	1e-06	0.0891251	4.72914e-06	0.00026	0.00021	0.00029	0.00110957	0.00696048	0.00347897	0.00348151	1.20722e-05	1.4665e-07	0.000749217	0.000249769	0.00024981	0.000249637	0.00362635	0.00036	0.00064	0.00036	0.00064	1.33186e-06	0	0.00177436	4e-05	0.158489
